"text","description","id","label","name","instanceType","uuid:ID","identifier"
"<p>Alanine aminotransferase (ALT) &gt; 2 × upper limit of normal (ULN).</p>","","EligibilityCriterion_16","","EX04","EligibilityCriterion","c2f32def-253e-4311-8179-7c66133c2618","4"
"<p>Marked neurological disease requiring assistance with self-care or activities of daily life.</p>","","EligibilityCriterion_17","","EX05","EligibilityCriterion","d64d1f1e-bd24-405c-a954-644f531682e5","5"
"<p>Hemoglobin less than lower limit of the reference range for age and sex.</p>","","EligibilityCriterion_18","","EX06","EligibilityCriterion","672d7df2-89b2-4d01-89e5-c8ed6bdc6558","6"
"<p>Active infection with hepatitis B virus (positive hepatitis B surface antigen) or C virus (participants with positive hepatitis C antibody result would require confirmation of active disease with a positive hepatitis C polymerase chain reaction test), or seropositivity for human immunodeficiency virus (HIV).</p>","","EligibilityCriterion_19","","EX07","EligibilityCriterion","c368ad94-3ea8-47d0-bc10-201629d81a9b","7"
"<p>History or presence of/significant history of or current cardiovascular, respiratory, hepatic, renal, gastrointestinal, endocrinological, hematological, or neurological disorders, or psychiatric disorder that in the opinion of the Investigator may constitute a risk when taking the study intervention; or may interfere with the interpretation of data.</p>","","EligibilityCriterion_20","","EX08","EligibilityCriterion","4723dffd-bb4b-4fdd-8563-dac0d72015f1","8"
"<p>Previous treatment with ALXN1840 or other form of tetrathiomolybdate within 1 year prior to dosing.</p>","","EligibilityCriterion_21","","EX09","EligibilityCriterion","353e885b-d953-4374-b16e-7820edd15924","9"
"<p>Previous treatment with zinc within 21 days prior to Day 1.</p>","","EligibilityCriterion_22","","EX10","EligibilityCriterion","b181511c-b9fc-4512-994e-d80056601b73","10"
"<p>The use of an experimental or unapproved/unlicensed therapy at the same time or within 90 days or 5 half-lives, whichever is longer, prior to the Screening Visit.</p>","","EligibilityCriterion_23","","EX11","EligibilityCriterion","517b1f2c-4e53-4286-b6f9-0f8bd0765b83","11"
"<p>Participants in renal failure, defined as in end-stage renal disease on dialysis (chronic kidney disease [CKD] stage 5) or creatinine clearance &lt; 30 mL/min (Levey, 2006).</p>","","EligibilityCriterion_24","","EX12","EligibilityCriterion","4904a110-3ce6-46f0-a390-5f35d8968ba5","12"
"<p>Pregnant (or females who are planning to become pregnant) or breastfeeding females (women of childbearing potential must have a negative serum pregnancy test result at screening).</p>","","EligibilityCriterion_25","","EX13","EligibilityCriterion","5dbe721d-042a-4f87-869b-158dc4cbe27d","13"
"<p>Known sensitivity to ALXN1840, ALXN1840 excipients (anhydrous dicalcium phosphate, anhydrous sodium carbonate), or any of the ingredients contained in ALXN1840 or related compounds.</p>","","EligibilityCriterion_26","","EX14","EligibilityCriterion","47f5183b-77e5-4fe1-92f9-e693bd843f45","14"
"<p>In the opinion of the Investigator, the participant and/or their legal guardian is likely to be non-compliant or uncooperative during the study.</p>","","EligibilityCriterion_27","","EX15","EligibilityCriterion","8e2ff5e5-13ff-4e7e-85c3-3f135c37ae43","15"
"<p>History of illicit drug abuse, history of significant alcohol abuse within 1 year prior to the Screening Visit, or clinical evidence of substance and/or alcohol abuse within the 2 years before screening. Alcohol abuse is defined as regular weekly intake of more than 14 units (for both males and females), using the following National Health Service (NHS) alcohol tracker http://www.nhs.uk/Tools/Pages/drinks-tracker.aspx.</p>","","EligibilityCriterion_28","","EX16","EligibilityCriterion","752132da-0c5a-4da4-8254-9db51fcfd7fc","16"
"<p>Positive urine drug toxicology screen at Screening or on Day -8 (cannabinoids will not be tested).</p>","","EligibilityCriterion_29","","EX17","EligibilityCriterion","a5b23f96-1362-4aab-bcc7-cf70672c12cb","17"
"<p>Alcohol consumption within 48 hours prior to study intervention administration or positive alcohol breath test at screening or on Day -8.</p>","","EligibilityCriterion_30","","EX18","EligibilityCriterion","8f69220c-1289-4671-9510-02834c5e7d63","18"
"<p>Participants unwilling to consistently complete every meal and tolerate a controlled, limited menu for the duration of the study.</p>","","EligibilityCriterion_31","","EX19","EligibilityCriterion","27635792-0dc5-4c02-9f00-a8248f96a96f","19"
