"text","description","id","label","name","instanceType","uuid:ID"
"Samples for serum chemistry will be obtained following a fast of at least 8 hours at the Screening Visit and at check-in. In case of rechecks, and postdose serum chemistry, participants may not have fasted for 6 or 8 hours before the serum chemistry sample is taken.","","Condition_17","","COND17","Condition","7ccb4b40-00c4-4a87-a035-3b555b637a1f"
"Laboratory assessment including chemistry, hematology, and coagulation parameters should be performed on Days -8, -1, 8, 23, and 28 only.","","Condition_18","","COND18","Condition","fc8c14d1-fb18-4e49-83f4-acca3293c295"
"Menstruation check is for women only; women of childbearing potential should only be enrolled after a negative serum pregnancy test result at Screening. Additional urine pregnancy testing will be standard for the protocol unless serum testing is required by site policies, local regulation, or Institutional Review Boards (IRBs)/Independent Ethics Committees ( IECs) (Section 10.2). In addition to pregnancy tests detailed at the visits in the SoA, females of childbearing potential will be required to perform urine pregnancy tests at least every 4 weeks at their home or the study site throughout their time in the study.","","Condition_19","","COND19","Condition","914de8a5-5cd7-4252-86d3-d9b621a70c4d"
"A single 15 mL serum sample will be retained for evaluation in the event of an unexpected safety finding; retained samples may be destroyed after completion of the clinical study report.","","Condition_20","","COND20","Condition","839817bf-5014-497a-8284-753eac81f37f"
"Vital signs measurements and ECGs should be performed predose, unless otherwise specified. Vitals signs include body temperature, heart rate, respiratory rate, and systolic and diastolic blood pressure.","","Condition_21","","COND21","Condition","894b843f-6ae0-472b-9892-7bd8a93da6a1"
"Copper- and molybdenum-controlled diet will be initiated after registration/inclusion. Participants will remain on a copper/molybdenum controlled diet throughout both the inpatient Period 1 (Day -8 to Day 9) and inpatient Period 2 (Day 23 to Day 40); during this time participants will be strongly encouraged to complete all meals. While not in the CRU, participants will be encouraged to adhere to their usual copper-controlled diet.","","Condition_22","","COND22","Condition","f591a649-fd05-4000-a88b-e004ab7a54c7"
"For each input/output balance period, 24-hour urine samples are to be collected for measurement of copper and molybdenum.","","Condition_23","","COND23","Condition","d3537b8f-bf6f-490b-a534-7117aba1cbd9"
"For fecal samples, each individual sample will be independently collected with record of date, time, and weight of the sample.","","Condition_24","","COND24","Condition","830f3a3c-d8b4-4bd2-8df0-858f5013ee16"
"Time points are relative to dosing (0 hours).","","Condition_25","","COND25","Condition","55b3ba08-3b01-49a8-8d03-78eab31fc6f8"
"Hour 24 PK/PD sampling is to occur just prior to the next-day dose of ALXN1840.","","Condition_26","","COND26","Condition","de879b83-61c4-4dc8-9074-13f2c45b3265"
