"windowLower","value","description","id","label","valueLabel","windowLabel","name","instanceType","uuid:ID","windowUpper"
"","P25D","Timing for day 26","Timing_37","Day 26","25 Days","","TIM37","Timing","4f468989-bd4d-4492-b219-c2f2986cb800",""
"","P26D","Timing for day 27","Timing_38","Day 27","26 Days","","TIM38","Timing","202aff3d-b004-437f-b655-c9f71eb9de29",""
"","P27D","Timing for day 28","Timing_39","Day 28","27 Days","","TIM39","Timing","3c82db9d-a959-4d70-96f6-bf923cb937c2",""
"","P28D","Timing for day 29","Timing_40","Day 29","28 Days","","TIM40","Timing","b936900d-6ade-4675-88d9-4c782ebf4c78",""
"","P29D","Timing for day 30","Timing_41","Day 30","29 Days","","TIM41","Timing","01433aca-6812-431c-9fbb-6ed8d83f3d28",""
"","P30D","Timing for day 31","Timing_42","Day 31","30 Days","","TIM42","Timing","c1907b91-35c3-489e-af67-b977d5867995",""
"","P31D","Timing for day 32","Timing_43","Day 32","31 Days","","TIM43","Timing","a6889d08-bb86-4273-92c1-107c550c5cf5",""
"","P32D","Timing for day 33","Timing_44","Day 33","32 Days","","TIM44","Timing","feb6a343-4ab5-4182-a9a1-15df0b2756f9",""
"","P33D","Timing for day 34","Timing_45","Day 34","33 Days","","TIM45","Timing","6981fd04-9de8-4f6c-9e0b-74dc68af5688",""
"","P34D","Timing for day 35","Timing_46","Day 35","34 Days","","TIM46","Timing","1160e198-2708-44a9-89b8-57c5de9ccece",""
"","P35D","Timing for day 36","Timing_47","Day 36","35 Days","","TIM47","Timing","b080d6a7-83a0-4362-8567-3660dffefdf7",""
"","P36D","Timing for day 37","Timing_48","Day 37","36 Days","","TIM48","Timing","6347a3ce-7ee0-41f6-a4d2-bf7470c407ef",""
"","P37D","Timing for day 38","Timing_49","Day 38","37 Days","","TIM49","Timing","c771f49e-5daa-4695-b2f7-400a1117a3de",""
"","P38D","Timing for day 39","Timing_50","Day 39","38 Days","","TIM50","Timing","3b807108-31c4-49bb-932f-f6ea2cfe4f6a",""
"","P39D","Timing for day 40","Timing_51","Day 40","39 Days","","TIM51","Timing","7cd9e282-6a31-4f82-b9d5-5491987bbbbb",""
"P2D","P53D","Timing for End of Study","Timing_52","End of Study","53 Days","2..2 Days","TIM52","Timing","f7534078-9005-4b89-b293-4975e1670c34","P2D"
"","PT0M","Adverse event anchor","Timing_64","Adverse event","0 minutes","","TIM64","Timing","00608f9d-7684-4341-af56-1f7667c3dba8",""
"","PT0M","Early termination anchor","Timing_65","Early termination","0 minutes","","TIM65","Timing","cf26a5b7-e4cc-415c-b026-9950f7af7bbd",""
"","PT30M","PK/PD Profile -30 minutes","Timing_53","-30 minutes","30 minutes","3..3 minutes","TIM53","Timing","9a27a39b-1b58-42fc-b132-9c6363a3e3b0",""
"","PT0M","PK/PD Profile Start","Timing_54","Start","0 minutes","","TIM54","Timing","ca75aeb3-4f75-4d9e-b12d-f37e39e88a72",""
"","PT1H","PK/PD Profile 1 hours","Timing_55","1 hours","1 Hours","","TIM55","Timing","4559ecdf-feb3-42f6-a3e6-494387ba9650",""
"","PT2H","PK/PD Profile 2 hours","Timing_56","2 hours","2 Hours","","TIM56","Timing","d3ea1668-0f74-4156-a8d7-c736f4bdbba2",""
"","PT3H","PK/PD Profile 3 hours","Timing_57","3 hours","3 Hours","","TIM57","Timing","080ebe86-ae5f-4987-9ac3-55932110afc7",""
"","PT4H","PK/PD Profile 4 hours","Timing_58","4 hours","4 Hours","","TIM58","Timing","8adc666c-05e7-4e44-9533-14b5ce6e31a7",""
"","PT5H","PK/PD Profile 5 hours","Timing_59","5 hours","5 Hours","","TIM59","Timing","55e56586-af48-4b90-b2dd-a376e2e32897",""
"","PT6H","PK/PD Profile 6 hours","Timing_60","6 hours","6 Hours","","TIM60","Timing","2f5130b0-c36f-4ac8-a01b-7c1df1064c92",""
"","PT8H","PK/PD Profile 8 hours","Timing_61","8 hours","8 Hours","","TIM61","Timing","7dc31c3b-fd6b-4beb-9231-a08d3f9a6b12",""
"","PT12H","PK/PD Profile 12 hours","Timing_62","12 hours","12 Hours","","TIM62","Timing","208dc3fc-2914-4e6d-b309-30e9041bd18a",""
"","PT24H","PK/PD Profile 24 hours","Timing_63","24 hours","24 Hours","","TIM63","Timing","fd824598-beb9-47dc-9ffc-58a74fc3fe8b",""
"","PT0M","Unscheduled timing","Timing_66","Unscheduled","0 minutes","","TIM66","Timing","3428035a-a13f-4d49-b3a3-f936f0f58621",""
