"reference","id","label","name","instanceType","uuid:ID","synonyms"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/PHOSSERPL","BiomedicalConcept_23","Phosphate Concentration in Serum or Plasma","Phosphate Concentration in Serum or Plasma","BiomedicalConcept","ccede64e-061a-4654-bb8d-92575cbaf80b","['Phosphorus', 'Phosphate', 'Phosphate Measurement']"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/URATESERPL","BiomedicalConcept_24","Urate Concentration in Serum or Plasma","Urate Concentration in Serum or Plasma","BiomedicalConcept","a9eea25f-1ead-480c-a31a-62a4f202e8f3","['Urate', 'Uric Acid', 'Urate Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept_25","Albumin Presence in Urine","Albumin Presence in Urine","BiomedicalConcept","e193ddfe-8ebe-461e-b042-f9248492d0e2","['Albumin', 'Albumin Measurement']"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept_26","Creatinine Concentration in Urine","Creatinine Concentration in Urine","BiomedicalConcept","57978193-e5bf-4cf4-9ddc-d3557c310565","['Creatinine', 'Creatinine Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SPGRAVURIN","BiomedicalConcept_27","Specific Gravity in Urine","Specific Gravity in Urine","BiomedicalConcept","08c3602c-f461-4acc-a6fa-12f41677156c","['SPGRAV', 'Specific Gravity']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/PHURIN","BiomedicalConcept_28","pH concentration in Urine","pH concentration in Urine","BiomedicalConcept","94cdc412-1509-42b8-9e7d-2afe89341937","['PH', 'potential of Hydrogen', 'pH']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/PROTURINPRES","BiomedicalConcept_29","Protein Presence in Urine","Protein Presence in Urine","BiomedicalConcept","419ff0bd-519e-4916-a244-21fa9470830d","['Protein', 'Total Protein Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/GLUCURINPRES","BiomedicalConcept_30","Glucose Presence in Urine","Glucose Presence in Urine","BiomedicalConcept","7b055554-208c-4515-ba92-42f8014a0d6d","['Glucose', 'Glucose Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/KETONESURINPRES","BiomedicalConcept_31","Ketone Presence in Urine","Ketone Presence in Urine","BiomedicalConcept","1fc2137e-620b-420b-8c56-b00290adc6c3","['Ketones', 'Ketone Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/BILIURINPRES","BiomedicalConcept_32","Bilirubin Presence in Urine","Bilirubin Presence in Urine","BiomedicalConcept","9dba0ed2-67ec-49be-8364-6153434642ce","['Bilirubin', 'Total Bilirubin Level', 'Total Bilirubin Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/UROBILURIN","BiomedicalConcept_33","Urobilinogen Concentration in Urine","Urobilinogen Concentration in Urine","BiomedicalConcept","ebb3c403-51eb-4039-a53b-bffd70a489ea","['Urobilinogen', 'UROBIL', 'Urobilinogen Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/UROBILURINPRES","BiomedicalConcept_34","Urobilinogen Presence in Urine","Urobilinogen Presence in Urine","BiomedicalConcept","4dcbc1f6-f6ca-4a4e-9e12-98a72107dccb","['NITRITE', 'Nitrite Measurement']"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept_35","Hemoglobin A1C Concentration in Blood","Hemoglobin A1C Concentration in Blood","BiomedicalConcept","d6aad66e-ec1e-4888-8c14-e30a6823b3ab","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept_1","Weight","Weight","BiomedicalConcept","a258b248-ab25-43e7-8427-4761dfd89a9a","['Weight', 'Body Weight']"
