"text","description","id","label","name","instanceType","uuid:ID","identifier"
"<p>have previously completed or withdrawn from this study or any other study investigating LY900018, and have previously received LY900018</p>","Same product critierion","EligibilityCriterion_15","","EXC15","EligibilityCriterion","b7a0b7a1-fd80-4ed7-b709-59a56f00575d","15"
"<p>have known allergies or sensitivity to LY900018, glucagon, related compounds, or any components of the formulation, or history of significant atopy</p>","Sensititivity criterion","EligibilityCriterion_16","","EXC16","EligibilityCriterion","5b59fd6c-4bc2-4146-b723-441a3740754a","16"
"<p>have an abnormality in the 12-lead ECG that, in the opinion of the investigator, increases the risks associated with participating in the study</p>","ECG abnormaility criterion","EligibilityCriterion_17","","EXC17","EligibilityCriterion","5a9efad8-18b8-4ead-8a94-e549362d46c8","17"
"<p>any significant changes in insulin regimen and/or unstable blood glucose control within the past 3 months prior to screening as assessed by the investigator</p>","","EligibilityCriterion_18","","EXC18","EligibilityCriterion","42a0688f-6fef-44e1-bb85-ffd60848ddf3","18"
"<p>have received a total daily dose of insulin &gt;1.2 U/kg at the time of screening</p>","","EligibilityCriterion_19","","EXC19","EligibilityCriterion","b84dd1b2-daf6-431e-b255-e885ae02f8fe","19"
"<p>have poorly controlled hypertension (ie, supine systolic BP &gt;165 mm Hg or supine diastolic BP &gt;95 mm Hg) at screening, or a change in antihypertensive medications within 30 days prior to screening</p>","","EligibilityCriterion_20","","EXC20","EligibilityCriterion","09d6d690-bcfb-4dd2-8db1-20e3ca4fa788","20"
"<p>have a history of pheochromocytoma (ie, adrenal gland tumor) or insulinoma</p>","","EligibilityCriterion_21","","EXC21","EligibilityCriterion","f479ebcc-2ff3-4cdd-9b5a-d5c22c53bc79","21"
"<p>have a history of an episode of severe hypoglycemia (as defined by an episode that required third party assistance for treatment) in the 1 month prior to screening or have a history of loss of consciousness within the last 2 years induced other than by hypoglycemia</p>","","EligibilityCriterion_22","","EXC22","EligibilityCriterion","e9fbcdfd-c82b-4f3e-8dc7-f7090ab84ad8","22"
"<p>have a history of epilepsy or seizure disorder</p>","Epilepsy criterion","EligibilityCriterion_23","","EXC23","EligibilityCriterion","4c7cec4e-e1ec-46c7-8c19-464fb1f2592c","23"
"<p>have a history or presence of cardiovascular, respiratory, hepatic, renal, gastrointestinal, endocrine (apart from T1DM or T2DM), hematological, or neurological disorders capable of significantly altering the absorption, metabolism, or elimination of drugs; of constituting a risk when taking the investigational product; or of interfering with the interpretation of data</p>","Medical conditions criterion","EligibilityCriterion_24","","EXC24","EligibilityCriterion","34e42f5b-a4b7-44d5-8102-31dee195f151","24"
"<p>have known or ongoing psychiatric disorders that, in the opinion of the investigator, may preclude the patient from following and completing the protocol</p>","Physciatric criterion","EligibilityCriterion_25","","EXC25","EligibilityCriterion","4800f7cb-da48-4324-b7f8-2ac8dbb587d1","25"
"<p>regularly use known drugs of abuse and/or show positive findings on urinary drug screening</p>","Drug abuse criterion","EligibilityCriterion_26","","EXC26","EligibilityCriterion","e3ffe4bc-09e9-4d47-9211-bdbf9d16c56c","26"
"<p>show evidence of human immunodeficiency virus (HIV) infection and/or positive HIV antibodies and/or antigen</p>","HIV criterion","EligibilityCriterion_27","","EXC27","EligibilityCriterion","3e5b305c-b2b1-4661-9d82-fddd4e4b9c3b","27"
"<p>show evidence of hepatitis C and/or positive hepatitis C antibody</p>","Hep C criterion","EligibilityCriterion_28","","EXC28","EligibilityCriterion","86477fe5-70d0-4598-8809-d9387b91119c","28"
"<p>show evidence of hepatitis B and/or positive hepatitis B surface antigen</p>","Hep B criterion","EligibilityCriterion_29","","EXC29","EligibilityCriterion","84e4abc6-dfff-4fa2-b4d6-f13b0d19928c","29"
"<p>show evidence of syphilis and/or are positive for syphilis test</p>","Syphillia criterion","EligibilityCriterion_30","","EXC30","EligibilityCriterion","29a166ac-5372-4175-bca3-d38824215726","30"
"<p>are women who are lactating</p>","","EligibilityCriterion_31","","EXC31","EligibilityCriterion","c034b7e9-6f46-4f6e-9664-b00923cd6621","31"
"<p>use of daily systemic beta-blocker, indomethacin, warfarin, anticholinergic drugs</p>","","EligibilityCriterion_32","","EXC32","EligibilityCriterion","18ad4b9a-6222-47f4-a55d-883921f3e632","32"
"<p>have donated 400 mL or more blood in the last 12 weeks (males) or in the last 16 weeks (females), or any blood donation (including apheresis) within the last 4 weeks, or total volume of blood donation within 12 months is 1200 mL (males)/800 mL (females) or more at screening</p>","Blood donation criterion","EligibilityCriterion_33","","EXC33","EligibilityCriterion","ac5f65fe-b860-48bf-bdee-752180ded27e","33"
"<p>have an average weekly alcohol intake that exceeds 21 units per week (males up to age 65) and 14 units per week (males over 65 and females), or are unwilling to stop alcohol consumption from Day -2 to discharge from CRU in each period (1 unit = 12 oz or 360 mL of beer; 5 oz or 150 mL of wine; 1.5 oz or 45 mL of distilled spirits)</p>","Alcohol critierion","EligibilityCriterion_34","","EXC34","EligibilityCriterion","44ef1acb-fc70-445e-b262-42622a623187","34"
"<p>in the opinion of the investigator or sponsor, are unsuitable for inclusion in the study</p>","Unsuitable criterion","EligibilityCriterion_35","","EXC35","EligibilityCriterion","53cf53f4-6808-4a9c-a712-96eb4e808bdb","35"
"<p>have pre-proliferative and proliferative retinopathy or maculopathy requiring treatment or not clinically stable in the last 6 months, or patients with active changes in subjective eye symptoms as determined by the investigator if an eye exam has not been performed in the last 6 months. Note: If an eye examination has been performed no more than 6 months before screening, it will not have to be repeated; however, the investigator will need to confirm via interview that there is no change in subjective symptoms.</p>","","EligibilityCriterion_36","","EXC36","EligibilityCriterion","c1dfffb8-36c9-4a6f-9708-40d4dcaee906","36"
