"instanceType","uuid:ID","id","reference","synonyms","name","label"
"BiomedicalConcept","1ac3dcfd-5411-410d-8732-ddf117f40743","BiomedicalConcept_6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","Body Height","Body Height"
"BiomedicalConcept","08c79411-fe3c-40ce-8844-44ead8ce239e","BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement"
"BiomedicalConcept","86f43cca-2c4d-404d-be78-f6f6bdfbf54e","BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","Albumin Measurement","Albumin Measurement"
"BiomedicalConcept","bbd3219e-fa7c-432f-8ff5-ffefe81aa736","BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement"
"BiomedicalConcept","8c5f85db-b83e-4bd7-9eae-4d4c74686c75","BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement"
"BiomedicalConcept","f82f0d9d-ac37-468f-b5b5-4b205d9a77a2","BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","Creatinine Measurement","Creatinine Measurement"
"BiomedicalConcept","05efb59c-811c-4729-b39c-d499dad8b09f","BiomedicalConcept_12","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","Potassium Measurement","Potassium Measurement"
"BiomedicalConcept","55049570-24ac-4db5-9daf-383ee591bd9e","BiomedicalConcept_13","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","Sodium Measurement","Sodium Measurement"
"BiomedicalConcept","d816d657-31ea-4348-a480-b5dbafabe6bb","BiomedicalConcept_14","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","Systolic Blood Pressure","Systolic Blood Pressure"
"BiomedicalConcept","645cbca0-31b7-4fbf-97f1-549cdecd47a3","BiomedicalConcept_15","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","Diastolic Blood Pressure","Diastolic Blood Pressure"
"BiomedicalConcept","c5389f9f-87ee-4b70-95f1-53c8e8dffdea","BiomedicalConcept_16","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","","Heart Rate","Heart Rate"
"BiomedicalConcept","3ab917a3-bcc3-437b-98e5-816c6d026e7c","BiomedicalConcept_17","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","Systolic Blood Pressure","Systolic Blood Pressure"
"BiomedicalConcept","0a42d1d5-cae2-4d1d-987b-c2dfb9266e0a","BiomedicalConcept_18","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","Diastolic Blood Pressure","Diastolic Blood Pressure"
"BiomedicalConcept","fc0c00df-70a9-4af4-8ff4-91db8bc7aa5a","BiomedicalConcept_19","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","","Heart Rate","Heart Rate"
