"instanceType","label","uuid:ID","reference","synonyms","id","name"
"BiomedicalConcept","Hemoglobin A1C Concentration in Blood","b447b180-db2d-4379-8d98-88e9b2594710","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept_33","Hemoglobin A1C Concentration in Blood"
"BiomedicalConcept","Adverse Event Prespecified","8a691928-373e-4229-8213-d68c84a5d3ec","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept_1","Adverse Event Prespecified"
"BiomedicalConcept","Systolic Blood Pressure","bdb8a535-f0a6-4771-9cf4-d1ec2d4e8a82","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_2","Systolic Blood Pressure"
"BiomedicalConcept","Diastolic Blood Pressure","edfd89b6-394d-4b23-9297-e5c10aab2311","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_3","Diastolic Blood Pressure"
"BiomedicalConcept","Temperature","0e5c58f1-d58b-4978-9917-2a790ee0b8d0","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","BiomedicalConcept_4","Temperature"
"BiomedicalConcept","Weight","854fd8d7-fda9-42ef-a566-38725bef7a70","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","BiomedicalConcept_5","Weight"
"BiomedicalConcept","Height","567236de-c1b3-486d-b727-a09dc9720f1e","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","BiomedicalConcept_6","Height"
"BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","66db9ab7-f4a1-41e7-b3e9-2f5672a53c4c","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma"
"BiomedicalConcept","Albumin Presence in Urine","c0e50c79-44e9-4a71-b28c-cc50aded39f4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","BiomedicalConcept_8","Albumin Presence in Urine"
"BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","6f79df41-1899-41b7-8bc7-1c53c51b7d44","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma"
"BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","139420fe-8a76-41a9-bfcc-989f245b44dd","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma"
"BiomedicalConcept","Creatinine Concentration in Urine","88589c7b-4e0f-4d7f-9cc1-db92ded7a169","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_11","Creatinine Concentration in Urine"
"BiomedicalConcept","Potassium Concentration in Urine","d374a383-1565-4474-a308-81d88ca1eba0","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_12","Potassium Concentration in Urine"
"BiomedicalConcept","Sodium Concentration in Urine","e29d9739-0080-463d-8766-9d5e354d706b","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_13","Sodium Concentration in Urine"
"BiomedicalConcept","Systolic Blood Pressure","3f990205-d570-46fc-a712-6cef42cdeec4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_14","Systolic Blood Pressure"
"BiomedicalConcept","Diastolic Blood Pressure","6df0c052-d243-4e93-b985-92b4be28373e","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_15","Diastolic Blood Pressure"
"BiomedicalConcept","Heart Rate","090ca62e-8124-4f62-826e-92dc901804e2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","BiomedicalConcept_16","Heart Rate"
"BiomedicalConcept","Systolic Blood Pressure","59b1ac15-2cd2-4ccc-a571-12398f7c510d","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_17","Systolic Blood Pressure"
"BiomedicalConcept","Diastolic Blood Pressure","ca8867e1-7cdd-4640-8680-b39ec5f2a20f","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_18","Diastolic Blood Pressure"
"BiomedicalConcept","Heart Rate","669690c3-6055-437e-b901-90b7992b86b9","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","BiomedicalConcept_19","Heart Rate"
