"label","synonyms","instanceType","id","uuid:ID","reference","name"
"Chloride Concentration in Serum/Plasma","['Chloride', 'CL', 'Chloride Measurement']","BiomedicalConcept","BiomedicalConcept_21","bb7a145b-b999-414b-93de-d66b6d15f307","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/CLSERPL","Chloride Concentration in Serum/Plasma"
"Calcium Concentration in Serum or Plasma","['Calcium', 'CA', 'Calcium Measurement']","BiomedicalConcept","BiomedicalConcept_22","cfdb58de-d012-4c34-aec2-1fff9f927dec","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CASERPL","Calcium Concentration in Serum or Plasma"
"Phosphate Concentration in Serum or Plasma","['Phosphorus', 'Phosphate', 'Phosphate Measurement']","BiomedicalConcept","BiomedicalConcept_23","2d793922-cbbb-42bd-803d-e7f379f0df17","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/PHOSSERPL","Phosphate Concentration in Serum or Plasma"
"Urate Concentration in Serum or Plasma","['Urate', 'Uric Acid', 'Urate Measurement']","BiomedicalConcept","BiomedicalConcept_24","1b81a9fe-32ae-4a38-be30-c274ada006b5","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/URATESERPL","Urate Concentration in Serum or Plasma"
"Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","BiomedicalConcept","BiomedicalConcept_25","4c76d76b-a351-430b-8a3a-d7a210b2e934","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine"
"Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept","BiomedicalConcept_26","360da9a8-702a-409e-a119-9a900a861baf","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine"
"Specific Gravity in Urine","['SPGRAV', 'Specific Gravity']","BiomedicalConcept","BiomedicalConcept_27","8976432c-d795-4945-95be-8c2b32e3c8be","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SPGRAVURIN","Specific Gravity in Urine"
"pH concentration in Urine","['PH', 'potential of Hydrogen', 'pH']","BiomedicalConcept","BiomedicalConcept_28","b005779a-df81-43eb-afa6-a71ddaccc404","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/PHURIN","pH concentration in Urine"
"Protein Presence in Urine","['Protein', 'Total Protein Measurement']","BiomedicalConcept","BiomedicalConcept_29","ad6e7b4a-fd03-43a3-ae63-c06b774fefd5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/PROTURINPRES","Protein Presence in Urine"
"Glucose Presence in Urine","['Glucose', 'Glucose Measurement']","BiomedicalConcept","BiomedicalConcept_30","98f3b9e8-2ef3-40e3-b5a9-539972644fc9","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/GLUCURINPRES","Glucose Presence in Urine"
"Ketone Presence in Urine","['Ketones', 'Ketone Measurement']","BiomedicalConcept","BiomedicalConcept_31","61628bf7-d49e-45a7-8708-bc3dcddd454b","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/KETONESURINPRES","Ketone Presence in Urine"
"Bilirubin Presence in Urine","['Bilirubin', 'Total Bilirubin Level', 'Total Bilirubin Measurement']","BiomedicalConcept","BiomedicalConcept_32","f75c54b5-a673-493a-b666-b4a106b78e29","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/BILIURINPRES","Bilirubin Presence in Urine"
"Urobilinogen Concentration in Urine","['Urobilinogen', 'UROBIL', 'Urobilinogen Measurement']","BiomedicalConcept","BiomedicalConcept_33","d85cd366-1223-4875-8469-8d90ba011e2f","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/UROBILURIN","Urobilinogen Concentration in Urine"
"Urobilinogen Presence in Urine","['NITRITE', 'Nitrite Measurement']","BiomedicalConcept","BiomedicalConcept_34","fd74eab0-350e-4193-a5de-61b5ef1823f1","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/UROBILURINPRES","Urobilinogen Presence in Urine"
"Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept","BiomedicalConcept_35","8c76d3ee-1c9a-4cea-a088-76584d0a1d09","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","Hemoglobin A1C Concentration in Blood"
"Weight","['Weight', 'Body Weight']","BiomedicalConcept","BiomedicalConcept_1","fb1dd93f-9c64-4862-a443-3cc5458945ee","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight"
