"id","name","synonyms","label","reference","uuid:ID","instanceType"
"BiomedicalConcept_30","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","f7171be2-a4de-4a47-a5f6-3ee174022fed","BiomedicalConcept"
"BiomedicalConcept_31","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","4e2b9c64-3e06-433a-8552-84284615f35a","BiomedicalConcept"
"BiomedicalConcept_32","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","a3f910d4-2867-434c-86db-9642f2ba8d9d","BiomedicalConcept"
"BiomedicalConcept_33","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","96f881db-c678-469f-b41d-6fe0cdea2238","BiomedicalConcept"
"BiomedicalConcept_1","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","98857c7e-98da-4105-b6d8-d31d3685eaf6","BiomedicalConcept"
"BiomedicalConcept_2","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","94ea9560-eefb-41a1-b97a-6ef9d0edadf9","BiomedicalConcept"
"BiomedicalConcept_3","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","9d58e145-37c6-481c-b615-e2e0b5154a6d","BiomedicalConcept"
"BiomedicalConcept_4","Temperature","['Temperature', 'Body Temperature']","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","2305478b-e75d-4812-b689-91e06bb1f7bd","BiomedicalConcept"
"BiomedicalConcept_5","Weight","['Weight', 'Body Weight']","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","b87abbe6-02ec-40ad-b76f-d8aed9a45af6","BiomedicalConcept"
"BiomedicalConcept_6","Height","['Height', 'Body Height']","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","7068ac6d-6eaf-4f36-9778-4087316369a3","BiomedicalConcept"
"BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","b25a4ede-256f-40c9-b8b0-ebee0591fdea","BiomedicalConcept"
"BiomedicalConcept_8","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","4e031c2c-b969-4dbf-b19e-dbad10f95442","BiomedicalConcept"
"BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","c12d4f83-9bc8-4cb1-9328-d8afab3dacaf","BiomedicalConcept"
"BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","84943f33-62ae-4b1c-9d55-84d1471af79d","BiomedicalConcept"
"BiomedicalConcept_11","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","7b8b5a1a-7e7f-4333-808b-5c429e625a43","BiomedicalConcept"
"BiomedicalConcept_12","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","16bac64c-c359-4310-a095-b98d3857ee24","BiomedicalConcept"
"BiomedicalConcept_13","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","806dc14d-7aae-4b44-9b79-1273d09e8e7f","BiomedicalConcept"
"BiomedicalConcept_14","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","88df5e25-3e7d-42d3-a7a7-1be7fd788f58","BiomedicalConcept"
"BiomedicalConcept_15","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","7eab34b2-d7ed-4b76-899b-d33523b0dc2a","BiomedicalConcept"
"BiomedicalConcept_16","Heart Rate","['Heart Rate']","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","4a5b8f5d-d243-458d-b151-4d29d3a25ed6","BiomedicalConcept"
"BiomedicalConcept_17","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","4dd32ab7-eb2f-480d-9192-3dafd9b5fb87","BiomedicalConcept"
"BiomedicalConcept_18","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","1626dfcc-06cc-4719-b449-7d68a8e6b417","BiomedicalConcept"
"BiomedicalConcept_19","Heart Rate","['Heart Rate']","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","db722ac9-cab0-4b43-a09d-325b26f3a306","BiomedicalConcept"
