"label","isEnabled","isRequired","uuid:ID","name","datatype","id","instanceType"
"Laboratory Test Fasting Status","True","True","5e1cdfbd-729e-4a95-ad8e-2e0e84f0d6bd","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_115","BiomedicalConceptProperty"
"Unit of Concentration","True","True","c94d24ec-06bb-4828-adaa-cde9936ff4e5","Unit of Concentration","string","BiomedicalConceptProperty_116","BiomedicalConceptProperty"
"Biospecimen Type","True","True","a13da38e-8d9c-47e7-ad10-ccc2f007866c","Biospecimen Type","string","BiomedicalConceptProperty_117","BiomedicalConceptProperty"
"Laboratory Test Result","True","True","bcbaec3c-f907-4bdb-9e9b-9c2b23ad1faf","Laboratory Test Result","decimal","BiomedicalConceptProperty_118","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","True","4b909499-3ed3-420c-ada0-59cc8f09e8e8","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_119","BiomedicalConceptProperty"
"Molarity Unit","True","True","5ffb90a5-49f2-4e06-8d39-8c604541aa3c","Molarity Unit","string","BiomedicalConceptProperty_120","BiomedicalConceptProperty"
"Biospecimen Type","True","True","a54cb346-bc58-4bcd-afb6-00ede25f8c7a","Biospecimen Type","string","BiomedicalConceptProperty_121","BiomedicalConceptProperty"
"Laboratory Test Result","True","True","75839433-f249-4a1f-bcff-8b242f9560af","Laboratory Test Result","decimal","BiomedicalConceptProperty_122","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","True","4772589e-2310-4570-91a4-f1334c94813f","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_123","BiomedicalConceptProperty"
"Molarity Unit","True","True","0cfd0738-1414-4b5d-998c-386cbc3e60b6","Molarity Unit","string","BiomedicalConceptProperty_124","BiomedicalConceptProperty"
"Biospecimen Type","True","True","33fc946f-51a9-48a1-82d0-d8816fea0344","Biospecimen Type","string","BiomedicalConceptProperty_125","BiomedicalConceptProperty"
"Reported Event Term","True","True","4652ed15-8a55-4a46-a0f1-797132747e58","Reported Event Term","string","BiomedicalConceptProperty_1","BiomedicalConceptProperty"
"Dictionary-derived Term","True","True","5f35b9c4-a79e-4f37-b352-fa773d18aa0a","Dictionary-derived Term","string","BiomedicalConceptProperty_2","BiomedicalConceptProperty"
"Category","True","True","b8bb1e5d-ed21-4380-a82c-a38c68f341ff","Category","string","BiomedicalConceptProperty_3","BiomedicalConceptProperty"
"Subcategory","True","True","9903eaf7-1af0-42bf-ab7d-be167583cfbf","Subcategory","string","BiomedicalConceptProperty_4","BiomedicalConceptProperty"
"Observation Start Date Time","True","True","84156ada-a192-4cd8-81ff-84f699678ea5","Observation Start Date Time","datetime","BiomedicalConceptProperty_5","BiomedicalConceptProperty"
"Clinical Test Result","True","True","5056c0db-2492-4904-b47d-6e1b317f2e57","Clinical Test Result","decimal","BiomedicalConceptProperty_6","BiomedicalConceptProperty"
"Unit of Pressure","True","True","4ffebef1-8d7c-4682-a5aa-7860dfc09015","Unit of Pressure","string","BiomedicalConceptProperty_7","BiomedicalConceptProperty"
"Anatomic Site","True","True","483025e4-56ed-49d8-8717-59cba0fe597d","Anatomic Site","string","BiomedicalConceptProperty_8","BiomedicalConceptProperty"
"Laterality","True","True","4aef0552-dc5e-45f0-b16e-39faf32db9b3","Laterality","string","BiomedicalConceptProperty_9","BiomedicalConceptProperty"
"Test Method","True","True","c58ecbd9-b6e2-4e79-91cc-ec338b6ae8e6","Test Method","string","BiomedicalConceptProperty_10","BiomedicalConceptProperty"
"Body Position","True","True","eb7c3b7d-e797-4958-802f-336f4e9c0f44","Body Position","string","BiomedicalConceptProperty_11","BiomedicalConceptProperty"
"Clinical Test Result","True","True","28447aee-bd55-42b2-8b70-06e3f53f4b4e","Clinical Test Result","decimal","BiomedicalConceptProperty_12","BiomedicalConceptProperty"
"Unit of Pressure","True","True","64c5ffd5-5a35-4f53-a74e-d829e443f54c","Unit of Pressure","string","BiomedicalConceptProperty_13","BiomedicalConceptProperty"
"Anatomic Site","True","True","e7253ee5-fc81-47d4-8640-905ea2235274","Anatomic Site","string","BiomedicalConceptProperty_14","BiomedicalConceptProperty"
"Laterality","True","True","faa4289a-7f0b-490f-bf36-9aafbe933bb5","Laterality","string","BiomedicalConceptProperty_15","BiomedicalConceptProperty"
"Test Method","True","True","9dc8ec80-deb3-4ee9-a925-a502621a428f","Test Method","string","BiomedicalConceptProperty_16","BiomedicalConceptProperty"
"Body Position","True","True","56fc0c02-c0f1-40d6-a4a6-3966627d4baa","Body Position","string","BiomedicalConceptProperty_17","BiomedicalConceptProperty"
"Clinical Test Result","True","True","31570b82-29ae-4f4b-9eff-6d9dc5c0f440","Clinical Test Result","decimal","BiomedicalConceptProperty_18","BiomedicalConceptProperty"
"Unit of Temperature","True","True","43338c7b-67fc-4704-894a-8297a9db56ed","Unit of Temperature","string","BiomedicalConceptProperty_19","BiomedicalConceptProperty"
"Anatomic Site","True","True","184ce0ef-6966-463a-bae9-645735aff545","Anatomic Site","string","BiomedicalConceptProperty_20","BiomedicalConceptProperty"
"Clinical Test Result","True","True","998aeba9-b34b-430c-9978-1ef1b91a8f34","Clinical Test Result","decimal","BiomedicalConceptProperty_21","BiomedicalConceptProperty"
"Unit of Weight","True","True","66feeb12-45fd-49f8-baa4-e1f5dc6fe84c","Unit of Weight","string","BiomedicalConceptProperty_22","BiomedicalConceptProperty"
"Clinical Test Result","True","True","26d5d410-9362-4793-9c72-4212afd6f576","Clinical Test Result","decimal","BiomedicalConceptProperty_23","BiomedicalConceptProperty"
"Unit of Height","True","True","8b1858aa-a0a3-484a-91b6-41c27a4c6877","Unit of Height","string","BiomedicalConceptProperty_24","BiomedicalConceptProperty"
"Laboratory Test Result","True","True","f3ac3e9b-fde3-4455-8e9d-e9cb0061e9a3","Laboratory Test Result","decimal","BiomedicalConceptProperty_25","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","True","e3a3077b-b36d-42df-8462-04c57726a6fa","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_26","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","True","True","2a0fe1ee-2493-494d-903a-5b7ed561fd29","Unit of Catalytic Activity Concentration","string","BiomedicalConceptProperty_27","BiomedicalConceptProperty"
"Biospecimen Type","True","True","dbe19b42-734e-4dde-9321-941496c294d1","Biospecimen Type","string","BiomedicalConceptProperty_28","BiomedicalConceptProperty"
"Laboratory Test Result","True","True","07a6912a-e442-4fc8-b918-c27711b1504e","Laboratory Test Result","string","BiomedicalConceptProperty_29","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","True","5012a91c-48c9-463c-a5cb-5408114df119","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_30","BiomedicalConceptProperty"
"Unit of Concentration","True","True","effce05c-6664-4ee6-a177-5f52563ef999","Unit of Concentration","string","BiomedicalConceptProperty_31","BiomedicalConceptProperty"
"Biospecimen Type","True","True","8137b939-10b3-4636-abf5-62202bdac601","Biospecimen Type","string","BiomedicalConceptProperty_32","BiomedicalConceptProperty"
"Laboratory Test Result","True","True","e4088de1-2886-4c5f-ad17-d0ca07e643d3","Laboratory Test Result","decimal","BiomedicalConceptProperty_33","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","True","33a201f1-cd1e-4db8-a0df-d5442e22ea7c","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_34","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","True","True","00b8bb8e-de32-4c98-8978-c94d009c5a9a","Unit of Catalytic Activity Concentration","string","BiomedicalConceptProperty_35","BiomedicalConceptProperty"
"Biospecimen Type","True","True","b9e03cfa-d9e2-442e-8b2e-a2e6abd81c4b","Biospecimen Type","string","BiomedicalConceptProperty_36","BiomedicalConceptProperty"
"Laboratory Test Result","True","True","1584ec15-c8e4-4b9b-9b3b-3cac2210c5e0","Laboratory Test Result","decimal","BiomedicalConceptProperty_37","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","True","1dbd5062-e9b7-430a-86b2-61c8230d916b","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_38","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","True","True","b8e88cf0-384f-4a2b-9ac8-13851221a085","Unit of Catalytic Activity Concentration","string","BiomedicalConceptProperty_39","BiomedicalConceptProperty"
"Biospecimen Type","True","True","f73cb465-11f6-4006-9c79-0eb8997d8b21","Biospecimen Type","string","BiomedicalConceptProperty_40","BiomedicalConceptProperty"
"Laboratory Test Result","True","True","c6480b26-e639-4e56-9e39-9f9ee3f3526e","Laboratory Test Result","string","BiomedicalConceptProperty_41","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","True","838b3487-34e5-4dbb-a842-3cc46b19ab66","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_42","BiomedicalConceptProperty"
"Unit of Concentration","True","True","df81ba54-8693-47b3-b2c3-e032a59a408c","Unit of Concentration","string","BiomedicalConceptProperty_43","BiomedicalConceptProperty"
"Biospecimen Type","True","True","707587cc-6867-420c-901e-95106072ee6a","Biospecimen Type","string","BiomedicalConceptProperty_44","BiomedicalConceptProperty"
"Laboratory Test Result","True","True","9a504f6d-068f-403a-a6e9-be13caba2c79","Laboratory Test Result","decimal","BiomedicalConceptProperty_45","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","True","2a286325-0cb3-46a4-9bba-ae4bf0eac86d","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_46","BiomedicalConceptProperty"
"Molarity Unit","True","True","55e37c4c-5f36-46a5-94f3-6d257a32513d","Molarity Unit","string","BiomedicalConceptProperty_47","BiomedicalConceptProperty"
"Biospecimen Type","True","True","5ae496e6-6fad-482e-ba61-f9121da49786","Biospecimen Type","string","BiomedicalConceptProperty_48","BiomedicalConceptProperty"
"Laboratory Test Result","True","True","cd9d51c0-4bdf-4ca8-ae64-e051d6644ce8","Laboratory Test Result","decimal","BiomedicalConceptProperty_49","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","True","bff37b43-fe0b-4ec5-987d-baa33eda9b4e","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_50","BiomedicalConceptProperty"
"Molarity Unit","True","True","cbd35907-56b3-427a-94be-aa2ace089f42","Molarity Unit","string","BiomedicalConceptProperty_51","BiomedicalConceptProperty"
"Biospecimen Type","True","True","630ae8eb-e51b-44b8-957a-47f8410353dc","Biospecimen Type","string","BiomedicalConceptProperty_52","BiomedicalConceptProperty"
"Clinical Test Result","True","True","0aa6d101-2a39-4cfd-b532-083cc03a34b7","Clinical Test Result","decimal","BiomedicalConceptProperty_53","BiomedicalConceptProperty"
"Unit of Pressure","True","True","648df1a7-415e-4bd6-942f-72bd79db8e09","Unit of Pressure","string","BiomedicalConceptProperty_54","BiomedicalConceptProperty"
"Anatomic Site","True","True","eef8bc4d-880d-4c4a-a6ab-b81ca727a2bb","Anatomic Site","string","BiomedicalConceptProperty_55","BiomedicalConceptProperty"
"Laterality","True","True","971d156f-6ef9-45c9-a48b-e727f31e9c9f","Laterality","string","BiomedicalConceptProperty_56","BiomedicalConceptProperty"
"Test Method","True","True","307f3b08-1656-469e-b0d2-d93cd8bbdbf5","Test Method","string","BiomedicalConceptProperty_57","BiomedicalConceptProperty"
"Body Position","True","True","24a7fd83-39e4-47f1-a5a2-c4333bf96c02","Body Position","string","BiomedicalConceptProperty_58","BiomedicalConceptProperty"
"Clinical Test Result","True","True","d9871127-5765-4aed-9631-efecc74a79cd","Clinical Test Result","decimal","BiomedicalConceptProperty_59","BiomedicalConceptProperty"
"Unit of Pressure","True","True","31919b23-1c4d-404d-9dd9-43382c670e51","Unit of Pressure","string","BiomedicalConceptProperty_60","BiomedicalConceptProperty"
"Anatomic Site","True","True","a4fde7de-ef15-4193-afc6-807cf804a9f3","Anatomic Site","string","BiomedicalConceptProperty_61","BiomedicalConceptProperty"
"Laterality","True","True","12903498-b0d4-49be-a255-6ca7bef7c5a7","Laterality","string","BiomedicalConceptProperty_62","BiomedicalConceptProperty"
"Test Method","True","True","7d1afb0b-5259-4c3a-96a6-343b0b0d7457","Test Method","string","BiomedicalConceptProperty_63","BiomedicalConceptProperty"
"Body Position","True","True","4da53a9a-8343-4274-a9e9-a4eb3eafebd5","Body Position","string","BiomedicalConceptProperty_64","BiomedicalConceptProperty"
"Clinical Test Result","True","True","db8f46de-0c34-4061-816f-5101c668a908","Clinical Test Result","integer","BiomedicalConceptProperty_65","BiomedicalConceptProperty"
"Count per Minute","True","True","c00b0af7-f542-4199-8006-af646bdea23c","Count per Minute","string","BiomedicalConceptProperty_66","BiomedicalConceptProperty"
"Anatomic Site","True","True","40177f02-bb2c-43bc-b238-944866570190","Anatomic Site","string","BiomedicalConceptProperty_67","BiomedicalConceptProperty"
"Laterality","True","True","ffbd736f-c808-4884-9272-153d85391288","Laterality","string","BiomedicalConceptProperty_68","BiomedicalConceptProperty"
"Test Method","True","True","5f90b6b0-65cc-43f4-be4a-fa1e16223869","Test Method","string","BiomedicalConceptProperty_69","BiomedicalConceptProperty"
"Body Position","True","True","aab6c4bb-8c33-41f2-b9cd-3e3ecb9dcb1a","Body Position","string","BiomedicalConceptProperty_70","BiomedicalConceptProperty"
"Clinical Test Result","True","True","3410c933-2f62-42a0-80bf-d95f4d09bd04","Clinical Test Result","decimal","BiomedicalConceptProperty_71","BiomedicalConceptProperty"
"Unit of Pressure","True","True","f817be08-171a-4f7e-b683-67f7757192ce","Unit of Pressure","string","BiomedicalConceptProperty_72","BiomedicalConceptProperty"
"Anatomic Site","True","True","118fe455-e0d5-4d2b-b3cf-a79fca2f9151","Anatomic Site","string","BiomedicalConceptProperty_73","BiomedicalConceptProperty"
"Laterality","True","True","8af8edb5-3026-4233-b410-0377b0c4cfbd","Laterality","string","BiomedicalConceptProperty_74","BiomedicalConceptProperty"
"Test Method","True","True","27316d37-acc3-46a6-94cc-b2eef41f79c9","Test Method","string","BiomedicalConceptProperty_75","BiomedicalConceptProperty"
"Body Position","True","True","8ed152b5-ee4d-4bd6-a8fd-de32a350bf94","Body Position","string","BiomedicalConceptProperty_76","BiomedicalConceptProperty"
"Clinical Test Result","True","True","c2c0ee3d-d145-40a3-afa8-1aa165a89be7","Clinical Test Result","decimal","BiomedicalConceptProperty_77","BiomedicalConceptProperty"
"Unit of Pressure","True","True","179881dc-cbf6-41ed-a091-cedc13276c74","Unit of Pressure","string","BiomedicalConceptProperty_78","BiomedicalConceptProperty"
"Anatomic Site","True","True","216d0c22-5bbd-4f77-9d19-21a2c4576b34","Anatomic Site","string","BiomedicalConceptProperty_79","BiomedicalConceptProperty"
"Laterality","True","True","e1fa4bc0-4e94-4e76-ac04-a164b2d3b3bb","Laterality","string","BiomedicalConceptProperty_80","BiomedicalConceptProperty"
"Test Method","True","True","bb36d58f-ea6d-4849-83fa-00bea4f3f497","Test Method","string","BiomedicalConceptProperty_81","BiomedicalConceptProperty"
"Body Position","True","True","2ee21833-cb0b-4206-ab70-94e80b1c083e","Body Position","string","BiomedicalConceptProperty_82","BiomedicalConceptProperty"
"Clinical Test Result","True","True","82cc6d59-b7d0-4ce2-aefd-eb9d0153f076","Clinical Test Result","integer","BiomedicalConceptProperty_83","BiomedicalConceptProperty"
"Count per Minute","True","True","c2e885f0-1c38-4063-8671-9d8f6d327b18","Count per Minute","string","BiomedicalConceptProperty_84","BiomedicalConceptProperty"
"Anatomic Site","True","True","5c3b8652-93bb-464d-8a61-1d4fd6c6d5d6","Anatomic Site","string","BiomedicalConceptProperty_85","BiomedicalConceptProperty"
"Laterality","True","True","85341cb1-acec-4e97-b73a-eb4ff9533e20","Laterality","string","BiomedicalConceptProperty_86","BiomedicalConceptProperty"
"Test Method","True","True","8b673bc8-cb03-4caa-9aff-b95cfae4c2f9","Test Method","string","BiomedicalConceptProperty_87","BiomedicalConceptProperty"
"Body Position","True","True","e5e26f8c-cfec-4b75-a83f-0c7b25140d0f","Body Position","string","BiomedicalConceptProperty_88","BiomedicalConceptProperty"
