"decode","uuid:ID","codeSystem","id","codeSystemVersion","code","instanceType"
"Clinic","8e1be348-fd0c-422d-8cbd-647ce67f2e17","http://www.cdisc.org","Code_114","2023-09-29","C51282","Code"
"In Person","e6ac7b0f-7938-4713-88f2-12d54f5c53e1","http://www.cdisc.org","Code_115","2023-09-29","C175574","Code"
"Telephone Call","ae0c3137-ac2b-4a6b-8c42-37570d5e6706","http://www.cdisc.org","Code_116","2023-09-29","C171537","Code"
"Visit","ebb0873e-3bf2-4e9d-839a-dcaf224c3806","http://www.cdisc.org","Code_117","2023-09-29","C25716","Code"
"Clinic","2ae5e007-210a-4783-ba9a-495156fba524","http://www.cdisc.org","Code_118","2023-09-29","C51282","Code"
"In Person","95bda3bf-a0d4-4ca5-8333-881a630d55bc","http://www.cdisc.org","Code_119","2023-09-29","C175574","Code"
"Visit","6d1d704f-7357-4d25-86e6-629c16633bfc","http://www.cdisc.org","Code_120","2023-09-29","C25716","Code"
"Clinic","24930374-d28f-409f-92e5-552ae8cc5f04","http://www.cdisc.org","Code_121","2023-09-29","C51282","Code"
"In Person","e3a04b1b-93a5-4c2e-bd24-3de8234e9baf","http://www.cdisc.org","Code_122","2023-09-29","C175574","Code"
"CT of head without contrast","02f1f48a-a7b5-49bc-b17b-0c121a97fffa","SNOMED","Code_80","January 31, 2018","383371000119108","Code"
"Subject Supine","2f3f8b83-6e1a-4574-ae02-e6d4b9f2e7bb","SPONSOR","Code_81","12","123","Code"
"Subject Standing","5a17ff63-f061-42fb-adc4-813cd2e19902","SPONSOR","Code_82","12","124","Code"
"Male","64d70738-39dd-4f62-b670-b9cfabf7f83a","http://www.cdisc.org","Code_269","2023-09-29","C20197","Code"
"Female","6a918dba-e3f0-4b2a-a38f-9a1f21f9681b","http://www.cdisc.org","Code_270","2023-09-29","C16576","Code"
"Sex","a1490698-1a53-449f-bff0-889e6c92b29b","NCI Thesaurus","Code_271","","C28421","Code"
"Sex","030f5e40-63a6-448e-b77e-5230050481e7","NCI Thesaurus","Code_268","","C28421","Code"
"Race","4e4086a0-337a-4b2b-a11c-19fde7de4560","NCI Thesaurus","Code_273","","C17049","Code"
"Race","9b402320-eb60-4a01-82ee-1cd6d615939f","NCI Thesaurus","Code_272","","C17049","Code"
"Clinical Test Result","6dc55d03-ba6f-49fd-a585-45820f6a873d","NCI Thesaurus","Code_275","","C77140","Code"
"Kelvin","559760c2-3b4e-4fdc-aac2-ada1073ede08","http://www.cdisc.org","Code_276","2023-09-29","C42537","Code"
"Unit of Temperature","c4ad3acd-4b78-442a-8eda-57e1a4d8a3d4","NCI Thesaurus","Code_277","","C44276","Code"
"Anatomic Site","236dac0d-3c6f-47b7-aa16-6b7591e2368e","NCI Thesaurus","Code_278","","C13717","Code"
"Body Temperature","cb9f9b7e-1f2b-4468-9e3c-36ce6f631aea","NCI Thesaurus","Code_274","","C174446","Code"
"Clinical Test Result","0cd42275-898a-4981-96c8-7fcac23aff75","NCI Thesaurus","Code_280","","C77140","Code"
"Kilogram","14bb0d96-b643-4165-9240-eb61b5c4adee","http://www.cdisc.org","Code_281","2023-09-29","C28252","Code"
"Gram","5568aec6-3ad2-49a8-b580-2ee5c7a1230f","http://www.cdisc.org","Code_282","2023-09-29","C48155","Code"
"Pound","bb4b8487-9103-4381-aea2-d17aa7e56280","http://www.cdisc.org","Code_283","2023-09-29","C48531","Code"
"Unit of Weight","aad606f5-44ac-4c1e-885f-2f54b507980d","NCI Thesaurus","Code_284","","C48208","Code"
"Body Weight","149c7b0e-f56f-41bd-831e-1bf80ac2fd39","NCI Thesaurus","Code_279","","C81328","Code"
"Clinical Test Result","8513264e-8509-4f3d-ae5f-81bc797d3f67","NCI Thesaurus","Code_286","","C77140","Code"
"Centimeter","e040f2ae-2896-4929-b89f-c8f3b4a6bcae","http://www.cdisc.org","Code_287","2023-09-29","C49668","Code"
"Inch","2ae52f7e-dc6d-4cfe-a48d-5036d722ffe2","http://www.cdisc.org","Code_288","2023-09-29","C48500","Code"
"Millimeter","61270b93-a412-40ad-88a1-10004e3d0a18","http://www.cdisc.org","Code_289","2023-09-29","C28251","Code"
"Meter","ff70ffb2-46af-4d18-90fb-301b04128f0f","http://www.cdisc.org","Code_290","2023-09-29","C41139","Code"
"Unit of Height","6200eaaa-0c8d-4b7b-8fa2-c10962b10d70","NCI Thesaurus","Code_291","","C168688","Code"
"Body Height","38535050-b103-40d4-8839-f7a718ed06df","NCI Thesaurus","Code_285","","C164634","Code"
"Laboratory Test Result","8d88f33d-17f6-4c2d-94e6-533c9c7d962d","NCI Thesaurus","Code_293","","C36292","Code"
"Laboratory Test Fasting Status","819dda1d-d5e2-444d-af2f-f90a8c6f5e1a","NCI Thesaurus","Code_294","","C83309","Code"
"Unit of Catalytic Activity Concentration","a778667b-42d7-444f-bf0f-c7688628eddc","NCI Thesaurus","Code_295","","C67365","Code"
"Biospecimen Type","6af8053f-3adb-4d76-8180-9f8857574db1","NCI Thesaurus","Code_296","","C70713","Code"
"Alanine Aminotransferase Measurement","a260ed28-0677-49ad-a7d7-6962d57aa56e","NCI Thesaurus","Code_292","","C64433","Code"
"Laboratory Test Result","753cacb7-c0a5-408f-b664-dde3321eb1ca","NCI Thesaurus","Code_298","","C36292","Code"
"Laboratory Test Fasting Status","35155015-4a7b-4b8d-9939-40e096d30f87","NCI Thesaurus","Code_299","","C83309","Code"
"Unit of Concentration","07258840-e7d4-48c6-868e-9b43c14a3aaa","NCI Thesaurus","Code_300","","C48207","Code"
"Biospecimen Type","b237e33e-7f02-49c8-8f15-ef1ff6c8ec76","NCI Thesaurus","Code_301","","C70713","Code"
"Albumin Measurement","b5ea75e9-f37d-4f28-aefd-a81d3464b3c0","NCI Thesaurus","Code_297","","C64431","Code"
"Laboratory Test Result","b52178cc-f32d-4d97-b2f6-57e4ef459d7b","NCI Thesaurus","Code_303","","C36292","Code"
"Laboratory Test Fasting Status","6a73d850-9c21-413b-b16a-5bb0d9cd2875","NCI Thesaurus","Code_304","","C83309","Code"
"Unit of Catalytic Activity Concentration","d2b725af-b5ce-428a-8b70-79e5cbee2aef","NCI Thesaurus","Code_305","","C67365","Code"
"Biospecimen Type","00663242-4052-49fa-a9fd-24f2629d9135","NCI Thesaurus","Code_306","","C70713","Code"
"Alkaline Phosphatase Measurement","c173cb98-31d1-4196-96c9-8a320973f9dd","NCI Thesaurus","Code_302","","C64432","Code"
"Laboratory Test Result","71ee01a6-b223-42aa-a67f-fbd791b75c87","NCI Thesaurus","Code_308","","C36292","Code"
"Laboratory Test Fasting Status","b4ba2c6a-e8f4-4670-b0bd-db1ddd13f2e6","NCI Thesaurus","Code_309","","C83309","Code"
"Unit of Catalytic Activity Concentration","2d6bee85-8c3d-42a2-8dd7-f34fca89f4f0","NCI Thesaurus","Code_310","","C67365","Code"
"Biospecimen Type","f07f1906-ad13-4620-b2ea-8326d56cf5fa","NCI Thesaurus","Code_311","","C70713","Code"
"Aspartate Aminotransferase Measurement","34e627e1-5622-4d2f-b700-2bfe08696b28","NCI Thesaurus","Code_307","","C64467","Code"
"Laboratory Test Result","1436aa96-431f-4963-8a7a-446768bfa38d","NCI Thesaurus","Code_313","","C36292","Code"
"Laboratory Test Fasting Status","a7c01891-0351-42cd-83f5-fb17b06516b7","NCI Thesaurus","Code_314","","C83309","Code"
"Unit of Concentration","09553ba4-54dc-4bd9-a7be-beaa0d99acce","NCI Thesaurus","Code_315","","C48207","Code"
"Biospecimen Type","aed70a51-840d-4d96-b7b0-3ed7d934345d","NCI Thesaurus","Code_316","","C70713","Code"
"Creatinine Measurement","2c663b4e-4501-4683-8cae-c5194302cf4f","NCI Thesaurus","Code_312","","C64547","Code"
"Laboratory Test Result","d33e09d0-f36b-4f0b-9ad9-38e3086fd884","NCI Thesaurus","Code_318","","C36292","Code"
"Laboratory Test Fasting Status","059b7e78-885e-46c8-8f1e-e816e8557450","NCI Thesaurus","Code_319","","C83309","Code"
"Molarity Unit","34a3b4ed-abaa-4c5e-a9b4-f8ea11b27308","NCI Thesaurus","Code_320","","C64567","Code"
"Biospecimen Type","9753c69a-438e-4ee5-90d4-3400ddbbf3f2","NCI Thesaurus","Code_321","","C70713","Code"
"Potassium Measurement","02328137-c2fc-4d80-b468-e390cd5461f8","NCI Thesaurus","Code_317","","C64853","Code"
"Laboratory Test Result","91450e69-b26e-4b6a-80c0-20c64f6980a5","NCI Thesaurus","Code_323","","C36292","Code"
"Laboratory Test Fasting Status","c35fa9c0-c04c-41db-8e58-79a1759223be","NCI Thesaurus","Code_324","","C83309","Code"
"Molarity Unit","86b19b9d-11df-4715-aa3a-4d934b98add8","NCI Thesaurus","Code_325","","C64567","Code"
"Biospecimen Type","81a6184a-260f-466b-a854-bef2fd02abc1","NCI Thesaurus","Code_326","","C70713","Code"
"Sodium Measurement","e562c8cc-e260-4d1d-8e50-cfee1e9d58c1","NCI Thesaurus","Code_322","","C64809","Code"
"Reported Event Term","6427da33-ec78-48f6-aa98-1e96837486b1","NCI Thesaurus","Code_146","","C82571","Code"
"Dictionary-derived Term","f0ea04e4-641c-42c1-878d-b1d3885e9d79","NCI Thesaurus","Code_147","","C82977","Code"
"Category","23868584-9dda-4f64-8ce3-8cac604bf02b","NCI Thesaurus","Code_148","","C25372","Code"
"Subcategory","b4829689-dbdc-4bd6-bbdf-e346981038d3","NCI Thesaurus","Code_149","","C25692","Code"
"Observation Start Date Time","6306369a-58d6-49ee-aabf-abcc871c5bce","NCI Thesaurus","Code_150","","C82517","Code"
"Adverse Event","4f1569d0-eac3-4c1b-9a6a-2bbdb5a9eab7","NCI Thesaurus","Code_145","","C41331","Code"
"Clinical Test Result","2ca45ded-1869-47b4-b27d-efa576a93786","NCI Thesaurus","Code_152","","C77140","Code"
"Pascal","e430d14a-76e6-4559-9ae5-da6a8f9906c2","http://www.cdisc.org","Code_153","2023-09-29","C42547","Code"
"Unit of Pressure","8ef89da8-639f-4e56-b853-ac03e3a2dce4","NCI Thesaurus","Code_154","","C49669","Code"
"Anatomic Site","e33e37da-f433-40d3-a054-2311dde3443a","NCI Thesaurus","Code_155","","C13717","Code"
"Laterality","15b99477-f8e1-4919-b34d-b09e7bc35cf7","NCI Thesaurus","Code_156","","C25185","Code"
"Test Method","44247da9-2a6d-46c2-8246-1e40dedeb747","NCI Thesaurus","Code_157","","C82535","Code"
"Body Position","e840e624-f95a-4085-bf3a-eb3850dea01a","NCI Thesaurus","Code_158","","C62164","Code"
"Systolic Blood Pressure","a2c6360a-c6a5-413e-b16d-aebbedb974a5","NCI Thesaurus","Code_151","","C25298","Code"
"Clinical Test Result","194d1f3e-d2c8-47ab-872b-6cef66ef9462","NCI Thesaurus","Code_160","","C77140","Code"
"Pascal","351f5836-c022-4d5b-9dcb-b4b67689d5e4","http://www.cdisc.org","Code_161","2023-09-29","C42547","Code"
"Unit of Pressure","7a10b297-2487-4b0d-9427-deb4ac880d3e","NCI Thesaurus","Code_162","","C49669","Code"
"Anatomic Site","444879d0-ec41-4280-98d6-84ee17888434","NCI Thesaurus","Code_163","","C13717","Code"
"Laterality","649219ca-0d55-4451-bd73-6feb8c12b63b","NCI Thesaurus","Code_164","","C25185","Code"
"Test Method","63a65481-a69f-4031-a23a-b85fd16eb4fe","NCI Thesaurus","Code_165","","C82535","Code"
"Body Position","95483330-b9ce-4470-9e4d-fc28868973b0","NCI Thesaurus","Code_166","","C62164","Code"
"Diastolic Blood Pressure","d9baac8c-ef08-4556-b0c5-cf05b1e22960","NCI Thesaurus","Code_159","","C25299","Code"
"Clinical Test Result","a7263f2a-0647-48df-9b5a-1e93ae89b164","NCI Thesaurus","Code_168","","C77140","Code"
"Kelvin","7d6da29b-7d27-4db1-904f-0cf9865b5b9c","http://www.cdisc.org","Code_169","2023-09-29","C42537","Code"
"Unit of Temperature","1dcd3d54-157e-4370-bfb1-10ea09fa4b12","NCI Thesaurus","Code_170","","C44276","Code"
"Anatomic Site","017d39c4-5e23-43ab-960d-ebd352fb5da2","NCI Thesaurus","Code_171","","C13717","Code"
"Body Temperature","6ad9195e-b95d-43a5-aacb-248d0e0052c2","NCI Thesaurus","Code_167","","C174446","Code"
"Clinical Test Result","3a912cee-9395-4833-acd0-122429695e88","NCI Thesaurus","Code_173","","C77140","Code"
"Kilogram","0638f8cd-7fc3-4f08-9050-1eeaca1d6f14","http://www.cdisc.org","Code_174","2023-09-29","C28252","Code"
"Gram","fc448989-5667-4c95-8440-b6b8a8c06587","http://www.cdisc.org","Code_175","2023-09-29","C48155","Code"
"Pound","16428a3d-7f97-4029-a7a6-de840bd4db19","http://www.cdisc.org","Code_176","2023-09-29","C48531","Code"
"Unit of Weight","10ef59cd-048d-46c0-90e8-911c4951353b","NCI Thesaurus","Code_177","","C48208","Code"
"Body Weight","66ab4cae-39ef-4839-aca7-6050c7c8976a","NCI Thesaurus","Code_172","","C81328","Code"
"Clinical Test Result","370e4d02-15a0-4895-93ee-41920a38ae89","NCI Thesaurus","Code_179","","C77140","Code"
"Centimeter","ef97fb20-65ba-43a9-9813-e9d1cceb4efb","http://www.cdisc.org","Code_180","2023-09-29","C49668","Code"
"Inch","1494261d-53ec-4135-a20b-b8c16092abe5","http://www.cdisc.org","Code_181","2023-09-29","C48500","Code"
"Millimeter","29202a48-b31f-46e9-b30b-3f8dc9f208ba","http://www.cdisc.org","Code_182","2023-09-29","C28251","Code"
"Meter","0946642c-de85-41fc-ae9b-7f7e3771800a","http://www.cdisc.org","Code_183","2023-09-29","C41139","Code"
"Unit of Height","c4c779e2-17e4-4fdc-8dfb-d109d22ded76","NCI Thesaurus","Code_184","","C168688","Code"
"Body Height","5e4cd16b-45fe-40c4-8885-43407d34b069","NCI Thesaurus","Code_178","","C164634","Code"
"Laboratory Test Result","e40590f9-ad82-4b0d-a8ab-8a7157f0ad6f","NCI Thesaurus","Code_186","","C36292","Code"
"Laboratory Test Fasting Status","5b479679-d9d0-4640-a5de-bfa3f84b38a9","NCI Thesaurus","Code_187","","C83309","Code"
"Unit of Catalytic Activity Concentration","5a49e478-2de1-4775-a3df-f1a3f0f157ef","NCI Thesaurus","Code_188","","C67365","Code"
"Biospecimen Type","322f9940-5f56-4064-86c3-f92a78dc1e33","NCI Thesaurus","Code_189","","C70713","Code"
"Alanine Aminotransferase Measurement","db77697b-83f0-4fb3-b99c-5c981b738b94","NCI Thesaurus","Code_185","","C64433","Code"
"Laboratory Test Result","605656fc-bd4d-4808-a57c-7cf1a536bc0c","NCI Thesaurus","Code_191","","C36292","Code"
"Laboratory Test Fasting Status","4cc0f14c-6625-40d2-947c-e924a63895d1","NCI Thesaurus","Code_192","","C83309","Code"
"Unit of Concentration","9698343e-a25a-4393-8104-50f8c0b778c8","NCI Thesaurus","Code_193","","C48207","Code"
"Biospecimen Type","433e73da-d083-473e-87ca-394a753ba7de","NCI Thesaurus","Code_194","","C70713","Code"
"Albumin Measurement","460daf30-f69d-4a13-a783-616e37309c29","NCI Thesaurus","Code_190","","C64431","Code"
"Laboratory Test Result","41fb718e-7397-4966-9c53-df1951f8a3fe","NCI Thesaurus","Code_196","","C36292","Code"
"Laboratory Test Fasting Status","26afa20b-04e8-47eb-9bfe-e9ecebb23c6c","NCI Thesaurus","Code_197","","C83309","Code"
"Unit of Catalytic Activity Concentration","d600177d-c643-46ba-8627-6482cdee8565","NCI Thesaurus","Code_198","","C67365","Code"
"Biospecimen Type","d0e167e3-f807-4fed-9dcc-3c9e72a17acc","NCI Thesaurus","Code_199","","C70713","Code"
"Alkaline Phosphatase Measurement","80509c00-82d9-47ef-8e81-d454a4eceac0","NCI Thesaurus","Code_195","","C64432","Code"
"Laboratory Test Result","ba5a7086-4d06-4114-8990-db7e2ec40a05","NCI Thesaurus","Code_201","","C36292","Code"
"Laboratory Test Fasting Status","271de935-2ca4-4760-9b69-cd24d0944890","NCI Thesaurus","Code_202","","C83309","Code"
"Unit of Catalytic Activity Concentration","10fe3bf7-0922-4759-a8a3-0fce0a213665","NCI Thesaurus","Code_203","","C67365","Code"
"Biospecimen Type","0d67688d-8951-495a-8600-91c7310ea49c","NCI Thesaurus","Code_204","","C70713","Code"
"Aspartate Aminotransferase Measurement","0a816384-0d1f-4c20-9f70-f5da49b88f5d","NCI Thesaurus","Code_200","","C64467","Code"
"Laboratory Test Result","84834387-4048-4d83-93c4-a45911f269bf","NCI Thesaurus","Code_206","","C36292","Code"
"Laboratory Test Fasting Status","e39816c6-3b9c-4aec-b5e4-b21bf7478af6","NCI Thesaurus","Code_207","","C83309","Code"
"Unit of Concentration","924c0d0a-0040-40e1-8b4f-36b69bce80d7","NCI Thesaurus","Code_208","","C48207","Code"
"Biospecimen Type","fba3ed64-fe2b-461b-9479-0b48553c7773","NCI Thesaurus","Code_209","","C70713","Code"
"Creatinine Measurement","7f94c484-8d0d-4af4-9d09-f5ec882d5dcf","NCI Thesaurus","Code_205","","C64547","Code"
"Laboratory Test Result","234a7394-bb2f-478d-8ef0-3c5c04c42a29","NCI Thesaurus","Code_211","","C36292","Code"
"Laboratory Test Fasting Status","7dcfcb09-2223-4161-8556-2b92041a9058","NCI Thesaurus","Code_212","","C83309","Code"
"Molarity Unit","118a6989-e186-46ed-b89b-f08d16d3d148","NCI Thesaurus","Code_213","","C64567","Code"
"Biospecimen Type","15b25eaf-99fd-4c44-9b26-0ea9a301ff11","NCI Thesaurus","Code_214","","C70713","Code"
"Potassium Measurement","adfbae50-f9ab-4a49-a278-6fe86d86d384","NCI Thesaurus","Code_210","","C64853","Code"
"Laboratory Test Result","947c6b7c-a1e0-4c06-a4c9-1811b0ca4167","NCI Thesaurus","Code_216","","C36292","Code"
"Laboratory Test Fasting Status","dd25ae5b-e966-44e7-b070-6b39c24185b6","NCI Thesaurus","Code_217","","C83309","Code"
"Molarity Unit","9d8fa5fb-6e66-41dd-861e-8f14e5eb9d82","NCI Thesaurus","Code_218","","C64567","Code"
"Biospecimen Type","18e6cd03-0181-4e2c-b3f5-ae8393f99043","NCI Thesaurus","Code_219","","C70713","Code"
"Sodium Measurement","36c9473e-5ef2-4a7f-9ee3-9015af8eaa90","NCI Thesaurus","Code_215","","C64809","Code"
"Clinical Test Result","d5585453-bd50-437f-9e4f-a0a99fc54da6","NCI Thesaurus","Code_221","","C77140","Code"
"Pascal","23a51c21-6aad-4147-a803-eed915c02f6d","http://www.cdisc.org","Code_222","2023-09-29","C42547","Code"
"Unit of Pressure","fe24a116-918b-4921-84c5-e17365e4cb5e","NCI Thesaurus","Code_223","","C49669","Code"
"Anatomic Site","332e938f-637a-455b-bae9-5cd18dc01976","NCI Thesaurus","Code_224","","C13717","Code"
"Laterality","f3b3663e-dbc8-4e2a-b770-5cfbf74e0482","NCI Thesaurus","Code_225","","C25185","Code"
"Test Method","eb27758f-246e-4a0f-b269-7d1a6c27806b","NCI Thesaurus","Code_226","","C82535","Code"
"Body Position","6668a100-859d-4e02-9cf1-56484e3d90fb","NCI Thesaurus","Code_227","","C62164","Code"
"Systolic Blood Pressure","93131836-385b-4408-99b6-f2913d714fee","NCI Thesaurus","Code_220","","C25298","Code"
"Clinical Test Result","2853fd63-1d60-4583-a1cb-984bdc883003","NCI Thesaurus","Code_229","","C77140","Code"
"Pascal","9014154d-febb-475d-b5a0-26ff9ea74d0c","http://www.cdisc.org","Code_230","2023-09-29","C42547","Code"
"Unit of Pressure","1e0648ba-56e4-4923-992c-abdfd922eb45","NCI Thesaurus","Code_231","","C49669","Code"
"Anatomic Site","f9d82baa-ab22-42cf-aa4c-2906ccb38cb5","NCI Thesaurus","Code_232","","C13717","Code"
"Laterality","2c50d8ff-d979-400b-9934-ef28ed9958fb","NCI Thesaurus","Code_233","","C25185","Code"
"Test Method","17467454-0218-48e1-97f9-82f0a15b7629","NCI Thesaurus","Code_234","","C82535","Code"
"Body Position","535a595a-bd6b-4c4b-bd8c-3c508bdacbf4","NCI Thesaurus","Code_235","","C62164","Code"
"Diastolic Blood Pressure","bce4dba6-a5cb-401c-bb24-b29d795c3bd2","NCI Thesaurus","Code_228","","C25299","Code"
"Clinical Test Result","691b413e-7cf5-4f4f-90de-34744ac7fd79","NCI Thesaurus","Code_237","","C77140","Code"
"Beats per Minute","d4740a9d-eca5-4855-8058-b88a4d92f65a","http://www.cdisc.org","Code_238","2023-09-29","C49673","Code"
"Count per Minute","89281616-7015-41e4-a9b1-cf8591013d2b","NCI Thesaurus","Code_239","","C73688","Code"
"Anatomic Site","89a6c3c1-5b17-4f12-a5a3-52a044192a72","NCI Thesaurus","Code_240","","C13717","Code"
"Laterality","007cc0d4-4700-410e-95db-795b687db99b","NCI Thesaurus","Code_241","","C25185","Code"
"Test Method","05ab1c5b-f1a5-486d-8fab-a592a8addcb4","NCI Thesaurus","Code_242","","C82535","Code"
