"code","decode","id","codeSystem","codeSystemVersion","uuid:ID","instanceType"
"C17049","Race","Code_273","NCI Thesaurus","","cd727b3e-963f-4e58-8de9-362a0203ad43","Code"
"C17049","Race","Code_272","NCI Thesaurus","","2b9f52a1-5ac9-49c6-bbc4-a0652c29ab6f","Code"
"C77140","Clinical Test Result","Code_275","NCI Thesaurus","","e791d825-c6b8-435d-98c4-77f51f38509a","Code"
"C42537","Kelvin","Code_276","http://www.cdisc.org","2023-09-29","5e2f1266-7174-4b8c-9fcf-799c5dc32b88","Code"
"C44276","Unit of Temperature","Code_277","NCI Thesaurus","","bcd00e10-932e-43e6-b236-08e3f1459aaf","Code"
"C13717","Anatomic Site","Code_278","NCI Thesaurus","","7f3ef2a6-9024-4ddb-a967-1411abe7113a","Code"
"C174446","Body Temperature","Code_274","NCI Thesaurus","","b3f851c7-9ed6-4fc9-ade1-8caf69b17533","Code"
"C77140","Clinical Test Result","Code_280","NCI Thesaurus","","1a1b83fa-d991-4991-b85a-c38f8a52108a","Code"
"C28252","Kilogram","Code_281","http://www.cdisc.org","2023-09-29","0d77e273-6c53-4e03-bd80-24c24966435a","Code"
"C48155","Gram","Code_282","http://www.cdisc.org","2023-09-29","a892947d-4deb-4b39-8214-bf5eab476d1f","Code"
"C48531","Pound","Code_283","http://www.cdisc.org","2023-09-29","9a43308a-76fb-43e9-9722-a669e822c307","Code"
"C48208","Unit of Weight","Code_284","NCI Thesaurus","","f42f02d7-de86-4ce9-a370-fa782a4cc6b4","Code"
"C81328","Body Weight","Code_279","NCI Thesaurus","","a24bf939-b729-41a9-a92e-10d6176253bd","Code"
"C77140","Clinical Test Result","Code_286","NCI Thesaurus","","dbf76647-687b-454c-a0c6-238a52c4c477","Code"
"C49668","Centimeter","Code_287","http://www.cdisc.org","2023-09-29","2d3d7f12-9ebb-40e5-a444-9dbb50d585f0","Code"
"C48500","Inch","Code_288","http://www.cdisc.org","2023-09-29","09818243-ea78-43b5-8db2-b76abd571a93","Code"
"C28251","Millimeter","Code_289","http://www.cdisc.org","2023-09-29","4c6614e6-da1a-44a2-9f8f-1b4caccb1fd4","Code"
"C41139","Meter","Code_290","http://www.cdisc.org","2023-09-29","b7a8165a-48c1-4ebe-806c-19a22b06f40a","Code"
"C168688","Unit of Height","Code_291","NCI Thesaurus","","716f2909-46a6-438b-9918-0aa407750459","Code"
"C164634","Body Height","Code_285","NCI Thesaurus","","3fdc2f74-7416-464f-9f06-b8c006bee9f5","Code"
"C36292","Laboratory Test Result","Code_293","NCI Thesaurus","","ce2d7a87-f9c9-4ac0-9f3a-a0067e54d18c","Code"
"C83309","Laboratory Test Fasting Status","Code_294","NCI Thesaurus","","fe8cc8f2-5003-4362-8ea0-3a907209c27a","Code"
"C67365","Unit of Catalytic Activity Concentration","Code_295","NCI Thesaurus","","affb1bac-b768-4aab-bd96-dfbec3e40185","Code"
"C70713","Biospecimen Type","Code_296","NCI Thesaurus","","9235c596-78b0-418f-9ff9-d9ed50faea2a","Code"
"C64433","Alanine Aminotransferase Measurement","Code_292","NCI Thesaurus","","74e4296f-befc-4f08-b77a-0b3b926d4710","Code"
"C36292","Laboratory Test Result","Code_298","NCI Thesaurus","","9f58f816-2d41-4419-ae1e-27edc08f0af5","Code"
"C83309","Laboratory Test Fasting Status","Code_299","NCI Thesaurus","","4102b4f0-567f-46ec-a1ac-119c73107369","Code"
"C48207","Unit of Concentration","Code_300","NCI Thesaurus","","0e26a1aa-3b9a-4feb-920a-fc6d0b1cb023","Code"
"C70713","Biospecimen Type","Code_301","NCI Thesaurus","","dc9c3017-e311-453b-9bea-da8d6dc7c512","Code"
"C64431","Albumin Measurement","Code_297","NCI Thesaurus","","e5940419-3fad-4411-9f1d-ba99453b6ebb","Code"
"C36292","Laboratory Test Result","Code_303","NCI Thesaurus","","a07a4be4-57ad-4bcb-b7b6-2c0ce0674edd","Code"
"C83309","Laboratory Test Fasting Status","Code_304","NCI Thesaurus","","87ee3979-d3db-40a8-a142-df2c260883f6","Code"
"C67365","Unit of Catalytic Activity Concentration","Code_305","NCI Thesaurus","","e5dec602-321c-46eb-ba1d-3b4f0ee1ca34","Code"
"C70713","Biospecimen Type","Code_306","NCI Thesaurus","","573fe92d-a4a9-4fd3-91db-dc9536597b41","Code"
"C64432","Alkaline Phosphatase Measurement","Code_302","NCI Thesaurus","","92452656-c534-4abb-acf6-360d33f1fb13","Code"
"C36292","Laboratory Test Result","Code_308","NCI Thesaurus","","5ed5b4dd-282d-4f44-ae8d-d4f5d0561ec1","Code"
"C83309","Laboratory Test Fasting Status","Code_309","NCI Thesaurus","","0f4befe7-8d12-4b2d-b765-83504973f6af","Code"
"C67365","Unit of Catalytic Activity Concentration","Code_310","NCI Thesaurus","","5eacc572-7d79-4c07-a320-7308b20bf599","Code"
"C70713","Biospecimen Type","Code_311","NCI Thesaurus","","828a4531-8bce-4359-8922-a738e0227015","Code"
"C64467","Aspartate Aminotransferase Measurement","Code_307","NCI Thesaurus","","9570227d-c250-4318-b2e0-7f8272122c88","Code"
"C36292","Laboratory Test Result","Code_313","NCI Thesaurus","","5979e492-34e5-42ea-a787-0f2c816d81b8","Code"
"C83309","Laboratory Test Fasting Status","Code_314","NCI Thesaurus","","bdc72e83-7e3b-4b37-8eab-6125246b20a3","Code"
"C48207","Unit of Concentration","Code_315","NCI Thesaurus","","5694f63d-7e45-467a-88cb-9182d4f2ca58","Code"
"C70713","Biospecimen Type","Code_316","NCI Thesaurus","","30ac9fb3-281c-444e-adab-ab135f50ab85","Code"
"C64547","Creatinine Measurement","Code_312","NCI Thesaurus","","3c215866-04a5-41f0-9762-fb3b54e14b0c","Code"
"C36292","Laboratory Test Result","Code_318","NCI Thesaurus","","d4d1abb7-7127-4d6f-bae4-fa7555ec404d","Code"
"C83309","Laboratory Test Fasting Status","Code_319","NCI Thesaurus","","cb525541-0a6a-46bd-8464-84cf282829b8","Code"
"C64567","Molarity Unit","Code_320","NCI Thesaurus","","c5aea6e4-ba2e-4843-b337-da2d52bb285d","Code"
"C70713","Biospecimen Type","Code_321","NCI Thesaurus","","d6dcd585-3fbe-4c5a-8920-3ef3cc4f5cef","Code"
"C64853","Potassium Measurement","Code_317","NCI Thesaurus","","945b7e3a-a1a1-4927-879a-c4a610b25518","Code"
"C36292","Laboratory Test Result","Code_323","NCI Thesaurus","","bb1b43d1-eaf2-4c66-9b38-2ead4310b6f1","Code"
"C83309","Laboratory Test Fasting Status","Code_324","NCI Thesaurus","","ddac2cc4-5778-40a9-9445-d52faae9d125","Code"
"C64567","Molarity Unit","Code_325","NCI Thesaurus","","f5afff29-a078-40e4-8c80-500b784b5292","Code"
"C70713","Biospecimen Type","Code_326","NCI Thesaurus","","dc920f83-e9c6-4302-8fcf-af2ee33b699f","Code"
"C64809","Sodium Measurement","Code_322","NCI Thesaurus","","3086182f-ee6a-44f8-829e-fbb3722c15d8","Code"
"C82571","Reported Event Term","Code_146","NCI Thesaurus","","67495b3f-09bd-4ace-b316-1af8f5f7f412","Code"
"C82977","Dictionary-derived Term","Code_147","NCI Thesaurus","","fde0a39f-5fe0-4902-9e58-a5d058f2754e","Code"
"C25372","Category","Code_148","NCI Thesaurus","","f8ae5be3-28c8-4eb2-b15f-184a767a43d8","Code"
"C25692","Subcategory","Code_149","NCI Thesaurus","","5fb2aa7f-e49b-4cd6-bf42-f847e53ef6ee","Code"
"C82517","Observation Start Date Time","Code_150","NCI Thesaurus","","c3611115-79ee-4f12-a0eb-a2a0770a37b6","Code"
"C41331","Adverse Event","Code_145","NCI Thesaurus","","3bfa0e72-37b6-422a-a4b1-034502415a96","Code"
"C77140","Clinical Test Result","Code_152","NCI Thesaurus","","2b908956-86d5-4dfc-8135-2cfa403ef06c","Code"
"C42547","Pascal","Code_153","http://www.cdisc.org","2023-09-29","75e6e93b-c3b8-410a-8707-88a1b5f10f21","Code"
"C49669","Unit of Pressure","Code_154","NCI Thesaurus","","ec3ab3e1-74d0-4ca6-a8e2-a955ddf9ce0f","Code"
"C13717","Anatomic Site","Code_155","NCI Thesaurus","","3371c7ef-5121-4c80-8e3a-42eaf8d3b3b2","Code"
"C25185","Laterality","Code_156","NCI Thesaurus","","d13765a4-ddcf-4baa-8661-dbf9dd54f287","Code"
"C82535","Test Method","Code_157","NCI Thesaurus","","827bd4b5-9373-4061-b649-27ffb9d89247","Code"
"C62164","Body Position","Code_158","NCI Thesaurus","","0f9e207d-f158-4335-abe7-73d0045a403d","Code"
"C25298","Systolic Blood Pressure","Code_151","NCI Thesaurus","","cbc5b78f-8fc7-4d2a-9382-d0350fc826c5","Code"
"C77140","Clinical Test Result","Code_160","NCI Thesaurus","","95c440ae-0054-4546-af51-5dfa38b5a22e","Code"
"C42547","Pascal","Code_161","http://www.cdisc.org","2023-09-29","19befb6b-c3ea-4086-9579-9beccea16187","Code"
"C49669","Unit of Pressure","Code_162","NCI Thesaurus","","e0ee07ce-0f96-451e-bc2e-8d555ada3d65","Code"
"C13717","Anatomic Site","Code_163","NCI Thesaurus","","8cbaff4d-5007-48af-853b-6f8dd429971b","Code"
"C25185","Laterality","Code_164","NCI Thesaurus","","6f17dedf-d726-4a27-998c-20d23a6cb729","Code"
"C82535","Test Method","Code_165","NCI Thesaurus","","c12cb7a1-a853-4784-9674-9c80712b7161","Code"
"C62164","Body Position","Code_166","NCI Thesaurus","","49e84aab-35fb-47a7-8328-3ebb1bd04902","Code"
"C25299","Diastolic Blood Pressure","Code_159","NCI Thesaurus","","c7348118-0ec5-4654-beea-37e99b24b15b","Code"
"C77140","Clinical Test Result","Code_168","NCI Thesaurus","","d7103541-e4a9-4b49-9d26-1a980dde31ae","Code"
"C42537","Kelvin","Code_169","http://www.cdisc.org","2023-09-29","bc637480-befd-4986-9581-6bdd1cc326cd","Code"
"C44276","Unit of Temperature","Code_170","NCI Thesaurus","","49dc3776-fdac-42cf-9694-cabb40008ffd","Code"
"C13717","Anatomic Site","Code_171","NCI Thesaurus","","f0c488f3-0e69-43df-8c86-15e23678641a","Code"
"C174446","Body Temperature","Code_167","NCI Thesaurus","","901336be-fb56-4fc3-b708-df815bf88e38","Code"
"C77140","Clinical Test Result","Code_173","NCI Thesaurus","","5454a40d-2d2a-4da6-ab3e-1df71bb6a73a","Code"
"C28252","Kilogram","Code_174","http://www.cdisc.org","2023-09-29","89b8e518-4dea-4689-b143-f381e882859a","Code"
"C48155","Gram","Code_175","http://www.cdisc.org","2023-09-29","e4011bfc-7d4f-4e5f-aba0-6b768625f1b5","Code"
"C48531","Pound","Code_176","http://www.cdisc.org","2023-09-29","7af2e44e-3e89-4791-acfd-49b36d62f6f6","Code"
"C48208","Unit of Weight","Code_177","NCI Thesaurus","","ed216cbb-8075-4e47-9094-9d6588a4e6ad","Code"
"C81328","Body Weight","Code_172","NCI Thesaurus","","b02ce93b-de3c-41cd-b589-d4c4d1b93b4e","Code"
"C77140","Clinical Test Result","Code_179","NCI Thesaurus","","bece1e1b-feb3-4108-9bd6-9ecb69f74acf","Code"
"C49668","Centimeter","Code_180","http://www.cdisc.org","2023-09-29","d20db21f-912b-401c-a34f-02955b0205f8","Code"
"C48500","Inch","Code_181","http://www.cdisc.org","2023-09-29","d9b4ec99-4ee0-4795-a745-5a0dd38b096e","Code"
"C28251","Millimeter","Code_182","http://www.cdisc.org","2023-09-29","ea68e151-ef2b-4ce4-82a4-23aa5a01411c","Code"
"C41139","Meter","Code_183","http://www.cdisc.org","2023-09-29","a883a530-ad2f-45aa-a004-1732b33988e4","Code"
"C168688","Unit of Height","Code_184","NCI Thesaurus","","99f7de8c-6731-42ac-96af-97cdc2c2d2b9","Code"
"C164634","Body Height","Code_178","NCI Thesaurus","","f8132b79-05fe-44d1-812f-775965d0505d","Code"
"C36292","Laboratory Test Result","Code_186","NCI Thesaurus","","ec41dd94-c3db-4a10-b9cf-674de79fd864","Code"
"C83309","Laboratory Test Fasting Status","Code_187","NCI Thesaurus","","440c4a87-7be3-4121-b5a2-8e2416bc3b1d","Code"
"C67365","Unit of Catalytic Activity Concentration","Code_188","NCI Thesaurus","","b5fceb58-cb59-493c-bff9-98d7caef79a2","Code"
"C70713","Biospecimen Type","Code_189","NCI Thesaurus","","dda610ff-b296-4663-9606-60cb2c527c4e","Code"
"C64433","Alanine Aminotransferase Measurement","Code_185","NCI Thesaurus","","051f634f-3b41-41c3-a643-38eee8c272c0","Code"
"C36292","Laboratory Test Result","Code_191","NCI Thesaurus","","980ac5c6-e85f-4683-8411-c9d86d86e51c","Code"
"C83309","Laboratory Test Fasting Status","Code_192","NCI Thesaurus","","4602b882-3ff9-427a-b2bc-c9dbd077fb34","Code"
"C48207","Unit of Concentration","Code_193","NCI Thesaurus","","171372e7-0776-4554-8c31-34b1554fd23b","Code"
"C70713","Biospecimen Type","Code_194","NCI Thesaurus","","f1ecd9b6-32ee-472b-9cb1-7b20de2f14ca","Code"
"C64431","Albumin Measurement","Code_190","NCI Thesaurus","","2f1376fa-f2e7-47f0-9b76-5a616225f72d","Code"
"C36292","Laboratory Test Result","Code_196","NCI Thesaurus","","7518e36d-ff52-4b07-8249-83664416e029","Code"
"C83309","Laboratory Test Fasting Status","Code_197","NCI Thesaurus","","a9caebb5-f0f5-4d47-a06f-51a7a49671e9","Code"
"C67365","Unit of Catalytic Activity Concentration","Code_198","NCI Thesaurus","","7540a7a9-bd72-40a8-a43b-6e1f2452e63c","Code"
"C70713","Biospecimen Type","Code_199","NCI Thesaurus","","09f22121-2b8b-4a8d-9e1e-1214a16eefc3","Code"
"C64432","Alkaline Phosphatase Measurement","Code_195","NCI Thesaurus","","1456daee-850d-4ba4-9893-6706512f8617","Code"
"C36292","Laboratory Test Result","Code_201","NCI Thesaurus","","46b28a00-d46d-424d-ab3a-d3868c624e6c","Code"
"C83309","Laboratory Test Fasting Status","Code_202","NCI Thesaurus","","0b03d9f3-2fd9-4672-aba0-49cc97731951","Code"
"C67365","Unit of Catalytic Activity Concentration","Code_203","NCI Thesaurus","","9a314638-810f-4b71-971c-bce39cca7fb4","Code"
"C70713","Biospecimen Type","Code_204","NCI Thesaurus","","b986819f-3128-4e3e-be7e-80f9ae7cc13c","Code"
"C64467","Aspartate Aminotransferase Measurement","Code_200","NCI Thesaurus","","0caf9fbc-c4bf-4b7d-b8e4-fcdbbcd2ab31","Code"
"C36292","Laboratory Test Result","Code_206","NCI Thesaurus","","013a70ea-6866-4329-9cec-4e85a3eadb65","Code"
"C83309","Laboratory Test Fasting Status","Code_207","NCI Thesaurus","","90583e2c-5f23-4934-8404-d55bbb131bc1","Code"
"C48207","Unit of Concentration","Code_208","NCI Thesaurus","","6c484eb8-3860-4cc9-9351-d979da78a754","Code"
"C70713","Biospecimen Type","Code_209","NCI Thesaurus","","7ab5fbb5-5f55-43ae-8a19-83f12353828a","Code"
"C64547","Creatinine Measurement","Code_205","NCI Thesaurus","","fc681b71-0bee-4ff1-b795-2bfe03dc8aa9","Code"
"C36292","Laboratory Test Result","Code_211","NCI Thesaurus","","54d656e4-0698-478d-a040-7219ba42be6a","Code"
"C83309","Laboratory Test Fasting Status","Code_212","NCI Thesaurus","","f186de76-32d5-42d9-8aae-cc6fe2ca2eb3","Code"
"C64567","Molarity Unit","Code_213","NCI Thesaurus","","7b90dd01-ae2a-4128-b72c-a6f31a0df2b5","Code"
"C70713","Biospecimen Type","Code_214","NCI Thesaurus","","fef0249e-ce3a-4a25-a402-e7b46ca20ec6","Code"
"C64853","Potassium Measurement","Code_210","NCI Thesaurus","","a36991bb-d2db-4412-afc0-5ef14a889749","Code"
"C36292","Laboratory Test Result","Code_216","NCI Thesaurus","","d336b273-377a-4741-bcf5-eaeb9b2614f3","Code"
"C83309","Laboratory Test Fasting Status","Code_217","NCI Thesaurus","","6f191ba9-f02e-4b15-973f-7e0c32877f09","Code"
"C64567","Molarity Unit","Code_218","NCI Thesaurus","","f18d57af-bbfc-4027-8da0-42e39d7e9f6d","Code"
"C70713","Biospecimen Type","Code_219","NCI Thesaurus","","df6a8ac3-8758-49a9-8e1f-13882358e136","Code"
"C64809","Sodium Measurement","Code_215","NCI Thesaurus","","14eabca6-043c-44c7-a259-ad560b3c4212","Code"
"C77140","Clinical Test Result","Code_221","NCI Thesaurus","","b291f36c-048c-40b9-bfee-0569817dfa9e","Code"
"C42547","Pascal","Code_222","http://www.cdisc.org","2023-09-29","93af4656-13d9-4af0-af05-d9a4dfee2d9a","Code"
"C49669","Unit of Pressure","Code_223","NCI Thesaurus","","ac2f6cd2-828c-44cc-bca9-cfca193910b6","Code"
"C13717","Anatomic Site","Code_224","NCI Thesaurus","","766d7b7a-eb92-42d9-8693-d7ca93f602e7","Code"
"C25185","Laterality","Code_225","NCI Thesaurus","","62a020c2-b53b-47ce-9b65-3c6a40014acc","Code"
"C82535","Test Method","Code_226","NCI Thesaurus","","5c0a75fd-a49f-4107-82af-79593ef3222b","Code"
"C62164","Body Position","Code_227","NCI Thesaurus","","66826d6d-765a-4077-9a00-57e75f3aaf1c","Code"
"C25298","Systolic Blood Pressure","Code_220","NCI Thesaurus","","5dd177d4-12f1-4795-afae-705eb19b5045","Code"
"C77140","Clinical Test Result","Code_229","NCI Thesaurus","","4491ed33-dd6b-4b6f-ab5c-84381b7e03d2","Code"
"C42547","Pascal","Code_230","http://www.cdisc.org","2023-09-29","a1e77e70-ba4e-4fcc-b574-5931b7d6f2a1","Code"
"C49669","Unit of Pressure","Code_231","NCI Thesaurus","","4b9d80fe-3afe-4fbe-8946-b71ae993e736","Code"
"C13717","Anatomic Site","Code_232","NCI Thesaurus","","dc6e16e6-5d1a-400e-a309-1c7a10516b14","Code"
"C25185","Laterality","Code_233","NCI Thesaurus","","429c8b4f-e421-435d-b219-1d4900fdeb16","Code"
"C82535","Test Method","Code_234","NCI Thesaurus","","b15eb56b-d3b3-4674-aecd-17186534eb0c","Code"
"C62164","Body Position","Code_235","NCI Thesaurus","","10c92e3d-5321-4114-8515-eb1cde576ea7","Code"
"C25299","Diastolic Blood Pressure","Code_228","NCI Thesaurus","","a2f8cd7e-25ce-4979-9cdb-40b307790522","Code"
"C77140","Clinical Test Result","Code_237","NCI Thesaurus","","6a60c030-a061-43a9-ae42-0058b4c2ca7c","Code"
"C49673","Beats per Minute","Code_238","http://www.cdisc.org","2023-09-29","a959913c-d93f-49b7-b96b-2ca5874e65ac","Code"
"C73688","Count per Minute","Code_239","NCI Thesaurus","","f126bf88-ab3f-4e2f-ae3f-1b2c0ad41d2f","Code"
"C13717","Anatomic Site","Code_240","NCI Thesaurus","","b83c29dc-51bc-468e-8209-0357e2c3f556","Code"
"C25185","Laterality","Code_241","NCI Thesaurus","","8d3d56e3-8382-424d-93b7-dc757e67a27e","Code"
"C82535","Test Method","Code_242","NCI Thesaurus","","998c976e-4223-4636-80ca-c907cc901cdb","Code"
