"uuid:ID","synonyms","label","name","reference","instanceType","id"
"d20cc5dc-7aea-420b-894c-7f314d6c0061","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","BiomedicalConcept_10"
"1449a52d-d2ff-4bbb-af13-e8dadb3d71d0","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","BiomedicalConcept_11"
"8bc0cbce-0650-4d36-b44c-61392341486a","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","BiomedicalConcept_12"
"1cf89522-23d3-404e-8747-074af4b1aedc","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","BiomedicalConcept_13"
"8e347c74-2b45-404c-a9da-cb89fe0ace96","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","BiomedicalConcept_14"
"70f9ffb3-8dee-4f64-8deb-59fc1184c5cb","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","BiomedicalConcept_15"
"a2daf238-0267-4ef3-b37a-a1e234239a5e","['Heart Rate']","Heart Rate","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","BiomedicalConcept_16"
"37470fed-34fe-4b5c-ac49-194b274fe3a7","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","BiomedicalConcept_17"
"447caa45-54c8-4fb8-a0f4-babaf3b2a472","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","BiomedicalConcept_18"
"2530124d-b88e-4ce5-b148-103852607b01","['Heart Rate']","Heart Rate","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","BiomedicalConcept_19"
