"id","name","synonyms","label","reference","uuid:ID","instanceType"
"BiomedicalConcept_8","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","40eacbbc-0f5e-4a38-a3db-a302d7f28755","BiomedicalConcept"
"BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","c7b2e860-7c5d-4f14-8986-380245872e1c","BiomedicalConcept"
"BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","68c5c2b5-70c8-4d3f-b0be-0deb21cc1cd0","BiomedicalConcept"
"BiomedicalConcept_11","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","60ebfabc-b8cc-45d6-9f8a-df313aaae355","BiomedicalConcept"
"BiomedicalConcept_12","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","1305740e-bd3d-492f-81fa-03b6a8cb5ce5","BiomedicalConcept"
"BiomedicalConcept_13","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","3455a505-d3af-4f2d-b48c-f05ae7068cb1","BiomedicalConcept"
"BiomedicalConcept_14","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","50766883-cc15-4853-a845-e3f072f3a8f9","BiomedicalConcept"
"BiomedicalConcept_15","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","03ba04ed-8069-4371-9b7d-74ea5176c619","BiomedicalConcept"
"BiomedicalConcept_16","Heart Rate","['Heart Rate']","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","fc8df724-2467-4bbd-bbba-b69f486c9c8d","BiomedicalConcept"
"BiomedicalConcept_17","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","ed9a5b58-ec07-4775-b119-a0354aadd231","BiomedicalConcept"
"BiomedicalConcept_18","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","0eb6e9e0-b27d-4e4d-a1d4-a97b2e435e51","BiomedicalConcept"
"BiomedicalConcept_19","Heart Rate","['Heart Rate']","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","c8a42d02-10a9-40c6-8231-e9fe6ed20903","BiomedicalConcept"
