"uuid:ID","instanceType","label","synonyms","name","id","reference"
"92820355-adce-4f02-b478-12a7f82a36fe","BiomedicalConcept","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept_2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"6a2f86a6-b206-4b17-8df0-d4ffbdeebb50","BiomedicalConcept","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept_3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"cca2b351-9f18-4aee-98e3-d1b28e77ce8e","BiomedicalConcept","Temperature","['Temperature', 'Body Temperature']","Temperature","BiomedicalConcept_4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"677c2ffc-64ac-49a8-b4a1-54b474fe40c7","BiomedicalConcept","Weight","['Weight', 'Body Weight']","Weight","BiomedicalConcept_5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"94bb1808-f3b4-4ec1-bb2c-38177a510f1d","BiomedicalConcept","Height","['Height', 'Body Height']","Height","BiomedicalConcept_6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"138481d5-ef4a-4e64-8eb2-3f71eb0d0de1","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"423af208-28b3-4f1b-9e1b-b593fefef2e4","BiomedicalConcept","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","BiomedicalConcept_8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"c6379e13-2156-42df-9fc9-669a589de197","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"cb017b71-0885-4005-a4e2-dfd60cac2eba","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"79899bd0-3e8e-474f-9860-979b65de29d0","BiomedicalConcept","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","BiomedicalConcept_11","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"a9e97d9f-f38c-4d0f-9105-bd1caedeb2eb","BiomedicalConcept","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","BiomedicalConcept_12","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"6ebf474d-737f-4953-bd32-94286afb9ea8","BiomedicalConcept","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","BiomedicalConcept_13","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"fd8125ab-fad5-4710-aa0b-7d69deafd591","BiomedicalConcept","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept_14","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"ad69f228-f2ea-4659-b4df-8edfb7a35578","BiomedicalConcept","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept_15","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"24a3fec9-2edf-486a-b0bb-bf811d1343a7","BiomedicalConcept","Heart Rate","['Heart Rate']","Heart Rate","BiomedicalConcept_16","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
"c54f3d77-11ce-4efb-80af-ab4ffe7796f4","BiomedicalConcept","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept_17","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"1888439a-35df-409f-a29a-2ef06186ca54","BiomedicalConcept","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept_18","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"b67fb5f8-7390-427e-8d8f-639635346405","BiomedicalConcept","Heart Rate","['Heart Rate']","Heart Rate","BiomedicalConcept_19","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
