"codeSystemVersion","uuid:ID","decode","codeSystem","instanceType","code","id"
"2023-12-15","51d28eab-756c-4188-b386-984e5b5f47dd","In Person","http://www.cdisc.org","Code","C175574","Code_85"
"2023-12-15","b434a770-d809-46fb-b8fa-2d9dc4c5dc7a","Visit","http://www.cdisc.org","Code","C25716","Code_86"
"2023-12-15","d697cc82-1f42-4650-a336-10920afd9f55","Clinic","http://www.cdisc.org","Code","C51282","Code_87"
"2023-12-15","bb72a1dc-79d0-446e-8178-043b0aca997b","In Person","http://www.cdisc.org","Code","C175574","Code_88"
"2023-12-15","28f259c2-b351-46a7-8510-6469b5f72d5f","Visit","http://www.cdisc.org","Code","C25716","Code_89"
"2023-12-15","14cdf1ae-04b7-4f18-857b-3e38f9415abe","Clinic","http://www.cdisc.org","Code","C51282","Code_90"
"2023-12-15","f1aed9af-334f-4245-bc44-432851b34a01","In Person","http://www.cdisc.org","Code","C175574","Code_91"
"2023-12-15","f175fef9-c0ee-4f7f-a4f1-31da72320446","Visit","http://www.cdisc.org","Code","C25716","Code_92"
"2023-12-15","593d3be3-e3cc-4070-bcbe-01ecb05ce8c7","Clinic","http://www.cdisc.org","Code","C51282","Code_93"
"2023-12-15","d076a3f9-1c70-48f2-aed2-fd0fd6a95a8e","In Person","http://www.cdisc.org","Code","C175574","Code_94"
"2023-12-15","1dd4533e-d08f-4450-8594-d2698258c1b9","Visit","http://www.cdisc.org","Code","C25716","Code_95"
"2023-12-15","1584c4db-e31e-4f89-9111-77ddc2aed2ec","Clinic","http://www.cdisc.org","Code","C51282","Code_96"
"2023-12-15","4dc6b3a5-1193-4a25-87c9-67febd2f2dcc","In Person","http://www.cdisc.org","Code","C175574","Code_97"
"2023-12-15","7228678d-d052-4036-b108-1d4e7d146567","Visit","http://www.cdisc.org","Code","C25716","Code_98"
"2023-12-15","12631db3-1a54-4731-b195-a54b18fa1abb","Clinic","http://www.cdisc.org","Code","C51282","Code_99"
"2023-12-15","72f0fbb6-3064-4254-88d7-845decd5e18d","In Person","http://www.cdisc.org","Code","C175574","Code_100"
"2023-12-15","b2c42c8f-b6e1-4f24-be61-26bf4d6ac696","Visit","http://www.cdisc.org","Code","C25716","Code_101"
"2023-12-15","0c980a62-24f6-41cf-a9b2-a51a90b3fa6f","Clinic","http://www.cdisc.org","Code","C51282","Code_102"
"2023-12-15","c6c43d61-9d14-40f2-be4b-1883b538d964","In Person","http://www.cdisc.org","Code","C175574","Code_103"
"2023-12-15","8e46145a-2087-4e61-82e2-15ade54e8cd4","Telephone Call","http://www.cdisc.org","Code","C171537","Code_104"
"2023-12-15","a4c8ba3c-b4b5-4f43-9de0-47354f4b0e97","Visit","http://www.cdisc.org","Code","C25716","Code_105"
"2023-12-15","d203674c-e116-4663-9fbb-12486a6e7978","Clinic","http://www.cdisc.org","Code","C51282","Code_106"
"2023-12-15","9d766f5c-8e13-40e9-b6b0-630514e5e742","In Person","http://www.cdisc.org","Code","C175574","Code_107"
"2023-12-15","ec4e5b65-4fe4-4ba1-85a5-30526a94c068","Telephone Call","http://www.cdisc.org","Code","C171537","Code_108"
"2023-12-15","a676d4f1-bf32-409a-8d08-810849e16a89","Visit","http://www.cdisc.org","Code","C25716","Code_109"
"2023-12-15","d30bb34f-0935-478a-a93a-a5c588977afe","Clinic","http://www.cdisc.org","Code","C51282","Code_110"
"2023-12-15","7ba25287-6d7a-4e03-8046-e41e69d57806","In Person","http://www.cdisc.org","Code","C175574","Code_111"
"2023-12-15","fecd6f82-d6bb-4ee8-b8c0-6d5ec01847a3","Telephone Call","http://www.cdisc.org","Code","C171537","Code_112"
"2023-12-15","84f51012-e365-4fb5-999c-ca8afb944835","Visit","http://www.cdisc.org","Code","C25716","Code_113"
"2023-12-15","404e968e-5e49-4c51-b975-8d6cb7e46c7e","Clinic","http://www.cdisc.org","Code","C51282","Code_114"
"2023-12-15","135e1612-9eb0-45c0-97b8-1203286ec929","In Person","http://www.cdisc.org","Code","C175574","Code_115"
"2023-12-15","356fb205-9f58-4180-b60f-5d7e7dfcba57","Telephone Call","http://www.cdisc.org","Code","C171537","Code_116"
"2023-12-15","67bdb362-cb6e-4b28-92d9-ce3c277730a1","Visit","http://www.cdisc.org","Code","C25716","Code_117"
"2023-12-15","29bdc9cd-30ed-48cf-b479-996ca4512ece","Clinic","http://www.cdisc.org","Code","C51282","Code_118"
"2023-12-15","18dbba4d-f8f8-4761-8bca-a98f93e79474","In Person","http://www.cdisc.org","Code","C175574","Code_119"
"2023-12-15","6a48d5f4-e5e2-4fbe-9e9d-137867616ded","Visit","http://www.cdisc.org","Code","C25716","Code_120"
"2023-12-15","f86fe609-9533-4147-85da-c0df0d376d00","Clinic","http://www.cdisc.org","Code","C51282","Code_121"
"2023-12-15","6ab4e139-f13e-4f4b-a85d-7ce2df465c9f","In Person","http://www.cdisc.org","Code","C175574","Code_122"
"January 31, 2018","a3cad257-1a51-4305-957f-558a7f5935b3","CT of head without contrast","SNOMED","Code","383371000119108","Code_80"
"12","257a9951-a356-45d6-9baa-4a994e4ca6b2","Subject Supine","SPONSOR","Code","123","Code_81"
"12","bc7016e2-5a5e-447d-88d3-367d75150f8c","Subject Standing","SPONSOR","Code","124","Code_82"
"2023-12-15","a58975d2-1e00-48e4-ba9d-071e3e66ff81","Dictionary-derived Term","http://www.cdisc.org","Code","C82977","Code_429"
"2023-12-15","5cebc192-d52c-4f24-a00b-d0b68fc341eb","Reported Event Term","http://www.cdisc.org","Code","C82571","Code_430"
"2023-12-15","724afb13-5620-4ea6-95b3-e0449c2499cf","Observation Start Date Time","http://www.cdisc.org","Code","C82517","Code_431"
"2023-12-15","7c7c5a17-7fde-4a84-85b5-47e6b6e8eed4","Informed Consent","http://www.cdisc.org","Code","C16735","Code_432"
"2023-12-15","edc10085-b9e5-45e5-8e94-23aa945a0632","Male","http://www.cdisc.org","Code","C20197","Code_433"
"2023-12-15","052727ff-e1eb-4a03-8f1e-1ad61c9142b1","Female","http://www.cdisc.org","Code","C16576","Code_434"
"2023-12-15","0fad90f0-733a-4c97-8e78-f80a03b49a7e","Sex","http://www.cdisc.org","Code","C28421","Code_435"
"2023-12-15","0d3f8ce4-12cd-4086-b218-ddbb501a9a04","Sex","http://www.cdisc.org","Code","C28421","Code_436"
"2023-12-15","aa4e750d-3f7e-48ce-95f8-003e93e7962d","Race","http://www.cdisc.org","Code","C17049","Code_437"
"2023-12-15","96510673-6960-4ba8-ba35-f50e0a40e28c","Race","http://www.cdisc.org","Code","C17049","Code_438"
"2023-12-15","f9657484-3393-4352-9fd1-512c0adf0457","TEMP","http://www.cdisc.org","Code","C174446","Code_439"
"2023-12-15","4acd7528-15d6-4e82-b765-fe9c55413c86","Clinical Test Result","http://www.cdisc.org","Code","C77140","Code_440"
"2023-12-15","350e5026-3a21-4436-91b0-b35f854b08e9","Degree Celsius","http://www.cdisc.org","Code","C42559","Code_441"
"2023-12-15","1695f263-7cd2-4285-81d4-cd569e427f1c","Degree Fahrenheit","http://www.cdisc.org","Code","C44277","Code_442"
"2023-12-15","0f6c768c-fae5-464b-80f0-0693f53779a5","Kelvin","http://www.cdisc.org","Code","C42537","Code_443"
"2023-12-15","3f669cf3-be38-4255-98bc-c60e848eb741","Unit of Temperature","http://www.cdisc.org","Code","C44276","Code_444"
"2023-12-15","1f498cd7-4c65-459f-9e2f-dfe46bbd3388","Axilla","http://www.cdisc.org","Code","C12674","Code_445"
"2023-12-15","defa81c7-8e55-43d7-af58-01ee2b0ce843","Ear","http://www.cdisc.org","Code","C12394","Code_446"
"2023-12-15","d861a82f-2e73-4fc2-a97b-b519decfecb0","Forehead","http://www.cdisc.org","Code","C89803","Code_447"
"2023-12-15","27cc4c59-7446-439f-902c-030b5747e709","Oral Cavity","http://www.cdisc.org","Code","C12421","Code_448"
"2023-12-15","5d5c965d-4d98-41f1-bb9d-93e3a76bba55","Rectum","http://www.cdisc.org","Code","C12390","Code_449"
"2023-12-15","d58dc038-53a6-46dc-806b-6e42e80a969e","Anatomic Site","http://www.cdisc.org","Code","C13717","Code_450"
"2023-12-15","05762a2b-225b-420c-bafa-79e1155ef883","TEMP","http://www.cdisc.org","Code","C174446","Code_451"
"2023-12-15","b75fb4dd-0cfe-4073-b3db-3280c0342345","WEIGHT","http://www.cdisc.org","Code","C25208","Code_452"
"2023-12-15","5fcc671c-ef29-45b5-9ce8-875484df0310","Clinical Test Result","http://www.cdisc.org","Code","C77140","Code_453"
"2023-12-15","43c4301f-bbfb-41aa-9db3-0b188442a0e7","Pound","http://www.cdisc.org","Code","C48531","Code_454"
"2023-12-15","e7b8ff99-7483-4c06-a8a9-93099312db4a","Gram","http://www.cdisc.org","Code","C48155","Code_455"
"2023-12-15","14d26bb3-a928-4b0b-8887-b3ca2bf5814d","Kilogram","http://www.cdisc.org","Code","C28252","Code_456"
"2023-12-15","cd85053a-ed72-4745-86bb-f827ffa74326","Unit of Weight","http://www.cdisc.org","Code","C48208","Code_457"
"2023-12-15","244ba9db-ef08-47b5-a475-53b7a4923794","WEIGHT","http://www.cdisc.org","Code","C25208","Code_458"
"2023-12-15","6c985dcc-344b-4ece-a573-e9004bad9753","HEIGHT","http://www.cdisc.org","Code","C25347","Code_459"
"2023-12-15","b80c929b-4153-413e-bbcb-cb77a84efe91","Clinical Test Result","http://www.cdisc.org","Code","C77140","Code_460"
"2023-12-15","f7c8fb64-a983-45d5-8599-8a318cb1050e","Centimeter","http://www.cdisc.org","Code","C49668","Code_461"
"2023-12-15","31df9948-a672-4289-b58b-637b61288472","Inch","http://www.cdisc.org","Code","C48500","Code_462"
"2023-12-15","a5afd3ab-0aaa-4bc2-97ab-aa2027de08bd","Meter","http://www.cdisc.org","Code","C41139","Code_463"
"2023-12-15","6f1123be-008b-4ff1-926e-2ccadaa8114e","Unit of Height","http://www.cdisc.org","Code","C168688","Code_464"
"2023-12-15","641bb4ec-9d2c-4d3a-9321-4fae1c5f9678","HEIGHT","http://www.cdisc.org","Code","C25347","Code_465"
"2023-12-15","494f5d52-5d87-4527-b7b1-396170098d54","ALT","http://www.cdisc.org","Code","C64433","Code_466"
"2023-12-15","955a1035-2782-4532-85fb-3cd30bf829f3","Laboratory Test Result","http://www.cdisc.org","Code","C36292","Code_467"
"2023-12-15","dce5bb6d-0614-4a7e-b4c5-dd4bffb9103c","Unit per Liter","http://www.cdisc.org","Code","C67456","Code_468"
"2023-12-15","5a3512fb-11fa-4248-8c23-7b9a96924828","Microkatal per Liter","http://www.cdisc.org","Code","C67397","Code_469"
"2023-12-15","5b18365c-c89d-473a-8a4e-970dcbe01cc7","International Unit per Liter","http://www.cdisc.org","Code","C67376","Code_470"
"2023-12-15","42294fc2-1046-4f4e-9219-55da83289315","Nanokatal per Liter","http://www.cdisc.org","Code","C70510","Code_471"
"2023-12-15","94116e06-6c34-4742-b4cb-6c7b8b82b50e","Unit of Catalytic Activity Concentration","http://www.cdisc.org","Code","C67365","Code_472"
"2023-12-15","909e81e6-9c81-4d6a-b9e9-6c2b5b956b90","Biospecimen Type","http://www.cdisc.org","Code","C70713","Code_473"
"2023-12-15","49025fa0-ec1d-4460-a025-e3f41c576c2f","No","http://www.cdisc.org","Code","C49487","Code_474"
"2023-12-15","b41de956-5b72-486c-b6db-815ee4a8fe5f","Yes","http://www.cdisc.org","Code","C49488","Code_475"
"2023-12-15","302beceb-2ada-48db-960d-66b94422904e","Laboratory Test Fasting Status","http://www.cdisc.org","Code","C83309","Code_476"
"2023-12-15","aa325a97-362a-42be-918d-d4d288debd88","ALT","http://www.cdisc.org","Code","C64433","Code_477"
"2023-12-15","02bf3122-9b4b-48d0-ad45-c1fdd9dac7eb","ALB","http://www.cdisc.org","Code","C64431","Code_478"
"2023-12-15","8d3946bc-126d-4fa9-b2cb-fcffd8f7cfde","Laboratory Test Result","http://www.cdisc.org","Code","C36292","Code_479"
"2023-12-15","0113d46f-6eee-4a06-8f4d-a028a90af86f","Biospecimen Type","http://www.cdisc.org","Code","C70713","Code_480"
"2023-12-15","b51e9f99-fc22-4239-ace1-fb7f0113bd26","No","http://www.cdisc.org","Code","C49487","Code_481"
"2023-12-15","56fe1b5a-5a4c-4b93-9293-68e62453f323","Yes","http://www.cdisc.org","Code","C49488","Code_482"
"2023-12-15","88e60945-c9ad-4789-83ee-0763b9e9126c","Laboratory Test Fasting Status","http://www.cdisc.org","Code","C83309","Code_483"
"2023-12-15","c98db32d-ed40-4a95-af27-33be79663de9","ALB","http://www.cdisc.org","Code","C64431","Code_484"
"2023-12-15","0bc6f970-1db1-402a-bb4e-a66b6228bffb","ALP","http://www.cdisc.org","Code","C64432","Code_485"
"2023-12-15","3e128245-65ca-44fb-be9e-ec320f2e5549","Laboratory Test Result","http://www.cdisc.org","Code","C36292","Code_486"
"2023-12-15","2c2e823f-b10f-4090-9627-b57bfd853dc1","Unit per Liter","http://www.cdisc.org","Code","C67456","Code_487"
"2023-12-15","b7cd1674-6227-42c9-b8da-e92eb6862786","Microkatal per Liter","http://www.cdisc.org","Code","C67397","Code_488"
"2023-12-15","cad62fed-cf70-42ac-af9f-bea5b7c112a0","International Unit per Liter","http://www.cdisc.org","Code","C67376","Code_489"
"2023-12-15","745de7ec-7390-471b-b9ef-c4072653bb56","Unit of Catalytic Activity Concentration","http://www.cdisc.org","Code","C67365","Code_490"
"2023-12-15","2519742a-eb4e-41da-b291-b221b8876dee","Biospecimen Type","http://www.cdisc.org","Code","C70713","Code_491"
"2023-12-15","d5164222-532b-446f-b9c6-c3c796f9da8a","No","http://www.cdisc.org","Code","C49487","Code_492"
"2023-12-15","6d6723f1-dc4b-4c2c-bec6-a521ada87be7","Yes","http://www.cdisc.org","Code","C49488","Code_493"
"2023-12-15","e0c0e8b4-b2fb-4864-bb3e-c5dc4c6f305c","Laboratory Test Fasting Status","http://www.cdisc.org","Code","C83309","Code_494"
"2023-12-15","cd982ffc-0bca-46d8-a203-4a32bbcd9c86","ALP","http://www.cdisc.org","Code","C64432","Code_495"
"2023-12-15","9ea915b7-cfac-493c-b922-d97da92f8969","AST","http://www.cdisc.org","Code","C64467","Code_496"
"2023-12-15","b1bfc2d8-4252-4376-97c8-2262a5da2015","Laboratory Test Result","http://www.cdisc.org","Code","C36292","Code_497"
"2023-12-15","3bd57d3a-7f2b-4fc2-ba6d-0a17d9425906","Unit per Liter","http://www.cdisc.org","Code","C67456","Code_498"
"2023-12-15","5b82947b-c6f4-48b9-9780-c4e45f55a2eb","Microkatal per Liter","http://www.cdisc.org","Code","C67397","Code_499"
"2023-12-15","3a7a6263-e8fe-4f5c-881f-6dab6c466c88","International Unit per Liter","http://www.cdisc.org","Code","C67376","Code_500"
"2023-12-15","da2f4e96-9b2d-4d28-b81a-4902a37a3532","Unit of Catalytic Activity Concentration","http://www.cdisc.org","Code","C67365","Code_501"
"2023-12-15","68a2b938-5c94-46d2-bd74-c27554b3c812","Biospecimen Type","http://www.cdisc.org","Code","C70713","Code_502"
"2023-12-15","d69b4730-2da4-4839-b1a3-fce435895346","No","http://www.cdisc.org","Code","C49487","Code_503"
"2023-12-15","a5eeabcc-9c86-47a6-932a-f720d1b8465a","Yes","http://www.cdisc.org","Code","C49488","Code_504"
"2023-12-15","5f92462a-84a0-45f1-b95c-42fa2524f86a","Laboratory Test Fasting Status","http://www.cdisc.org","Code","C83309","Code_505"
"2023-12-15","4a6fc348-15bd-4a4a-bacd-8f80f2151b8d","AST","http://www.cdisc.org","Code","C64467","Code_506"
"2023-12-15","a7d3917d-6269-44e4-a156-42dfbcd13692","CREAT","http://www.cdisc.org","Code","C64547","Code_507"
"2023-12-15","c8b0e748-9127-454a-9086-97a4ee1ace51","Laboratory Test Result","http://www.cdisc.org","Code","C36292","Code_508"
"2023-12-15","6c0c0ba5-7e0c-4ae0-b21d-29f6cb64d0ec","Milligram per Deciliter","http://www.cdisc.org","Code","C67015","Code_509"
"2023-12-15","73b7077e-19fd-47f0-a422-260c7606ef87","Microgram per Milliliter","http://www.cdisc.org","Code","C64572","Code_510"
"2023-12-15","fb191f04-7d6a-467e-b1cd-cda19b7c4483","Millimole per Liter","http://www.cdisc.org","Code","C64387","Code_511"
"2023-12-15","9b9879a9-48e6-4b50-897b-042088355647","Micromole per Liter","http://www.cdisc.org","Code","C48508","Code_512"
"2023-12-15","443f1c38-69e1-4b80-866c-364a532a689f","Unit of Concentration","http://www.cdisc.org","Code","C48207","Code_513"
"2023-12-15","a24495ac-dd4f-4e5c-a891-5c8763460d4d","Biospecimen Type","http://www.cdisc.org","Code","C70713","Code_514"
"2023-12-15","f9355e67-8278-47be-8270-4f589186f414","No","http://www.cdisc.org","Code","C49487","Code_515"
"2023-12-15","014b46af-3b5c-4c58-95a5-eb61c5a7beb3","Yes","http://www.cdisc.org","Code","C49488","Code_516"
"2023-12-15","fe27c242-e353-433c-9a6b-c8ef38ad0cb1","Laboratory Test Fasting Status","http://www.cdisc.org","Code","C83309","Code_517"
"2023-12-15","3fed3ca0-9ed2-47f0-a3c0-bdd410ec714a","CREAT","http://www.cdisc.org","Code","C64547","Code_518"
"2023-12-15","f8f815a2-edf8-47ad-9839-b1988411e147","K","http://www.cdisc.org","Code","C64853","Code_519"
"2023-12-15","a6a6f4c1-b13b-4457-afb8-25cc6166aa38","Laboratory Test Result","http://www.cdisc.org","Code","C36292","Code_520"
"2023-12-15","b41a0745-fd6c-4636-bf98-64a970bbf10e","Milliequivalent per Liter","http://www.cdisc.org","Code","C67474","Code_521"
"2023-12-15","0a280b24-d049-45f6-9645-3d7d2a47328c","Milliequivalent per Deciliter","http://www.cdisc.org","Code","C67473","Code_522"
"2023-12-15","66cfe80f-9b8f-4e16-a6b3-7690e1891f9b","Millimole per Liter","http://www.cdisc.org","Code","C64387","Code_523"
"2023-12-15","b4c9e959-96f9-4f41-90ab-da29404db0f7","Molarity Unit","http://www.cdisc.org","Code","C64567","Code_524"
"2023-12-15","ba6c522d-ec0e-4f9e-a878-8f1c03835604","Biospecimen Type","http://www.cdisc.org","Code","C70713","Code_525"
"2023-12-15","01366b3b-ebab-4bdf-a2ab-54a5a18020e9","No","http://www.cdisc.org","Code","C49487","Code_526"
"2023-12-15","1e5112f2-1804-4020-a094-7509f85b8562","Yes","http://www.cdisc.org","Code","C49488","Code_527"
"2023-12-15","4b72cdd6-f798-402c-b3df-de66e10de68d","Laboratory Test Fasting Status","http://www.cdisc.org","Code","C83309","Code_528"
"2023-12-15","b11bd19f-f21c-4d03-80d8-a85fe255dd43","K","http://www.cdisc.org","Code","C64853","Code_529"
"2023-12-15","b1652371-c926-4247-9962-30ffcf7319b2","SODIUM","http://www.cdisc.org","Code","C64809","Code_530"
"2023-12-15","7c91d1ca-169e-41a0-b456-038fbdf42a2f","Laboratory Test Result","http://www.cdisc.org","Code","C36292","Code_531"
"2023-12-15","8d8125f9-7851-437b-8947-8ba983055695","Milliequivalent per Liter","http://www.cdisc.org","Code","C67474","Code_532"
"2023-12-15","a996ac55-92b8-4ac7-8cf8-f0073313d425","Milliequivalent per Deciliter","http://www.cdisc.org","Code","C67473","Code_533"
"2023-12-15","aa627742-b23b-41a4-8ff1-d9efd401b8af","Millimole per Liter","http://www.cdisc.org","Code","C64387","Code_534"
"2023-12-15","359b85fc-6e6c-4340-b3a6-c6280b096ce6","Molarity Unit","http://www.cdisc.org","Code","C64567","Code_535"
"2023-12-15","3c4440a3-6614-4500-bbb0-8e89eade6d01","Biospecimen Type","http://www.cdisc.org","Code","C70713","Code_536"
"2023-12-15","aa5392cd-901a-4ae9-a67f-c84bae9c0710","No","http://www.cdisc.org","Code","C49487","Code_537"
"2023-12-15","0e7189ec-de41-4b9e-be59-e6142d813ca9","Yes","http://www.cdisc.org","Code","C49488","Code_538"
"2023-12-15","b7ad4499-cb8b-4a3f-bd57-a57f431488d8","Laboratory Test Fasting Status","http://www.cdisc.org","Code","C83309","Code_539"
"2023-12-15","c8cbcc15-00ac-434b-ab24-8c1227ac73ab","SODIUM","http://www.cdisc.org","Code","C64809","Code_540"
"2023-12-15","a59925b1-3994-4cfe-a76e-67dc7f1987bd","HBA1C","http://www.cdisc.org","Code","C64849","Code_541"
"2023-12-15","98f2ea46-399f-4f1b-a357-131d6d956892","Laboratory Test Result","http://www.cdisc.org","Code","C36292","Code_542"
"2023-12-15","a09ea7c0-cc72-4cd5-8d42-8a585b20c3bd","Gram per Deciliter","http://www.cdisc.org","Code","C64783","Code_543"
"2023-12-15","cf3d97f3-ec54-4364-8182-7b64b514a17e","LBORRESU","http://www.cdisc.org","Code","No Concept Code","Code_544"
"2023-12-15","e7c42ce3-0a56-4896-955d-5d36eab1cb3f","Biospecimen Type","http://www.cdisc.org","Code","C70713","Code_545"
"2023-12-15","e1e78fb4-cc6b-4227-9b5d-4379507c06e7","No","http://www.cdisc.org","Code","C49487","Code_546"
"2023-12-15","b6da9de3-75cb-40bf-aadd-711e6e75285e","Yes","http://www.cdisc.org","Code","C49488","Code_547"
"2023-12-15","cfe39800-4dcd-492b-b7a1-634bc3ad9edd","Laboratory Test Fasting Status","http://www.cdisc.org","Code","C83309","Code_548"
"2023-12-15","1898dce2-2f8d-461e-9249-4b93cbf0e456","HBA1C","http://www.cdisc.org","Code","C64849","Code_549"
"2023-12-15","83986f24-f1e0-47c0-9852-54f54e830a52","Adverse Event Verbatim Description","http://www.cdisc.org","Code","C78541","Code_145"
"2023-12-15","e0655bb5-7c9a-49c7-a7a3-cda47e31bbe4","Adverse Event Dictionary Derived Term","http://www.cdisc.org","Code","C83344","Code_146"
"2023-12-15","238eff64-c7ef-48a5-a2cc-d6a322a5f926","No","http://www.cdisc.org","Code","C49487","Code_147"
"2023-12-15","cb38128e-1282-44d1-aa30-2fe03119d67a","Yes","http://www.cdisc.org","Code","C49488","Code_148"
"2023-12-15","6c307dbf-2e04-4d71-b502-a357a891d9b4","Adverse Event Pre-specified","http://www.cdisc.org","Code","C87840","Code_149"
"2023-12-15","9d8f1bda-bb60-4878-9310-b14f31b3706a","Adverse Event Location","http://www.cdisc.org","Code","C83205","Code_150"
"2023-12-15","d2accf76-0653-4d82-b34f-8c8dd7e80bca","Severity of Adverse Event","http://www.cdisc.org","Code","C53253","Code_151"
"2023-12-15","80fa18e5-a8ce-4087-95bc-92dd0be98f83","No","http://www.cdisc.org","Code","C49487","Code_152"
"2023-12-15","e7884fba-0152-4802-9f4d-6f251b9bce5c","Yes","http://www.cdisc.org","Code","C49488","Code_153"
"2023-12-15","00b04f1d-f60e-40fe-911c-b42796b0bc04","Seriousness of Adverse Event","http://www.cdisc.org","Code","C53252","Code_154"
"2023-12-15","c82e99d0-ae3f-4aae-af71-1ff2043088b3","Adverse Event Action Taken with Study Treatment","http://www.cdisc.org","Code","C83013","Code_155"
"2023-12-15","82730a84-349f-4486-a05f-c5830eb5a074","Other Actions taken in Response to Adverse Event","http://www.cdisc.org","Code","C83109","Code_156"
"2023-12-15","cbc60f22-c135-48c7-9120-b7bd49bc4611","Adverse Event Attribution to Product or Procedure","http://www.cdisc.org","Code","C41358","Code_157"
"2023-12-15","c15c5848-844e-4953-9d7c-89834c6a7c34","Adverse Event Relationship to Non Study Treatment","http://www.cdisc.org","Code","C83210","Code_158"
"2023-12-15","cca93eb6-0b8c-4710-adce-0c393243d940","Adverse Event Pattern","http://www.cdisc.org","Code","C83208","Code_159"
"2023-12-15","d6296cc5-02fe-460c-bfdb-697af32e8bd3","Adverse Event Outcome","http://www.cdisc.org","Code","C49489","Code_160"
"2023-12-15","7720f1e3-39bc-480c-989f-cd8804c7f9df","No","http://www.cdisc.org","Code","C49487","Code_161"
"2023-12-15","536cdc04-bdd0-45c2-b45b-d2f8411339f2","Yes","http://www.cdisc.org","Code","C49488","Code_162"
"2023-12-15","11ee92cd-7507-4f27-8768-7bec7b9c862a","Adverse Event Involves Cancer","http://www.cdisc.org","Code","C83211","Code_163"
"2023-12-15","822f6680-1bf2-4e55-a5f5-6f4d04c31473","No","http://www.cdisc.org","Code","C49487","Code_164"
"2023-12-15","bb2af650-a69b-49d0-b624-8ad5fb507f3e","Yes","http://www.cdisc.org","Code","C49488","Code_165"
"2023-12-15","1564b26c-ebc9-4b00-b471-eec67b84d9a3","Adverse Event Seriousness Due to Congenital Anomaly","http://www.cdisc.org","Code","C83117","Code_166"
"2023-12-15","8c905f2f-a6f5-4637-87c4-eb831947b9c6","No","http://www.cdisc.org","Code","C49487","Code_167"
"2023-12-15","abeb95ff-9e47-43dc-acf9-5bb285414e48","Yes","http://www.cdisc.org","Code","C49488","Code_168"
