"identifier","uuid:ID","name","instanceType","text","label","description","id"
"15","7b9f9377-aa3f-45f8-afe0-b4e7e38e040d","EXC15","EligibilityCriterion","<p>have previously completed or withdrawn from this study or any other study investigating LY900018, and have previously received LY900018</p>","","Same product critierion","EligibilityCriterion_15"
"16","287955b0-afb7-4c55-bfa6-c5e5221b600c","EXC16","EligibilityCriterion","<p>have known allergies or sensitivity to LY900018, glucagon, related compounds, or any components of the formulation, or history of significant atopy</p>","","Sensititivity criterion","EligibilityCriterion_16"
"17","7856e0e4-61b1-41d3-b6aa-f3d88df11eb7","EXC17","EligibilityCriterion","<p>have an abnormality in the 12-lead ECG that, in the opinion of the investigator, increases the risks associated with participating in the study</p>","","ECG abnormaility criterion","EligibilityCriterion_17"
"18","e6a6b9ea-0fc1-4b9a-9d9f-c3a61ca032c2","EXC18","EligibilityCriterion","<p>any significant changes in insulin regimen and/or unstable blood glucose control within the past 3 months prior to screening as assessed by the investigator</p>","","","EligibilityCriterion_18"
"19","390f4595-acd4-40fa-a3ef-6ea0b6180e1d","EXC19","EligibilityCriterion","<p>have received a total daily dose of insulin &gt;1.2 U/kg at the time of screening</p>","","","EligibilityCriterion_19"
"20","417f1ee4-0b4c-449a-a77f-ade8bc7cbb1b","EXC20","EligibilityCriterion","<p>have poorly controlled hypertension (ie, supine systolic BP &gt;165 mm Hg or supine diastolic BP &gt;95 mm Hg) at screening, or a change in antihypertensive medications within 30 days prior to screening</p>","","","EligibilityCriterion_20"
"21","9550ea70-7555-452f-8493-29e78f6e50c6","EXC21","EligibilityCriterion","<p>have a history of pheochromocytoma (ie, adrenal gland tumor) or insulinoma</p>","","","EligibilityCriterion_21"
"22","50335c94-7e66-49f6-ba47-b7c3cefefe01","EXC22","EligibilityCriterion","<p>have a history of an episode of severe hypoglycemia (as defined by an episode that required third party assistance for treatment) in the 1 month prior to screening or have a history of loss of consciousness within the last 2 years induced other than by hypoglycemia</p>","","","EligibilityCriterion_22"
"23","b7018347-9f69-4094-a147-75d3716ca19c","EXC23","EligibilityCriterion","<p>have a history of epilepsy or seizure disorder</p>","","Epilepsy criterion","EligibilityCriterion_23"
"24","be5e90f7-2047-4bfc-b812-3ee95248e755","EXC24","EligibilityCriterion","<p>have a history or presence of cardiovascular, respiratory, hepatic, renal, gastrointestinal, endocrine (apart from T1DM or T2DM), hematological, or neurological disorders capable of significantly altering the absorption, metabolism, or elimination of drugs; of constituting a risk when taking the investigational product; or of interfering with the interpretation of data</p>","","Medical conditions criterion","EligibilityCriterion_24"
"25","56211eea-5cc7-4b25-be7f-679157110756","EXC25","EligibilityCriterion","<p>have known or ongoing psychiatric disorders that, in the opinion of the investigator, may preclude the patient from following and completing the protocol</p>","","Physciatric criterion","EligibilityCriterion_25"
"26","be10fc12-96f6-4b6c-a942-8d080fc04c0d","EXC26","EligibilityCriterion","<p>regularly use known drugs of abuse and/or show positive findings on urinary drug screening</p>","","Drug abuse criterion","EligibilityCriterion_26"
"27","3c8a4d2e-11de-4368-a8b5-a5a8db3ae68b","EXC27","EligibilityCriterion","<p>show evidence of human immunodeficiency virus (HIV) infection and/or positive HIV antibodies and/or antigen</p>","","HIV criterion","EligibilityCriterion_27"
"28","88c13023-c619-4c59-9632-042ee69a7797","EXC28","EligibilityCriterion","<p>show evidence of hepatitis C and/or positive hepatitis C antibody</p>","","Hep C criterion","EligibilityCriterion_28"
"29","6763c66f-4d86-4895-a09d-1989bae72158","EXC29","EligibilityCriterion","<p>show evidence of hepatitis B and/or positive hepatitis B surface antigen</p>","","Hep B criterion","EligibilityCriterion_29"
"30","f0ceb098-8fed-4d3d-a0f5-c8d288eda4b1","EXC30","EligibilityCriterion","<p>show evidence of syphilis and/or are positive for syphilis test</p>","","Syphillia criterion","EligibilityCriterion_30"
"31","72e355d3-fd62-48d5-b420-8f560a5bc659","EXC31","EligibilityCriterion","<p>are women who are lactating</p>","","","EligibilityCriterion_31"
"32","7bb77c17-5b40-4ec5-8f7b-c7f24a874beb","EXC32","EligibilityCriterion","<p>use of daily systemic beta-blocker, indomethacin, warfarin, anticholinergic drugs</p>","","","EligibilityCriterion_32"
"33","bffd807a-4ba4-4ea2-a45f-8d5f0c401936","EXC33","EligibilityCriterion","<p>have donated 400 mL or more blood in the last 12 weeks (males) or in the last 16 weeks (females), or any blood donation (including apheresis) within the last 4 weeks, or total volume of blood donation within 12 months is 1200 mL (males)/800 mL (females) or more at screening</p>","","Blood donation criterion","EligibilityCriterion_33"
"34","68a9838c-a997-491b-8ebd-0b48ace96352","EXC34","EligibilityCriterion","<p>have an average weekly alcohol intake that exceeds 21 units per week (males up to age 65) and 14 units per week (males over 65 and females), or are unwilling to stop alcohol consumption from Day -2 to discharge from CRU in each period (1 unit = 12 oz or 360 mL of beer; 5 oz or 150 mL of wine; 1.5 oz or 45 mL of distilled spirits)</p>","","Alcohol critierion","EligibilityCriterion_34"
"35","4b8a91fb-209f-4493-9ef4-35bca507e4d7","EXC35","EligibilityCriterion","<p>in the opinion of the investigator or sponsor, are unsuitable for inclusion in the study</p>","","Unsuitable criterion","EligibilityCriterion_35"
"36","ac7b66f7-5751-4930-a3f1-d2061e860662","EXC36","EligibilityCriterion","<p>have pre-proliferative and proliferative retinopathy or maculopathy requiring treatment or not clinically stable in the last 6 months, or patients with active changes in subjective eye symptoms as determined by the investigator if an eye exam has not been performed in the last 6 months. Note: If an eye examination has been performed no more than 6 months before screening, it will not have to be repeated; however, the investigator will need to confirm via interview that there is no change in subjective symptoms.</p>","","","EligibilityCriterion_36"
