"name","id","uuid:ID","instanceType","description","label","text","identifier"
"EXC20","EligibilityCriterion_20","bfebb246-7151-4c4d-a33c-5847c3813ff5","EligibilityCriterion","","","<p>have poorly controlled hypertension (ie, supine systolic BP &gt;165 mm Hg or supine diastolic BP &gt;95 mm Hg) at screening, or a change in antihypertensive medications within 30 days prior to screening</p>","20"
"EXC21","EligibilityCriterion_21","a0655103-1929-4fac-b0d2-3be3d66d1a74","EligibilityCriterion","","","<p>have a history of pheochromocytoma (ie, adrenal gland tumor) or insulinoma</p>","21"
"EXC22","EligibilityCriterion_22","8adbe0a7-32ee-4892-9e90-763df4621fa1","EligibilityCriterion","","","<p>have a history of an episode of severe hypoglycemia (as defined by an episode that required third party assistance for treatment) in the 1 month prior to screening or have a history of loss of consciousness within the last 2 years induced other than by hypoglycemia</p>","22"
"EXC23","EligibilityCriterion_23","f6e4b975-cbd9-46a4-b71b-1b70ec4d3e9c","EligibilityCriterion","Epilepsy criterion","","<p>have a history of epilepsy or seizure disorder</p>","23"
"EXC24","EligibilityCriterion_24","45c464b8-da87-492f-924d-adda79457742","EligibilityCriterion","Medical conditions criterion","","<p>have a history or presence of cardiovascular, respiratory, hepatic, renal, gastrointestinal, endocrine (apart from T1DM or T2DM), hematological, or neurological disorders capable of significantly altering the absorption, metabolism, or elimination of drugs; of constituting a risk when taking the investigational product; or of interfering with the interpretation of data</p>","24"
"EXC25","EligibilityCriterion_25","15ce4e4c-f50e-490c-a514-2a213aff976b","EligibilityCriterion","Physciatric criterion","","<p>have known or ongoing psychiatric disorders that, in the opinion of the investigator, may preclude the patient from following and completing the protocol</p>","25"
"EXC26","EligibilityCriterion_26","0570ed6e-c79a-4677-94c1-567ba9ee0ddd","EligibilityCriterion","Drug abuse criterion","","<p>regularly use known drugs of abuse and/or show positive findings on urinary drug screening</p>","26"
"EXC27","EligibilityCriterion_27","aec30b25-e66d-4a9e-a909-987c166564f9","EligibilityCriterion","HIV criterion","","<p>show evidence of human immunodeficiency virus (HIV) infection and/or positive HIV antibodies and/or antigen</p>","27"
"EXC28","EligibilityCriterion_28","480ff031-49e0-478d-a4d2-18a46ee1744e","EligibilityCriterion","Hep C criterion","","<p>show evidence of hepatitis C and/or positive hepatitis C antibody</p>","28"
"EXC29","EligibilityCriterion_29","ac5ca73f-67df-42bb-9256-fe5adbf87c8b","EligibilityCriterion","Hep B criterion","","<p>show evidence of hepatitis B and/or positive hepatitis B surface antigen</p>","29"
"EXC30","EligibilityCriterion_30","6980c7fd-1b53-47b8-a778-f14d063e1502","EligibilityCriterion","Syphillia criterion","","<p>show evidence of syphilis and/or are positive for syphilis test</p>","30"
"EXC31","EligibilityCriterion_31","f71deb29-f061-4f19-a105-8563a3a2c64c","EligibilityCriterion","","","<p>are women who are lactating</p>","31"
"EXC32","EligibilityCriterion_32","47cf6b1e-7b2f-446f-a87c-a3ef9f9e45cd","EligibilityCriterion","","","<p>use of daily systemic beta-blocker, indomethacin, warfarin, anticholinergic drugs</p>","32"
"EXC33","EligibilityCriterion_33","ced96466-fd84-4986-b4e4-766132ff6204","EligibilityCriterion","Blood donation criterion","","<p>have donated 400 mL or more blood in the last 12 weeks (males) or in the last 16 weeks (females), or any blood donation (including apheresis) within the last 4 weeks, or total volume of blood donation within 12 months is 1200 mL (males)/800 mL (females) or more at screening</p>","33"
"EXC34","EligibilityCriterion_34","42304b3c-737e-4168-91fb-09b26a8722de","EligibilityCriterion","Alcohol critierion","","<p>have an average weekly alcohol intake that exceeds 21 units per week (males up to age 65) and 14 units per week (males over 65 and females), or are unwilling to stop alcohol consumption from Day -2 to discharge from CRU in each period (1 unit = 12 oz or 360 mL of beer; 5 oz or 150 mL of wine; 1.5 oz or 45 mL of distilled spirits)</p>","34"
"EXC35","EligibilityCriterion_35","88080ac4-bc83-45b5-bb7d-2469f04bb6ef","EligibilityCriterion","Unsuitable criterion","","<p>in the opinion of the investigator or sponsor, are unsuitable for inclusion in the study</p>","35"
"EXC36","EligibilityCriterion_36","cecaa9a5-6afd-461c-893c-c9e887c8151d","EligibilityCriterion","","","<p>have pre-proliferative and proliferative retinopathy or maculopathy requiring treatment or not clinically stable in the last 6 months, or patients with active changes in subjective eye symptoms as determined by the investigator if an eye exam has not been performed in the last 6 months. Note: If an eye examination has been performed no more than 6 months before screening, it will not have to be repeated; however, the investigator will need to confirm via interview that there is no change in subjective symptoms.</p>","36"
