"name","id","uuid:ID","instanceType","reference","description","label"
"Blood urea nitrogen (BUN)","BiomedicalConceptSurrogate_33","5e1f90cf-f5a4-41cb-aed6-7a0ebb98cada","BiomedicalConceptSurrogate","None set","Blood urea nitrogen (BUN)","Blood urea nitrogen (BUN)"
"Uric acid","BiomedicalConceptSurrogate_34","af41329d-fb2e-4ca6-85ef-2143f05cc1b3","BiomedicalConceptSurrogate","None set","Uric acid","Uric acid"
"Total cholesterol","BiomedicalConceptSurrogate_35","936d54d4-b9f0-4f9f-8c29-6734decd7ca9","BiomedicalConceptSurrogate","None set","Total cholesterol","Total cholesterol"
"Total protein","BiomedicalConceptSurrogate_36","4a5f89a3-32df-42b0-92af-40a4e4ce2169","BiomedicalConceptSurrogate","None set","Total protein","Total protein"
"Albumin","BiomedicalConceptSurrogate_37","68f8b34d-d6c8-4780-a965-afc0c5127fe9","BiomedicalConceptSurrogate","None set","Albumin","Albumin"
"Total bilirubin","BiomedicalConceptSurrogate_38","33f67b07-327e-4163-bf7e-17adae79c3df","BiomedicalConceptSurrogate","None set","Total bilirubin","Total bilirubin"
"Alkaline phosphatase (ALP)","BiomedicalConceptSurrogate_39","2fe1f2fb-742b-465f-a002-606584f8b658","BiomedicalConceptSurrogate","None set","Alkaline phosphatase (ALP)","Alkaline phosphatase (ALP)"
"Aspartate aminotransferase (AST)","BiomedicalConceptSurrogate_40","e07bff3e-502a-4286-9309-fcb92b996246","BiomedicalConceptSurrogate","None set","Aspartate aminotransferase (AST)","Aspartate aminotransferase (AST)"
"Alanine aminotransferase (ALT)","BiomedicalConceptSurrogate_41","b5d8774d-3c60-497f-a9ec-f0375f06bd49","BiomedicalConceptSurrogate","None set","Alanine aminotransferase (ALT)","Alanine aminotransferase (ALT)"
"Creatinine","BiomedicalConceptSurrogate_42","8dd8934d-7d8a-414f-b784-eac0d5604665","BiomedicalConceptSurrogate","None set","Creatinine","Creatinine"
"Urinalysisa Gamma-glutamyl transferase (GGT)","BiomedicalConceptSurrogate_43","26a870ba-cb55-40b1-9e5a-38121e9b1a39","BiomedicalConceptSurrogate","None set","Urinalysisa Gamma-glutamyl transferase (GGT)","Urinalysisa Gamma-glutamyl transferase (GGT)"
"Insulin","BiomedicalConceptSurrogate_44","17aeffbe-301a-4305-8321-33a2d95f7c9a","BiomedicalConceptSurrogate","None set","Insulin","Insulin"
"Protein","BiomedicalConceptSurrogate_45","f5a4d832-3979-446b-99f5-57d301294e25","BiomedicalConceptSurrogate","None set","Protein","Protein"
"Glucose","BiomedicalConceptSurrogate_46","a6e7e56d-2289-415a-9e1a-a44bac6dae95","BiomedicalConceptSurrogate","None set","Glucose","Glucose"
"Ketones","BiomedicalConceptSurrogate_47","85b6327e-965c-4f41-be4d-f0ed4078349f","BiomedicalConceptSurrogate","None set","Ketones","Ketones"
"Bilirubin","BiomedicalConceptSurrogate_48","eb32f50c-aef3-4f11-a7d8-9f3a1c6e30cd","BiomedicalConceptSurrogate","None set","Bilirubin","Bilirubin"
"Urobilinogen","BiomedicalConceptSurrogate_49","5bc3ac73-59c7-4f17-a07e-9e377793cf14","BiomedicalConceptSurrogate","None set","Urobilinogen","Urobilinogen"
"Blood","BiomedicalConceptSurrogate_50","6ccdd116-8362-4774-b1cd-9b3e320da399","BiomedicalConceptSurrogate","None set","Blood","Blood"
"Nitrite","BiomedicalConceptSurrogate_51","dc2c103a-73af-4d47-a433-44a646127604","BiomedicalConceptSurrogate","None set","Nitrite","Nitrite"
"HbA1c","BiomedicalConceptSurrogate_52","9c26d59f-e351-4897-82a1-dcece02a18af","BiomedicalConceptSurrogate","None set","HbA1c","HbA1c"
"Weight","BiomedicalConceptSurrogate_1","3947ec08-94f5-41b3-8938-df325efb2014","BiomedicalConceptSurrogate","None set","Weight","Weight"
