"decode","uuid:ID","id","instanceType","codeSystemVersion","code","codeSystem"
"Clinic","6874ab07-3e51-4de7-b551-bf6e609680f7","Code_84","Code","2023-09-29","C51282","http://www.cdisc.org"
"In Person","b8fb92eb-b078-41f9-88ea-e8053ef8dcb4","Code_85","Code","2023-09-29","C175574","http://www.cdisc.org"
"Visit","50621cd3-324c-4439-b4a6-88fac567be06","Code_86","Code","2023-09-29","C25716","http://www.cdisc.org"
"Clinic","a8d3e653-473d-4483-ad75-178c32b1e226","Code_87","Code","2023-09-29","C51282","http://www.cdisc.org"
"In Person","4f47a08c-f7af-44ff-97c2-03822c386bb3","Code_88","Code","2023-09-29","C175574","http://www.cdisc.org"
"Visit","1690909a-b088-40cd-9dfa-195f8a35461c","Code_89","Code","2023-09-29","C25716","http://www.cdisc.org"
"Clinic","8ff3e327-f222-4e76-b075-7664c9b4f45b","Code_90","Code","2023-09-29","C51282","http://www.cdisc.org"
"In Person","69fe5df6-d78c-4ddc-a36b-954a76522219","Code_91","Code","2023-09-29","C175574","http://www.cdisc.org"
"Visit","40c35dcb-5617-4caf-9855-653d0313303d","Code_92","Code","2023-09-29","C25716","http://www.cdisc.org"
"Clinic","c012d024-0a21-4d7f-8e7b-8c35fdab49b4","Code_93","Code","2023-09-29","C51282","http://www.cdisc.org"
"In Person","13604106-6526-4af5-aa1b-0e69d047b5ce","Code_94","Code","2023-09-29","C175574","http://www.cdisc.org"
"Visit","2fa06445-eb93-46ef-8b7f-3c78878829c3","Code_95","Code","2023-09-29","C25716","http://www.cdisc.org"
"Clinic","5f7c24c4-5356-4faa-b0d4-fb7098ba3825","Code_96","Code","2023-09-29","C51282","http://www.cdisc.org"
"In Person","e90ac3fa-fa6f-4166-bde9-1b0eb366c769","Code_97","Code","2023-09-29","C175574","http://www.cdisc.org"
"Visit","9a437762-b393-4ede-b23a-e5d58458a447","Code_98","Code","2023-09-29","C25716","http://www.cdisc.org"
"Clinic","b548352d-3513-4262-8f30-f07135bf4f82","Code_99","Code","2023-09-29","C51282","http://www.cdisc.org"
"In Person","7cf28571-b96f-4162-901e-ed1e03bd65b3","Code_100","Code","2023-09-29","C175574","http://www.cdisc.org"
"Visit","3feef8b8-5bb7-439d-a536-19b45def5605","Code_101","Code","2023-09-29","C25716","http://www.cdisc.org"
"Clinic","69dcf579-4895-40ff-9c05-2b1bdfd17e0a","Code_102","Code","2023-09-29","C51282","http://www.cdisc.org"
"In Person","7239d1d9-9f3b-4b69-b795-2c996d172ac3","Code_103","Code","2023-09-29","C175574","http://www.cdisc.org"
"Telephone Call","64f88558-4104-4c25-9901-9386555030be","Code_104","Code","2023-09-29","C171537","http://www.cdisc.org"
"Visit","8f233586-b863-4a12-983a-2fd0847a9b5e","Code_105","Code","2023-09-29","C25716","http://www.cdisc.org"
"Clinic","496d62db-c013-445f-9aaf-7ac581845801","Code_106","Code","2023-09-29","C51282","http://www.cdisc.org"
"In Person","4b0688b3-131d-41e6-9cec-da5a5f2813d4","Code_107","Code","2023-09-29","C175574","http://www.cdisc.org"
"Telephone Call","971eebc9-108c-4b8a-bded-b80c58c80b70","Code_108","Code","2023-09-29","C171537","http://www.cdisc.org"
"Visit","93dd4f98-5992-45e0-b898-87769fe8bfed","Code_109","Code","2023-09-29","C25716","http://www.cdisc.org"
"Clinic","afd50db9-6278-4f01-a64a-d031e11478e9","Code_110","Code","2023-09-29","C51282","http://www.cdisc.org"
"In Person","f7e05acd-9735-43c3-ae90-5c5b9ca57beb","Code_111","Code","2023-09-29","C175574","http://www.cdisc.org"
"Telephone Call","8fed2a81-cd31-4053-a0b5-17da02d24bc2","Code_112","Code","2023-09-29","C171537","http://www.cdisc.org"
"Visit","8ada67b7-5692-4707-a845-8a32b0adc8cd","Code_113","Code","2023-09-29","C25716","http://www.cdisc.org"
"Clinic","9d5db25a-5921-4d95-a050-ab6d4d682534","Code_114","Code","2023-09-29","C51282","http://www.cdisc.org"
"In Person","a3960047-bb56-44c9-be7e-53b0301210f8","Code_115","Code","2023-09-29","C175574","http://www.cdisc.org"
"Telephone Call","88ee8392-6cff-404f-81a3-1a0bc4961a4d","Code_116","Code","2023-09-29","C171537","http://www.cdisc.org"
"Visit","af8fa520-05aa-4bf5-aec1-7dad29ca2b57","Code_117","Code","2023-09-29","C25716","http://www.cdisc.org"
"Clinic","51dc01a7-f148-456a-9ebd-efd0633bb131","Code_118","Code","2023-09-29","C51282","http://www.cdisc.org"
"In Person","6589657e-67c6-4e5d-943f-0ec05c1339d9","Code_119","Code","2023-09-29","C175574","http://www.cdisc.org"
"Visit","3f03e909-38a0-42de-9b0f-52f2c8692669","Code_120","Code","2023-09-29","C25716","http://www.cdisc.org"
"Clinic","19e1eb99-1272-41a3-b1f9-4a7039dab346","Code_121","Code","2023-09-29","C51282","http://www.cdisc.org"
"In Person","42e310b1-8f64-40da-a8a7-a405f524892b","Code_122","Code","2023-09-29","C175574","http://www.cdisc.org"
"CT of head without contrast","93bd8a50-3ba4-41bc-a0e2-651a55dfb819","Code_80","Code","January 31, 2018","383371000119108","SNOMED"
"Subject Supine","8fdc48dc-6d21-48dc-a841-7d275935d8aa","Code_81","Code","12","123","SPONSOR"
"Subject Standing","01b8ae15-a673-4aaf-9d35-7d5ba660d0af","Code_82","Code","12","124","SPONSOR"
"Male","24b44f8e-b960-4821-a033-daf8f628415b","Code_269","Code","2023-09-29","C20197","http://www.cdisc.org"
"Female","3584b7b4-27ae-4f01-9786-b764a099de08","Code_270","Code","2023-09-29","C16576","http://www.cdisc.org"
"Sex","6ba95e6a-76d9-414d-9e96-db892e9486aa","Code_271","Code","","C28421","NCI Thesaurus"
"Sex","f79ba14b-8232-43a1-a329-2c5838d7f546","Code_268","Code","","C28421","NCI Thesaurus"
"Race","52f5cfd4-732f-4cab-a83d-d0bf38c7789a","Code_273","Code","","C17049","NCI Thesaurus"
"Race","0e2d20b4-a5db-4a30-88ab-28fa09ea6a34","Code_272","Code","","C17049","NCI Thesaurus"
"Clinical Test Result","bd3fb3db-c392-4ed2-ad8a-d66a7ad30996","Code_275","Code","","C77140","NCI Thesaurus"
"Kelvin","46768f6b-c387-4d4c-9132-4b80fbbf8f5c","Code_276","Code","2023-09-29","C42537","http://www.cdisc.org"
"Unit of Temperature","c51536da-97a5-4138-8784-954cf87ec42a","Code_277","Code","","C44276","NCI Thesaurus"
"Anatomic Site","014e5563-40b4-4a1f-b587-3860c5ac5523","Code_278","Code","","C13717","NCI Thesaurus"
"Body Temperature","7cb35bfc-8a2a-4816-8067-217957ac6d39","Code_274","Code","","C174446","NCI Thesaurus"
"Clinical Test Result","3f7f0e19-a390-4dca-a87b-88f7536c190a","Code_280","Code","","C77140","NCI Thesaurus"
"Kilogram","6edfa593-c4ab-4b52-8663-9aafc51913ae","Code_281","Code","2023-09-29","C28252","http://www.cdisc.org"
"Gram","bbd08158-34e1-430b-907f-4b86fccfaea1","Code_282","Code","2023-09-29","C48155","http://www.cdisc.org"
"Pound","88d551d8-fe2c-473a-aba1-f2ff28c84dfe","Code_283","Code","2023-09-29","C48531","http://www.cdisc.org"
"Unit of Weight","29cb1095-1dd6-4f90-a6af-dae92ff3e6b7","Code_284","Code","","C48208","NCI Thesaurus"
"Body Weight","c8f26908-eabe-4445-9c30-e0ce22dbf555","Code_279","Code","","C81328","NCI Thesaurus"
"Clinical Test Result","609df471-6aa0-4f8a-9b9e-fe913bd3485a","Code_286","Code","","C77140","NCI Thesaurus"
"Centimeter","9ce2e927-5b3e-4db2-8f6c-877f871da251","Code_287","Code","2023-09-29","C49668","http://www.cdisc.org"
"Inch","cee77016-add9-4dcd-aff8-3e34646949f8","Code_288","Code","2023-09-29","C48500","http://www.cdisc.org"
"Millimeter","7d6e4197-3822-4526-afcb-67e7b758cd13","Code_289","Code","2023-09-29","C28251","http://www.cdisc.org"
"Meter","bce6f6fa-efd3-441c-a70d-26e027f4cda8","Code_290","Code","2023-09-29","C41139","http://www.cdisc.org"
"Unit of Height","d9ade985-8d17-4095-822d-829dfbaa6ffc","Code_291","Code","","C168688","NCI Thesaurus"
"Body Height","ae9eaff3-749b-4259-bc2e-4959c1816e88","Code_285","Code","","C164634","NCI Thesaurus"
"Laboratory Test Result","20df3d25-629c-474c-b82b-8fd41bac519b","Code_293","Code","","C36292","NCI Thesaurus"
"Laboratory Test Fasting Status","2270752f-8383-4d3a-8e13-65fce399f6de","Code_294","Code","","C83309","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","c5800c4e-60f1-41eb-8714-639bb20733c5","Code_295","Code","","C67365","NCI Thesaurus"
"Biospecimen Type","209d1a8e-2181-401e-92b6-1490adb997b9","Code_296","Code","","C70713","NCI Thesaurus"
"Alanine Aminotransferase Measurement","12a41c1f-0c7a-4ab5-801d-5612ba4b4c5a","Code_292","Code","","C64433","NCI Thesaurus"
"Laboratory Test Result","cf0d33f0-982d-44b7-87ca-e9cf9ad5607f","Code_298","Code","","C36292","NCI Thesaurus"
"Laboratory Test Fasting Status","01cc4e6e-dae8-4c7d-85e9-fdd7eeb03786","Code_299","Code","","C83309","NCI Thesaurus"
"Unit of Concentration","bbd2db90-394a-4365-9367-00ec1c6229b1","Code_300","Code","","C48207","NCI Thesaurus"
"Biospecimen Type","d6e2a3cf-8bc9-477b-9a59-fe5cde440bac","Code_301","Code","","C70713","NCI Thesaurus"
"Albumin Measurement","c7d39ec4-2821-4112-9e28-8d6a583d486d","Code_297","Code","","C64431","NCI Thesaurus"
"Laboratory Test Result","1d116f9f-9ed1-4944-9daa-6094b2ae3f73","Code_303","Code","","C36292","NCI Thesaurus"
"Laboratory Test Fasting Status","5dfa45c8-4b79-4c45-8492-7bb450747044","Code_304","Code","","C83309","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","25c52b26-689c-4db4-9f0a-9b54de3b05d1","Code_305","Code","","C67365","NCI Thesaurus"
"Biospecimen Type","021e2cde-ad75-4123-9ade-1f78e5d8c87a","Code_306","Code","","C70713","NCI Thesaurus"
"Alkaline Phosphatase Measurement","72e93333-e55b-4df2-ac1f-097a5393adeb","Code_302","Code","","C64432","NCI Thesaurus"
"Laboratory Test Result","988aa89c-40a6-4c75-bb78-ba322ff1d7cf","Code_308","Code","","C36292","NCI Thesaurus"
"Laboratory Test Fasting Status","7e22e2a0-d2dd-4dfe-a897-e0dd552eef4f","Code_309","Code","","C83309","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","f00fa297-cb71-4e10-b5f6-1220b061fe9a","Code_310","Code","","C67365","NCI Thesaurus"
"Biospecimen Type","99e94783-7afa-4fca-a8ed-4a0bd4db3718","Code_311","Code","","C70713","NCI Thesaurus"
"Aspartate Aminotransferase Measurement","c6b4520c-d1be-411e-b44d-561eb40fa227","Code_307","Code","","C64467","NCI Thesaurus"
"Laboratory Test Result","2b8960d3-5bad-478f-9ab6-3851ed28a731","Code_313","Code","","C36292","NCI Thesaurus"
"Laboratory Test Fasting Status","47404e01-3886-4d79-9fa6-a0644a79b77b","Code_314","Code","","C83309","NCI Thesaurus"
"Unit of Concentration","efb7ad47-7d3f-4223-bec2-98d76fd812e5","Code_315","Code","","C48207","NCI Thesaurus"
"Biospecimen Type","aec66497-f24b-4605-b8bb-0e984c93b26c","Code_316","Code","","C70713","NCI Thesaurus"
"Creatinine Measurement","30cad0b1-d2a1-4d3b-9c83-78e60147e96b","Code_312","Code","","C64547","NCI Thesaurus"
"Laboratory Test Result","c7f91b1b-0f0b-4a61-beed-a3e1f636026c","Code_318","Code","","C36292","NCI Thesaurus"
"Laboratory Test Fasting Status","474a611c-1707-4cbe-bd38-85ebaa2db575","Code_319","Code","","C83309","NCI Thesaurus"
"Molarity Unit","aeaaeabf-8f70-4f4f-8eb7-b06734c0752d","Code_320","Code","","C64567","NCI Thesaurus"
"Biospecimen Type","1e041e07-c0a5-47ca-b55e-cdd244378418","Code_321","Code","","C70713","NCI Thesaurus"
"Potassium Measurement","c312659b-62d4-4315-8014-5ae0b4b8c768","Code_317","Code","","C64853","NCI Thesaurus"
"Laboratory Test Result","6e256983-698d-42ac-b9a1-ba4d0762e7c2","Code_323","Code","","C36292","NCI Thesaurus"
"Laboratory Test Fasting Status","013a14f0-471b-4387-98b6-029de5b74b00","Code_324","Code","","C83309","NCI Thesaurus"
"Molarity Unit","99df81d9-f29e-4cf9-8a5b-08c3c691329c","Code_325","Code","","C64567","NCI Thesaurus"
"Biospecimen Type","9a6d878f-2a7f-4da9-80ae-11ec08d39523","Code_326","Code","","C70713","NCI Thesaurus"
"Sodium Measurement","e722f66d-40fa-4b26-b685-a159d30e069b","Code_322","Code","","C64809","NCI Thesaurus"
"Reported Event Term","45ed6e09-fd16-44bb-af3a-255f2d86496e","Code_146","Code","","C82571","NCI Thesaurus"
"Dictionary-derived Term","251c6892-4deb-4a2d-9e41-338be90614e8","Code_147","Code","","C82977","NCI Thesaurus"
"Category","fb414c58-ad7f-4742-b8f6-fcd8e432ca8b","Code_148","Code","","C25372","NCI Thesaurus"
"Subcategory","4d0b26ac-e175-4b52-83a4-3162c7be98c7","Code_149","Code","","C25692","NCI Thesaurus"
"Observation Start Date Time","2fbd5f6c-5cfc-47eb-8e36-9a5584418083","Code_150","Code","","C82517","NCI Thesaurus"
"Adverse Event","ec3356cd-4025-41d7-97e5-ee1ed6499869","Code_145","Code","","C41331","NCI Thesaurus"
"Clinical Test Result","5b04e2b6-4f7c-4b69-9b40-c41399f6a064","Code_152","Code","","C77140","NCI Thesaurus"
"Pascal","9197e82f-b501-49ca-b5c3-74cfd685ea31","Code_153","Code","2023-09-29","C42547","http://www.cdisc.org"
"Unit of Pressure","ab294a17-a0ed-49e5-b04a-4f33d20fcf43","Code_154","Code","","C49669","NCI Thesaurus"
"Anatomic Site","3847a688-8cbf-4075-857a-40b2fa8a92e9","Code_155","Code","","C13717","NCI Thesaurus"
"Laterality","ff09c466-4a68-435f-8ccd-d69ea7b97933","Code_156","Code","","C25185","NCI Thesaurus"
"Test Method","1d1d2cd2-23c4-4a71-988c-c5118b5a191c","Code_157","Code","","C82535","NCI Thesaurus"
"Body Position","4c1a9075-5b15-418d-a628-817ef98043b9","Code_158","Code","","C62164","NCI Thesaurus"
"Systolic Blood Pressure","497cb032-27a6-4afb-90c4-a042433ecdc4","Code_151","Code","","C25298","NCI Thesaurus"
"Clinical Test Result","1b45e6ea-31be-4918-b673-a4be1d34777b","Code_160","Code","","C77140","NCI Thesaurus"
"Pascal","552b1289-cc37-48a5-87d9-0644d1926226","Code_161","Code","2023-09-29","C42547","http://www.cdisc.org"
"Unit of Pressure","9b875583-a133-46ea-b784-7c72acd6e69c","Code_162","Code","","C49669","NCI Thesaurus"
"Anatomic Site","685adad8-b6c4-4964-898e-3959f13f0e97","Code_163","Code","","C13717","NCI Thesaurus"
"Laterality","9b010b08-3e0d-4469-b936-87e7475046e1","Code_164","Code","","C25185","NCI Thesaurus"
"Test Method","52b2252c-b45c-4b8a-a5a8-a8d403a99253","Code_165","Code","","C82535","NCI Thesaurus"
"Body Position","cc54ee7e-5ad4-4434-bdcc-217c9c77fc72","Code_166","Code","","C62164","NCI Thesaurus"
"Diastolic Blood Pressure","b7b76aee-9acb-4fc1-abaf-404e9e8f5cb1","Code_159","Code","","C25299","NCI Thesaurus"
"Clinical Test Result","731cbdda-b88c-418c-beb8-fc5127da70d7","Code_168","Code","","C77140","NCI Thesaurus"
"Kelvin","b7e4ea6f-e555-4b21-87ad-d7584fe4ae10","Code_169","Code","2023-09-29","C42537","http://www.cdisc.org"
"Unit of Temperature","373b7338-0cf9-4a1f-8cc8-ceaca9693b0a","Code_170","Code","","C44276","NCI Thesaurus"
"Anatomic Site","6af1dae6-a17c-405e-8395-144efaa3ed95","Code_171","Code","","C13717","NCI Thesaurus"
"Body Temperature","d65536cd-cedf-49bd-b4db-5c4b7de12306","Code_167","Code","","C174446","NCI Thesaurus"
"Clinical Test Result","14d3c7db-80e9-4f14-93e6-bc67610cb05b","Code_173","Code","","C77140","NCI Thesaurus"
"Kilogram","c5281094-476a-4453-ac9c-e52b48f802a7","Code_174","Code","2023-09-29","C28252","http://www.cdisc.org"
"Gram","bf818dd2-19bd-45da-8ff3-ecf8901120ef","Code_175","Code","2023-09-29","C48155","http://www.cdisc.org"
"Pound","20e1643e-41db-4495-844a-a87c4b750daf","Code_176","Code","2023-09-29","C48531","http://www.cdisc.org"
"Unit of Weight","223072a2-7261-4c74-827f-77981bd846b4","Code_177","Code","","C48208","NCI Thesaurus"
"Body Weight","c1a28fdf-fc95-4bb0-bfc8-c932f3bb0b53","Code_172","Code","","C81328","NCI Thesaurus"
"Clinical Test Result","3398b38d-26fe-4a2b-9614-6daf7bbbfb35","Code_179","Code","","C77140","NCI Thesaurus"
"Centimeter","0500c756-aeee-44df-87fe-697dfa4d9957","Code_180","Code","2023-09-29","C49668","http://www.cdisc.org"
"Inch","1661254c-e8e8-4170-8aaa-9700348aed30","Code_181","Code","2023-09-29","C48500","http://www.cdisc.org"
"Millimeter","5a8e6aeb-adb2-4099-9de3-381ae6567c50","Code_182","Code","2023-09-29","C28251","http://www.cdisc.org"
"Meter","e78f3ed4-4431-4073-8910-1cd0904b1654","Code_183","Code","2023-09-29","C41139","http://www.cdisc.org"
"Unit of Height","146a5a76-a6e8-4fae-b1b6-de6a8d8bdea6","Code_184","Code","","C168688","NCI Thesaurus"
"Body Height","f2967c2c-a528-4706-a412-14debc8ae867","Code_178","Code","","C164634","NCI Thesaurus"
"Laboratory Test Result","d024ab75-46ae-4fae-9267-d94e02cf19b4","Code_186","Code","","C36292","NCI Thesaurus"
"Laboratory Test Fasting Status","fda07673-476c-43bd-aeaa-6fc9383429d0","Code_187","Code","","C83309","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","d4cacd6a-d31c-4301-bbbd-967490f6b05e","Code_188","Code","","C67365","NCI Thesaurus"
"Biospecimen Type","0b933ac9-f9b1-4819-a7ac-35cd47bf359b","Code_189","Code","","C70713","NCI Thesaurus"
"Alanine Aminotransferase Measurement","ddca434c-5c06-470f-9ba5-0f733dca798c","Code_185","Code","","C64433","NCI Thesaurus"
"Laboratory Test Result","472de42c-6626-45bd-859d-e5653372c7f6","Code_191","Code","","C36292","NCI Thesaurus"
"Laboratory Test Fasting Status","f3a55401-5aa2-4216-9bb6-b5d74060d0cf","Code_192","Code","","C83309","NCI Thesaurus"
"Unit of Concentration","941650c1-3487-4acb-991e-de5dbf14649f","Code_193","Code","","C48207","NCI Thesaurus"
"Biospecimen Type","e63da559-5ead-4673-ba53-326c92b20c5d","Code_194","Code","","C70713","NCI Thesaurus"
"Albumin Measurement","c58b4731-eb94-407d-9bcd-c00aa04c452c","Code_190","Code","","C64431","NCI Thesaurus"
"Laboratory Test Result","78307df9-8b84-46b3-8952-a7c604366756","Code_196","Code","","C36292","NCI Thesaurus"
"Laboratory Test Fasting Status","1927d417-f0cb-43ff-bfd6-ddc708c4ec1d","Code_197","Code","","C83309","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","3f2cd4e7-4114-47d3-9b73-5aaf9b1f77ca","Code_198","Code","","C67365","NCI Thesaurus"
"Biospecimen Type","698e8209-713b-44c4-8e51-a1be4c77f1ca","Code_199","Code","","C70713","NCI Thesaurus"
"Alkaline Phosphatase Measurement","db4893e4-75b2-41af-8433-539885f6d08a","Code_195","Code","","C64432","NCI Thesaurus"
"Laboratory Test Result","e18f1bd2-e14e-4911-805b-5737bec89bf0","Code_201","Code","","C36292","NCI Thesaurus"
"Laboratory Test Fasting Status","ecb604c2-045b-4b98-8497-371116d9b4ee","Code_202","Code","","C83309","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","72be6b57-f7e4-4dce-b7c9-567002dbd58b","Code_203","Code","","C67365","NCI Thesaurus"
"Biospecimen Type","c38fd8db-67ab-4edb-85ce-895c7608bf94","Code_204","Code","","C70713","NCI Thesaurus"
"Aspartate Aminotransferase Measurement","85d781d9-20b5-423a-94e9-3556b29ef1a6","Code_200","Code","","C64467","NCI Thesaurus"
"Laboratory Test Result","59ddaaa2-63c7-4f64-bb0a-74436ac97786","Code_206","Code","","C36292","NCI Thesaurus"
"Laboratory Test Fasting Status","5c399171-2785-4f18-9eb6-6afc7c55c1d9","Code_207","Code","","C83309","NCI Thesaurus"
"Unit of Concentration","8764c015-160e-4d6c-a5d3-38e6b49bfdf7","Code_208","Code","","C48207","NCI Thesaurus"
"Biospecimen Type","120fa163-d728-4a10-8ad8-08b1b0bc5e1a","Code_209","Code","","C70713","NCI Thesaurus"
"Creatinine Measurement","45887675-1ffd-4207-ad3a-160386bd3a18","Code_205","Code","","C64547","NCI Thesaurus"
"Laboratory Test Result","720637ba-37e6-4839-b287-b36e23fdb4e2","Code_211","Code","","C36292","NCI Thesaurus"
"Laboratory Test Fasting Status","937479f6-e7f0-4126-8d26-d1e7658600f2","Code_212","Code","","C83309","NCI Thesaurus"
"Molarity Unit","a1e282b8-92b0-43ba-8d53-29b46d573f16","Code_213","Code","","C64567","NCI Thesaurus"
"Biospecimen Type","b2cf2172-d601-4dfa-806c-3a3ddaa35167","Code_214","Code","","C70713","NCI Thesaurus"
"Potassium Measurement","187a0918-f96a-4010-a0ff-7c6a19ef5c38","Code_210","Code","","C64853","NCI Thesaurus"
"Laboratory Test Result","8d91016f-1119-48b8-9c94-022df125d949","Code_216","Code","","C36292","NCI Thesaurus"
"Laboratory Test Fasting Status","14d0977e-3118-4f17-b7ae-c7d4ea06a95f","Code_217","Code","","C83309","NCI Thesaurus"
"Molarity Unit","081f9025-e14a-4b7d-a949-b6a6ab9ac37c","Code_218","Code","","C64567","NCI Thesaurus"
"Biospecimen Type","e6c35114-584e-40ca-80d4-e5e7c1d81b79","Code_219","Code","","C70713","NCI Thesaurus"
"Sodium Measurement","85187266-f74e-48d5-ba8e-eaabdac0f151","Code_215","Code","","C64809","NCI Thesaurus"
"Clinical Test Result","544b4c9a-c72e-4912-a664-6b5052abd4db","Code_221","Code","","C77140","NCI Thesaurus"
"Pascal","f55cbf06-6782-4520-80f3-2b1f46dbdd38","Code_222","Code","2023-09-29","C42547","http://www.cdisc.org"
"Unit of Pressure","52523426-b8c5-41af-b38f-c697d6bc17e4","Code_223","Code","","C49669","NCI Thesaurus"
"Anatomic Site","0522b21d-3d32-4917-9c77-af62ec9ea7ea","Code_224","Code","","C13717","NCI Thesaurus"
"Laterality","74c912e2-82b9-470a-9ca5-816a1db92a63","Code_225","Code","","C25185","NCI Thesaurus"
"Test Method","b51132b1-bdaf-4506-a1e3-4bef26038ff9","Code_226","Code","","C82535","NCI Thesaurus"
"Body Position","9663194b-535a-4821-b834-cacd2cd44897","Code_227","Code","","C62164","NCI Thesaurus"
"Systolic Blood Pressure","8d0005f9-16d9-477f-ada8-7c302121098c","Code_220","Code","","C25298","NCI Thesaurus"
"Clinical Test Result","a12035ec-b842-46e2-8195-89b563d59d8f","Code_229","Code","","C77140","NCI Thesaurus"
"Pascal","e1058dbd-4c5c-4177-9db5-db59a43fd7bf","Code_230","Code","2023-09-29","C42547","http://www.cdisc.org"
"Unit of Pressure","a86926ba-0c4b-4e36-930a-6be1999b4345","Code_231","Code","","C49669","NCI Thesaurus"
"Anatomic Site","38d9b77b-83b7-4e19-b98d-7ef19ad99a5c","Code_232","Code","","C13717","NCI Thesaurus"
"Laterality","976a0c3c-8ba6-4ffe-b147-b394db7beec5","Code_233","Code","","C25185","NCI Thesaurus"
"Test Method","3c97b958-deef-4fcc-8ef6-e7dee14ed42c","Code_234","Code","","C82535","NCI Thesaurus"
"Body Position","ca9dccf4-0ffe-43a1-a55b-eeebcfa52c91","Code_235","Code","","C62164","NCI Thesaurus"
"Diastolic Blood Pressure","5ffbb7ea-579d-4a52-9351-5759dea742b9","Code_228","Code","","C25299","NCI Thesaurus"
"Clinical Test Result","9d840c87-7dc9-48e4-bf22-6d03bd836b37","Code_237","Code","","C77140","NCI Thesaurus"
"Beats per Minute","7c9ed8a1-548c-4c3a-a19a-f210e0fd86fb","Code_238","Code","2023-09-29","C49673","http://www.cdisc.org"
"Count per Minute","7c886de8-f7c5-44f8-9c00-fd4e1fd9882a","Code_239","Code","","C73688","NCI Thesaurus"
"Anatomic Site","03271998-1eda-4f96-8936-d023dbd229ad","Code_240","Code","","C13717","NCI Thesaurus"
"Laterality","d6c0aba4-96e8-46c3-a574-9df09af12462","Code_241","Code","","C25185","NCI Thesaurus"
"Test Method","b0bd6d08-e40a-4967-8ad5-8ed0233eb38f","Code_242","Code","","C82535","NCI Thesaurus"
"Body Position","bfa8dd58-2d55-4f80-8981-1a43a33077a2","Code_243","Code","","C62164","NCI Thesaurus"
