"decode","codeSystem","id","codeSystemVersion","uuid:ID","code","instanceType"
"In Person","http://www.cdisc.org","Code_85","2023-12-15","814ab38d-df97-4669-9198-03c33e2ccdbb","C175574","Code"
"Visit","http://www.cdisc.org","Code_86","2023-12-15","12c790d8-744b-4b30-8537-72ef24f3b954","C25716","Code"
"Clinic","http://www.cdisc.org","Code_87","2023-12-15","e26233f3-35c0-442e-b808-d85527bf2c77","C51282","Code"
"In Person","http://www.cdisc.org","Code_88","2023-12-15","fb89a0fc-471f-4bfe-9d75-308574e713c8","C175574","Code"
"Visit","http://www.cdisc.org","Code_89","2023-12-15","7942b161-9c49-4164-a432-93f27703c61f","C25716","Code"
"Clinic","http://www.cdisc.org","Code_90","2023-12-15","373d101e-3610-4269-9d15-45434a54385e","C51282","Code"
"In Person","http://www.cdisc.org","Code_91","2023-12-15","f61be1b0-9cbd-480b-b93d-98208c65c856","C175574","Code"
"Visit","http://www.cdisc.org","Code_92","2023-12-15","06352f83-5216-4b9d-94b9-60a7817034e7","C25716","Code"
"Clinic","http://www.cdisc.org","Code_93","2023-12-15","6020185d-4efa-4f17-b0d2-98c6ad4f9d3e","C51282","Code"
"In Person","http://www.cdisc.org","Code_94","2023-12-15","9037a3c8-d122-428c-8bb4-cc3f99200ab5","C175574","Code"
"Visit","http://www.cdisc.org","Code_95","2023-12-15","7aacfc80-80b4-4570-ba95-7e1936e26a56","C25716","Code"
"Clinic","http://www.cdisc.org","Code_96","2023-12-15","4d908d99-55a0-4292-9f60-c50ec6c391cf","C51282","Code"
"In Person","http://www.cdisc.org","Code_97","2023-12-15","822913be-7a68-4250-9063-6925beb7aa51","C175574","Code"
"Visit","http://www.cdisc.org","Code_98","2023-12-15","44e351e5-d46a-4616-ac39-07b0581ab7e9","C25716","Code"
"Clinic","http://www.cdisc.org","Code_99","2023-12-15","031b52bf-679f-4f52-a867-76fca8050a86","C51282","Code"
"In Person","http://www.cdisc.org","Code_100","2023-12-15","a51fb22c-270e-4236-a864-fc014acfac9a","C175574","Code"
"Visit","http://www.cdisc.org","Code_101","2023-12-15","438469d1-2c27-437e-ade6-bbaa17a125dc","C25716","Code"
"Clinic","http://www.cdisc.org","Code_102","2023-12-15","f82735aa-4ee2-4522-812f-5ad2bd29b037","C51282","Code"
"In Person","http://www.cdisc.org","Code_103","2023-12-15","027711fb-d771-41ac-81c8-ab3c469cc4f3","C175574","Code"
"Telephone Call","http://www.cdisc.org","Code_104","2023-12-15","40c9e4b2-8eb9-48ce-9cee-04278c63b32d","C171537","Code"
"Visit","http://www.cdisc.org","Code_105","2023-12-15","2dc42d25-7dd2-45d3-9ca1-88a4f3561966","C25716","Code"
"Clinic","http://www.cdisc.org","Code_106","2023-12-15","9d2ee444-fe38-4d04-90f9-15b4debbc50e","C51282","Code"
"In Person","http://www.cdisc.org","Code_107","2023-12-15","a0a5d597-0cac-4334-9ba2-d6389f5325eb","C175574","Code"
"Telephone Call","http://www.cdisc.org","Code_108","2023-12-15","a19e14bf-2288-4d71-a9fd-c70919677842","C171537","Code"
"Visit","http://www.cdisc.org","Code_109","2023-12-15","8825468e-335a-4822-8750-6df47bb7a73d","C25716","Code"
"Clinic","http://www.cdisc.org","Code_110","2023-12-15","f58f68af-f44c-4c18-9d83-8f1f7bd94901","C51282","Code"
"In Person","http://www.cdisc.org","Code_111","2023-12-15","1f6b411c-317a-4713-a4ce-fa4b0affa41b","C175574","Code"
"Telephone Call","http://www.cdisc.org","Code_112","2023-12-15","2211f6a8-39e4-4c46-a0a2-16b77a84e8a9","C171537","Code"
"Visit","http://www.cdisc.org","Code_113","2023-12-15","b65fa347-20f1-48e9-b77b-14e193ccbabd","C25716","Code"
"Clinic","http://www.cdisc.org","Code_114","2023-12-15","9b304adb-629f-43e1-8c2a-1a934b14ac93","C51282","Code"
"In Person","http://www.cdisc.org","Code_115","2023-12-15","c7f803d0-3d0b-47c9-9df8-1dc8f0ecb1ba","C175574","Code"
"Telephone Call","http://www.cdisc.org","Code_116","2023-12-15","b2ef3aea-57d4-47db-9d95-8d897b1a03cc","C171537","Code"
"Visit","http://www.cdisc.org","Code_117","2023-12-15","9ebba199-b984-4751-b31c-0ce8e5b058f3","C25716","Code"
"Clinic","http://www.cdisc.org","Code_118","2023-12-15","1c7250c5-b4f2-4a8a-9e74-91ab5438a79c","C51282","Code"
"In Person","http://www.cdisc.org","Code_119","2023-12-15","ff224903-5956-4630-9c3d-3a3a9410be16","C175574","Code"
"Visit","http://www.cdisc.org","Code_120","2023-12-15","9b052efc-dbe0-4727-b4b4-4688f47589b7","C25716","Code"
"Clinic","http://www.cdisc.org","Code_121","2023-12-15","40b6044f-936f-4247-a45e-f84f294151bd","C51282","Code"
"In Person","http://www.cdisc.org","Code_122","2023-12-15","ed6ad815-b545-4419-87cb-830cd86d7df8","C175574","Code"
"CT of head without contrast","SNOMED","Code_80","January 31, 2018","e5fa86d4-4b13-4735-ba71-636610911671","383371000119108","Code"
"Subject Supine","SPONSOR","Code_81","12","6e974245-50ce-47a1-b409-38e3303502b3","123","Code"
"Subject Standing","SPONSOR","Code_82","12","f1987d22-fd5a-4652-ab53-ad01a3e6ea39","124","Code"
"Male","http://www.cdisc.org","Code_429","2023-12-15","d582d813-713f-4b77-91a1-0d8b0defb285","C20197","Code"
"Female","http://www.cdisc.org","Code_430","2023-12-15","2fb2902b-d222-4dd6-9cde-fd796e0cf5cc","C16576","Code"
"Sex","http://www.cdisc.org","Code_431","2023-12-15","33140db4-09ab-4367-b63b-3208c031a5c4","C28421","Code"
"Sex","http://www.cdisc.org","Code_432","2023-12-15","e6456729-f2b7-41cd-988e-a621232bae25","C28421","Code"
"Race","http://www.cdisc.org","Code_433","2023-12-15","d9c9f502-702b-40e7-bc8e-64af0568ff9f","C17049","Code"
"Race","http://www.cdisc.org","Code_434","2023-12-15","f4db70d4-927e-4d2a-86a6-6ab35ce39366","C17049","Code"
"TEMP","http://www.cdisc.org","Code_435","2023-12-15","b2fa1a63-5bcf-433f-ad23-97f8faa25e34","C174446","Code"
"Clinical Test Result","http://www.cdisc.org","Code_436","2023-12-15","ae61e321-be64-476d-8670-37165ec3e8f1","C77140","Code"
"Degree Celsius","http://www.cdisc.org","Code_437","2023-12-15","8908066c-1a2d-418e-b68e-5e6e746ddc37","C42559","Code"
"Degree Fahrenheit","http://www.cdisc.org","Code_438","2023-12-15","54622eec-678a-42ac-b8c7-b5a5783dfc2b","C44277","Code"
"Kelvin","http://www.cdisc.org","Code_439","2023-12-15","6c48526e-9c85-4d4a-b496-972672b9f9e8","C42537","Code"
"Unit of Temperature","http://www.cdisc.org","Code_440","2023-12-15","b0b54544-2ece-47f7-ae4d-fc05283c03a2","C44276","Code"
"Axilla","http://www.cdisc.org","Code_441","2023-12-15","f6a5f8ae-604b-42b0-b211-c1eaf204e0e4","C12674","Code"
"Ear","http://www.cdisc.org","Code_442","2023-12-15","73d6d057-5531-4807-b7b2-3f232d035b21","C12394","Code"
"Forehead","http://www.cdisc.org","Code_443","2023-12-15","5944b164-ab6a-4386-98c1-f5a6f9425481","C89803","Code"
"Oral Cavity","http://www.cdisc.org","Code_444","2023-12-15","10d1bcdf-bc44-4e7a-9e64-83eb6044a88b","C12421","Code"
"Rectum","http://www.cdisc.org","Code_445","2023-12-15","ab8d44a3-d611-4248-8d89-f8dd5c17b640","C12390","Code"
"Anatomic Site","http://www.cdisc.org","Code_446","2023-12-15","b1672032-28ad-4d01-889e-1305976a7a5e","C13717","Code"
"TEMP","http://www.cdisc.org","Code_447","2023-12-15","938949f4-fd67-468a-8efd-189ae8be84f0","C174446","Code"
"WEIGHT","http://www.cdisc.org","Code_448","2023-12-15","8bd6773c-9ae2-4a4d-a12b-50ec3925963e","C25208","Code"
"Clinical Test Result","http://www.cdisc.org","Code_449","2023-12-15","99ee9cda-c5db-43f4-ae01-1a1c3ceae3a5","C77140","Code"
"Pound","http://www.cdisc.org","Code_450","2023-12-15","755437a3-86c0-4dcd-8bd6-cf66b0d38cb1","C48531","Code"
"Gram","http://www.cdisc.org","Code_451","2023-12-15","4dbd1bcd-60f5-4072-98f7-d92c0548e343","C48155","Code"
"Kilogram","http://www.cdisc.org","Code_452","2023-12-15","3b89c902-9b5d-4d6a-b9e7-c7a667dddf70","C28252","Code"
"Unit of Weight","http://www.cdisc.org","Code_453","2023-12-15","e95bf233-2a9a-40cf-aecb-07fdaebb639f","C48208","Code"
"WEIGHT","http://www.cdisc.org","Code_454","2023-12-15","776440a8-ec28-4744-93dd-ddb5211cdaa4","C25208","Code"
"HEIGHT","http://www.cdisc.org","Code_455","2023-12-15","768570ed-30e9-4039-bfe8-7a56fe67ca69","C25347","Code"
"Clinical Test Result","http://www.cdisc.org","Code_456","2023-12-15","1d8c8122-ec63-4352-a0a8-55d609f4995c","C77140","Code"
"Centimeter","http://www.cdisc.org","Code_457","2023-12-15","86fa18f3-be5e-49b6-a0d9-25e5728c4003","C49668","Code"
"Inch","http://www.cdisc.org","Code_458","2023-12-15","2d7e67e3-641e-4331-8d55-a36265a0b8b5","C48500","Code"
"Meter","http://www.cdisc.org","Code_459","2023-12-15","f7217cf2-c226-4284-82d8-483f08405b40","C41139","Code"
"Unit of Height","http://www.cdisc.org","Code_460","2023-12-15","4cd2b0db-61df-4e18-a968-06e8f666e526","C168688","Code"
"HEIGHT","http://www.cdisc.org","Code_461","2023-12-15","e2c47b5f-fe53-4e6b-a69e-b88eef507cf2","C25347","Code"
"ALT","http://www.cdisc.org","Code_462","2023-12-15","b260af10-fa5a-46d6-b67c-dd2bd866cdef","C64433","Code"
"Laboratory Test Result","http://www.cdisc.org","Code_463","2023-12-15","4a525525-88b5-4e52-ac5b-768e3a5dfc3a","C36292","Code"
"Unit per Liter","http://www.cdisc.org","Code_464","2023-12-15","0c432805-6bdd-4ded-a16e-006e49fcfbff","C67456","Code"
"Microkatal per Liter","http://www.cdisc.org","Code_465","2023-12-15","25c05bf0-2d72-45a0-a0da-d6597ac623aa","C67397","Code"
"International Unit per Liter","http://www.cdisc.org","Code_466","2023-12-15","ff4fb0cb-95b4-4340-880e-f9b4d44c00f6","C67376","Code"
"Nanokatal per Liter","http://www.cdisc.org","Code_467","2023-12-15","e3bc83aa-f3f6-4599-940f-a45a8cf6a0d7","C70510","Code"
"Unit of Catalytic Activity Concentration","http://www.cdisc.org","Code_468","2023-12-15","5c1b1d36-f1de-4406-a6f6-0f9287ab8985","C67365","Code"
"Biospecimen Type","http://www.cdisc.org","Code_469","2023-12-15","6fe601c4-635a-4b78-bfaf-ba64e6839898","C70713","Code"
"No","http://www.cdisc.org","Code_470","2023-12-15","68140c1c-335a-4e0a-bdb6-1cf36df9edac","C49487","Code"
"Yes","http://www.cdisc.org","Code_471","2023-12-15","b9412db4-a2fb-46cb-99a1-53f68d54dda3","C49488","Code"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_472","2023-12-15","a891dc0d-a0bf-4538-9f42-48fc1429760f","C83309","Code"
"ALT","http://www.cdisc.org","Code_473","2023-12-15","36dd94b2-e0ad-47b8-bd87-dc70b1880f7f","C64433","Code"
"ALB","http://www.cdisc.org","Code_474","2023-12-15","658072dd-7450-4d60-987b-5d3aba042d89","C64431","Code"
"Laboratory Test Result","http://www.cdisc.org","Code_475","2023-12-15","b61c5aea-4aa1-474e-bdfd-f33c06586dc0","C36292","Code"
"Biospecimen Type","http://www.cdisc.org","Code_476","2023-12-15","859f5c5e-5c11-4c54-8f48-f367c8909f3b","C70713","Code"
"No","http://www.cdisc.org","Code_477","2023-12-15","78f37d62-8382-4a37-99e3-c9a239d9c764","C49487","Code"
"Yes","http://www.cdisc.org","Code_478","2023-12-15","cf59a64e-547f-4f22-8c14-f4656a1c6338","C49488","Code"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_479","2023-12-15","b207effa-03b7-4cdc-81d5-04261a609886","C83309","Code"
"ALB","http://www.cdisc.org","Code_480","2023-12-15","92583c92-ce17-44b8-9e40-539944c900e4","C64431","Code"
"ALP","http://www.cdisc.org","Code_481","2023-12-15","a9e81e38-ffdf-42dd-8465-cf40477bfcee","C64432","Code"
"Laboratory Test Result","http://www.cdisc.org","Code_482","2023-12-15","05c3e0be-af79-4d39-b1ac-0d6186964cb8","C36292","Code"
"Unit per Liter","http://www.cdisc.org","Code_483","2023-12-15","f16e64bc-8887-48af-bac4-7d49821933ce","C67456","Code"
"Microkatal per Liter","http://www.cdisc.org","Code_484","2023-12-15","505dfe40-6564-4b97-815a-db1891f9a626","C67397","Code"
"International Unit per Liter","http://www.cdisc.org","Code_485","2023-12-15","7895ea2f-ff60-4423-9651-7adf0f902883","C67376","Code"
"Unit of Catalytic Activity Concentration","http://www.cdisc.org","Code_486","2023-12-15","9a2105f5-a452-4587-b6a1-785265e7756e","C67365","Code"
"Biospecimen Type","http://www.cdisc.org","Code_487","2023-12-15","25ff5f14-57f1-4ab1-af84-7e57825f7c3a","C70713","Code"
"No","http://www.cdisc.org","Code_488","2023-12-15","132e63ae-b1fc-4913-b995-2c2b903eae8b","C49487","Code"
"Yes","http://www.cdisc.org","Code_489","2023-12-15","a247410a-a25e-4211-93e4-06b56f036bab","C49488","Code"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_490","2023-12-15","1573a6d1-1d60-4192-bb4c-ae124a9b9998","C83309","Code"
"ALP","http://www.cdisc.org","Code_491","2023-12-15","1b51c826-1497-4418-b9c0-3e7e3e8fc4cf","C64432","Code"
"AST","http://www.cdisc.org","Code_492","2023-12-15","771302cc-1116-4d41-a054-aed5d36b750d","C64467","Code"
"Laboratory Test Result","http://www.cdisc.org","Code_493","2023-12-15","4aa3ca18-3755-47fb-8469-8d140bfaa09d","C36292","Code"
"Unit per Liter","http://www.cdisc.org","Code_494","2023-12-15","d1a5d6b6-4b5c-4363-b0ae-67df79bdbe92","C67456","Code"
"Microkatal per Liter","http://www.cdisc.org","Code_495","2023-12-15","e2ed1e6d-de66-4560-b75b-0d6a0e372c04","C67397","Code"
"International Unit per Liter","http://www.cdisc.org","Code_496","2023-12-15","b1b82012-5df6-49a9-9725-5bdf0367d82d","C67376","Code"
"Unit of Catalytic Activity Concentration","http://www.cdisc.org","Code_497","2023-12-15","82c3e9ce-c2bd-4b5e-99e2-9e7d22605486","C67365","Code"
"Biospecimen Type","http://www.cdisc.org","Code_498","2023-12-15","6ec016f1-f6f7-4445-b795-85d43bdbed3a","C70713","Code"
"No","http://www.cdisc.org","Code_499","2023-12-15","ec4e0891-56e6-4106-a4a1-668bc563a908","C49487","Code"
"Yes","http://www.cdisc.org","Code_500","2023-12-15","462dab58-7fc4-4b17-a041-2ee66e9c0c8c","C49488","Code"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_501","2023-12-15","2aecc02e-a266-41c8-bbfd-e1156fabbc8a","C83309","Code"
"AST","http://www.cdisc.org","Code_502","2023-12-15","f51902fb-9791-4019-a793-2b70065b6022","C64467","Code"
"CREAT","http://www.cdisc.org","Code_503","2023-12-15","f2b72ccc-d7d9-4382-bf66-58e5747d0d4d","C64547","Code"
"Laboratory Test Result","http://www.cdisc.org","Code_504","2023-12-15","b51b4a11-b1c8-4c16-9f2f-f9cb9daa3c0c","C36292","Code"
"Milligram per Deciliter","http://www.cdisc.org","Code_505","2023-12-15","f96fb106-1bb3-4717-b335-a1fc1d60b489","C67015","Code"
"Microgram per Milliliter","http://www.cdisc.org","Code_506","2023-12-15","f378d395-c32e-4382-b3eb-fafc893982e8","C64572","Code"
"Millimole per Liter","http://www.cdisc.org","Code_507","2023-12-15","7586792d-09f5-4869-a8f8-80b757576173","C64387","Code"
"Micromole per Liter","http://www.cdisc.org","Code_508","2023-12-15","11140dc7-4fde-4f08-89af-432f405d60da","C48508","Code"
"Unit of Concentration","http://www.cdisc.org","Code_509","2023-12-15","30683af0-aa0f-4c44-ad8e-f2136b56c65b","C48207","Code"
"Biospecimen Type","http://www.cdisc.org","Code_510","2023-12-15","d6543900-b987-4136-b6fc-0179c7d1e216","C70713","Code"
"No","http://www.cdisc.org","Code_511","2023-12-15","89b68a72-72b0-413f-9f4e-76547d9ac708","C49487","Code"
"Yes","http://www.cdisc.org","Code_512","2023-12-15","c62bb78b-20ed-4cee-8183-bb3212858b0c","C49488","Code"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_513","2023-12-15","589e60e4-553c-4c1c-b5e3-1877603e0a22","C83309","Code"
"CREAT","http://www.cdisc.org","Code_514","2023-12-15","5840d393-2c7c-4782-b0f8-7640b2ee61c6","C64547","Code"
"K","http://www.cdisc.org","Code_515","2023-12-15","8a5afa59-33bd-49e1-bc78-fb7a5d2bddb5","C64853","Code"
"Laboratory Test Result","http://www.cdisc.org","Code_516","2023-12-15","b235e632-702d-4997-a5a7-c1688a88a555","C36292","Code"
"Milliequivalent per Liter","http://www.cdisc.org","Code_517","2023-12-15","15952081-606c-4058-9ac4-1dfc1ff841b1","C67474","Code"
"Milliequivalent per Deciliter","http://www.cdisc.org","Code_518","2023-12-15","b4554280-856f-49cb-9209-29185cf96c8d","C67473","Code"
"Millimole per Liter","http://www.cdisc.org","Code_519","2023-12-15","df8147d0-4983-4ddb-9b68-95044d1b79cc","C64387","Code"
"Molarity Unit","http://www.cdisc.org","Code_520","2023-12-15","11760acc-1f0a-4b55-9361-35f36e2cf3ed","C64567","Code"
"Biospecimen Type","http://www.cdisc.org","Code_521","2023-12-15","43ee4a5c-89b4-4377-9c42-2af9ce0f5a8a","C70713","Code"
"No","http://www.cdisc.org","Code_522","2023-12-15","0652286b-5fe8-4e9e-a06f-7dcd0bccd2f2","C49487","Code"
"Yes","http://www.cdisc.org","Code_523","2023-12-15","e9234298-94ea-4605-a441-3ea157db55e2","C49488","Code"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_524","2023-12-15","3f5c55d1-bbc5-4e0c-bec4-735fcb1747b5","C83309","Code"
"K","http://www.cdisc.org","Code_525","2023-12-15","09395bf9-08bc-4dbe-9c1e-2a16e4200dca","C64853","Code"
"SODIUM","http://www.cdisc.org","Code_526","2023-12-15","eaf535c5-ad8a-49dc-b0a0-8e97cdbbd536","C64809","Code"
"Laboratory Test Result","http://www.cdisc.org","Code_527","2023-12-15","60e48c0e-b5bf-4f1f-9356-ea111c82b585","C36292","Code"
"Milliequivalent per Liter","http://www.cdisc.org","Code_528","2023-12-15","081bea7e-f12f-4462-86db-89b9bcd34094","C67474","Code"
"Milliequivalent per Deciliter","http://www.cdisc.org","Code_529","2023-12-15","10a6ceb7-61e0-47e7-9ad2-48ae86ecb627","C67473","Code"
"Millimole per Liter","http://www.cdisc.org","Code_530","2023-12-15","1791965a-0357-4ef5-83b2-2531b25f1588","C64387","Code"
"Molarity Unit","http://www.cdisc.org","Code_531","2023-12-15","aca0497d-ec14-4b62-9bcd-4f61c4afd018","C64567","Code"
"Biospecimen Type","http://www.cdisc.org","Code_532","2023-12-15","58e85cd3-c228-4c19-a6c0-ed0dd523e77b","C70713","Code"
"No","http://www.cdisc.org","Code_533","2023-12-15","49c8a7ad-f7ed-4f6c-93a9-ef9b255a6686","C49487","Code"
"Yes","http://www.cdisc.org","Code_534","2023-12-15","2c7fcb64-1a72-4bca-9ac5-fbea71f0ce8b","C49488","Code"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_535","2023-12-15","e67a6fad-88f1-4b40-ab75-dfbe6d096d94","C83309","Code"
"SODIUM","http://www.cdisc.org","Code_536","2023-12-15","0b22243d-116a-4fc6-993e-ab6e9083df41","C64809","Code"
"HBA1C","http://www.cdisc.org","Code_537","2023-12-15","612a7104-cc2b-40f1-b1cc-323e63387b32","C64849","Code"
"Laboratory Test Result","http://www.cdisc.org","Code_538","2023-12-15","45cf72ea-c18e-4c7a-bc97-4a38aeeaf6db","C36292","Code"
"Gram per Deciliter","http://www.cdisc.org","Code_539","2023-12-15","3d760aea-7158-4424-95f5-1566a6abffaa","C64783","Code"
"LBORRESU","http://www.cdisc.org","Code_540","2023-12-15","8fd89a91-c5a1-41b4-aa1f-f584e5f98e76","No Concept Code","Code"
"Biospecimen Type","http://www.cdisc.org","Code_541","2023-12-15","d22acb80-e969-45c0-8393-2c002909405f","C70713","Code"
"No","http://www.cdisc.org","Code_542","2023-12-15","50e5f5d5-2c8c-4f7c-b682-407470d1064d","C49487","Code"
"Yes","http://www.cdisc.org","Code_543","2023-12-15","0a334aea-1557-4eb4-a302-cd8522a4918e","C49488","Code"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_544","2023-12-15","acb4e4f9-b11e-4554-897f-91588f8ce812","C83309","Code"
"HBA1C","http://www.cdisc.org","Code_545","2023-12-15","40b26c86-208b-47f6-a5a3-a51b36c0dfd3","C64849","Code"
"Adverse Event Verbatim Description","http://www.cdisc.org","Code_145","2023-12-15","731d789f-9b2b-42b2-81b1-d6486da7fcc5","C78541","Code"
"Adverse Event Dictionary Derived Term","http://www.cdisc.org","Code_146","2023-12-15","b10e041a-94f7-44a4-afc1-d8711f141031","C83344","Code"
"No","http://www.cdisc.org","Code_147","2023-12-15","23992c22-f1d4-40dd-ad88-8e56a74c2f63","C49487","Code"
"Yes","http://www.cdisc.org","Code_148","2023-12-15","a2121e2a-51e6-4b74-b72e-9c3f7112a392","C49488","Code"
"Adverse Event Pre-specified","http://www.cdisc.org","Code_149","2023-12-15","5cff607a-bea4-4085-b3f7-b0b779423475","C87840","Code"
"Adverse Event Location","http://www.cdisc.org","Code_150","2023-12-15","372e4b03-2f6b-4384-81e2-6fe0b16f0815","C83205","Code"
"Severity of Adverse Event","http://www.cdisc.org","Code_151","2023-12-15","271e8796-b57c-4d44-b8a6-30bed7701892","C53253","Code"
"No","http://www.cdisc.org","Code_152","2023-12-15","91f66243-7f93-4d9c-9091-f59a31fbc28f","C49487","Code"
"Yes","http://www.cdisc.org","Code_153","2023-12-15","91edab25-1b75-4ee9-a4d8-0cc5db7b6148","C49488","Code"
"Seriousness of Adverse Event","http://www.cdisc.org","Code_154","2023-12-15","991fbc3b-474f-4415-974e-b9d2b274d6f0","C53252","Code"
"Adverse Event Action Taken with Study Treatment","http://www.cdisc.org","Code_155","2023-12-15","a5f2d026-a38d-4abe-95cf-d57d795db05a","C83013","Code"
"Other Actions taken in Response to Adverse Event","http://www.cdisc.org","Code_156","2023-12-15","c0909c4c-4e76-4251-938a-8fdf81e7ed79","C83109","Code"
"Adverse Event Attribution to Product or Procedure","http://www.cdisc.org","Code_157","2023-12-15","f153ddd8-de1e-48b7-9e65-10fadf5185dd","C41358","Code"
"Adverse Event Relationship to Non Study Treatment","http://www.cdisc.org","Code_158","2023-12-15","79c8dfe4-5212-4348-abf5-2b7f3126d80d","C83210","Code"
"Adverse Event Pattern","http://www.cdisc.org","Code_159","2023-12-15","b6f3a9bf-c344-420f-8901-a90202628188","C83208","Code"
"Adverse Event Outcome","http://www.cdisc.org","Code_160","2023-12-15","3639cdc4-b84c-4494-b68f-ac132c658fed","C49489","Code"
"No","http://www.cdisc.org","Code_161","2023-12-15","b4ee4ffb-6b0c-42e8-a247-83deed58d1f1","C49487","Code"
"Yes","http://www.cdisc.org","Code_162","2023-12-15","abad7ae5-3459-43bc-b188-e70da6249f48","C49488","Code"
"Adverse Event Involves Cancer","http://www.cdisc.org","Code_163","2023-12-15","e55fdda3-e09d-4755-a9c8-ba013dedc8b7","C83211","Code"
"No","http://www.cdisc.org","Code_164","2023-12-15","c75fbba9-fa2a-4992-8553-fdc792580c98","C49487","Code"
"Yes","http://www.cdisc.org","Code_165","2023-12-15","9a0f534c-98b1-49a3-b3f0-49af879f1c76","C49488","Code"
"Adverse Event Seriousness Due to Congenital Anomaly","http://www.cdisc.org","Code_166","2023-12-15","95f98369-4a42-4287-8011-344c18a3535b","C83117","Code"
"No","http://www.cdisc.org","Code_167","2023-12-15","2d855f43-05cf-4444-b6f8-a24ea381a742","C49487","Code"
"Yes","http://www.cdisc.org","Code_168","2023-12-15","2c826ffe-310b-42c0-90ba-d1d1a2404d41","C49488","Code"
"Disabling Adverse Event","http://www.cdisc.org","Code_169","2023-12-15","9bdabe17-6db4-4d38-8662-cb85bbaef650","C113380","Code"
"No","http://www.cdisc.org","Code_170","2023-12-15","c7898cf4-da8a-4c53-80fa-1c14f68254b4","C49487","Code"
"Yes","http://www.cdisc.org","Code_171","2023-12-15","c4a86324-ea95-40b5-865c-f89a7572cbb4","C49488","Code"
"Death Related to Adverse Event","http://www.cdisc.org","Code_172","2023-12-15","8e13a490-bf09-4aaa-8515-8fbfb34e1680","C48275","Code"
