"label","uuid:ID","instanceType","synonyms","reference","id","name"
"Creatinine Concentration in Urine","e55337df-e8d6-43a0-b02d-845ece9facd1","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept_30","Creatinine Concentration in Urine"
"Potassium Concentration in Urine","5c56acf8-35e7-4e8e-ac85-b3ebcbba8f1d","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept_31","Potassium Concentration in Urine"
"Sodium Concentration in Urine","75fe3d97-0fee-4b57-9956-a40aad854437","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept_32","Sodium Concentration in Urine"
"Hemoglobin A1C Concentration in Blood","11f3b71f-e7d4-4547-806b-421a19f0b90e","BiomedicalConcept","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept_33","Hemoglobin A1C Concentration in Blood"
"Adverse Event Prespecified","142bdb16-ba5d-4e80-9035-0272096184c7","BiomedicalConcept","['Adverse Event', 'Solicited Adverse Event']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept_1","Adverse Event Prespecified"
"Systolic Blood Pressure","8faac2e3-2eb9-458d-82cd-6474e072ecaa","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept_2","Systolic Blood Pressure"
"Diastolic Blood Pressure","b3f89642-fd9e-4f25-a71d-a0db3ff89c84","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept_3","Diastolic Blood Pressure"
"Temperature","d0420ab4-e413-47e2-a811-c914fd261e29","BiomedicalConcept","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept_4","Temperature"
"Weight","6ad9bfd9-3653-46e3-9872-8bf8d89633a4","BiomedicalConcept","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept_5","Weight"
"Height","ab8c9ed0-2e8a-4b18-bbe4-cc623b318414","BiomedicalConcept","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept_6","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","02d53f14-c09d-4647-a355-44a9c830d282","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","748ef2ac-72cf-49b1-9265-e4b286ffdf8e","BiomedicalConcept","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept_8","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","9aef808d-7417-4c96-9a50-7e01fac2e857","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","044f5bbe-46ad-4170-be4e-21672f303f76","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma"
"Creatinine Concentration in Urine","0ec55609-b1a7-4163-a8d0-ea6450ee4763","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept_11","Creatinine Concentration in Urine"
"Potassium Concentration in Urine","8bc370fa-7cc4-4fad-908a-67d9ea4d89ba","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept_12","Potassium Concentration in Urine"
"Sodium Concentration in Urine","ae307d77-2617-439c-8600-ab75b3b829bb","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept_13","Sodium Concentration in Urine"
"Systolic Blood Pressure","fd4f1289-257c-4c1c-ba68-a70059ada539","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept_14","Systolic Blood Pressure"
"Diastolic Blood Pressure","44c9630e-141f-4c74-b8b6-52c75ed87759","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept_15","Diastolic Blood Pressure"
"Heart Rate","97fecb13-7175-4ea3-bd75-e8be166222fd","BiomedicalConcept","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept_16","Heart Rate"
"Systolic Blood Pressure","0b52a2d5-d6b4-4be6-b839-8dc10b67edc6","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept_17","Systolic Blood Pressure"
"Diastolic Blood Pressure","460eb6c0-1546-42a5-b396-b59faeb95150","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept_18","Diastolic Blood Pressure"
"Heart Rate","e00ff7dd-3cc9-4dcf-9e5f-ff79170480e8","BiomedicalConcept","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept_19","Heart Rate"
