"label","uuid:ID","instanceType","name","id","description","identifier","text"
"Serious illness criteria","d648f50a-7237-4e3d-84db-ff73e1d622fe","EligibilityCriterion","EX03","EligibilityCriterion_11","","11","<p>Serious illness which required hospitalization within 3 months of screening.</p>"
"Serious neurolocal conditions criteria","3e96bdf2-ca48-43fb-83b1-1249b7f4584f","EligibilityCriterion","EX04","EligibilityCriterion_12","","12","<p>Diagnosis of serious neurological conditions, including </p>
<ol type=""a"">
<li><p>Stroke or vascular dementia documented by clinical history and/or radiographic findings interpretable by the investigator as indicative of these disorders</p></li>
<li><p>Seizure disorder other than simple childhood febrile seizures</p></li>
<li><p>Severe head trauma resulting in protracted loss of consciousness within the last 5 years, or multiple episodes of head trauma</p></li>
<li><p>Parkinson's disease</p></li>
<li><p>Multiple sclerosis</p></li>
<li><p>Amyotrophic lateral sclerosis</p></li>
<li><p>Myasthenia gravis.</p></li>
</ol>"
"Depression criteria","52dcd3e0-15ec-4495-bfa8-7e99ed1187c3","EligibilityCriterion","EX05","EligibilityCriterion_13","","13","<p>Episode of depression meeting DSM-IV criteria within 3 months of screening.</p>"
"Schizophrenia, Bipolar, Ethanol or psychoactive abuse criteria","216bb093-4829-4b73-ab14-083fb26b033f","EligibilityCriterion","EX06","EligibilityCriterion_14","","14","<p>A history within the last 5 years of the following:</p>
<ol type=""a"">
<li><p>Schizophrenia</p></li>
<li><p>Bipolar Disease</p></li>
<li><p>Ethanol or psychoactive drug abuse or dependence. </p></li>
</ol>"
"Syncope criteria","5531c138-751a-4143-8ece-03b2f7cef3a2","EligibilityCriterion","EX07","EligibilityCriterion_15","","15","<p>A history of syncope within the last 5 years.</p>"
"ECG Criteria","84678a1a-bc49-45f2-b9a4-3b31ce8ca1f9","EligibilityCriterion","EX08","EligibilityCriterion_16","","16b","<p>Evidence from ECG recording at screening of any of the following conditions :</p>
<ol type=""a"">
<li><p>Left bundle branch block</p></li>
<li><p>Bradycardia ≤50 beats per minute</p></li>
<li><p>Sinus pauses &gt;2 seconds</p></li>
<li><p>Second or third degree heart block unless treated with a pacemaker</p></li>
<li><p>Wolff-Parkinson-White syndrome</p></li>
<li><p>Sustained supraventricular tachyarrhythmia including SVT≥10 sec, atrial fibrillation, atrial flutter.</p></li>
<li><p>Ventricular tachycardia at a rate of ≥120 beats per minute lasting≥10 seconds.</p></li>
</ol>"
"Cardiovascular criteria","fe7aee3a-ae25-41a4-8c51-528ffdadb30d","EligibilityCriterion","EX09","EligibilityCriterion_17","","17","<p>A history within the last 5 years of a serious cardiovascular disorder, including</p>
<ol type=""a"">
<li><p>Clinically significant arrhythmia</p></li>
<li><p>Symptomatic sick sinus syndrome not treated with a pacemaker</p></li>
<li><p>Congestive heart failure refractory to treatment</p></li>
<li><p>Angina except angina controlled with PRN nitroglycerin</p></li>
<li><p>Resting heart rate &lt;50 or &gt;100 beats per minute, on physical exam</p></li>
<li><p>Uncontrolled hypertension.</p></li>
</ol>"
"Gastrointensinal criteria","75861062-d9f8-46ee-8586-c8c56490b892","EligibilityCriterion","EX10","EligibilityCriterion_18","","18","<p>A history within the last 5 years of a serious gastrointestinal disorder, including 
<ol type=""a"">
<li><p>Chronic peptic/duodenal/gastric/esophageal ulcer that are untreated or refractory to treatment</p></li>
<li><p>Symptomatic diverticular disease</p></li>
<li><p>Inflammatory bowel disease</p></li>
<li><p>Pancreatitis</p></li>
<li><p>Hepatitis</p></li>
<li><p>Cirrhosis of the liver.</p></li>
</ol>"
"Endocrine criteria","cb90ba83-bca8-4803-8b75-cff1a0deba18","EligibilityCriterion","EX11","EligibilityCriterion_19","","19","<p>A history within the last 5 years of a serious endocrine disorder, including</p>
<ol type=""a"">
<li><p>Uncontrolled Insulin Dependent Diabetes Mellitus (IDDM)</p></li>
<li><p>Diabetic ketoacidosis</p></li>
<li><p>Untreated hyperthyroidism</p></li>
<li><p>Untreated hypothyroidism</p></li>
<li><p>Other untreated endocrinological disorder</p></li>
</ol>"
"Resporatory criteria","2178ecb7-a405-4402-9b2f-f8456078a832","EligibilityCriterion","EX12","EligibilityCriterion_20","","20","<p> A history within the last 5 years of a serious respiratory disorder, including</p>
<ol type=""a"">
<li><p>Asthma with bronchospasm refractory to treatment</p></li>
<li><p>Decompensated chronic obstructive pulmonary disease.</p></li>
</ol>"
"Genitourinary criteria","3d1cae4d-22df-4425-9941-6021ce4e1797","EligibilityCriterion","EX13","EligibilityCriterion_21","","21","<p>A history within the last 5 years of a serious genitourinary disorder, including</p>
<ol type=""a"">
<li><p>Renal failure</p></li>
<li><p>Uncontrolled urinary retention.</p></li>
</ol>"
"Rheumatologic criteria","de80c5b5-06f1-4096-8629-8a4fb9ace5d9","EligibilityCriterion","EX14","EligibilityCriterion_22","","22","<p>A history within the last 5 years of a serious rheumatologic disorder, including</p>
<ol type=""a"">
<li><p>Lupus</p></li>
<li><p>Temporal arteritis</p></li>
<li><p>Severe rheumatoid arthritis.</p></li>
</ol>"
"HIV criteria","c3bdba3a-cc85-4d8c-88db-65895939f3e3","EligibilityCriterion","EX15","EligibilityCriterion_23","","23","<p>A known history of human immunodeficiency virus (HIV) within the last 5 years.</p>"
"Neurosyphilis, Meningitis,Encephalitis criteria","ffbf4a7c-03f5-49e2-959b-8d764099d91c","EligibilityCriterion","EX16","EligibilityCriterion_24","","24","<p>A history within the last 5 years of a serious infectious disease including</p>
<ol type=""a"">
<li><p>a)  Neurosyphilis</p></li>
<li><p>b)  Meningitis</p></li>
<li><p>c)  Encephalitis.</p></li>
</ol>"
"Malignant disease criteria","9b285723-f100-4d09-8c0f-794ca455aa17","EligibilityCriterion","EX17","EligibilityCriterion_25","","25","<p>A history within the last 5 years of a primary or recurrent malignant disease with the exception of resected cutaneous squamous cell carcinoma in situ, basal cell carcinoma, cervical carcinoma in situ, or in situ prostate cancer with a normal PSA postresection.</p>"
"Ability to participate in study criteria","a2b15cb5-cb74-458a-8e8e-f6048062c4f6","EligibilityCriterion","EX18","EligibilityCriterion_26","","26","<p>Visual, hearing, or communication disabilities impairing the ability to participate in the study; (for example, inability to speak or understand English, illiteracy).</p>"
"Laboratory values criteria","9722e358-d7e3-4af7-901c-71c04a658463","EligibilityCriterion","EX19","EligibilityCriterion_27","","27b","<p>Laboratory test values exceeding the Lilly Reference Range III for the patient's age in any of the following analytes: ↑ creatinine, ↑ total bilirubin, ↑ SGOT, ↑ SGPT, ↑ alkaline phosphatase, ↑ GGT, ↑↓ hemoglobin, ↑↓ white blood cell count, ↑↓ platelet count, ↑↓ serum sodium, potassium, or calcium.</p>
<p>If values exceed these laboratory reference ranges, clinical significance will be judged by the monitoring physicians. If the monitoring physician determines that the deviation from the reference range is not clinically significant, the patient may be included in the study. This decision will be documented.</p>"
"Central laboratory values criteria","271a11ae-b7d9-42ef-802d-9cc9faafc7a0","EligibilityCriterion","EX20","EligibilityCriterion_28","","28b","<p>Central laboratory test values below reference range for folate, and Vitamin B 12 , and outside reference range for thyroid function tests.</p>
<ol type=""a"">
<li><p>Folate reference range 2.0 to 25.0 ng/mL. Patients will be allowed to enroll if their folate levels are above the upper end of the range if patients are taking vitamin supplements.</p>
<li><p>Vitamin B 12 reference range 130 to 900 pg/mL. Patients will be 
allowed to enroll if their B 12 levels are above the upper reference 
range if patients are taking oral vitamin supplements.</p>
<li><p>Thyroid functions</p>
<ol type=""i"">
<li><p>Thyroid Uptake reference range 25 to 38%. Patients will be allowed to enroll with results of 23 to 51% provided the remainder of the thyroid profile is normal and there are no clinical signs or symptoms of thyroid abnormality.</p></li>
<li><p>TSH reference range 0.32 to 5.0. Patients will be allowed to enroll with results of 0.03 to 6.2 if patients are taking stable doses of exogenous thyroid supplements, with normal free thyroid index, and show no clinical signs or symptoms of thyroid abnormality.</p></li>
<li><p>Total T4 reference range 4.5 to 12.5. Patients will be allowed to enroll with results of 4.1 to 13.4 if patients are taking stable doses of exogenous thyroid hormone, with normal free thyroid index, and show no clinical signs or symptoms of thyroid 
abnormality.</p></li>
<li><p>Free Thyroid Index reference range 1.1 to 4.6.</p></li>
</ol>
</ol>"
"Syphilia criteria","fa0b22b2-d7ec-4c09-97bd-64c2bd99227e","EligibilityCriterion","EX21","EligibilityCriterion_29","","29b","<p>Positive syphilis screening.</p>
<p>Positive syphilis screening. As determined by positive RPR followed up by confirmatory FTA-Abs. Confirmed patients are excluded unless there is a documented medical history of an alternative disease (for example, yaws) which caused the lab abnormality.</p>"
"Hemoglobin criteria","c54ad97f-b747-4951-bb5f-a8e300f0cb90","EligibilityCriterion","EX22","EligibilityCriterion_30","","30b","<p>Glycosylated hemoglobin (A1C). Required only on patients with known diabetes mellitus or random blood sugar &gt;200 on screening labs. Patients will be excluded if levels are &gt;9.5%</p>"
