"label","reference","synonyms","id","uuid:ID","instanceType","name"
"Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_30","eca0b418-40b2-4a75-823e-0ec67968d1b1","BiomedicalConcept","Creatinine Concentration in Urine"
"Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_31","cf103c32-2ae9-4c74-b188-4a243fdac511","BiomedicalConcept","Potassium Concentration in Urine"
"Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_32","88f6d556-9a5f-467b-b4e6-c812c7c34dbc","BiomedicalConcept","Sodium Concentration in Urine"
"Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept_33","64b17841-45d8-4e0a-8fac-e1fe8b539d96","BiomedicalConcept","Hemoglobin A1C Concentration in Blood"
"Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept_1","9def9c47-0187-4e29-ac4d-18f80dabccf7","BiomedicalConcept","Adverse Event Prespecified"
"Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_2","4e4f761f-1924-4ac5-b2bc-58aef57c3394","BiomedicalConcept","Systolic Blood Pressure"
"Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_3","7f5874c1-6114-4bc8-80f7-a6fc3ef4d46e","BiomedicalConcept","Diastolic Blood Pressure"
"Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","BiomedicalConcept_4","502257c3-f415-4316-a7e2-03142f60a37e","BiomedicalConcept","Temperature"
"Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","BiomedicalConcept_5","29ea0710-bf41-4211-873e-12d9758984da","BiomedicalConcept","Weight"
"Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","BiomedicalConcept_6","d49d37cc-f47f-4baf-954d-61c71fa9be97","BiomedicalConcept","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_7","a237860c-457d-4499-9ff6-3a6fa8d378f0","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","BiomedicalConcept_8","c2507e3e-5424-4a85-96b9-8cafd9e15bc2","BiomedicalConcept","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_9","565eff46-4721-46ac-b7cd-e0fb8837796a","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_10","0271cd45-6a4a-4a4a-866e-72c4a094ab45","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma"
"Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_11","5259d00a-ca27-459f-ba96-448be103616b","BiomedicalConcept","Creatinine Concentration in Urine"
"Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_12","aec7bcfb-f37d-4ac7-8e7e-426998eeeaa0","BiomedicalConcept","Potassium Concentration in Urine"
"Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_13","76171c4d-3c86-4b54-84eb-2bd03b160e08","BiomedicalConcept","Sodium Concentration in Urine"
"Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_14","2ab93f61-66f6-457d-9071-5b49823ed692","BiomedicalConcept","Systolic Blood Pressure"
"Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_15","443e0070-5e8e-445c-aa79-39a16cae627a","BiomedicalConcept","Diastolic Blood Pressure"
"Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","BiomedicalConcept_16","d605d028-6c99-4465-80d2-bca02ce2d37c","BiomedicalConcept","Heart Rate"
"Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_17","922f333b-efcc-4afc-832d-291a14dcad1e","BiomedicalConcept","Systolic Blood Pressure"
"Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_18","487da6f5-0dc4-4266-9651-8458e14b13cb","BiomedicalConcept","Diastolic Blood Pressure"
"Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","BiomedicalConcept_19","e496025b-3f87-4e59-8a06-d163d82922c8","BiomedicalConcept","Heart Rate"
