"codeSystemVersion","instanceType","decode","id","codeSystem","uuid:ID","code"
"2023-12-15","Code","In Person","Code_100","http://www.cdisc.org","7d9a9125-e652-4ebf-91b9-6981acdff036","C175574"
"2023-12-15","Code","Visit","Code_101","http://www.cdisc.org","2c5ffd49-39b0-45d2-b4ba-a346c40fa2c2","C25716"
"2023-12-15","Code","Clinic","Code_102","http://www.cdisc.org","d30e6f9b-f8d3-4bfd-bb5b-cbef7e85b26d","C51282"
"2023-12-15","Code","In Person","Code_103","http://www.cdisc.org","85782307-f2a7-4bee-81f0-4c2702774920","C175574"
"2023-12-15","Code","Telephone Call","Code_104","http://www.cdisc.org","b674ef54-e1bb-490b-843b-2242fc82f570","C171537"
"2023-12-15","Code","Visit","Code_105","http://www.cdisc.org","0de784d0-e481-4199-911f-3b47dd8b3eec","C25716"
"2023-12-15","Code","Clinic","Code_106","http://www.cdisc.org","e543fbf0-e728-4df3-977a-21aa1f2f7796","C51282"
"2023-12-15","Code","In Person","Code_107","http://www.cdisc.org","6a7a1dd5-c8b3-4d42-af9b-a099793305ed","C175574"
"2023-12-15","Code","Telephone Call","Code_108","http://www.cdisc.org","f9b8e38c-c56b-4856-839c-214cf369b75e","C171537"
"2023-12-15","Code","Visit","Code_109","http://www.cdisc.org","d2f97efa-ffd3-40ea-9e87-bbfad17daa0a","C25716"
"2023-12-15","Code","Clinic","Code_110","http://www.cdisc.org","e287a291-0db3-41ae-bc9a-422b021a2ff7","C51282"
"2023-12-15","Code","In Person","Code_111","http://www.cdisc.org","2a578f81-4769-4583-9857-343a6363799f","C175574"
"2023-12-15","Code","Telephone Call","Code_112","http://www.cdisc.org","f1aca8f8-fbcd-42e3-8fa7-d45dc85576bc","C171537"
"2023-12-15","Code","Visit","Code_113","http://www.cdisc.org","dc3216f8-a80a-4ce0-aae9-d3cf9d5ea75a","C25716"
"2023-12-15","Code","Clinic","Code_114","http://www.cdisc.org","5fe6c9c4-790c-47fe-b2cf-acfe9eb85d77","C51282"
"2023-12-15","Code","In Person","Code_115","http://www.cdisc.org","ee432770-1e80-4d77-b6a4-a25ab60d1deb","C175574"
"2023-12-15","Code","Telephone Call","Code_116","http://www.cdisc.org","1de0fcd7-bde0-4bc9-9b43-343e13c2e3c3","C171537"
"2023-12-15","Code","Visit","Code_117","http://www.cdisc.org","b2e5fdde-f291-41d6-a332-5543ed654519","C25716"
"2023-12-15","Code","Clinic","Code_118","http://www.cdisc.org","39f979fa-5e10-4c62-a205-691ec8b8ce76","C51282"
"2023-12-15","Code","In Person","Code_119","http://www.cdisc.org","4e8db8c1-2933-48ce-8a51-b0f37534c2ca","C175574"
"2023-12-15","Code","Visit","Code_120","http://www.cdisc.org","90a03794-4ee6-486a-a45a-b3d81b5977e1","C25716"
"2023-12-15","Code","Clinic","Code_121","http://www.cdisc.org","6cc1c81f-9570-4812-ac3c-6e011c6c2ba1","C51282"
"2023-12-15","Code","In Person","Code_122","http://www.cdisc.org","e3478742-2dec-43a6-9d17-40f7a41ed5bf","C175574"
"January 31, 2018","Code","CT of head without contrast","Code_80","SNOMED","a9e7f189-6bf6-4460-984d-ad45aa6e59b3","383371000119108"
"12","Code","Subject Supine","Code_81","SPONSOR","7b9c9eab-7fde-4e24-a1a8-b64d548aeceb","123"
"12","Code","Subject Standing","Code_82","SPONSOR","5ce95db0-0d19-4695-96b8-f8684228dfb8","124"
"2023-12-15","Code","Dictionary-derived Term","Code_429","http://www.cdisc.org","5cb15fd1-4fe7-4b38-908d-7fdd67565d44","C82977"
"2023-12-15","Code","Reported Event Term","Code_430","http://www.cdisc.org","0fe3fca3-10b9-4792-bb22-72b3248fa62a","C82571"
"2023-12-15","Code","Observation Start Date Time","Code_431","http://www.cdisc.org","236daa1f-6413-475e-bc05-1057d846541b","C82517"
"2023-12-15","Code","Informed Consent","Code_432","http://www.cdisc.org","7d367139-f76a-4a9c-aac4-4fc2839870bf","C16735"
"2023-12-15","Code","Male","Code_433","http://www.cdisc.org","cb15dd49-9440-46e4-97d4-807e38bb89bc","C20197"
"2023-12-15","Code","Female","Code_434","http://www.cdisc.org","48466bb2-7796-4b54-883f-4c3d4b19de3c","C16576"
"2023-12-15","Code","Sex","Code_435","http://www.cdisc.org","1097e4e3-9198-426d-a88f-bf5ebef3e69c","C28421"
"2023-12-15","Code","Sex","Code_436","http://www.cdisc.org","11fcf5d9-8da0-4f92-94f9-d6152a089578","C28421"
"2023-12-15","Code","Race","Code_437","http://www.cdisc.org","45289c87-fdd7-42a4-a799-7254e42637f6","C17049"
"2023-12-15","Code","Race","Code_438","http://www.cdisc.org","a9b1c672-d8e0-49f4-97f9-015da8a72ed9","C17049"
"2023-12-15","Code","TEMP","Code_439","http://www.cdisc.org","a241b3d2-c3bf-4367-89cb-14811d59c180","C174446"
"2023-12-15","Code","Clinical Test Result","Code_440","http://www.cdisc.org","ba4c985f-fb0e-44c9-83e8-ed000ca264ec","C77140"
"2023-12-15","Code","Degree Celsius","Code_441","http://www.cdisc.org","3dd0bf8b-a21a-41c3-b9dc-3e88e2c48eed","C42559"
"2023-12-15","Code","Degree Fahrenheit","Code_442","http://www.cdisc.org","e7996b38-a440-4d62-9585-a2cb165aacdf","C44277"
"2023-12-15","Code","Kelvin","Code_443","http://www.cdisc.org","1cade3b0-4547-4e55-aca1-6cfa6637ee17","C42537"
"2023-12-15","Code","Unit of Temperature","Code_444","http://www.cdisc.org","0889ac5e-24bf-4c24-9129-23152cf134bc","C44276"
"2023-12-15","Code","Axilla","Code_445","http://www.cdisc.org","2be640f5-1031-4a91-a965-741759cca3a0","C12674"
"2023-12-15","Code","Ear","Code_446","http://www.cdisc.org","4050e81f-6716-448c-b61d-69fca509c7fd","C12394"
"2023-12-15","Code","Forehead","Code_447","http://www.cdisc.org","26b50c56-b389-4408-a9cb-3bc71bd0a20f","C89803"
"2023-12-15","Code","Oral Cavity","Code_448","http://www.cdisc.org","e2d69213-8cd3-4eef-8b9d-2c8e4cdb3213","C12421"
"2023-12-15","Code","Rectum","Code_449","http://www.cdisc.org","1a70af39-1b26-4d02-bec5-61bbffd52070","C12390"
"2023-12-15","Code","Anatomic Site","Code_450","http://www.cdisc.org","667c1daa-b9ff-42e1-9c26-b000d06cc6ae","C13717"
"2023-12-15","Code","TEMP","Code_451","http://www.cdisc.org","fc7734cc-25e0-46de-85b5-e89a0282282d","C174446"
"2023-12-15","Code","WEIGHT","Code_452","http://www.cdisc.org","9ee019f1-a8a7-42eb-90c5-b6965b555d40","C25208"
"2023-12-15","Code","Clinical Test Result","Code_453","http://www.cdisc.org","fc10bfd5-57f8-46fa-805f-440485ca3881","C77140"
"2023-12-15","Code","Pound","Code_454","http://www.cdisc.org","7b8cec4c-bde1-4d37-a59c-4ac3ce7ac852","C48531"
"2023-12-15","Code","Gram","Code_455","http://www.cdisc.org","d7e77bbb-d26b-4328-a9e9-de49fdc9243a","C48155"
"2023-12-15","Code","Kilogram","Code_456","http://www.cdisc.org","f9646e08-fb58-4ac6-a1ce-f0b05d639ecc","C28252"
"2023-12-15","Code","Unit of Weight","Code_457","http://www.cdisc.org","74bc6954-1d42-490c-8dde-999f50a3b064","C48208"
"2023-12-15","Code","WEIGHT","Code_458","http://www.cdisc.org","440474f2-4766-4ce6-b0cd-c1c0efb8c644","C25208"
"2023-12-15","Code","HEIGHT","Code_459","http://www.cdisc.org","f8866ba9-6f93-46d6-b92f-d6d4095fd4eb","C25347"
"2023-12-15","Code","Clinical Test Result","Code_460","http://www.cdisc.org","a1706dbb-cb25-4670-bb82-dc3c51fef3be","C77140"
"2023-12-15","Code","Centimeter","Code_461","http://www.cdisc.org","a306ccd7-0ea7-4d11-8164-fab1db4e2bbd","C49668"
"2023-12-15","Code","Inch","Code_462","http://www.cdisc.org","6722d310-ccc1-42f7-bad4-0a008c4477c5","C48500"
"2023-12-15","Code","Meter","Code_463","http://www.cdisc.org","e617de93-6e07-4437-b696-4d92cb64fb1b","C41139"
"2023-12-15","Code","Unit of Height","Code_464","http://www.cdisc.org","371b0b23-0ff7-41c2-9385-b56f633911c9","C168688"
"2023-12-15","Code","HEIGHT","Code_465","http://www.cdisc.org","4c43139e-0609-440d-a628-3c3098cb701f","C25347"
"2023-12-15","Code","ALT","Code_466","http://www.cdisc.org","38bee2d9-cbd9-4f09-a868-2f452722d862","C64433"
"2023-12-15","Code","Laboratory Test Result","Code_467","http://www.cdisc.org","c7722802-de31-415a-99a4-be1551a6114a","C36292"
"2023-12-15","Code","Unit per Liter","Code_468","http://www.cdisc.org","76531dc7-c24b-48dd-99dc-72cdb79d8e74","C67456"
"2023-12-15","Code","Microkatal per Liter","Code_469","http://www.cdisc.org","63078811-cb5e-42af-a921-a3906b21e279","C67397"
"2023-12-15","Code","International Unit per Liter","Code_470","http://www.cdisc.org","380b847c-9a10-44ba-9312-65130f5f004f","C67376"
"2023-12-15","Code","Nanokatal per Liter","Code_471","http://www.cdisc.org","2285be7f-0dc5-44a9-8558-13667df48a66","C70510"
"2023-12-15","Code","Unit of Catalytic Activity Concentration","Code_472","http://www.cdisc.org","2d622f8d-a637-4346-9839-e7a3ffeba9c6","C67365"
"2023-12-15","Code","Biospecimen Type","Code_473","http://www.cdisc.org","644b2c00-3074-4a42-a54c-72c7046f0539","C70713"
"2023-12-15","Code","No","Code_474","http://www.cdisc.org","df0f86a3-d18b-4fd6-bd10-3d03bc22f945","C49487"
"2023-12-15","Code","Yes","Code_475","http://www.cdisc.org","c4901c0a-e51a-48d9-8c20-c4bdc26465e6","C49488"
"2023-12-15","Code","Laboratory Test Fasting Status","Code_476","http://www.cdisc.org","3cfb707c-bff8-4bd7-bd1c-910a8eaddc78","C83309"
"2023-12-15","Code","ALT","Code_477","http://www.cdisc.org","706e3487-ce9d-4ace-a4ff-4e3029a5cd88","C64433"
"2023-12-15","Code","ALB","Code_478","http://www.cdisc.org","807ac936-721d-4b0b-a58c-996c56a1812a","C64431"
"2023-12-15","Code","Laboratory Test Result","Code_479","http://www.cdisc.org","649deeb4-d9cf-4250-b585-6a9562a5444c","C36292"
"2023-12-15","Code","Biospecimen Type","Code_480","http://www.cdisc.org","7cb3ef1d-4c9e-4eee-ab34-b8b36f72af1c","C70713"
"2023-12-15","Code","No","Code_481","http://www.cdisc.org","f40ac24c-9d22-4b75-8c0b-76e182f81495","C49487"
"2023-12-15","Code","Yes","Code_482","http://www.cdisc.org","a581a091-4bf0-4387-b5ac-9e204879afcd","C49488"
"2023-12-15","Code","Laboratory Test Fasting Status","Code_483","http://www.cdisc.org","b31ab6e1-5296-4d36-8394-dc8d3ae3a4a4","C83309"
"2023-12-15","Code","ALB","Code_484","http://www.cdisc.org","c0033a9c-0804-4d31-8859-8f34db699851","C64431"
"2023-12-15","Code","ALP","Code_485","http://www.cdisc.org","c10dbbc7-b0ac-4869-9267-2448c4f69e8f","C64432"
"2023-12-15","Code","Laboratory Test Result","Code_486","http://www.cdisc.org","784fe027-e198-42fe-87c4-af0bc7fe8861","C36292"
"2023-12-15","Code","Unit per Liter","Code_487","http://www.cdisc.org","407c5ef2-978e-488f-9879-5c56b87c81dd","C67456"
"2023-12-15","Code","Microkatal per Liter","Code_488","http://www.cdisc.org","7329e647-1b44-44e4-8a50-37f9f4812dfb","C67397"
"2023-12-15","Code","International Unit per Liter","Code_489","http://www.cdisc.org","c32c4a47-4fcb-4e21-a231-c3507dce62cb","C67376"
"2023-12-15","Code","Unit of Catalytic Activity Concentration","Code_490","http://www.cdisc.org","2be4ffe2-2776-4f2e-a66a-9f23e9deed47","C67365"
"2023-12-15","Code","Biospecimen Type","Code_491","http://www.cdisc.org","1d0a12fb-ea52-46f7-8714-87e1b8c7629b","C70713"
"2023-12-15","Code","No","Code_492","http://www.cdisc.org","315a8406-2a3d-46fb-bf1a-3766290f96a7","C49487"
"2023-12-15","Code","Yes","Code_493","http://www.cdisc.org","820cd4eb-856f-434e-9104-afdbb4d9b6a6","C49488"
"2023-12-15","Code","Laboratory Test Fasting Status","Code_494","http://www.cdisc.org","6baf986b-fe86-4445-9304-1b659d66e8ea","C83309"
"2023-12-15","Code","ALP","Code_495","http://www.cdisc.org","38e80092-ecf2-4fe7-8e91-72d1cee2bcb3","C64432"
"2023-12-15","Code","AST","Code_496","http://www.cdisc.org","ec81679e-9715-4d15-bded-0119175889c6","C64467"
"2023-12-15","Code","Laboratory Test Result","Code_497","http://www.cdisc.org","7b472485-12aa-4c1a-8ff2-6a069e86c927","C36292"
"2023-12-15","Code","Unit per Liter","Code_498","http://www.cdisc.org","afdbfdb5-ec91-44ad-9fe5-14f40eee3728","C67456"
"2023-12-15","Code","Microkatal per Liter","Code_499","http://www.cdisc.org","711d8fdd-9d12-41b2-ae97-0d32851388af","C67397"
"2023-12-15","Code","International Unit per Liter","Code_500","http://www.cdisc.org","8ad266bb-ad30-48f0-888a-4ee8194e7a34","C67376"
"2023-12-15","Code","Unit of Catalytic Activity Concentration","Code_501","http://www.cdisc.org","edcb5dc8-8f37-480b-8f51-29221e90bedf","C67365"
"2023-12-15","Code","Biospecimen Type","Code_502","http://www.cdisc.org","cd64b05e-f99c-4806-a2bf-513cc9f9a54f","C70713"
"2023-12-15","Code","No","Code_503","http://www.cdisc.org","c8f97af5-0668-44cb-aa8c-1703bc3861e9","C49487"
"2023-12-15","Code","Yes","Code_504","http://www.cdisc.org","e1239dbe-e994-4d5b-b903-0879205256bc","C49488"
"2023-12-15","Code","Laboratory Test Fasting Status","Code_505","http://www.cdisc.org","eaa9930d-f3fd-4bc4-bb2d-3757f5ce2c38","C83309"
"2023-12-15","Code","AST","Code_506","http://www.cdisc.org","582748b9-bdd2-4907-9442-39621e1c19ce","C64467"
"2023-12-15","Code","CREAT","Code_507","http://www.cdisc.org","928d7502-a98d-4f00-80e7-e775b8844b4b","C64547"
"2023-12-15","Code","Laboratory Test Result","Code_508","http://www.cdisc.org","3ebb7247-7a62-4931-a9f7-04af54afd13f","C36292"
"2023-12-15","Code","Milligram per Deciliter","Code_509","http://www.cdisc.org","0a13712f-bee1-41e5-94af-cf80f02b2407","C67015"
"2023-12-15","Code","Microgram per Milliliter","Code_510","http://www.cdisc.org","dcfc39f0-0168-457b-bdba-44582b62befb","C64572"
"2023-12-15","Code","Millimole per Liter","Code_511","http://www.cdisc.org","4fad4b95-e566-4660-abde-60e8c602a5fd","C64387"
"2023-12-15","Code","Micromole per Liter","Code_512","http://www.cdisc.org","b48528d5-c3a2-47d2-84e0-2f45ed38921c","C48508"
"2023-12-15","Code","Unit of Concentration","Code_513","http://www.cdisc.org","e5cfe1fb-7ad6-4151-904b-54f9e497c0e1","C48207"
"2023-12-15","Code","Biospecimen Type","Code_514","http://www.cdisc.org","788cb250-918c-4aaf-bb4b-66167fe20249","C70713"
"2023-12-15","Code","No","Code_515","http://www.cdisc.org","7a13a0a2-57a5-4ff4-aa7d-a2066ef9010c","C49487"
"2023-12-15","Code","Yes","Code_516","http://www.cdisc.org","64bee9c2-2bbf-4825-9764-4961b9f916e3","C49488"
"2023-12-15","Code","Laboratory Test Fasting Status","Code_517","http://www.cdisc.org","5e7f1673-acc1-41a8-962a-6bceb24c1034","C83309"
"2023-12-15","Code","CREAT","Code_518","http://www.cdisc.org","a9e85b13-691e-46a0-9a2c-cb75f41db8f7","C64547"
"2023-12-15","Code","K","Code_519","http://www.cdisc.org","0c0e63ea-0bfb-4166-8f5e-64848a84f041","C64853"
"2023-12-15","Code","Laboratory Test Result","Code_520","http://www.cdisc.org","2899d4fd-db21-40b1-831d-fdf1e15a500c","C36292"
"2023-12-15","Code","Milliequivalent per Liter","Code_521","http://www.cdisc.org","c2c12c6c-4b3b-4424-a666-fea666d61059","C67474"
"2023-12-15","Code","Milliequivalent per Deciliter","Code_522","http://www.cdisc.org","a134cc4f-b517-4e6c-aa64-baf200e2efc6","C67473"
"2023-12-15","Code","Millimole per Liter","Code_523","http://www.cdisc.org","a04afeab-04dc-4fac-9115-01dfb18010f1","C64387"
"2023-12-15","Code","Molarity Unit","Code_524","http://www.cdisc.org","42dd0861-1373-407e-9816-f63b97de3498","C64567"
"2023-12-15","Code","Biospecimen Type","Code_525","http://www.cdisc.org","269fafa0-9626-4c11-b790-dec6dba274d4","C70713"
"2023-12-15","Code","No","Code_526","http://www.cdisc.org","7e3b2145-dba0-45a6-b923-add70a67d574","C49487"
"2023-12-15","Code","Yes","Code_527","http://www.cdisc.org","315433fb-bc76-445b-b9e9-49602e020853","C49488"
"2023-12-15","Code","Laboratory Test Fasting Status","Code_528","http://www.cdisc.org","8759e661-0929-4190-8ecb-cc0db497498b","C83309"
"2023-12-15","Code","K","Code_529","http://www.cdisc.org","e5ff7896-3f7b-4ea9-8481-8c937ba6c93f","C64853"
"2023-12-15","Code","SODIUM","Code_530","http://www.cdisc.org","91cad5b2-c018-4bc3-a46e-a646cb2ffb5a","C64809"
"2023-12-15","Code","Laboratory Test Result","Code_531","http://www.cdisc.org","4b7c7af9-c58c-4bce-861b-7431ae51baed","C36292"
"2023-12-15","Code","Milliequivalent per Liter","Code_532","http://www.cdisc.org","8574c449-77ee-48f8-b316-dddc52912628","C67474"
"2023-12-15","Code","Milliequivalent per Deciliter","Code_533","http://www.cdisc.org","f747821d-b704-45bc-aa5a-eaf7568f461e","C67473"
"2023-12-15","Code","Millimole per Liter","Code_534","http://www.cdisc.org","047155e5-0196-4f0d-8bfe-cb7d9e35edc3","C64387"
"2023-12-15","Code","Molarity Unit","Code_535","http://www.cdisc.org","ebf075be-f42c-4c3c-baca-247d60e4ee69","C64567"
"2023-12-15","Code","Biospecimen Type","Code_536","http://www.cdisc.org","07276793-a07e-4438-a19d-8a99a684c036","C70713"
"2023-12-15","Code","No","Code_537","http://www.cdisc.org","115ec551-4aae-4b6b-8d9d-474cc1c6f495","C49487"
"2023-12-15","Code","Yes","Code_538","http://www.cdisc.org","2b1f9c7c-ef45-45ee-b569-4e1a721ba737","C49488"
"2023-12-15","Code","Laboratory Test Fasting Status","Code_539","http://www.cdisc.org","58199b8a-680c-4ab5-8603-405edc393a2b","C83309"
"2023-12-15","Code","SODIUM","Code_540","http://www.cdisc.org","2ed4dfc3-4004-4a28-9c5c-44acc952557f","C64809"
"2023-12-15","Code","HBA1C","Code_541","http://www.cdisc.org","7e6570e7-1bf0-4ed4-9489-95d8c9673b93","C64849"
"2023-12-15","Code","Laboratory Test Result","Code_542","http://www.cdisc.org","fa2221b3-9040-4e7e-a010-6e5ce5497ac6","C36292"
"2023-12-15","Code","Gram per Deciliter","Code_543","http://www.cdisc.org","58dae2c5-4e30-4783-9260-a8e083a53abf","C64783"
"2023-12-15","Code","LBORRESU","Code_544","http://www.cdisc.org","12b86c60-6f26-4c8c-8206-7bd2a0bd0d7f","No Concept Code"
"2023-12-15","Code","Biospecimen Type","Code_545","http://www.cdisc.org","35e898b0-fb6b-4446-a1e4-80caf6826a82","C70713"
"2023-12-15","Code","No","Code_546","http://www.cdisc.org","69b6b706-d1c8-4b76-9bf3-ee2c6c157d5b","C49487"
"2023-12-15","Code","Yes","Code_547","http://www.cdisc.org","93b1b418-3de5-4937-8b89-15b01a42fba7","C49488"
"2023-12-15","Code","Laboratory Test Fasting Status","Code_548","http://www.cdisc.org","6aa187f3-0e30-4265-9dd5-695437c8be61","C83309"
"2023-12-15","Code","HBA1C","Code_549","http://www.cdisc.org","6136a130-833a-4af4-ab2e-1bf668443b53","C64849"
"2023-12-15","Code","Adverse Event Verbatim Description","Code_145","http://www.cdisc.org","a362500d-00fd-4706-885d-9f1251f78d75","C78541"
"2023-12-15","Code","Adverse Event Dictionary Derived Term","Code_146","http://www.cdisc.org","73d5caac-9774-4eca-b002-68a5bcc0d36e","C83344"
"2023-12-15","Code","No","Code_147","http://www.cdisc.org","b800391a-3fc5-45f2-8386-992a9edab0bc","C49487"
"2023-12-15","Code","Yes","Code_148","http://www.cdisc.org","53fbb291-bed4-4e5e-9f9c-048e10f38ec5","C49488"
"2023-12-15","Code","Adverse Event Pre-specified","Code_149","http://www.cdisc.org","b0edefb6-6b4f-456c-b646-2b3ef5d27b55","C87840"
"2023-12-15","Code","Adverse Event Location","Code_150","http://www.cdisc.org","b3008190-2926-4363-b50b-9bd219a35663","C83205"
"2023-12-15","Code","Severity of Adverse Event","Code_151","http://www.cdisc.org","0923a844-afc0-46f8-98c8-af355df3351f","C53253"
"2023-12-15","Code","No","Code_152","http://www.cdisc.org","7ecd4ae4-955d-4eac-86a2-ba2535bc3f09","C49487"
"2023-12-15","Code","Yes","Code_153","http://www.cdisc.org","4eb208ab-c3ba-4ee1-bb7e-6829c6d30cec","C49488"
"2023-12-15","Code","Seriousness of Adverse Event","Code_154","http://www.cdisc.org","23abec6e-b111-4078-acb5-e3864a28c5b6","C53252"
"2023-12-15","Code","Adverse Event Action Taken with Study Treatment","Code_155","http://www.cdisc.org","3b43085c-3fbf-476c-9b9a-6b323bff5ca0","C83013"
"2023-12-15","Code","Other Actions taken in Response to Adverse Event","Code_156","http://www.cdisc.org","561d861e-4e6c-4e09-bb03-718d8f55ea59","C83109"
"2023-12-15","Code","Adverse Event Attribution to Product or Procedure","Code_157","http://www.cdisc.org","6a02c9ba-02de-43aa-b743-0c8d4792525b","C41358"
"2023-12-15","Code","Adverse Event Relationship to Non Study Treatment","Code_158","http://www.cdisc.org","c3200833-7223-4ffb-9683-88f7795b1aad","C83210"
"2023-12-15","Code","Adverse Event Pattern","Code_159","http://www.cdisc.org","1ffbe987-563d-45fb-add0-43a1023b2301","C83208"
"2023-12-15","Code","Adverse Event Outcome","Code_160","http://www.cdisc.org","5e814b54-60f1-4cdb-80c5-3264704d2f2e","C49489"
"2023-12-15","Code","No","Code_161","http://www.cdisc.org","514276f8-aa1a-433d-aaa2-fabd5f766196","C49487"
"2023-12-15","Code","Yes","Code_162","http://www.cdisc.org","74e2f62c-6a25-46d4-9d3c-b5eb13548274","C49488"
"2023-12-15","Code","Adverse Event Involves Cancer","Code_163","http://www.cdisc.org","62e8ba86-a5ec-4a15-9c6f-16f313f1e713","C83211"
"2023-12-15","Code","No","Code_164","http://www.cdisc.org","133bb963-225c-4953-8390-62ae99a52eca","C49487"
"2023-12-15","Code","Yes","Code_165","http://www.cdisc.org","2bd58b2f-97d5-474e-afd2-a1e1cb228cc7","C49488"
"2023-12-15","Code","Adverse Event Seriousness Due to Congenital Anomaly","Code_166","http://www.cdisc.org","fbba15f2-4c9b-44a3-9374-fd36f1713a8d","C83117"
"2023-12-15","Code","No","Code_167","http://www.cdisc.org","db8626c2-4920-409b-9ec2-5ecf537bb3cf","C49487"
