"label","id","instanceType","synonyms","uuid:ID","name","reference"
"Systolic Blood Pressure","BiomedicalConcept_2","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","56d37e17-892e-4369-8fa2-76e88a493801","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","BiomedicalConcept_3","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","a2f8dbfb-fddf-4f66-a018-f9b6fc4cfba6","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Temperature","BiomedicalConcept_4","BiomedicalConcept","['Temperature', 'Body Temperature']","a17a364f-410a-442a-a9b9-4bc4ea3886fb","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","BiomedicalConcept_5","BiomedicalConcept","['Weight', 'Body Weight']","5a88e134-e924-4743-9112-9daa009116e6","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","BiomedicalConcept_6","BiomedicalConcept","['Height', 'Body Height']","14d8cad2-89f0-45a0-a88d-b17a3076aced","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","c0e1d86d-7ebe-4c4a-a28a-d356e6d9ced9","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","BiomedicalConcept_8","BiomedicalConcept","['Albumin', 'Albumin Measurement']","c0c98752-9394-4542-9d45-65776d097fff","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","cf08228b-51cb-45c8-beb1-5ac913c0c844","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","0b4a8f81-b324-4043-8a15-77d80dcddfb0","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"Creatinine Concentration in Urine","BiomedicalConcept_11","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","2c5e0e13-0733-401e-be1f-17cefe6d378c","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","BiomedicalConcept_12","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","c1a11059-5e5e-45e3-b275-c2ab7a96640f","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","BiomedicalConcept_13","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","4ef84b55-6386-45e2-a244-a10efafc1d62","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"Systolic Blood Pressure","BiomedicalConcept_14","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","56f78a34-3c51-4739-8f06-b4d65597c557","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","BiomedicalConcept_15","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","4ee972b6-6aaa-42a3-a489-fb2589a81169","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Heart Rate","BiomedicalConcept_16","BiomedicalConcept","['Heart Rate']","302d6dd0-94c6-4639-aee8-f94c09427e69","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
"Systolic Blood Pressure","BiomedicalConcept_17","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","af74d598-b284-4141-9d4c-7befd9821c96","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","BiomedicalConcept_18","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","2600d475-b45d-4a4a-b38c-3d1b9fca2647","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Heart Rate","BiomedicalConcept_19","BiomedicalConcept","['Heart Rate']","08190e71-ae4d-4992-9775-083a2f59464c","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
