"instanceType","label","synonyms","reference","uuid:ID","name","id"
"BiomedicalConcept","Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","a395c305-3328-4313-bd9f-0e9bd9c78543","Weight","BiomedicalConcept_5"
"BiomedicalConcept","Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","a510aa1e-f33d-4ab3-8444-541f4eea81ce","Height","BiomedicalConcept_6"
"BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","bc15996e-75da-4416-9a63-3720eb254dd6","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7"
"BiomedicalConcept","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","59b219d0-d8ec-46c7-b430-9e6c87720c99","Albumin Presence in Urine","BiomedicalConcept_8"
"BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","16d3f3fb-f882-4aa0-ad3f-963fd7d6f074","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9"
"BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","e00d6e07-7aa8-4855-b913-ad6ff673d895","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10"
"BiomedicalConcept","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","330009ba-c7a9-4a7d-b3ec-3f0e0522bce6","Creatinine Concentration in Urine","BiomedicalConcept_11"
"BiomedicalConcept","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","d3d9ec3d-d437-4246-bcc0-c6834533a015","Potassium Concentration in Urine","BiomedicalConcept_12"
"BiomedicalConcept","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","a826f4ab-67b0-4ae0-8153-e20ceb542793","Sodium Concentration in Urine","BiomedicalConcept_13"
"BiomedicalConcept","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","48ea8248-80dd-48dc-8376-3e3a89236b2e","Systolic Blood Pressure","BiomedicalConcept_14"
"BiomedicalConcept","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","16241331-190a-4292-a526-0f3d46471461","Diastolic Blood Pressure","BiomedicalConcept_15"
"BiomedicalConcept","Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","10371f25-fa6a-48dc-9e77-c484fbf3423e","Heart Rate","BiomedicalConcept_16"
"BiomedicalConcept","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","c4c2a529-8e8c-48e6-bd9b-7323c5149721","Systolic Blood Pressure","BiomedicalConcept_17"
"BiomedicalConcept","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","14855ef8-1133-46a0-8b4c-d8f3a76148c3","Diastolic Blood Pressure","BiomedicalConcept_18"
"BiomedicalConcept","Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","5eee1a5f-bad8-47d0-9f0e-3088b88b36ed","Heart Rate","BiomedicalConcept_19"
