"label","instanceType","name","uuid:ID","id","synonyms","reference"
"Hemoglobin A1C Concentration in Blood","BiomedicalConcept","Hemoglobin A1C Concentration in Blood","79585f82-15fb-4c23-8aab-727758a9039d","BiomedicalConcept_33","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
"Adverse Event Prespecified","BiomedicalConcept","Adverse Event Prespecified","f4ff0813-da87-4e7e-b384-7d808be6018b","BiomedicalConcept_1","['Adverse Event', 'Solicited Adverse Event']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
"Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure","74157b66-4cbc-495b-90de-fbd9f5dd1938","BiomedicalConcept_2","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure","0181ec1f-3a26-4cb3-a83b-2bf2953099d3","BiomedicalConcept_3","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Temperature","BiomedicalConcept","Temperature","04944163-35fa-4447-9b50-897af27146cc","BiomedicalConcept_4","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","BiomedicalConcept","Weight","37cab508-736c-4d13-a463-609368ef4b4a","BiomedicalConcept_5","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","BiomedicalConcept","Height","510a9ec8-4605-4ad5-9347-8d2ae769a5a9","BiomedicalConcept_6","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","1f326ba4-f02a-4c52-bbe4-b1f6d1e527be","BiomedicalConcept_7","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","BiomedicalConcept","Albumin Presence in Urine","f6462ec3-4aba-4b6d-a51f-cddd45c81975","BiomedicalConcept_8","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","7d52e289-3c85-42d8-a7bf-4a45c4ede943","BiomedicalConcept_9","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","a2e0c502-b1d2-402d-86a6-53077095e587","BiomedicalConcept_10","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"Creatinine Concentration in Urine","BiomedicalConcept","Creatinine Concentration in Urine","0b585cfa-59a9-40ea-9a84-d30c36b621de","BiomedicalConcept_11","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","BiomedicalConcept","Potassium Concentration in Urine","1e2e5f30-4ba7-49f9-812f-426a0afe5556","BiomedicalConcept_12","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","BiomedicalConcept","Sodium Concentration in Urine","7a142eb0-3bd8-42cb-81d3-cbbbdb8adf47","BiomedicalConcept_13","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure","1598003f-ec85-4864-9528-6a59f8ecbcd8","BiomedicalConcept_14","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure","bdbdcf4d-1b53-4a71-a366-4d53f91fc781","BiomedicalConcept_15","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Heart Rate","BiomedicalConcept","Heart Rate","3efdb85a-bc3c-469a-a779-e2ec77c1e162","BiomedicalConcept_16","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
"Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure","2cc765c2-6109-45d4-b590-a40df7af9139","BiomedicalConcept_17","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure","408c7b77-426e-4e3e-8644-cfdddbd7f2b9","BiomedicalConcept_18","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Heart Rate","BiomedicalConcept","Heart Rate","2d6b784d-3c59-4d46-9eef-88f971290ce3","BiomedicalConcept_19","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
