"name","uuid:ID","synonyms","id","label","reference","instanceType"
"Diastolic Blood Pressure","f3f1ff7b-fb1a-48de-887d-fff80f5ce08d","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_3","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept"
"Temperature","c049a519-c634-47d2-a999-f11ec74de4e3","['Temperature', 'Body Temperature']","BiomedicalConcept_4","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept"
"Weight","9f415c9c-e73d-4792-92a0-1143a1f5362f","['Weight', 'Body Weight']","BiomedicalConcept_5","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept"
"Height","cd4fca89-d9b3-4ff0-ad46-bd94cbf5cebb","['Height', 'Body Height']","BiomedicalConcept_6","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept"
"Alanine Aminotransferase Concentration in Serum/Plasma","a4445394-bc46-4abb-9550-c55ca20d7152","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept"
"Albumin Presence in Urine","f12784fe-1160-4aa6-847d-27a88867dccd","['Albumin', 'Albumin Measurement']","BiomedicalConcept_8","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept"
"Alkaline Phosphatase Concentration in Serum/Plasma","3dd318f3-fcab-4d59-bec9-d70e0fd9bfe3","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept"
"Aspartate Aminotransferase in Serum/Plasma","006b26c9-59aa-4254-a7ca-3438bfd630ad","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept"
"Creatinine Concentration in Urine","47358349-ce47-4858-86ee-c5d5911e5883","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_11","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept"
"Potassium Concentration in Urine","d0b7812e-41bc-46b8-9b89-54b47208057f","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_12","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept"
"Sodium Concentration in Urine","b7700971-2b9e-4daa-a004-2bbc74bbed4d","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_13","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept"
"Systolic Blood Pressure","249abe85-8e98-4164-9a8c-bd4c63c65d56","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_14","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept"
"Diastolic Blood Pressure","7c516161-d87f-4494-9944-58ecad05276d","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_15","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept"
"Heart Rate","b99f37d0-f6b3-4ab8-8eef-9bb7363b9771","['Heart Rate']","BiomedicalConcept_16","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept"
"Systolic Blood Pressure","053e38ec-4ca1-4d17-adc9-77e8a61dba51","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_17","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept"
"Diastolic Blood Pressure","840b7afe-c162-43db-8e41-f454852e7984","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_18","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept"
"Heart Rate","9138371d-ead0-4fd8-b584-58b55f02b278","['Heart Rate']","BiomedicalConcept_19","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept"
