"instanceType","name","id","synonyms","uuid:ID","reference","label"
"BiomedicalConcept","Temperature","BiomedicalConcept_4","['Temperature', 'Body Temperature']","5093bfbd-8995-4276-ad63-746caf5dcf6b","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature"
"BiomedicalConcept","Weight","BiomedicalConcept_5","['Weight', 'Body Weight']","f8e3ff1d-c6fb-4a10-b11d-49d9948618fe","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight"
"BiomedicalConcept","Height","BiomedicalConcept_6","['Height', 'Body Height']","1052571b-ef67-4c64-8df8-86df66147cf3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height"
"BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","1a3beff1-4c80-49c2-944b-d2149bd91058","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma"
"BiomedicalConcept","Albumin Presence in Urine","BiomedicalConcept_8","['Albumin', 'Albumin Measurement']","a33077dc-9750-4c8a-b5a5-7f3596bd357f","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine"
"BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","169841fa-7724-4d8e-abfc-31d331217b2c","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma"
"BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","c81d6820-b9be-4f93-a4a4-be5fe38d2df0","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma"
"BiomedicalConcept","Creatinine Concentration in Urine","BiomedicalConcept_11","['Creatinine', 'Creatinine Measurement']","ad0a626c-6f44-49b2-8435-6a22430862ac","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine"
"BiomedicalConcept","Potassium Concentration in Urine","BiomedicalConcept_12","['Potassium', 'K', 'Potassium Measurement']","b4fc8b83-300b-456d-b39e-f8e89b6d9603","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine"
"BiomedicalConcept","Sodium Concentration in Urine","BiomedicalConcept_13","['Sodium', 'NA', 'Sodium Measurement']","5673e10f-2459-4c49-a2e9-e3fa4921c2a4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine"
"BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_14","['SYSBP', 'Systolic Blood Pressure']","f75421e3-776f-4d08-9a6e-25487afa28d1","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure"
"BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_15","['DIABP', 'Diastolic Blood Pressure']","65c9530f-6777-44d6-a8cb-a38e6d98fa34","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure"
"BiomedicalConcept","Heart Rate","BiomedicalConcept_16","['Heart Rate']","d1c21655-7aef-4405-a867-2bd0ef084a27","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate"
"BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_17","['SYSBP', 'Systolic Blood Pressure']","ffa4fe7c-a428-45b8-8175-b03694863cb5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure"
"BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_18","['DIABP', 'Diastolic Blood Pressure']","5c4423f0-d88d-473e-b5de-378cd6550fa3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure"
"BiomedicalConcept","Heart Rate","BiomedicalConcept_19","['Heart Rate']","2d1bfc6f-1e9b-4446-8484-2c84d5888fb1","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate"
