"name","isEnabled","isRequired","label","datatype","uuid:ID","instanceType","id"
"Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","boolean","0ad892d9-0ff6-4d68-abd3-891ae65b5b6a","BiomedicalConceptProperty","BiomedicalConceptProperty_126"
"Molarity Unit","True","True","Molarity Unit","string","46bc883b-0255-421a-b624-caf30a89bb6b","BiomedicalConceptProperty","BiomedicalConceptProperty_127"
"Biospecimen Type","True","True","Biospecimen Type","string","673ab4b9-44b2-43aa-967a-da586b0ede24","BiomedicalConceptProperty","BiomedicalConceptProperty_128"
"Laboratory Test Result","True","True","Laboratory Test Result","decimal","fa71fe79-cf09-4031-bddf-bed1422de36c","BiomedicalConceptProperty","BiomedicalConceptProperty_129"
"Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","boolean","9b3fc8c5-c910-40dd-8afc-9a5c88f1eb7b","BiomedicalConceptProperty","BiomedicalConceptProperty_130"
"Molarity Unit","True","True","Molarity Unit","string","bd714357-e9c5-487d-8d0c-86326449513c","BiomedicalConceptProperty","BiomedicalConceptProperty_131"
"Biospecimen Type","True","True","Biospecimen Type","string","b7b62b95-d047-4425-8e9c-e7a2b47d4d40","BiomedicalConceptProperty","BiomedicalConceptProperty_132"
"Adverse Event Verbatim Description","True","True","Adverse Event Verbatim Description","string","0ba25925-b7ff-4c2e-91b7-b99a29513a9f","BiomedicalConceptProperty","BiomedicalConceptProperty_1"
"Adverse Event Dictionary Derived Term","True","True","Adverse Event Dictionary Derived Term","string","a05894e6-4f2d-4f66-a3df-ef4458c25dd9","BiomedicalConceptProperty","BiomedicalConceptProperty_2"
"Adverse Event Category","True","True","Adverse Event Category","string","72e89ad5-5fb2-484c-8067-2a24f2bfc07f","BiomedicalConceptProperty","BiomedicalConceptProperty_3"
"Adverse Event Subcategory","True","True","Adverse Event Subcategory","string","d38485da-f480-47f3-840c-f10a9d4625c4","BiomedicalConceptProperty","BiomedicalConceptProperty_4"
"Adverse Event Pre-specified","True","True","Adverse Event Pre-specified","boolean","5a969ce4-9d7a-406b-ac1f-5fb94dc8e1a0","BiomedicalConceptProperty","BiomedicalConceptProperty_5"
"Severity of Adverse Event","True","True","Severity of Adverse Event","string","c4076a32-74d2-4625-9980-6b2c0a03d402","BiomedicalConceptProperty","BiomedicalConceptProperty_6"
"Adverse Event Toxicity Grade","True","True","Adverse Event Toxicity Grade","string","eb16249f-ddad-4338-844f-e382bf3dca8a","BiomedicalConceptProperty","BiomedicalConceptProperty_7"
"Seriousness of Adverse Event","True","True","Seriousness of Adverse Event","boolean","7f0e773e-20a6-447b-80aa-0be3555560c0","BiomedicalConceptProperty","BiomedicalConceptProperty_8"
"Adverse Event Action Taken with Study Treatment","True","True","Adverse Event Action Taken with Study Treatment","string","d0b31908-4188-445d-829c-242cf2b62a82","BiomedicalConceptProperty","BiomedicalConceptProperty_9"
"Adverse Event Attribution to Product or Procedure","True","True","Adverse Event Attribution to Product or Procedure","string","1fe29256-b801-4b34-af81-1ea6305ca48c","BiomedicalConceptProperty","BiomedicalConceptProperty_10"
"Adverse Event Pattern","True","True","Adverse Event Pattern","string","55b7dbf7-1b47-49c6-9a39-e98f46140e3c","BiomedicalConceptProperty","BiomedicalConceptProperty_11"
"Adverse Event Outcome","True","True","Adverse Event Outcome","string","1c068d19-d5a3-436c-a177-0011c15a3890","BiomedicalConceptProperty","BiomedicalConceptProperty_12"
"Adverse Event Start Date Time","True","True","Adverse Event Start Date Time","datetime","971584de-2adc-4d29-9bfe-a07a461a3fc3","BiomedicalConceptProperty","BiomedicalConceptProperty_13"
"Adverse Event End Date Time","True","True","Adverse Event End Date Time","datetime","a5c2edc1-01fd-485b-aa01-2cf3463daeb1","BiomedicalConceptProperty","BiomedicalConceptProperty_14"
"Vital Signs Result","True","True","Vital Signs Result","decimal","e8cdf54d-22a1-4f83-880d-ae5022b8ef6b","BiomedicalConceptProperty","BiomedicalConceptProperty_15"
"Unit of Pressure","True","True","Unit of Pressure","string","4c39be1a-cd08-4fba-911b-fa211d38cedb","BiomedicalConceptProperty","BiomedicalConceptProperty_16"
"Vital Signs Location","True","True","Vital Signs Location","string","72bde1fb-1320-4841-9d83-18636ff2e192","BiomedicalConceptProperty","BiomedicalConceptProperty_17"
"Vital Signs Laterality","True","True","Vital Signs Laterality","string","a449a5d7-0ee2-4d74-a171-f833719d8706","BiomedicalConceptProperty","BiomedicalConceptProperty_18"
"Test Method","True","True","Test Method","string","f170ab8e-b50c-4a2e-905c-df180b21f2ef","BiomedicalConceptProperty","BiomedicalConceptProperty_19"
"Vital Signs Position","True","True","Vital Signs Position","string","5c069d4b-493c-4171-b4ee-d36dfe8674c2","BiomedicalConceptProperty","BiomedicalConceptProperty_20"
"Vital Signs Result","True","True","Vital Signs Result","decimal","7a1afa27-2a5c-4ead-893d-04e80f497d57","BiomedicalConceptProperty","BiomedicalConceptProperty_21"
"Unit of Pressure","True","True","Unit of Pressure","string","2cea8123-1104-4f69-bc3f-5535d4ceeba9","BiomedicalConceptProperty","BiomedicalConceptProperty_22"
"Vital Signs Location","True","True","Vital Signs Location","string","64b267f0-1567-4da9-bc79-5d2e9d3cbb4a","BiomedicalConceptProperty","BiomedicalConceptProperty_23"
"Vital Signs Laterality","True","True","Vital Signs Laterality","string","48ebf360-7a36-47da-8a4b-3169f0b4734d","BiomedicalConceptProperty","BiomedicalConceptProperty_24"
"Test Method","True","True","Test Method","string","cd560a46-b527-47fe-8e23-27b6d4d78ad7","BiomedicalConceptProperty","BiomedicalConceptProperty_25"
"Vital Signs Position","True","True","Vital Signs Position","string","bf43e20a-d078-4229-b8d6-b54e90b470be","BiomedicalConceptProperty","BiomedicalConceptProperty_26"
"Vital Signs Result","True","True","Vital Signs Result","decimal","2b6da4d3-f4e6-4d4a-a90c-2ff37ce03092","BiomedicalConceptProperty","BiomedicalConceptProperty_27"
"Unit of Temperature","True","True","Unit of Temperature","string","685a96e8-270b-4814-9edd-30964f580f56","BiomedicalConceptProperty","BiomedicalConceptProperty_28"
"Vital Signs Location","True","True","Vital Signs Location","string","fb777d76-0832-407a-8d55-9d081b10e015","BiomedicalConceptProperty","BiomedicalConceptProperty_29"
"Vital Signs Result","True","True","Vital Signs Result","decimal","e396598b-19e7-4135-8562-7debec073e39","BiomedicalConceptProperty","BiomedicalConceptProperty_30"
"Unit of Weight","True","True","Unit of Weight","string","9d77446f-b7af-4434-a33e-5aea3118d3e8","BiomedicalConceptProperty","BiomedicalConceptProperty_31"
"Vital Signs Result","True","True","Vital Signs Result","decimal","68466a84-47dc-429d-bc92-d402128b6198","BiomedicalConceptProperty","BiomedicalConceptProperty_32"
"Unit of Height","True","True","Unit of Height","string","e9e801b9-2887-4d0c-b4ac-37393dee5307","BiomedicalConceptProperty","BiomedicalConceptProperty_33"
"Laboratory Test Result","True","True","Laboratory Test Result","decimal","b12a4d60-2ab5-4c56-a313-04b78d2bef36","BiomedicalConceptProperty","BiomedicalConceptProperty_34"
"Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","boolean","7800f34d-6735-4fa0-a3b6-f1d1bf4840d0","BiomedicalConceptProperty","BiomedicalConceptProperty_35"
"Unit of Catalytic Activity Concentration","True","True","Unit of Catalytic Activity Concentration","string","d216d4be-eeb7-42cc-a849-1511e4273f50","BiomedicalConceptProperty","BiomedicalConceptProperty_36"
"Biospecimen Type","True","True","Biospecimen Type","string","d0b015b0-7f06-49ba-aad9-1cca84f823ae","BiomedicalConceptProperty","BiomedicalConceptProperty_37"
"Laboratory Test Result","True","True","Laboratory Test Result","string","38afc37f-e3ef-465a-8905-a1381c820e56","BiomedicalConceptProperty","BiomedicalConceptProperty_38"
"Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","boolean","c82bf7d9-76c8-4b23-8180-5498098c29ae","BiomedicalConceptProperty","BiomedicalConceptProperty_39"
"Unit of Concentration","True","True","Unit of Concentration","string","0f9c6ebc-5ff8-49e0-91f4-74d082cc490c","BiomedicalConceptProperty","BiomedicalConceptProperty_40"
"Biospecimen Type","True","True","Biospecimen Type","string","28715bec-2350-4aa1-a185-baed1a1afdeb","BiomedicalConceptProperty","BiomedicalConceptProperty_41"
"Laboratory Test Result","True","True","Laboratory Test Result","decimal","c8019fb8-2ff4-4ce4-b972-641f05501539","BiomedicalConceptProperty","BiomedicalConceptProperty_42"
"Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","boolean","c63d24cc-07d7-4ab0-902e-bb7dce014331","BiomedicalConceptProperty","BiomedicalConceptProperty_43"
"Unit of Catalytic Activity Concentration","True","True","Unit of Catalytic Activity Concentration","string","75be8bc8-b3f6-4245-9be1-737f63c1cba7","BiomedicalConceptProperty","BiomedicalConceptProperty_44"
"Biospecimen Type","True","True","Biospecimen Type","string","182d49f7-3367-47fc-9b8a-f156f7951cd2","BiomedicalConceptProperty","BiomedicalConceptProperty_45"
"Laboratory Test Result","True","True","Laboratory Test Result","decimal","30b59711-7445-43b7-8ce5-6bd31f04b774","BiomedicalConceptProperty","BiomedicalConceptProperty_46"
"Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","boolean","9a1315f1-bcde-4547-8c9b-1b14a8d6700e","BiomedicalConceptProperty","BiomedicalConceptProperty_47"
"Unit of Catalytic Activity Concentration","True","True","Unit of Catalytic Activity Concentration","string","57608d8b-0e9e-454d-98cb-32c710bea408","BiomedicalConceptProperty","BiomedicalConceptProperty_48"
"Biospecimen Type","True","True","Biospecimen Type","string","8a89acce-b68a-41b6-b50b-e7f50b9001a2","BiomedicalConceptProperty","BiomedicalConceptProperty_49"
"Laboratory Test Result","True","True","Laboratory Test Result","string","ba1a9687-c575-41a9-9680-d51718c00153","BiomedicalConceptProperty","BiomedicalConceptProperty_50"
"Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","boolean","79de7c92-1d7e-40c0-83b4-a7471b97d524","BiomedicalConceptProperty","BiomedicalConceptProperty_51"
"Unit of Concentration","True","True","Unit of Concentration","string","61b05a18-3459-457f-8d12-39e5a22992b0","BiomedicalConceptProperty","BiomedicalConceptProperty_52"
"Biospecimen Type","True","True","Biospecimen Type","string","8ca0e65c-ea1a-45b6-aa87-228ce571e518","BiomedicalConceptProperty","BiomedicalConceptProperty_53"
"Laboratory Test Result","True","True","Laboratory Test Result","decimal","56e2853f-e22a-4953-bc8b-b301afeb0730","BiomedicalConceptProperty","BiomedicalConceptProperty_54"
"Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","boolean","8ce57c44-efd3-480d-938a-6b9dd0e10c71","BiomedicalConceptProperty","BiomedicalConceptProperty_55"
"Molarity Unit","True","True","Molarity Unit","string","dbd812b5-e656-445e-909c-4c93891b115d","BiomedicalConceptProperty","BiomedicalConceptProperty_56"
"Biospecimen Type","True","True","Biospecimen Type","string","6e7aa056-7c5e-42e8-a571-3cdc6cbf70f3","BiomedicalConceptProperty","BiomedicalConceptProperty_57"
"Laboratory Test Result","True","True","Laboratory Test Result","decimal","d2aac25f-985c-4bdf-bd58-219ccc1169a2","BiomedicalConceptProperty","BiomedicalConceptProperty_58"
"Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status","boolean","1f72bcc8-7a3e-4d0e-98fc-0d1c6c0d4983","BiomedicalConceptProperty","BiomedicalConceptProperty_59"
"Molarity Unit","True","True","Molarity Unit","string","6d46e6e8-9737-4105-bb25-6974029de9de","BiomedicalConceptProperty","BiomedicalConceptProperty_60"
"Biospecimen Type","True","True","Biospecimen Type","string","60bd68c9-a58a-45ed-b29a-aa21c5645313","BiomedicalConceptProperty","BiomedicalConceptProperty_61"
"Vital Signs Result","True","True","Vital Signs Result","decimal","8a413fed-43b7-4681-b0f0-bf041894d3c5","BiomedicalConceptProperty","BiomedicalConceptProperty_62"
"Unit of Pressure","True","True","Unit of Pressure","string","8f3af411-907d-4ac2-8233-6460ed5fe9df","BiomedicalConceptProperty","BiomedicalConceptProperty_63"
"Vital Signs Location","True","True","Vital Signs Location","string","29b4d9ef-9549-4b28-8983-98e36084a8d2","BiomedicalConceptProperty","BiomedicalConceptProperty_64"
"Vital Signs Laterality","True","True","Vital Signs Laterality","string","34eaefde-a54b-4538-8b9b-22ea9ed39b17","BiomedicalConceptProperty","BiomedicalConceptProperty_65"
"Test Method","True","True","Test Method","string","61e046ad-f184-4fe3-9590-7699d0cd29cb","BiomedicalConceptProperty","BiomedicalConceptProperty_66"
"Vital Signs Position","True","True","Vital Signs Position","string","1aeaa4b6-adc9-4626-9348-7e20e3439385","BiomedicalConceptProperty","BiomedicalConceptProperty_67"
"Vital Signs Result","True","True","Vital Signs Result","decimal","5133399f-d85d-4595-9005-eaa9aea256fd","BiomedicalConceptProperty","BiomedicalConceptProperty_68"
"Unit of Pressure","True","True","Unit of Pressure","string","64dc724e-5759-49ca-8741-7eca28034040","BiomedicalConceptProperty","BiomedicalConceptProperty_69"
"Vital Signs Location","True","True","Vital Signs Location","string","940deda7-548b-46f5-a9a5-cd6ca0b6145f","BiomedicalConceptProperty","BiomedicalConceptProperty_70"
"Vital Signs Laterality","True","True","Vital Signs Laterality","string","ea255b45-0971-49ca-9e4d-d3cb156438cb","BiomedicalConceptProperty","BiomedicalConceptProperty_71"
"Test Method","True","True","Test Method","string","570a8bba-f23f-4558-9749-a9fd39ce7949","BiomedicalConceptProperty","BiomedicalConceptProperty_72"
"Vital Signs Position","True","True","Vital Signs Position","string","6bfd4e3b-858d-47aa-8416-ae787db35404","BiomedicalConceptProperty","BiomedicalConceptProperty_73"
"Vital Signs Result","True","True","Vital Signs Result","integer","0f1df8c4-5bd7-4f6d-b131-ba0718b43f81","BiomedicalConceptProperty","BiomedicalConceptProperty_74"
"Count per Minute","True","True","Count per Minute","string","9cdef66b-f578-4f2f-8813-9bb24eed4d6e","BiomedicalConceptProperty","BiomedicalConceptProperty_75"
"Vital Signs Location","True","True","Vital Signs Location","string","3bbef9b8-aff3-4789-a895-33a2ff55ba22","BiomedicalConceptProperty","BiomedicalConceptProperty_76"
"Vital Signs Laterality","True","True","Vital Signs Laterality","string","ddbc1d03-4150-487e-8b07-801d6a1b6751","BiomedicalConceptProperty","BiomedicalConceptProperty_77"
"Test Method","True","True","Test Method","string","e24816a8-e052-4e09-96f6-d34c0f91ac18","BiomedicalConceptProperty","BiomedicalConceptProperty_78"
"Vital Signs Position","True","True","Vital Signs Position","string","66281480-e1c2-4b4c-911a-30d50dd0793c","BiomedicalConceptProperty","BiomedicalConceptProperty_79"
"Vital Signs Result","True","True","Vital Signs Result","decimal","26bd09c4-ca53-42db-afbc-77a41caf504f","BiomedicalConceptProperty","BiomedicalConceptProperty_80"
"Unit of Pressure","True","True","Unit of Pressure","string","dfe19136-914b-4323-8773-0fe24bf58991","BiomedicalConceptProperty","BiomedicalConceptProperty_81"
"Vital Signs Location","True","True","Vital Signs Location","string","1fc6e5c6-d7f6-418c-828c-54cce64af151","BiomedicalConceptProperty","BiomedicalConceptProperty_82"
"Vital Signs Laterality","True","True","Vital Signs Laterality","string","2dac7af0-0980-4dc1-b7c5-9b1d7266c68c","BiomedicalConceptProperty","BiomedicalConceptProperty_83"
"Test Method","True","True","Test Method","string","0980b847-0fe8-4cf1-a453-81bd32a02eaf","BiomedicalConceptProperty","BiomedicalConceptProperty_84"
"Vital Signs Position","True","True","Vital Signs Position","string","1891abfb-7294-4024-a00f-bcb9886e130e","BiomedicalConceptProperty","BiomedicalConceptProperty_85"
"Vital Signs Result","True","True","Vital Signs Result","decimal","35c96433-44f1-4614-ab65-7bc909402af7","BiomedicalConceptProperty","BiomedicalConceptProperty_86"
"Unit of Pressure","True","True","Unit of Pressure","string","55fd59b1-dde5-4110-b3cc-429e20e52ac1","BiomedicalConceptProperty","BiomedicalConceptProperty_87"
"Vital Signs Location","True","True","Vital Signs Location","string","3c7bdc32-d1ac-44be-9a05-a22dc2c18976","BiomedicalConceptProperty","BiomedicalConceptProperty_88"
"Vital Signs Laterality","True","True","Vital Signs Laterality","string","1efa31a5-7ecc-4331-ab95-91b6084b9c6e","BiomedicalConceptProperty","BiomedicalConceptProperty_89"
"Test Method","True","True","Test Method","string","c6c40f89-67d4-4edd-84ba-251a767215b8","BiomedicalConceptProperty","BiomedicalConceptProperty_90"
"Vital Signs Position","True","True","Vital Signs Position","string","d09fa11b-20f2-4d18-bceb-051e9937bea8","BiomedicalConceptProperty","BiomedicalConceptProperty_91"
"Vital Signs Result","True","True","Vital Signs Result","integer","3ab30530-2668-495f-a108-a3d4bb5b5c07","BiomedicalConceptProperty","BiomedicalConceptProperty_92"
"Count per Minute","True","True","Count per Minute","string","24feec88-c424-41e7-b836-f7ac73f811d0","BiomedicalConceptProperty","BiomedicalConceptProperty_93"
"Vital Signs Location","True","True","Vital Signs Location","string","6d6b2a41-69da-4a40-83ac-e645dc159872","BiomedicalConceptProperty","BiomedicalConceptProperty_94"
"Vital Signs Laterality","True","True","Vital Signs Laterality","string","4dff1128-a8a0-4c68-9638-6d870542f00b","BiomedicalConceptProperty","BiomedicalConceptProperty_95"
"Test Method","True","True","Test Method","string","ea594d43-182f-44f6-a4bb-00e12425db17","BiomedicalConceptProperty","BiomedicalConceptProperty_96"
"Vital Signs Position","True","True","Vital Signs Position","string","036c3f74-989d-4bfc-8b9a-f35fd948bac2","BiomedicalConceptProperty","BiomedicalConceptProperty_97"
