"codeSystem","uuid:ID","codeSystemVersion","instanceType","decode","id","code"
"NCI Thesaurus","d700c031-f01d-45ca-83a4-094f27c2ae39","","Code","Vital Signs Result","Code_289","C173522"
"http://www.cdisc.org","5ee5ed57-cf54-4585-a659-fcd87e9d4c99","2023-09-29","Code","Centimeter","Code_290","C49668"
"http://www.cdisc.org","74faec62-3392-4d27-980f-96234e14b1ac","2023-09-29","Code","Inch","Code_291","C48500"
"http://www.cdisc.org","0724e233-0c80-4406-ac1e-edb851c6be9f","2023-09-29","Code","Millimeter","Code_292","C28251"
"http://www.cdisc.org","a9220e18-cce3-4e70-a7d8-700c303ed24c","2023-09-29","Code","Meter","Code_293","C41139"
"NCI Thesaurus","bd5d9ffa-26b1-41f2-a1b8-b836a9821cfb","","Code","Unit of Height","Code_294","C168688"
"NCI Thesaurus","24532577-a7b6-4ea1-b8fc-423c84774370","","Code","Body Height","Code_288","C164634"
"NCI Thesaurus","81d50a37-ab86-4ee2-a18c-b07a2d06fe01","","Code","Laboratory Test Result","Code_296","C36292"
"NCI Thesaurus","436d1147-ec52-4891-8a39-30fa3efd3db9","","Code","Laboratory Test Fasting Status","Code_297","C83309"
"NCI Thesaurus","ce461d17-e7dc-4f81-90f6-b12ebaeb9180","","Code","Unit of Catalytic Activity Concentration","Code_298","C67365"
"NCI Thesaurus","bd785426-3feb-4343-9974-0a5eaf72337d","","Code","Biospecimen Type","Code_299","C70713"
"NCI Thesaurus","a6ed3d64-8cfe-453a-bed2-c117888be078","","Code","Alanine Aminotransferase Measurement","Code_295","C64433"
"NCI Thesaurus","2d20406e-9dbe-4c88-ac3a-557c17ffb8f2","","Code","Laboratory Test Result","Code_301","C36292"
"NCI Thesaurus","5c2189e6-1983-44b2-81a0-4f3c8f38d21c","","Code","Laboratory Test Fasting Status","Code_302","C83309"
"NCI Thesaurus","fb66a923-f1b2-4648-902b-073dc9a495f8","","Code","Unit of Concentration","Code_303","C48207"
"NCI Thesaurus","01ca8453-6786-46ec-834f-22fcbe6078b0","","Code","Biospecimen Type","Code_304","C70713"
"NCI Thesaurus","a86eb3ad-7aa3-4fd5-89d8-32fe61510fa7","","Code","Albumin Measurement","Code_300","C64431"
"NCI Thesaurus","f01d6942-d0da-4be2-9e28-e85769886d53","","Code","Laboratory Test Result","Code_306","C36292"
"NCI Thesaurus","60b1b598-e0e6-4d55-9fcf-e2d1319ba896","","Code","Laboratory Test Fasting Status","Code_307","C83309"
"NCI Thesaurus","56630e8e-7793-4168-bd11-f88fee0f9dcd","","Code","Unit of Catalytic Activity Concentration","Code_308","C67365"
"NCI Thesaurus","df6a1f67-454b-4a20-8f41-211b4752f446","","Code","Biospecimen Type","Code_309","C70713"
"NCI Thesaurus","eab21e2f-7622-4910-84b8-a55f2de8508e","","Code","Alkaline Phosphatase Measurement","Code_305","C64432"
"NCI Thesaurus","11b3fdbd-ba83-442d-a99c-38fed3a4f974","","Code","Laboratory Test Result","Code_311","C36292"
"NCI Thesaurus","45997679-2f28-40a1-9947-79d874dd67d6","","Code","Laboratory Test Fasting Status","Code_312","C83309"
"NCI Thesaurus","7069445c-ac84-4135-a214-b95246d9ac38","","Code","Unit of Catalytic Activity Concentration","Code_313","C67365"
"NCI Thesaurus","1b924dc7-6300-4671-9b31-f2e216f180cf","","Code","Biospecimen Type","Code_314","C70713"
"NCI Thesaurus","be573dc3-8186-4969-960c-8cbb24cf269f","","Code","Aspartate Aminotransferase Measurement","Code_310","C64467"
"NCI Thesaurus","e71a431b-e5b3-4693-9b15-0916b97f231e","","Code","Laboratory Test Result","Code_316","C36292"
"NCI Thesaurus","2f0c8ea8-a303-4976-93cb-580f1d790825","","Code","Laboratory Test Fasting Status","Code_317","C83309"
"NCI Thesaurus","36506bfb-16cb-4a87-a156-f64f194b7779","","Code","Unit of Concentration","Code_318","C48207"
"NCI Thesaurus","da512140-b684-4dd7-8b87-56e18310a539","","Code","Biospecimen Type","Code_319","C70713"
"NCI Thesaurus","809874c8-83f2-4834-beff-9e5d320c94f8","","Code","Creatinine Measurement","Code_315","C64547"
"NCI Thesaurus","85a54ead-42b2-41cf-9667-ac8d7c87bbd1","","Code","Laboratory Test Result","Code_321","C36292"
"NCI Thesaurus","c8f594d2-18b0-4443-bd5e-30d2bb7baeb2","","Code","Laboratory Test Fasting Status","Code_322","C83309"
"NCI Thesaurus","834f0fdf-c5e7-4132-bfae-69e6e0296ed7","","Code","Molarity Unit","Code_323","C64567"
"NCI Thesaurus","b750f608-b50c-4837-8093-592e81fa1bc3","","Code","Biospecimen Type","Code_324","C70713"
"NCI Thesaurus","91141dc3-c51b-441b-ade9-e019deb33dbe","","Code","Potassium Measurement","Code_320","C64853"
"NCI Thesaurus","f0e0ccdb-9b77-42fb-85cf-b8d2e857cb11","","Code","Laboratory Test Result","Code_326","C36292"
"NCI Thesaurus","d8f95f4c-cf0f-4ff8-80c7-5bbc9b68619a","","Code","Laboratory Test Fasting Status","Code_327","C83309"
"NCI Thesaurus","7d7fa648-7d96-4dfa-b5cd-9a3d53c66be9","","Code","Molarity Unit","Code_328","C64567"
"NCI Thesaurus","ec6a3200-6b8f-4132-953d-fd741f1b9a1d","","Code","Biospecimen Type","Code_329","C70713"
"NCI Thesaurus","c132727d-b2a2-4bcd-8c66-c5f1b41e6a63","","Code","Sodium Measurement","Code_325","C64809"
"NCI Thesaurus","aaec4498-a2ad-46ef-bfe4-c1c7f1b0a038","","Code","Adverse Event Verbatim Description","Code_145","C78541"
"NCI Thesaurus","0559a5ca-f967-44e5-96e0-b21099ce0e52","","Code","Adverse Event Dictionary Derived Term","Code_146","C83344"
"NCI Thesaurus","31121e2e-8df7-4a9b-969f-abe8ba3e5625","","Code","Adverse Event Category","Code_147","C83198"
"NCI Thesaurus","5d5687eb-5667-412c-abbd-58ea86b0845f","","Code","Adverse Event Subcategory","Code_148","C83212"
"NCI Thesaurus","d5cf10ef-632d-46d7-acd6-d81ac504f8f6","","Code","Adverse Event Pre-specified","Code_149","C87840"
"NCI Thesaurus","30ede33e-100e-4482-a001-a856104ba54b","","Code","Severity of Adverse Event","Code_150","C53253"
"NCI Thesaurus","fb695f24-ff3a-4fe1-92a5-8cf71103cce8","","Code","Adverse Event Toxicity Grade","Code_151","C78605"
"NCI Thesaurus","12b92afe-e264-4f4d-96d3-93cf86f98115","","Code","Seriousness of Adverse Event","Code_152","C53252"
"NCI Thesaurus","b556a914-3658-43ae-b9e4-ad0ab35646c5","","Code","Adverse Event Action Taken with Study Treatment","Code_153","C83013"
"NCI Thesaurus","c2458ab4-8907-47f3-aa2b-9efe7805d82d","","Code","Adverse Event Attribution to Product or Procedure","Code_154","C41358"
"http://www.cdisc.org","1b0c0881-8c3f-4ae4-a317-0360aa9cd15a","2023-09-29","Code","Intermittent","Code_155","C71325"
"NCI Thesaurus","868f7d67-b4e6-4c83-8e04-bda57e8c59ba","","Code","Adverse Event Pattern","Code_156","C83208"
"NCI Thesaurus","7ec17882-6fb0-4f92-98a0-f55059775500","","Code","Adverse Event Outcome","Code_157","C49489"
"NCI Thesaurus","09e6322c-24c0-4c3b-9ea3-90afa28d6dca","","Code","Adverse Event Start Date Time","Code_158","C83215"
"NCI Thesaurus","a82774ec-ad22-4a37-bb2b-8616372544e3","","Code","Adverse Event End Date Time","Code_159","C83201"
"NCI Thesaurus","d472ae06-0373-41ea-bcd4-a9b88ddb0523","","Code","Adverse Event","Code_144","C41331"
"NCI Thesaurus","7a9918d2-4688-40a2-80d0-2ca3e07012c9","","Code","Vital Signs Result","Code_161","C173522"
"http://www.cdisc.org","362e3ac8-25aa-4376-a57f-6f0bb71badb5","2023-09-29","Code","Pascal","Code_162","C42547"
"NCI Thesaurus","21f00c84-3352-4d9f-af50-77ccdc423548","","Code","Unit of Pressure","Code_163","C49669"
"NCI Thesaurus","ceca7ed6-7bdb-445a-abec-8dab2ccdabe6","","Code","Vital Signs Location","Code_164","C83088"
"NCI Thesaurus","3cedd73b-1db0-44b6-84f7-db8733718a1e","","Code","Vital Signs Laterality","Code_165","C123975"
"NCI Thesaurus","5b4758d3-0ee6-4c65-a357-e24fe651a1a6","","Code","Test Method","Code_166","C82535"
"NCI Thesaurus","f98b2cc9-1b9f-4989-8451-342ac68d51be","","Code","Vital Signs Position","Code_167","C83114"
"NCI Thesaurus","7f76f15f-fd07-456f-86e7-2f5630aa6ebc","","Code","Systolic Blood Pressure","Code_160","C25298"
"NCI Thesaurus","98ff64d9-8f19-4ded-8be4-4f47242d7832","","Code","Vital Signs Result","Code_169","C173522"
"http://www.cdisc.org","7683c360-6dea-4003-8410-ebf547b9aad2","2023-09-29","Code","Pascal","Code_170","C42547"
"NCI Thesaurus","24257ed4-2830-4c87-ae12-04c794dd35bc","","Code","Unit of Pressure","Code_171","C49669"
"NCI Thesaurus","1bc35b47-7d31-43dd-b8e5-81bf680807fd","","Code","Vital Signs Location","Code_172","C83088"
"NCI Thesaurus","9d963369-7c21-4e66-b563-64d38cefcf01","","Code","Vital Signs Laterality","Code_173","C123975"
"NCI Thesaurus","d153b8d5-db5b-43cb-adfc-2d00e46f081f","","Code","Test Method","Code_174","C82535"
"NCI Thesaurus","f342101b-d5fd-4584-a6e6-0c13e94cefcf","","Code","Vital Signs Position","Code_175","C83114"
"NCI Thesaurus","9d95c7f7-79a4-46dc-ac92-b4eee3c88710","","Code","Diastolic Blood Pressure","Code_168","C25299"
"NCI Thesaurus","48b0dcdd-599d-4f78-818e-015d6ef1a49a","","Code","Vital Signs Result","Code_177","C173522"
"http://www.cdisc.org","4f884ee1-54a0-4cf4-b0b4-642d8cad9f82","2023-09-29","Code","Kelvin","Code_178","C42537"
"NCI Thesaurus","e06b2a20-8505-4094-a7da-4863ec9cf83e","","Code","Unit of Temperature","Code_179","C44276"
"NCI Thesaurus","9d5b144f-cca3-40c5-b4cb-f186e53779b4","","Code","Vital Signs Location","Code_180","C83088"
"NCI Thesaurus","5d4eb054-e59c-45be-85b6-4ef2cb7b4e07","","Code","Body Temperature","Code_176","C174446"
"NCI Thesaurus","e9f2949d-0e09-4662-9e07-51cf5230753e","","Code","Vital Signs Result","Code_182","C173522"
"http://www.cdisc.org","4e37a1e4-fdfc-4e06-b755-341d165d7bb5","2023-09-29","Code","Kilogram","Code_183","C28252"
"http://www.cdisc.org","e2669c88-7897-4dcb-ac0f-e55ebd38a920","2023-09-29","Code","Gram","Code_184","C48155"
"http://www.cdisc.org","04fb321a-7e75-4d28-b9dd-51ebcae082a4","2023-09-29","Code","Pound","Code_185","C48531"
"NCI Thesaurus","61425e07-5c19-4115-a571-9942c1b35f39","","Code","Unit of Weight","Code_186","C48208"
"NCI Thesaurus","2164ced8-b459-4c66-a4c7-a8af1e56278d","","Code","Body Weight","Code_181","C81328"
"NCI Thesaurus","9745c53d-cf4b-4256-95e3-826794068c8e","","Code","Vital Signs Result","Code_188","C173522"
"http://www.cdisc.org","135b33c2-1c66-4050-9b80-1a496740db1a","2023-09-29","Code","Centimeter","Code_189","C49668"
"http://www.cdisc.org","108ae99c-c5c2-4b8b-9e09-6ef58142c000","2023-09-29","Code","Inch","Code_190","C48500"
"http://www.cdisc.org","02a9e3f0-fee7-421b-8086-49fa6d11cd17","2023-09-29","Code","Millimeter","Code_191","C28251"
"http://www.cdisc.org","f103090e-f360-43c9-b9a2-91be7d5b7b5d","2023-09-29","Code","Meter","Code_192","C41139"
"NCI Thesaurus","cb0525be-0b02-4d90-b121-54a6c3809aa3","","Code","Unit of Height","Code_193","C168688"
"NCI Thesaurus","2fe63eef-1016-4e10-bade-ce330b5fc360","","Code","Body Height","Code_187","C164634"
"NCI Thesaurus","ac05e4cc-0052-4eb2-80ce-d38829bbf739","","Code","Laboratory Test Result","Code_195","C36292"
"NCI Thesaurus","0ce70175-d2cf-44a0-bf2e-1d3b42fcb670","","Code","Laboratory Test Fasting Status","Code_196","C83309"
"NCI Thesaurus","88e90ece-5463-45fa-a9dd-6c374c74e04d","","Code","Unit of Catalytic Activity Concentration","Code_197","C67365"
"NCI Thesaurus","808c0a00-7bac-4d19-8dc1-00a83f4c7573","","Code","Biospecimen Type","Code_198","C70713"
"NCI Thesaurus","b61db3b0-d118-4b2e-bdb3-96633c8c7fc7","","Code","Alanine Aminotransferase Measurement","Code_194","C64433"
"NCI Thesaurus","41911f4b-5a46-49e4-9583-313d970de5f1","","Code","Laboratory Test Result","Code_200","C36292"
"NCI Thesaurus","1282a08a-699c-48d9-bac2-854da6c70118","","Code","Laboratory Test Fasting Status","Code_201","C83309"
"NCI Thesaurus","e046fb59-1054-4456-baf2-18866df0f32f","","Code","Unit of Concentration","Code_202","C48207"
"NCI Thesaurus","6658a9d4-3d27-4e55-b9b9-3557ca938201","","Code","Biospecimen Type","Code_203","C70713"
"NCI Thesaurus","3d247125-816a-439f-9be4-2153bcc94e39","","Code","Albumin Measurement","Code_199","C64431"
"NCI Thesaurus","5a475a6a-91f0-46fa-885c-b53b0b752ae2","","Code","Laboratory Test Result","Code_205","C36292"
"NCI Thesaurus","b8b492fb-0c60-41d0-857d-ba56b4267411","","Code","Laboratory Test Fasting Status","Code_206","C83309"
"NCI Thesaurus","d0b1d2f4-5dc1-43ce-98d6-afeff3a7d72d","","Code","Unit of Catalytic Activity Concentration","Code_207","C67365"
"NCI Thesaurus","548a75a2-d294-4d4f-832d-622d1ffaa00c","","Code","Biospecimen Type","Code_208","C70713"
"NCI Thesaurus","59c0cf88-ea40-4671-b2ed-6031c0a86306","","Code","Alkaline Phosphatase Measurement","Code_204","C64432"
"NCI Thesaurus","e36610f8-1683-4ed7-956c-aecfb679895f","","Code","Laboratory Test Result","Code_210","C36292"
"NCI Thesaurus","2ec19af3-ab17-475d-96f7-62eaad03ba82","","Code","Laboratory Test Fasting Status","Code_211","C83309"
"NCI Thesaurus","05b60fb5-a8a8-4e3f-98b2-27ad6ae579fe","","Code","Unit of Catalytic Activity Concentration","Code_212","C67365"
"NCI Thesaurus","fb33030a-18b5-4e28-bcbf-2cfed1ee0679","","Code","Biospecimen Type","Code_213","C70713"
"NCI Thesaurus","a92f7980-637a-492e-8be8-ca446a36de93","","Code","Aspartate Aminotransferase Measurement","Code_209","C64467"
"NCI Thesaurus","cf4d59be-d9ad-42a0-8616-a3b84385912a","","Code","Laboratory Test Result","Code_215","C36292"
"NCI Thesaurus","e9c0ffb5-a93b-4879-b0c6-757ee931aa8f","","Code","Laboratory Test Fasting Status","Code_216","C83309"
"NCI Thesaurus","71af9867-46a2-4cfb-8f4e-75dfa8a76a6b","","Code","Unit of Concentration","Code_217","C48207"
"NCI Thesaurus","c1427689-efa4-4230-be29-31e81e1fb453","","Code","Biospecimen Type","Code_218","C70713"
"NCI Thesaurus","e690a7b8-8f6b-4567-8da0-98cc0386f5bb","","Code","Creatinine Measurement","Code_214","C64547"
"NCI Thesaurus","cb6f2f05-8f26-48d4-97d4-ff55cd7a0d02","","Code","Laboratory Test Result","Code_220","C36292"
"NCI Thesaurus","626df833-7709-4d32-8b34-dc74781bb379","","Code","Laboratory Test Fasting Status","Code_221","C83309"
"NCI Thesaurus","07bbf8ca-c844-45f0-ad96-03724c07408e","","Code","Molarity Unit","Code_222","C64567"
"NCI Thesaurus","e87b8252-217a-45fa-97cd-0c3df5705ea1","","Code","Biospecimen Type","Code_223","C70713"
"NCI Thesaurus","063fb55e-178e-4fd0-9fb8-e2139713ac88","","Code","Potassium Measurement","Code_219","C64853"
"NCI Thesaurus","50e28558-09b9-4feb-8b05-de517b77db18","","Code","Laboratory Test Result","Code_225","C36292"
"NCI Thesaurus","22ad8afa-89de-4dc2-9051-93b72f6c6f75","","Code","Laboratory Test Fasting Status","Code_226","C83309"
"NCI Thesaurus","d4725371-7990-4c26-aa8e-ef8a27f515e0","","Code","Molarity Unit","Code_227","C64567"
"NCI Thesaurus","b0b75f5f-ed27-40c7-b38a-0d9a92ee62cf","","Code","Biospecimen Type","Code_228","C70713"
"NCI Thesaurus","908ca459-5ad2-4e53-bc7c-66220f0710c1","","Code","Sodium Measurement","Code_224","C64809"
"NCI Thesaurus","a7ca25f9-5ccb-4d17-af70-531290683321","","Code","Vital Signs Result","Code_230","C173522"
"http://www.cdisc.org","658573bd-ace9-40f5-81be-8deca79e440e","2023-09-29","Code","Pascal","Code_231","C42547"
"NCI Thesaurus","d3254b19-a39f-41b8-8db0-a46d71d4da07","","Code","Unit of Pressure","Code_232","C49669"
"NCI Thesaurus","6f385532-d794-4c6b-8cd3-c5c75aeb1a44","","Code","Vital Signs Location","Code_233","C83088"
"NCI Thesaurus","4067dfa6-5f2c-420d-b1ed-330b9b67a401","","Code","Vital Signs Laterality","Code_234","C123975"
"NCI Thesaurus","42540e4a-c462-47d8-badd-8cacf1c02bd9","","Code","Test Method","Code_235","C82535"
"NCI Thesaurus","5cb23ce7-b81e-46c3-8b57-e70ac65f1f52","","Code","Vital Signs Position","Code_236","C83114"
"NCI Thesaurus","9e989bba-5acb-4ad2-9513-49d1505b95c8","","Code","Systolic Blood Pressure","Code_229","C25298"
"NCI Thesaurus","d5b8746d-9907-43bb-b1aa-7f5a79e1dcfc","","Code","Vital Signs Result","Code_238","C173522"
"http://www.cdisc.org","b88c40b6-4e0a-4da5-9237-2b7369909409","2023-09-29","Code","Pascal","Code_239","C42547"
"NCI Thesaurus","72644b34-cf73-475e-8c66-2bb14d68acff","","Code","Unit of Pressure","Code_240","C49669"
"NCI Thesaurus","08c98f84-1b51-4bf6-b14a-1a9ff869046c","","Code","Vital Signs Location","Code_241","C83088"
"NCI Thesaurus","05a68364-34f4-4408-9a4b-5ad06072ad43","","Code","Vital Signs Laterality","Code_242","C123975"
"NCI Thesaurus","d36f7601-beca-48b2-b755-ca5387117e01","","Code","Test Method","Code_243","C82535"
"NCI Thesaurus","52ba3542-c57c-421e-9fe1-70d917336e5c","","Code","Vital Signs Position","Code_244","C83114"
"NCI Thesaurus","8061d6d7-a27c-4fbd-b389-30da146f4daa","","Code","Diastolic Blood Pressure","Code_237","C25299"
"NCI Thesaurus","14f8aff0-8e5c-47c1-9d8e-66e758f9b071","","Code","Vital Signs Result","Code_246","C173522"
