"name","text","uuid:ID","instanceType","sectionTitle","sectionNumber","id"
"SECTION 4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","03bfc742-0a42-4195-a925-775cf484c71a","NarrativeContent","Rationale for Comparator","4.2.1","NarrativeContent_16"
"SECTION 4.2.2","<div></div>","1a3d63ac-0834-4c61-8d27-a864931c5b81","NarrativeContent","Rationale for Adaptive or Novel Trial Design","4.2.2","NarrativeContent_17"
"SECTION 4.2.3","<div></div>","cebb5cdb-a51e-41d3-8429-dc14053d2a98","NarrativeContent","Other Trial Design Considerations","4.2.3","NarrativeContent_18"
"SECTION 4.3","<div></div>","8a7bdf3e-4fc9-49a9-8420-fab3f77cd381","NarrativeContent","Access to Trial Intervention After End of Trial","4.3","NarrativeContent_19"
"SECTION 4.4","<div></div>","dba5ba61-0a3b-4ce6-8b2a-a65a1e1f3045","NarrativeContent","Start of Trial and End of Trial","4.4","NarrativeContent_20"
"SECTION 5","<div></div>","1b67766a-56d2-41ea-bc5e-ae5883d2ebae","NarrativeContent","TRIAL POPULATION","5","NarrativeContent_21"
"SECTION 5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","12f03a6c-3613-45a4-849b-9076e19739fe","NarrativeContent","Selection of Trial Population","5.1","NarrativeContent_22"
"SECTION 5.2","<div></div>","c66d6f90-6c60-4556-8181-6cc7b205562b","NarrativeContent","Rationale for Trial Population","5.2","NarrativeContent_23"
"SECTION 5.3","<div><usdm:section name=""M11-inclusion""></div>","f1ede75b-f364-4a8b-bf39-ab1fbfe53e12","NarrativeContent","Inclusion Criteria","5.3","NarrativeContent_24"
"SECTION 5.4","<div><usdm:section name=""M11-exclusion""></div>","eab4c066-4fed-4f9b-800e-f186fc8d8952","NarrativeContent","Exclusion Criteria","5.4","NarrativeContent_25"
"SECTION 5.5","<div></div>","e7a6bfb0-f024-40a6-8564-fe81ce05c1f8","NarrativeContent","Lifestyle Considerations","5.5","NarrativeContent_26"
"SECTION 5.5.1","<div></div>","bcdc8829-8d30-4115-8360-442f3171ea13","NarrativeContent","Meals and Dietary Restrictions","5.5.1","NarrativeContent_27"
"SECTION 5.5.2","<div><p>Not applicable</p></div>","978a5661-5981-45a6-bd77-a1064a380c04","NarrativeContent","Caffeine, Alcohol, Tobacco, and Other Habits","5.5.2","NarrativeContent_28"
"SECTION 5.5.3","<div></div>","ceed1853-1ee0-4067-ab8a-0d9c8d630de9","NarrativeContent","Physical Activity","5.5.3","NarrativeContent_29"
"SECTION 5.5.4","<div></div>","d05dffde-0709-400a-9a38-eecfa94025a8","NarrativeContent","Other Activity","5.5.4","NarrativeContent_30"
"SECTION 5.6","<div></div>","11e70967-52ff-4780-a191-5bf7703ad7ac","NarrativeContent","Screen Failures","5.6","NarrativeContent_31"
"SECTION 6","<div></div>","48fe960f-0132-406d-b356-0b2e2ebb1505","NarrativeContent","TRIAL INTERVENTION AND CONCOMITANT THERAPY","6","NarrativeContent_32"
"SECTION 6.1","<div></div>","0ca1d260-401d-47a8-b83b-eb468328500f","NarrativeContent","Description of Trial Intervention","6.1","NarrativeContent_33"
"SECTION 6.2","<div></div>","aea5d0ea-3c75-49fa-a1c6-4419e8b655be","NarrativeContent","Rationale for Trial Intervention","6.2","NarrativeContent_34"
"SECTION 6.3","<div></div>","94b3ae27-5260-4649-95e0-311ec31159f9","NarrativeContent","Dosing and Administration","6.3","NarrativeContent_35"
"SECTION 6.3.1","<div></div>","3f253f5c-d7f2-44a2-9457-7269fc9c3cdc","NarrativeContent","Trial Intervention Dose Modification","6.3.1","NarrativeContent_36"
"SECTION 6.4","<div></div>","0b3b8a84-4d05-489e-a7da-3821530ab725","NarrativeContent","Treatment of Overdose","6.4","NarrativeContent_37"
"SECTION 6.5","<div></div>","b23846a9-af87-44ab-8102-eb45266772da","NarrativeContent","Preparation, Handling, Storage and Accountability","6.5","NarrativeContent_38"
"SECTION 6.5.1","<div></div>","8b87e878-f9f3-4da3-9184-47fc5b5795a6","NarrativeContent","Preparation of Trial Intervention","6.5.1","NarrativeContent_39"
"SECTION 6.5.2","<div></div>","7dd9011c-716f-4a51-8732-f33bccd6ec77","NarrativeContent","Handling and Storage of Trial Intervention","6.5.2","NarrativeContent_40"
"SECTION 6.5.3","<div></div>","6c7c379b-753c-4c50-93a3-3b123cfa2979","NarrativeContent","Accountability of Trial Intervention","6.5.3","NarrativeContent_41"
"SECTION 6.6","<div></div>","b7df00d2-3943-4a2b-a037-74a98da9ad51","NarrativeContent","Participant Assignment, Randomisation and Blinding","6.6","NarrativeContent_42"
"SECTION 6.6.1","<div></div>","d7c55519-58d4-46fc-949b-eade517d8de4","NarrativeContent","Participant Assignment","6.6.1","NarrativeContent_43"
"SECTION 6.6.2","<div></div>","49d04c55-1466-4cc6-beb8-a860feed052b","NarrativeContent","Randomisation","6.6.2","NarrativeContent_44"
"SECTION 6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","d1d2d5a4-4ebd-4c92-8b59-19691c921a44","NarrativeContent","Blinding and Unblinding","6.6.3","NarrativeContent_45"
"SECTION 6.7","<div></div>","541f8a95-b3b0-4581-bf60-2a0ef0885680","NarrativeContent","Trial Intervention Compliance","6.7","NarrativeContent_46"
"SECTION 6.8","<div></div>","9c5eb357-8c31-4202-8dd2-1fbea99b4f55","NarrativeContent","Concomitant Therapy","6.8","NarrativeContent_47"
"SECTION 6.8.1","<div></div>","0f272662-cd49-461b-8464-502630abf237","NarrativeContent","Prohibited Concomitant Therapy","6.8.1","NarrativeContent_48"
"SECTION 6.8.2","<div></div>","1e81cd5f-b200-4c5b-b6b6-e676eb347fe5","NarrativeContent","Permitted Concomitant Therapy","6.8.2","NarrativeContent_49"
"SECTION 6.8.3","<div></div>","e1cad9b5-02a4-4acd-b90c-2cfa13552d2a","NarrativeContent","Rescue Therapy","6.8.3","NarrativeContent_50"
"SECTION 6.8.4","<div></div>","923c9096-1e5b-41ed-9f39-93b3f7ed2197","NarrativeContent","Other Therapy","6.8.4","NarrativeContent_51"
"SECTION 7","<div></div>","053618e1-3931-47c0-a2de-c70dbb147197","NarrativeContent","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","7","NarrativeContent_52"
"SECTION 7.1","<div></div>","fe060632-ffd5-4330-a88c-0c67ae6ec548","NarrativeContent","Discontinuation of Trial Intervention","7.1","NarrativeContent_53"
"SECTION 7.1.1","<div></div>","861f62ca-9c2c-4b3a-8a25-e2d53a114ae1","NarrativeContent","Criteria for Permanent Discontinuation of Trial Intervention","7.1.1","NarrativeContent_54"
"SECTION 7.1.2","<div></div>","6c3568c4-97d8-4046-97b7-1209e0b46dd0","NarrativeContent","Temporary Discontinuation or Interruption of Trial Intervention","7.1.2","NarrativeContent_55"
"SECTION 7.1.3","<div></div>","35543fb8-5cf0-43a4-a40e-3a7ae98c47ab","NarrativeContent","Rechallenge","7.1.3","NarrativeContent_56"
"SECTION 7.2","<div></div>","852c21ca-2f46-4f60-b2ff-6574c678aa85","NarrativeContent","Participant Withdrawal from the Trial","7.2","NarrativeContent_57"
"SECTION 7.3","<div></div>","2a8e2bc9-c512-4a9b-9c52-72b9df42f848","NarrativeContent","Lost to Follow-Up","7.3","NarrativeContent_58"
"SECTION 7.4","<div></div>","ab0d84f2-918a-4787-9d8d-994b43e30346","NarrativeContent","Trial Stopping Rules","7.4","NarrativeContent_59"
"SECTION 8","<div></div>","110134a7-19fd-4158-a0c6-fbed83592304","NarrativeContent","TRIAL ASSESSMENTS AND PROCEDURES","8","NarrativeContent_60"
"SECTION 8.1","<div></div>","29ac2037-1a95-48f6-b47e-5cf44985e19e","NarrativeContent","Screening/Baseline Assessments and Procedures","8.1","NarrativeContent_61"
"SECTION 8.2","<div></div>","ea6f84ea-b6b7-441a-aadc-6aa8ad0b49df","NarrativeContent","Efficacy Assessments and Procedures","8.2","NarrativeContent_62"
"SECTION 8.3","<div></div>","88b634ce-649c-40fb-8507-a8314364f958","NarrativeContent","Safety Assessments and Procedures","8.3","NarrativeContent_63"
"SECTION 8.3.1","<div></div>","49f8d10c-4dcd-4434-8665-f15cffb4a508","NarrativeContent","Physical Examination","8.3.1","NarrativeContent_64"
"SECTION 8.3.2","<div></div>","824b7e4e-ee95-45e8-9c90-0b2ccc8c35b0","NarrativeContent","Vital Signs","8.3.2","NarrativeContent_65"
"SECTION 8.3.3","<div></div>","e8dcce79-bf07-4e9a-9466-fea6c9965fed","NarrativeContent","Electrocardiograms","8.3.3","NarrativeContent_66"
"SECTION 8.3.4","<div></div>","a3a498bb-6712-4afe-955f-544a3f7ec9fc","NarrativeContent","Clinical Laboratory Assessments","8.3.4","NarrativeContent_67"
"SECTION 8.3.5","<div></div>","7a956ba2-b6a4-4426-bbe4-c30720f7eb0d","NarrativeContent","Suicidal Ideation and Behaviour Risk Monitoring","8.3.5","NarrativeContent_68"
"SECTION 8.4","<div></div>","eb85f15d-3b48-4bdf-b6f9-860b1321e817","NarrativeContent","Adverse Events and Serious Adverse Events","8.4","NarrativeContent_69"
"SECTION 8.4.1","<div></div>","8a189d93-4ea9-45d8-b493-503cd06d0b1c","NarrativeContent","Definitions of AE and SAE","8.4.1","NarrativeContent_70"
"SECTION 8.4.2","<div></div>","53b46283-b5e3-41a0-bc0e-76a928a71050","NarrativeContent","Time Period and Frequency for Collecting AE and SAE Information","8.4.2","NarrativeContent_71"
"SECTION 8.4.3","<div></div>","ae1276e0-9598-454e-9967-bf28f804917e","NarrativeContent","Identifying AEs and SAEs","8.4.3","NarrativeContent_72"
"SECTION 8.4.4","<div></div>","980251e4-ab7d-40d9-875a-752c3fd99cbb","NarrativeContent","Recording of AEs and SAEs","8.4.4","NarrativeContent_73"
"SECTION 8.4.5","<div></div>","40a7b7d1-9721-4e77-8b7a-fc253d362fe9","NarrativeContent","Follow-up of AEs and SAEs","8.4.5","NarrativeContent_74"
"SECTION 8.4.6","<div></div>","b746e3b4-3c0a-41cd-b384-03cfb8073ee5","NarrativeContent","Reporting of SAEs","8.4.6","NarrativeContent_75"
"SECTION 8.4.7","<div></div>","1b326def-2e6a-4725-bdf4-163415734c1b","NarrativeContent","Regulatory Reporting Requirements for SAEs","8.4.7","NarrativeContent_76"
"SECTION 8.4.8","<div></div>","27b6df6d-2a30-45bc-a1d0-5b7b5584c441","NarrativeContent","Serious and Unexpected Adverse Reaction Reporting","8.4.8","NarrativeContent_77"
"SECTION 8.4.9","<div></div>","a911237e-2ceb-4478-94c1-8a2ef0c04236","NarrativeContent","Adverse Events of Special Interest","8.4.9","NarrativeContent_78"
"SECTION 8.4.10","<div></div>","26403563-5304-40ab-8a9a-5b9d917f9ed7","NarrativeContent","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","8.4.10","NarrativeContent_79"
"SECTION 8.5","<div></div>","ce8a681a-5f4b-4979-8f3a-c0859861272a","NarrativeContent","Pregnancy and Postpartum Information","8.5","NarrativeContent_80"
"SECTION 8.5.1","<div></div>","4a800716-f333-4897-9c08-c2c96cce3c58","NarrativeContent","Participants Who Become Pregnant During the Trial","8.5.1","NarrativeContent_81"
"SECTION 8.5.2","<div></div>","20e210f2-ea02-4b00-9149-f0b854bc7a53","NarrativeContent","Participants Whose Partners Become Pregnant","8.5.2","NarrativeContent_82"
"SECTION 8.6","<div></div>","69006132-f0a6-431a-bf68-0df6463efc33","NarrativeContent","Medical Device Product Complaints for Drug/Device Combination Products","8.6","NarrativeContent_83"
"SECTION 8.6.1","<div></div>","25037013-c897-4b07-912a-e3fe48a58a62","NarrativeContent","Definition of Medical Device Product Complaints","8.6.1","NarrativeContent_84"
"SECTION 8.6.2","<div></div>","14236fea-8a73-45a3-9ad8-b00798d64a8c","NarrativeContent","Recording of Medical Device Product Complaints","8.6.2","NarrativeContent_85"
"SECTION 8.6.3","<div></div>","1fde7ac6-6e11-4b46-8e0d-25e2911ca972","NarrativeContent","Time Period and Frequency for Collecting Medical Device Product Complaints .","8.6.3","NarrativeContent_86"
"SECTION 8.6.4","<div></div>","8ff2d967-3ed7-4b49-ac39-a30c40390365","NarrativeContent","Follow-Up of Medical Device Product Complaints","8.6.4","NarrativeContent_87"
"SECTION 8.6.5","<div></div>","62d01d36-140d-471b-bbad-04f299dd27b4","NarrativeContent","Regulatory Reporting Requirements for Medical Device Product Complaints","8.6.5","NarrativeContent_88"
"SECTION 8.7","<div></div>","abc7a192-e730-4cbd-9e9b-88f8eae90b80","NarrativeContent","Pharmacokinetics","8.7","NarrativeContent_89"
"SECTION 8.8","<div></div>","061d9577-7d87-4076-95b0-48f1a0c1925c","NarrativeContent","Genetics","8.8","NarrativeContent_90"
"SECTION 8.9","<div></div>","4eb1d149-a6ac-42d8-ae62-7457cdb36f79","NarrativeContent","Biomarkers","8.9","NarrativeContent_91"
"SECTION 8.1","<div></div>","72005883-e2b3-4223-ac32-a3745ba1d456","NarrativeContent","Immunogenicity Assessments","8.1","NarrativeContent_92"
"SECTION 8.1.1","<div></div>","950da018-7484-4189-8fca-b5933b38916c","NarrativeContent","Medical Resource Utilisation and Health Economics","8.1.1","NarrativeContent_93"
"SECTION 9","<div></div>","0d6ab36c-ed02-4cb5-bab7-60d100149b83","NarrativeContent","STATISTICAL CONSIDERATIONS","9","NarrativeContent_94"
"SECTION 9.1","<div></div>","ec09a315-974d-45e9-9ab5-0b2cc5d5e15a","NarrativeContent","Analysis Sets","9.1","NarrativeContent_95"
"SECTION 9.2","<div></div>","2207700c-b5f2-4174-987c-1c25d2ca593e","NarrativeContent","Analyses Supporting Primary Objective(s)","9.2","NarrativeContent_96"
"SECTION 9.2.1","<div></div>","ce0addb1-47a2-4c12-bb45-ccd0080f5740","NarrativeContent","Statistical Model, Hypothesis, and Method of Analysis","9.2.1","NarrativeContent_97"
"SECTION 9.2.2","<div></div>","035098b1-a305-4fe1-8af6-92df19f3cb09","NarrativeContent","Handling of Intercurrent Events of Primary Estimand(s)","9.2.2","NarrativeContent_98"
"SECTION 9.2.3","<div></div>","bc38235a-66b2-47e4-8183-7c6e7a1ffdfc","NarrativeContent","Handling of Missing Data","9.2.3","NarrativeContent_99"
"SECTION 9.2.4","<div></div>","78102951-7120-4230-9094-4f46e5a889f6","NarrativeContent","Sensitivity Analysis","9.2.4","NarrativeContent_100"
"SECTION 9.2.5","<div></div>","9a9a19b5-3c76-4cd6-9c54-34517de5bb43","NarrativeContent","Supplementary Analysis","9.2.5","NarrativeContent_101"
"SECTION 9.3","<div></div>","27501280-70ef-45e0-b2d7-ee1c3de351d8","NarrativeContent","Analysis Supporting Secondary Objective(s)","9.3","NarrativeContent_102"
"SECTION 9.4","<div></div>","4222ce23-e942-45b6-b557-bb06c3057564","NarrativeContent","Analysis of Exploratory Objective(s)","9.4","NarrativeContent_103"
"SECTION 9.5","<div></div>","8f03cda8-b469-4b97-af73-63a13f966019","NarrativeContent","Safety Analyses","9.5","NarrativeContent_104"
"SECTION 9.6","<div></div>","8f707256-e320-48d7-a445-44926a2ae222","NarrativeContent","Other Analyses","9.6","NarrativeContent_105"
"SECTION 9.7","<div></div>","b589651b-8567-43e0-9686-744a63640a87","NarrativeContent","Interim Analyses","9.7","NarrativeContent_106"
"SECTION 9.8","<div></div>","b41706a4-a5b5-43cf-88c0-d5a2adbab18a","NarrativeContent","Sample Size Determination","9.8","NarrativeContent_107"
"SECTION 9.9","<div></div>","ffd86fb4-dc75-49b0-9386-5ebe3b9856b5","NarrativeContent","Protocol Deviations","9.9","NarrativeContent_108"
"SECTION 10","<div></div>","bf53d5ce-9005-4e4d-8bb0-b8aede536512","NarrativeContent","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","10","NarrativeContent_109"
"SECTION 10.1","<div></div>","26e97040-f327-429a-a7a4-c7359f866109","NarrativeContent","Regulatory and Ethical Considerations","10.1","NarrativeContent_110"
"SECTION 10.2","<div></div>","038a41ec-3e0d-49e9-be1a-e81ed9b34026","NarrativeContent","Committees","10.2","NarrativeContent_111"
"SECTION 10.3","<div></div>","0f464782-f2fb-4fdb-a0f2-246a022da674","NarrativeContent","Informed Consent Process","10.3","NarrativeContent_112"
"SECTION 10.4","<div></div>","0edf8580-bc7a-470c-8f78-3f85740d62de","NarrativeContent","Data Protection","10.4","NarrativeContent_113"
"SECTION 10.5","<div></div>","f6ff737d-b7a3-4b99-beff-7298d4909ca7","NarrativeContent","Early Site Closure or Trial Termination","10.5","NarrativeContent_114"
"SECTION 11","<div></div>","f32c79ab-05ef-4768-9aa5-f808ef79adef","NarrativeContent","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","11","NarrativeContent_115"
"SECTION 11.1","<div></div>","e7f7548a-1bbc-42a3-8e9d-d4247348edef","NarrativeContent","Quality Tolerance Limits","11.1","NarrativeContent_116"
"SECTION 11.2","<div></div>","438020d4-602d-45a7-a2a5-e0c1717c7021","NarrativeContent","Data Quality Assurance","11.2","NarrativeContent_117"
"SECTION 11.3","<div></div>","5ceb7376-70b2-477e-ab48-9b163985235e","NarrativeContent","Source Data","11.3","NarrativeContent_118"
"SECTION 12","<div></div>","ed2d734e-9ffd-4a9f-81d0-7d1492c73106","NarrativeContent","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","12","NarrativeContent_119"
"SECTION 12.1","<div></div>","5ac48790-7b9e-4b55-bf0d-3e0abb0aa498","NarrativeContent","Further Details and Clarifications on the AE Definition","12.1","NarrativeContent_120"
"SECTION 12.2","<div></div>","6b7ed059-5e14-426f-9bdb-35d3b4d33d7e","NarrativeContent","Further Details and Clarifications on the SAE Definition","12.2","NarrativeContent_121"
"SECTION 12.3","<div></div>","6aa5dd8f-0388-4d16-83d9-397ad61d3e2c","NarrativeContent","Severity","12.3","NarrativeContent_122"
"SECTION 12.4","<div></div>","7bec597c-970b-4974-ad98-e55a9d629b6d","NarrativeContent","Causality","12.4","NarrativeContent_123"
"SECTION 13","<div></div>","e35fe863-ab50-482d-8723-98aed12a5b4c","NarrativeContent","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","13","NarrativeContent_124"
"SECTION 13.1","<div></div>","e55c87cb-7e97-40ba-b8d3-2a6cd77d4920","NarrativeContent","Contraception and Pregnancy Testing","13.1","NarrativeContent_125"
"SECTION 13.1.1","<div></div>","f2bc106c-82a7-42ae-85f7-64ecb5c410f9","NarrativeContent","Definitions Related to Childbearing Potential","13.1.1","NarrativeContent_126"
"SECTION 13.1.2","<div></div>","579292a5-9eb6-499a-8dad-14cdfe52c895","NarrativeContent","Contraception","13.1.2","NarrativeContent_127"
"SECTION 13.1.3","<div></div>","b2f3205e-be89-4bdb-a7c0-e3df1ded115a","NarrativeContent","Pregnancy Testing","13.1.3","NarrativeContent_128"
"SECTION 13.2","<div></div>","fa5e3794-39cf-4297-a147-fa89c49f108b","NarrativeContent","Clinical Laboratory Tests","13.2","NarrativeContent_129"
"SECTION 13.3","<div></div>","358f86e8-a591-4919-8ca4-4b05253be392","NarrativeContent","Country/Region-Specific Differences","13.3","NarrativeContent_130"
"SECTION 13.4","<div></div>","1dd9f420-f608-4cfd-895e-74fcf34d9039","NarrativeContent","Prior Protocol Amendments","13.4","NarrativeContent_131"
"SECTION 14","<div></div>","131a8f5c-5a97-4fd9-b639-916a76be516d","NarrativeContent","APPENDIX: GLOSSARY OF TERMS","14","NarrativeContent_132"
"SECTION 15","<div></div>","0d04f701-6bb9-4d59-8fee-c7477912bef9","NarrativeContent","APPENDIX: REFERENCES","15","NarrativeContent_133"
