"sectionTitle","instanceType","text","name","sectionNumber","id","uuid:ID"
"Meals and Dietary Restrictions","NarrativeContent","<div></div>","SECTION 5.5.1","5.5.1","NarrativeContent_27","2c9feb06-3265-4a8d-9216-55ff1ae2e1a1"
"Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent","<div><p>Not applicable</p></div>","SECTION 5.5.2","5.5.2","NarrativeContent_28","3eb930eb-6ca1-4ae2-99e6-3606e3ce8dd0"
"Physical Activity","NarrativeContent","<div></div>","SECTION 5.5.3","5.5.3","NarrativeContent_29","34c08a9c-88f3-42b1-8ec1-5b68af1d78a1"
"Other Activity","NarrativeContent","<div></div>","SECTION 5.5.4","5.5.4","NarrativeContent_30","02cb4e3f-792e-49c2-b676-1a3ecd25f333"
"Screen Failures","NarrativeContent","<div></div>","SECTION 5.6","5.6","NarrativeContent_31","3b66c642-43e5-48a4-b78e-ef20ce7f66a4"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent","<div></div>","SECTION 6","6","NarrativeContent_32","8b6c6e7a-a1f7-47f8-9ff1-18049edb2ccc"
"Description of Trial Intervention","NarrativeContent","<div></div>","SECTION 6.1","6.1","NarrativeContent_33","691681b9-6091-4afd-9cb7-1122ddc22add"
"Rationale for Trial Intervention","NarrativeContent","<div></div>","SECTION 6.2","6.2","NarrativeContent_34","f2cf2ec8-03c6-4f0b-9499-ae3bd9797570"
"Dosing and Administration","NarrativeContent","<div></div>","SECTION 6.3","6.3","NarrativeContent_35","6c5c74f4-5b66-487b-888f-84da860c4967"
"Trial Intervention Dose Modification","NarrativeContent","<div></div>","SECTION 6.3.1","6.3.1","NarrativeContent_36","1eb77ef0-e922-414e-ad15-ef4baf948da5"
"Treatment of Overdose","NarrativeContent","<div></div>","SECTION 6.4","6.4","NarrativeContent_37","bd47ed2e-dc73-40e3-a883-b5c004bf0cad"
"Preparation, Handling, Storage and Accountability","NarrativeContent","<div></div>","SECTION 6.5","6.5","NarrativeContent_38","6cc57e2f-3f57-4fe1-8eee-76089e04dff7"
"Preparation of Trial Intervention","NarrativeContent","<div></div>","SECTION 6.5.1","6.5.1","NarrativeContent_39","ac2f5137-b276-4b06-8498-d574cb658549"
"Handling and Storage of Trial Intervention","NarrativeContent","<div></div>","SECTION 6.5.2","6.5.2","NarrativeContent_40","a7f6ab22-810c-4340-8ffe-4cc7fcfb57ba"
"Accountability of Trial Intervention","NarrativeContent","<div></div>","SECTION 6.5.3","6.5.3","NarrativeContent_41","95b76897-e88c-40c0-8481-eb86e91296f0"
"Participant Assignment, Randomisation and Blinding","NarrativeContent","<div></div>","SECTION 6.6","6.6","NarrativeContent_42","2095e565-22cd-49a5-8ba4-6c8ee9e5b05b"
"Participant Assignment","NarrativeContent","<div></div>","SECTION 6.6.1","6.6.1","NarrativeContent_43","f32d601e-d20d-4cd8-be88-3eee226692a4"
"Randomisation","NarrativeContent","<div></div>","SECTION 6.6.2","6.6.2","NarrativeContent_44","074835a7-57fd-499b-9f7c-6d74585b8838"
"Blinding and Unblinding","NarrativeContent","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","SECTION 6.6.3","6.6.3","NarrativeContent_45","e1c1c7d8-158a-4532-af1b-1ff0c316768e"
"Trial Intervention Compliance","NarrativeContent","<div></div>","SECTION 6.7","6.7","NarrativeContent_46","07542432-f58e-41ca-9c92-0c3e04615b7d"
"Concomitant Therapy","NarrativeContent","<div></div>","SECTION 6.8","6.8","NarrativeContent_47","a9ab1ddb-4e7d-4065-a5ff-a5e2572af71d"
"Prohibited Concomitant Therapy","NarrativeContent","<div></div>","SECTION 6.8.1","6.8.1","NarrativeContent_48","4955e202-0032-479e-8dc3-7b13adbbf5e5"
"Permitted Concomitant Therapy","NarrativeContent","<div></div>","SECTION 6.8.2","6.8.2","NarrativeContent_49","fdd6a2cc-7b75-4989-8e4b-811ee4cd984e"
"Rescue Therapy","NarrativeContent","<div></div>","SECTION 6.8.3","6.8.3","NarrativeContent_50","1baba5fc-330e-4a1c-a758-55e4a1b12aab"
"Other Therapy","NarrativeContent","<div></div>","SECTION 6.8.4","6.8.4","NarrativeContent_51","753a86bb-7405-4457-9f6e-4d6eea227856"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","NarrativeContent","<div></div>","SECTION 7","7","NarrativeContent_52","759bf8e9-1d90-40b5-88bd-8bb4aa9fa50f"
"Discontinuation of Trial Intervention","NarrativeContent","<div></div>","SECTION 7.1","7.1","NarrativeContent_53","c7194924-ba82-4273-9e88-b86b40b1f4ad"
"Criteria for Permanent Discontinuation of Trial Intervention","NarrativeContent","<div></div>","SECTION 7.1.1","7.1.1","NarrativeContent_54","d14f0f62-86d0-47f1-bb75-1d308a2a0df2"
"Temporary Discontinuation or Interruption of Trial Intervention","NarrativeContent","<div></div>","SECTION 7.1.2","7.1.2","NarrativeContent_55","f27bc0f0-00e0-47c7-bcd6-767449e12d1d"
"Rechallenge","NarrativeContent","<div></div>","SECTION 7.1.3","7.1.3","NarrativeContent_56","1c703a17-1c5b-45b6-9fd6-54134496a1c9"
"Participant Withdrawal from the Trial","NarrativeContent","<div></div>","SECTION 7.2","7.2","NarrativeContent_57","e29798fa-3587-4276-becc-82e25853664c"
"Lost to Follow-Up","NarrativeContent","<div></div>","SECTION 7.3","7.3","NarrativeContent_58","80c603f9-03a3-4b05-899c-09c459a0c42a"
"Trial Stopping Rules","NarrativeContent","<div></div>","SECTION 7.4","7.4","NarrativeContent_59","463555f6-5ce6-440a-97e6-de6941ea0dba"
"TRIAL ASSESSMENTS AND PROCEDURES","NarrativeContent","<div></div>","SECTION 8","8","NarrativeContent_60","9dd3cb6d-413a-4cd9-a110-e2d87a83b8f1"
"Screening/Baseline Assessments and Procedures","NarrativeContent","<div></div>","SECTION 8.1","8.1","NarrativeContent_61","3dc5eaa9-d293-4e8a-8e17-b3602bb3379d"
"Efficacy Assessments and Procedures","NarrativeContent","<div></div>","SECTION 8.2","8.2","NarrativeContent_62","381bd680-9e3d-42ca-99ec-20b7e61c75b3"
"Safety Assessments and Procedures","NarrativeContent","<div></div>","SECTION 8.3","8.3","NarrativeContent_63","ca6c51a9-631d-47a4-99f5-6f95add2b4d0"
"Physical Examination","NarrativeContent","<div></div>","SECTION 8.3.1","8.3.1","NarrativeContent_64","24a653b6-c8e9-43ff-bd60-8535ee1870df"
"Vital Signs","NarrativeContent","<div></div>","SECTION 8.3.2","8.3.2","NarrativeContent_65","d1785c7a-8fcb-421e-b8a9-bf5ec4754eb7"
"Electrocardiograms","NarrativeContent","<div></div>","SECTION 8.3.3","8.3.3","NarrativeContent_66","fbd82f05-1e83-475c-bb5e-d2b0126091a5"
"Clinical Laboratory Assessments","NarrativeContent","<div></div>","SECTION 8.3.4","8.3.4","NarrativeContent_67","e1d66e50-66cd-41a0-abb1-5e7d2b7cd8f3"
"Suicidal Ideation and Behaviour Risk Monitoring","NarrativeContent","<div></div>","SECTION 8.3.5","8.3.5","NarrativeContent_68","d3214508-6795-43ba-a1ea-a911aa13c866"
"Adverse Events and Serious Adverse Events","NarrativeContent","<div></div>","SECTION 8.4","8.4","NarrativeContent_69","57428c88-4663-4b91-a80b-5a8ccf0f1f17"
"Definitions of AE and SAE","NarrativeContent","<div></div>","SECTION 8.4.1","8.4.1","NarrativeContent_70","061ea6a1-c86f-46fe-8736-1accad71a21c"
"Time Period and Frequency for Collecting AE and SAE Information","NarrativeContent","<div></div>","SECTION 8.4.2","8.4.2","NarrativeContent_71","c9a672e6-efd0-4f9d-b121-43b9ab5676e0"
"Identifying AEs and SAEs","NarrativeContent","<div></div>","SECTION 8.4.3","8.4.3","NarrativeContent_72","8b8fe75f-2526-4f3c-99b1-280655ed80ec"
"Recording of AEs and SAEs","NarrativeContent","<div></div>","SECTION 8.4.4","8.4.4","NarrativeContent_73","dc7a54ce-6905-4523-9858-39ed899ccfc5"
"Follow-up of AEs and SAEs","NarrativeContent","<div></div>","SECTION 8.4.5","8.4.5","NarrativeContent_74","721ad1a3-0e1d-42e9-a786-5d4ffb3c25c9"
"Reporting of SAEs","NarrativeContent","<div></div>","SECTION 8.4.6","8.4.6","NarrativeContent_75","b24eb1d4-955e-4981-96d5-575998749206"
"Regulatory Reporting Requirements for SAEs","NarrativeContent","<div></div>","SECTION 8.4.7","8.4.7","NarrativeContent_76","1b67b8a8-1421-40b2-b22a-167b542cac2b"
"Serious and Unexpected Adverse Reaction Reporting","NarrativeContent","<div></div>","SECTION 8.4.8","8.4.8","NarrativeContent_77","88cb8755-aee3-4709-af56-19924ad62aec"
"Adverse Events of Special Interest","NarrativeContent","<div></div>","SECTION 8.4.9","8.4.9","NarrativeContent_78","f7edfc32-b1fb-45c6-89d3-5d0d49567dd5"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","NarrativeContent","<div></div>","SECTION 8.4.10","8.4.10","NarrativeContent_79","b3c8e930-878d-4be9-accb-e3386652cc8e"
"Pregnancy and Postpartum Information","NarrativeContent","<div></div>","SECTION 8.5","8.5","NarrativeContent_80","f9764725-4db2-4dbc-942d-85bb25d8164c"
"Participants Who Become Pregnant During the Trial","NarrativeContent","<div></div>","SECTION 8.5.1","8.5.1","NarrativeContent_81","08ac7fb9-66f3-49be-a9dd-340438a8abc9"
"Participants Whose Partners Become Pregnant","NarrativeContent","<div></div>","SECTION 8.5.2","8.5.2","NarrativeContent_82","129607dd-256f-4a06-a81c-d524febe7399"
"Medical Device Product Complaints for Drug/Device Combination Products","NarrativeContent","<div></div>","SECTION 8.6","8.6","NarrativeContent_83","5d83503b-9974-4f97-a546-ebba68f9d6e9"
"Definition of Medical Device Product Complaints","NarrativeContent","<div></div>","SECTION 8.6.1","8.6.1","NarrativeContent_84","26f166b0-1fea-4178-ad8a-a067a7e8b992"
"Recording of Medical Device Product Complaints","NarrativeContent","<div></div>","SECTION 8.6.2","8.6.2","NarrativeContent_85","1b6a61ab-0f92-4bb6-a7f1-a3e1971dfe77"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","NarrativeContent","<div></div>","SECTION 8.6.3","8.6.3","NarrativeContent_86","0ce73a44-7ca7-432d-b0ff-5a6b7a043f57"
"Follow-Up of Medical Device Product Complaints","NarrativeContent","<div></div>","SECTION 8.6.4","8.6.4","NarrativeContent_87","095b8ea6-bc32-44d6-9b63-153a757cb1eb"
"Regulatory Reporting Requirements for Medical Device Product Complaints","NarrativeContent","<div></div>","SECTION 8.6.5","8.6.5","NarrativeContent_88","eb585d31-6ecc-4fe2-a075-fcf0a0daa526"
"Pharmacokinetics","NarrativeContent","<div></div>","SECTION 8.7","8.7","NarrativeContent_89","3f68e48f-88df-478c-bd79-f44670027fe5"
"Genetics","NarrativeContent","<div></div>","SECTION 8.8","8.8","NarrativeContent_90","d0df39ae-53ed-4a27-96da-78fccf90bd0e"
"Biomarkers","NarrativeContent","<div></div>","SECTION 8.9","8.9","NarrativeContent_91","eca82fc1-3fef-4c3a-bd34-54c6ff2a88d0"
"Immunogenicity Assessments","NarrativeContent","<div></div>","SECTION 8.1","8.1","NarrativeContent_92","6799a2fe-fef6-433c-9b6e-8de567cc9fef"
"Medical Resource Utilisation and Health Economics","NarrativeContent","<div></div>","SECTION 8.1.1","8.1.1","NarrativeContent_93","176e8953-eec2-427e-9db1-e3170c8eaf8d"
"STATISTICAL CONSIDERATIONS","NarrativeContent","<div></div>","SECTION 9","9","NarrativeContent_94","0da48af1-fd1c-44b1-bb8b-fabdc568c391"
"Analysis Sets","NarrativeContent","<div></div>","SECTION 9.1","9.1","NarrativeContent_95","919a7cf4-4bea-42b8-9788-dab47b9fd7b4"
"Analyses Supporting Primary Objective(s)","NarrativeContent","<div></div>","SECTION 9.2","9.2","NarrativeContent_96","0fc55001-c865-4dec-997a-f32e71090d14"
"Statistical Model, Hypothesis, and Method of Analysis","NarrativeContent","<div></div>","SECTION 9.2.1","9.2.1","NarrativeContent_97","24d61a58-68df-42dd-8df3-07e8a12e5356"
"Handling of Intercurrent Events of Primary Estimand(s)","NarrativeContent","<div></div>","SECTION 9.2.2","9.2.2","NarrativeContent_98","57347e42-5322-4b59-a4cf-f5c8e7f45ec0"
"Handling of Missing Data","NarrativeContent","<div></div>","SECTION 9.2.3","9.2.3","NarrativeContent_99","f749fa7e-5156-46ea-84dd-680cebd583fd"
"Sensitivity Analysis","NarrativeContent","<div></div>","SECTION 9.2.4","9.2.4","NarrativeContent_100","c0d6c8dc-5239-43c8-971a-722ddbd52721"
"Supplementary Analysis","NarrativeContent","<div></div>","SECTION 9.2.5","9.2.5","NarrativeContent_101","2efb5242-b4eb-44c2-914a-b1f569ce6ca5"
"Analysis Supporting Secondary Objective(s)","NarrativeContent","<div></div>","SECTION 9.3","9.3","NarrativeContent_102","4deb0011-deab-42f0-bb02-15d85d9f7aeb"
"Analysis of Exploratory Objective(s)","NarrativeContent","<div></div>","SECTION 9.4","9.4","NarrativeContent_103","3bd7410a-c68c-407f-bc0f-2477ad8dc237"
"Safety Analyses","NarrativeContent","<div></div>","SECTION 9.5","9.5","NarrativeContent_104","012bafd2-74a2-4c2e-9d27-69fb2e015921"
"Other Analyses","NarrativeContent","<div></div>","SECTION 9.6","9.6","NarrativeContent_105","da478847-f5dd-4704-a404-db5277505a53"
"Interim Analyses","NarrativeContent","<div></div>","SECTION 9.7","9.7","NarrativeContent_106","febb4105-bd82-44ca-b73c-853b6db3a646"
"Sample Size Determination","NarrativeContent","<div></div>","SECTION 9.8","9.8","NarrativeContent_107","77fdaace-9d7f-4962-945a-d7efbe2d1932"
"Protocol Deviations","NarrativeContent","<div></div>","SECTION 9.9","9.9","NarrativeContent_108","3605d71d-b142-44d4-9159-4c0685bbdb85"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","NarrativeContent","<div></div>","SECTION 10","10","NarrativeContent_109","93096a1c-629a-40e4-8723-e15ed3ee9c9a"
"Regulatory and Ethical Considerations","NarrativeContent","<div></div>","SECTION 10.1","10.1","NarrativeContent_110","068f9285-09c4-42ca-a4e2-07c7e26ebae0"
"Committees","NarrativeContent","<div></div>","SECTION 10.2","10.2","NarrativeContent_111","74d70be7-9184-4c90-a549-967b0e7ce75e"
"Informed Consent Process","NarrativeContent","<div></div>","SECTION 10.3","10.3","NarrativeContent_112","1f3dcf6d-1968-4ec7-9372-9fb295957c32"
"Data Protection","NarrativeContent","<div></div>","SECTION 10.4","10.4","NarrativeContent_113","943e7977-529c-4861-ad5f-48f8053e7d0b"
"Early Site Closure or Trial Termination","NarrativeContent","<div></div>","SECTION 10.5","10.5","NarrativeContent_114","1427bebb-569b-4a7d-8501-2881f64ba141"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","NarrativeContent","<div></div>","SECTION 11","11","NarrativeContent_115","aa4d41a9-9f3c-437a-9e97-af7a4e61db4e"
"Quality Tolerance Limits","NarrativeContent","<div></div>","SECTION 11.1","11.1","NarrativeContent_116","e69c4829-dd4d-4e61-a0d7-dc40b47882cb"
"Data Quality Assurance","NarrativeContent","<div></div>","SECTION 11.2","11.2","NarrativeContent_117","47004f20-9ebf-442f-a696-444d606928a7"
"Source Data","NarrativeContent","<div></div>","SECTION 11.3","11.3","NarrativeContent_118","b65ad1c9-431f-4136-8179-a0071bf311ea"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","NarrativeContent","<div></div>","SECTION 12","12","NarrativeContent_119","e0be8f8e-cef9-4caa-ba60-39f8ac91324a"
"Further Details and Clarifications on the AE Definition","NarrativeContent","<div></div>","SECTION 12.1","12.1","NarrativeContent_120","799d2500-9312-4d5a-a489-59b929fc0d33"
"Further Details and Clarifications on the SAE Definition","NarrativeContent","<div></div>","SECTION 12.2","12.2","NarrativeContent_121","c5f1af84-4386-404c-b07a-1e049927da0f"
"Severity","NarrativeContent","<div></div>","SECTION 12.3","12.3","NarrativeContent_122","13fd1bfd-f02f-4f7a-b847-2b3a75cf8682"
"Causality","NarrativeContent","<div></div>","SECTION 12.4","12.4","NarrativeContent_123","43ccd18f-a1e9-46e0-88ba-8e7badc8849b"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","NarrativeContent","<div></div>","SECTION 13","13","NarrativeContent_124","7db84f93-675e-4235-97dd-3134fc4b2ad8"
"Contraception and Pregnancy Testing","NarrativeContent","<div></div>","SECTION 13.1","13.1","NarrativeContent_125","4dc6878f-71a6-4fca-92fd-e20ff8d36abc"
"Definitions Related to Childbearing Potential","NarrativeContent","<div></div>","SECTION 13.1.1","13.1.1","NarrativeContent_126","1370a4d9-f73e-4461-a50f-a23a2ec17149"
"Contraception","NarrativeContent","<div></div>","SECTION 13.1.2","13.1.2","NarrativeContent_127","7974bb24-92e7-442e-88f7-1251d1650334"
"Pregnancy Testing","NarrativeContent","<div></div>","SECTION 13.1.3","13.1.3","NarrativeContent_128","14416558-717d-4824-ad81-1238ca573b1c"
"Clinical Laboratory Tests","NarrativeContent","<div></div>","SECTION 13.2","13.2","NarrativeContent_129","48797b89-df63-4bf5-96d5-16ec022b0cb2"
"Country/Region-Specific Differences","NarrativeContent","<div></div>","SECTION 13.3","13.3","NarrativeContent_130","fe792f2c-6b92-4078-afd7-71f5f47b33bc"
"Prior Protocol Amendments","NarrativeContent","<div></div>","SECTION 13.4","13.4","NarrativeContent_131","9ce5726c-c88d-45e8-aab5-832788b90161"
"APPENDIX: GLOSSARY OF TERMS","NarrativeContent","<div></div>","SECTION 14","14","NarrativeContent_132","a0813046-44b1-46a1-8fb2-88a977eab347"
"APPENDIX: REFERENCES","NarrativeContent","<div></div>","SECTION 15","15","NarrativeContent_133","be96f2aa-bada-431a-8b06-21478467d2f1"
