"label","instanceType","name","reference","synonyms","id","uuid:ID"
"Adverse Event","BiomedicalConcept","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","['Adverse Event Reported Term', 'AETERM']","BiomedicalConcept_1","d08ab56d-6c5e-4ad0-bb2f-20ae1ef5081b"
"Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","BiomedicalConcept_2","b9608e3c-cea4-458c-82d7-c908920fb273"
"Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","BiomedicalConcept_3","ad6c8a87-4c92-4c59-a085-9b17decbbd15"
"Body Temperature","BiomedicalConcept","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","BiomedicalConcept_4","05cd7b1a-117f-45ee-9123-97277645ba91"
"Body Weight","BiomedicalConcept","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","BiomedicalConcept_5","ae549c41-d229-4459-9cf6-df0c2e0945c7"
"Body Height","BiomedicalConcept","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","BiomedicalConcept_6","e2561256-a289-4756-9048-16439923f620"
"Alanine Aminotransferase Measurement","BiomedicalConcept","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","BiomedicalConcept_7","96c737d4-1584-4f0e-8b58-be36eae85a8e"
"Albumin Measurement","BiomedicalConcept","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","BiomedicalConcept_8","92235fd4-f211-41b1-b063-a02e147fff6a"
"Alkaline Phosphatase Measurement","BiomedicalConcept","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","BiomedicalConcept_9","0a5666f4-9a76-4393-91a2-268071228c7f"
"Aspartate Aminotransferase Measurement","BiomedicalConcept","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","BiomedicalConcept_10","30a1b81d-261a-4707-b768-4502b27ced22"
"Creatinine Measurement","BiomedicalConcept","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","BiomedicalConcept_11","6ab408de-f0d5-4c4a-8a19-3f2d6214a9f6"
"Potassium Measurement","BiomedicalConcept","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","BiomedicalConcept_12","8d1ad52d-095a-4b01-b155-2eb67c22bab2"
"Sodium Measurement","BiomedicalConcept","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","BiomedicalConcept_13","5bd11ecb-1144-4c58-b97d-5e022f3ca18e"
"Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","BiomedicalConcept_14","c54b4377-0994-4335-b08c-48467451795a"
"Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","BiomedicalConcept_15","ccc3a348-6e04-4ce0-bdc9-df64e979ea85"
"Heart Rate","BiomedicalConcept","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","","BiomedicalConcept_16","e79e9228-20ad-4bbd-8503-c1f7c090bdc3"
"Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","BiomedicalConcept_17","9871dd27-f179-4d43-a066-28d1c8dc227f"
"Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","BiomedicalConcept_18","64f93dc6-afa4-4d74-9825-cdb2d95cc13c"
"Heart Rate","BiomedicalConcept","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","","BiomedicalConcept_19","693aee98-7fb3-4024-9877-072dabe5ba78"
