"instanceType","label","id","name","synonyms","reference","uuid:ID"
"BiomedicalConcept","Adverse Event Prespecified","BiomedicalConcept_1","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","aaf4fd7c-5979-4b7f-b802-e2e3478d8a94"
"BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_2","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","b2be6092-2e0b-497a-b27a-8aaaae39c6b4"
"BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_3","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","fe6171bc-8357-4f8a-8bf4-ffe8955b517c"
"BiomedicalConcept","Temperature","BiomedicalConcept_4","Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","ea9e47e4-4aa2-47e1-9291-805d272edae8"
"BiomedicalConcept","Weight","BiomedicalConcept_5","Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","82a7dd10-5d7e-41ee-89e5-89c5493d8f85"
"BiomedicalConcept","Height","BiomedicalConcept_6","Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","67999375-45d5-4720-9f7f-787ea9dbf490"
"BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","2e3e0dad-5736-4fc2-809b-f83127fcec20"
"BiomedicalConcept","Albumin Presence in Urine","BiomedicalConcept_8","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","dbe15329-28bb-44aa-8363-b8e07624cd08"
"BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","d019e991-40d0-4ff7-88bb-1cfe83805332"
"BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","fb1e8d35-6a91-4520-94d6-97723577caa2"
"BiomedicalConcept","Creatinine Concentration in Urine","BiomedicalConcept_11","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","f66d7e1f-c1e8-4cfd-9d79-8494538c9525"
"BiomedicalConcept","Potassium Concentration in Urine","BiomedicalConcept_12","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","d0e6d64c-a5f0-409a-877d-7bdfb42da729"
"BiomedicalConcept","Sodium Concentration in Urine","BiomedicalConcept_13","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","f43c8c9c-ad1f-477b-88de-bc4400ea7950"
"BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_14","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","94a62ed4-bd4e-4291-bfdd-50af1a68f115"
"BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_15","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","60596336-5cde-4336-9272-89a6fa3096c1"
"BiomedicalConcept","Heart Rate","BiomedicalConcept_16","Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","7dda06e7-d306-4d61-9913-e433e877129d"
"BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_17","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","9224729e-10c5-4928-bc42-2ee00017f464"
"BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_18","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","925417a4-20f8-4f7b-ae76-fa97cd3e4446"
"BiomedicalConcept","Heart Rate","BiomedicalConcept_19","Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","0f17a60d-d2db-43e9-be0f-49ff8e0edd78"
