"instanceType","id","reference","name","uuid:ID","synonyms","label"
"BiomedicalConcept","BiomedicalConcept_32","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","3593b251-0d99-46fb-b01a-2cd50bbff800","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine"
"BiomedicalConcept","BiomedicalConcept_33","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","Hemoglobin A1C Concentration in Blood","34f420f9-2d54-4c5b-bab4-d452f28a68ed","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood"
"BiomedicalConcept","BiomedicalConcept_1","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","Adverse Event Prespecified","53a45058-765a-4b39-8b62-c70e9e3c4c7c","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified"
"BiomedicalConcept","BiomedicalConcept_2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","6a948e9d-5a58-41cd-a673-e66189811694","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure"
"BiomedicalConcept","BiomedicalConcept_3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","b91ad06c-e5c9-44e3-98a3-794ae15d8a82","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure"
"BiomedicalConcept","BiomedicalConcept_4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","a30beb01-7e1d-483f-af37-5314e12dcd69","['Temperature', 'Body Temperature']","Temperature"
"BiomedicalConcept","BiomedicalConcept_5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","15043318-e0dd-407a-b423-d4d750ce44f4","['Weight', 'Body Weight']","Weight"
"BiomedicalConcept","BiomedicalConcept_6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","eee13764-623d-4f58-bf56-ad2a5682d4f9","['Height', 'Body Height']","Height"
"BiomedicalConcept","BiomedicalConcept_7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","d696f434-01c8-4f07-8c9f-d9cca50eae68","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma"
"BiomedicalConcept","BiomedicalConcept_8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","07610862-cb26-4643-9579-01550c8126c4","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine"
"BiomedicalConcept","BiomedicalConcept_9","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","930d4886-2d0d-4106-ac47-a8bbbead7b7b","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma"
"BiomedicalConcept","BiomedicalConcept_10","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","55e62537-c56e-439f-9195-ef80d68a428a","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma"
"BiomedicalConcept","BiomedicalConcept_11","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","63caaa81-31fc-48d4-8be5-e96a9d39129d","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine"
"BiomedicalConcept","BiomedicalConcept_12","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","ced48027-2107-4669-8c6d-cdbbb72f92f9","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine"
"BiomedicalConcept","BiomedicalConcept_13","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","5b068886-24a7-443d-ad03-70d017723b87","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine"
"BiomedicalConcept","BiomedicalConcept_14","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","73500818-9d1b-4ed3-96e2-6fd915ef3cf1","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure"
"BiomedicalConcept","BiomedicalConcept_15","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","2cf9e2e0-521d-42c1-b358-fdc6c2a93dbb","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure"
"BiomedicalConcept","BiomedicalConcept_16","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate","3c0b4774-4aad-4711-bc6c-b6edbcf79ff8","['Heart Rate']","Heart Rate"
"BiomedicalConcept","BiomedicalConcept_17","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","3ab8f213-8b5e-415a-804c-d840f2bf16bc","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure"
"BiomedicalConcept","BiomedicalConcept_18","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","a7048b25-304d-400f-89e2-2038f31b984b","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure"
"BiomedicalConcept","BiomedicalConcept_19","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate","a98fc98b-77d5-4e38-9aff-c43d3bec3f95","['Heart Rate']","Heart Rate"
