"id","uuid:ID","isEnabled","datatype","instanceType","label","isRequired","name"
"BiomedicalConceptProperty_6","7dcebcda-e981-44c0-b6d5-5866445f44b9","True","string","BiomedicalConceptProperty","Severity of Adverse Event","True","Severity of Adverse Event"
"BiomedicalConceptProperty_7","2ca6a561-840d-4f7f-afed-6228ced599b2","True","string","BiomedicalConceptProperty","Adverse Event Toxicity Grade","True","Adverse Event Toxicity Grade"
"BiomedicalConceptProperty_8","6dc0430c-6989-4a29-a4ee-c114bf7a7162","True","boolean","BiomedicalConceptProperty","Seriousness of Adverse Event","True","Seriousness of Adverse Event"
"BiomedicalConceptProperty_9","115d27da-4530-4b26-8ee7-b7a06489d84c","True","string","BiomedicalConceptProperty","Adverse Event Action Taken with Study Treatment","True","Adverse Event Action Taken with Study Treatment"
"BiomedicalConceptProperty_10","3239ee14-c8ab-4a58-beb2-08d94a78b4f5","True","string","BiomedicalConceptProperty","Adverse Event Attribution to Product or Procedure","True","Adverse Event Attribution to Product or Procedure"
"BiomedicalConceptProperty_11","f18d5faa-3e4e-4b34-8875-a8524c654157","True","string","BiomedicalConceptProperty","Adverse Event Pattern","True","Adverse Event Pattern"
"BiomedicalConceptProperty_12","295768b9-5734-4eb5-845f-69497ec68969","True","string","BiomedicalConceptProperty","Adverse Event Outcome","True","Adverse Event Outcome"
"BiomedicalConceptProperty_13","a1c4ea02-cc26-4e0d-a4e5-f2420090a2c8","True","datetime","BiomedicalConceptProperty","Adverse Event Start Date Time","True","Adverse Event Start Date Time"
"BiomedicalConceptProperty_14","789a3a80-badf-4d84-a893-508daa33ea51","True","datetime","BiomedicalConceptProperty","Adverse Event End Date Time","True","Adverse Event End Date Time"
"BiomedicalConceptProperty_15","56921707-4c9e-4a56-9fa2-8a4ca733d3d5","True","decimal","BiomedicalConceptProperty","Vital Signs Result","True","Vital Signs Result"
"BiomedicalConceptProperty_16","2d36e762-54ef-438d-92a2-8025b9d8ddfa","True","string","BiomedicalConceptProperty","Unit of Pressure","True","Unit of Pressure"
"BiomedicalConceptProperty_17","4e8f544b-df5c-4f41-a000-343e773b2009","True","string","BiomedicalConceptProperty","Vital Signs Location","True","Vital Signs Location"
"BiomedicalConceptProperty_18","cf16dc88-7f3d-42d7-957f-1dffb0b6672d","True","string","BiomedicalConceptProperty","Vital Signs Laterality","True","Vital Signs Laterality"
"BiomedicalConceptProperty_19","125f8116-086a-4073-9cf6-21cee1145f93","True","string","BiomedicalConceptProperty","Test Method","True","Test Method"
"BiomedicalConceptProperty_20","1f8f037a-1274-4e6a-84ad-95c8f9e30245","True","string","BiomedicalConceptProperty","Vital Signs Position","True","Vital Signs Position"
"BiomedicalConceptProperty_21","70a682ea-6bbb-4209-8618-de49ea9cab27","True","decimal","BiomedicalConceptProperty","Vital Signs Result","True","Vital Signs Result"
"BiomedicalConceptProperty_22","ccb1b667-3ee9-4ed1-9631-c2799e8e5237","True","string","BiomedicalConceptProperty","Unit of Pressure","True","Unit of Pressure"
"BiomedicalConceptProperty_23","5dfc0e4c-05a8-4228-b50a-19f6176945fe","True","string","BiomedicalConceptProperty","Vital Signs Location","True","Vital Signs Location"
"BiomedicalConceptProperty_24","7e1d8134-efcc-4c29-84b0-433f5692315f","True","string","BiomedicalConceptProperty","Vital Signs Laterality","True","Vital Signs Laterality"
"BiomedicalConceptProperty_25","29571cf2-275d-4e7c-a506-f238a307815c","True","string","BiomedicalConceptProperty","Test Method","True","Test Method"
"BiomedicalConceptProperty_26","cc84f1ca-3df5-4efe-8697-ce6aea06f80b","True","string","BiomedicalConceptProperty","Vital Signs Position","True","Vital Signs Position"
"BiomedicalConceptProperty_27","7563f1a3-56a9-4f35-a7cc-c9479a4e97fc","True","decimal","BiomedicalConceptProperty","Vital Signs Result","True","Vital Signs Result"
"BiomedicalConceptProperty_28","111d1095-cf18-4b7b-a8ca-2dada7931ab4","True","string","BiomedicalConceptProperty","Unit of Temperature","True","Unit of Temperature"
"BiomedicalConceptProperty_29","f649d5bc-eb01-4995-a68a-e2e9ee4df71c","True","string","BiomedicalConceptProperty","Vital Signs Location","True","Vital Signs Location"
"BiomedicalConceptProperty_30","59c10ceb-7be2-4020-b472-a1b4c8e0c5d9","True","decimal","BiomedicalConceptProperty","Vital Signs Result","True","Vital Signs Result"
"BiomedicalConceptProperty_31","06d25abb-13c3-4b53-9143-9d64a002f0b3","True","string","BiomedicalConceptProperty","Unit of Weight","True","Unit of Weight"
"BiomedicalConceptProperty_32","59fdbbe2-1fba-435e-bdc4-3830b2638bf8","True","decimal","BiomedicalConceptProperty","Vital Signs Result","True","Vital Signs Result"
"BiomedicalConceptProperty_33","73628d67-0185-45ca-8cda-ce1a64cf9431","True","string","BiomedicalConceptProperty","Unit of Height","True","Unit of Height"
"BiomedicalConceptProperty_34","687419de-acac-403f-b831-db79025c1ae2","True","decimal","BiomedicalConceptProperty","Laboratory Test Result","True","Laboratory Test Result"
"BiomedicalConceptProperty_35","1796681e-58f0-4f35-ab67-04a634780031","True","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status"
"BiomedicalConceptProperty_36","bf5988fb-b828-4bb9-a361-dec77a96643d","True","string","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration"
"BiomedicalConceptProperty_37","356bde2a-1aad-4047-9332-544f0850725d","True","string","BiomedicalConceptProperty","Biospecimen Type","True","Biospecimen Type"
"BiomedicalConceptProperty_38","b63481da-5f1e-4757-ae9e-64a9a1960aa3","True","string","BiomedicalConceptProperty","Laboratory Test Result","True","Laboratory Test Result"
"BiomedicalConceptProperty_39","318dcb52-bc64-4a6d-8800-403d0bf542aa","True","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status"
"BiomedicalConceptProperty_40","1417c96d-6952-4a05-b120-aa7169f26348","True","string","BiomedicalConceptProperty","Unit of Concentration","True","Unit of Concentration"
"BiomedicalConceptProperty_41","a2deae2b-66f5-471b-8370-dce6cea39c13","True","string","BiomedicalConceptProperty","Biospecimen Type","True","Biospecimen Type"
"BiomedicalConceptProperty_42","363b359b-3495-481d-92fa-e95afe914b3a","True","decimal","BiomedicalConceptProperty","Laboratory Test Result","True","Laboratory Test Result"
"BiomedicalConceptProperty_43","9392c63d-22bc-4357-b34d-1c03129dddc6","True","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status"
"BiomedicalConceptProperty_44","a5058cc9-15e5-4529-b5e4-e1f0b3c49458","True","string","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration"
"BiomedicalConceptProperty_45","18408fbe-32ec-4e08-ae38-c90ebe906e20","True","string","BiomedicalConceptProperty","Biospecimen Type","True","Biospecimen Type"
"BiomedicalConceptProperty_46","fd3a6781-6735-4883-8b37-01fff8312de2","True","decimal","BiomedicalConceptProperty","Laboratory Test Result","True","Laboratory Test Result"
"BiomedicalConceptProperty_47","be853913-431c-4967-9635-528d66b0bfc0","True","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status"
"BiomedicalConceptProperty_48","a68afe32-3d12-4adf-9bae-683cb685b3e2","True","string","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration"
"BiomedicalConceptProperty_49","d46d432d-a2c7-48ab-aeef-12d6feb48f70","True","string","BiomedicalConceptProperty","Biospecimen Type","True","Biospecimen Type"
"BiomedicalConceptProperty_50","de8fdc8c-a0f4-47bf-817d-890b0f529880","True","string","BiomedicalConceptProperty","Laboratory Test Result","True","Laboratory Test Result"
"BiomedicalConceptProperty_51","dcca7813-fe6e-42eb-938d-98566aa68a48","True","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status"
"BiomedicalConceptProperty_52","1811cb28-50a2-4935-a728-eda91ad2beef","True","string","BiomedicalConceptProperty","Unit of Concentration","True","Unit of Concentration"
"BiomedicalConceptProperty_53","5a95629d-6dce-439a-9f3b-5f80fc5bbac2","True","string","BiomedicalConceptProperty","Biospecimen Type","True","Biospecimen Type"
"BiomedicalConceptProperty_54","e1763da9-cf60-4efb-8f74-a20fe6befad9","True","decimal","BiomedicalConceptProperty","Laboratory Test Result","True","Laboratory Test Result"
"BiomedicalConceptProperty_55","852ea39a-57a5-4c78-8e78-99b476444e0c","True","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status"
"BiomedicalConceptProperty_56","019037ac-0e14-444a-9d4f-9ecea6361572","True","string","BiomedicalConceptProperty","Molarity Unit","True","Molarity Unit"
"BiomedicalConceptProperty_57","1521690d-5b72-4ef8-bec7-e5ef3507a61e","True","string","BiomedicalConceptProperty","Biospecimen Type","True","Biospecimen Type"
"BiomedicalConceptProperty_58","97092efb-7eb2-4d19-acb3-579327da8ec7","True","decimal","BiomedicalConceptProperty","Laboratory Test Result","True","Laboratory Test Result"
"BiomedicalConceptProperty_59","2383b251-2e87-4b42-afd3-8bf63e1da323","True","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status"
"BiomedicalConceptProperty_60","c5e0c50f-2075-43d4-aca0-bfc31569ab79","True","string","BiomedicalConceptProperty","Molarity Unit","True","Molarity Unit"
"BiomedicalConceptProperty_61","b1b88f68-b520-47ef-bbf1-e63d0aa1cde3","True","string","BiomedicalConceptProperty","Biospecimen Type","True","Biospecimen Type"
"BiomedicalConceptProperty_62","1e839a64-7aaa-46d2-b208-76e5e4408029","True","decimal","BiomedicalConceptProperty","Vital Signs Result","True","Vital Signs Result"
"BiomedicalConceptProperty_63","709a6ca8-740c-477e-a737-517427c7a6cf","True","string","BiomedicalConceptProperty","Unit of Pressure","True","Unit of Pressure"
"BiomedicalConceptProperty_64","3552307c-df6a-4c36-9381-5122878c0e63","True","string","BiomedicalConceptProperty","Vital Signs Location","True","Vital Signs Location"
"BiomedicalConceptProperty_65","9e6b59fd-1ded-443f-afc2-e914adf1f3fc","True","string","BiomedicalConceptProperty","Vital Signs Laterality","True","Vital Signs Laterality"
"BiomedicalConceptProperty_66","c50c42ec-f3ae-4ee4-b562-c4d4652b6245","True","string","BiomedicalConceptProperty","Test Method","True","Test Method"
"BiomedicalConceptProperty_67","1d67a96f-a0a0-48af-abd6-a96051e06436","True","string","BiomedicalConceptProperty","Vital Signs Position","True","Vital Signs Position"
"BiomedicalConceptProperty_68","620ed85c-5bb3-4f21-8b86-90f2f37e4ac0","True","decimal","BiomedicalConceptProperty","Vital Signs Result","True","Vital Signs Result"
"BiomedicalConceptProperty_69","cc8dedbe-97a7-4e0b-be8c-b41b3767f090","True","string","BiomedicalConceptProperty","Unit of Pressure","True","Unit of Pressure"
"BiomedicalConceptProperty_70","d7c6aba2-f16b-4c56-9fc2-d44b98da1d31","True","string","BiomedicalConceptProperty","Vital Signs Location","True","Vital Signs Location"
"BiomedicalConceptProperty_71","3fb8d09b-085c-42d6-9e5a-adf828d93d72","True","string","BiomedicalConceptProperty","Vital Signs Laterality","True","Vital Signs Laterality"
"BiomedicalConceptProperty_72","508336b3-d2e7-4941-983a-3d850271f730","True","string","BiomedicalConceptProperty","Test Method","True","Test Method"
"BiomedicalConceptProperty_73","722392ce-2fe1-4a09-b25d-cb7292368adb","True","string","BiomedicalConceptProperty","Vital Signs Position","True","Vital Signs Position"
"BiomedicalConceptProperty_74","ef757c2d-4054-466c-9016-0a243fdb72e1","True","integer","BiomedicalConceptProperty","Vital Signs Result","True","Vital Signs Result"
"BiomedicalConceptProperty_75","f4175a5b-6c37-4f18-9c9a-1dc4093b42e0","True","string","BiomedicalConceptProperty","Count per Minute","True","Count per Minute"
"BiomedicalConceptProperty_76","759a63e1-6d6b-4b9e-a285-5c169c1402d1","True","string","BiomedicalConceptProperty","Vital Signs Location","True","Vital Signs Location"
"BiomedicalConceptProperty_77","006f0876-43e6-44bf-a1c4-6b03675c8acd","True","string","BiomedicalConceptProperty","Vital Signs Laterality","True","Vital Signs Laterality"
"BiomedicalConceptProperty_78","764786ea-817f-485f-886e-e4918bf63879","True","string","BiomedicalConceptProperty","Test Method","True","Test Method"
"BiomedicalConceptProperty_79","81816b75-d973-42c2-b7b8-b3af84dfe5f5","True","string","BiomedicalConceptProperty","Vital Signs Position","True","Vital Signs Position"
"BiomedicalConceptProperty_80","efb0cb1f-d7c0-4aed-b502-a57fac59975b","True","decimal","BiomedicalConceptProperty","Vital Signs Result","True","Vital Signs Result"
"BiomedicalConceptProperty_81","ba344211-a3ee-4f79-802c-2db7cb3e2453","True","string","BiomedicalConceptProperty","Unit of Pressure","True","Unit of Pressure"
"BiomedicalConceptProperty_82","4982d9a7-6df2-4d80-bcd2-6ff5e897651b","True","string","BiomedicalConceptProperty","Vital Signs Location","True","Vital Signs Location"
"BiomedicalConceptProperty_83","94e06bf6-9158-4907-895b-158b9eea559b","True","string","BiomedicalConceptProperty","Vital Signs Laterality","True","Vital Signs Laterality"
"BiomedicalConceptProperty_84","54f24f20-8341-445a-8fa0-357cc3781d02","True","string","BiomedicalConceptProperty","Test Method","True","Test Method"
"BiomedicalConceptProperty_85","1522f0dd-9373-46f9-a68b-42202a34c804","True","string","BiomedicalConceptProperty","Vital Signs Position","True","Vital Signs Position"
"BiomedicalConceptProperty_86","326d83ae-9844-4f2b-a20d-ed5cfa665e37","True","decimal","BiomedicalConceptProperty","Vital Signs Result","True","Vital Signs Result"
"BiomedicalConceptProperty_87","d9fe92e8-772b-4b7b-b126-878ad9ee5987","True","string","BiomedicalConceptProperty","Unit of Pressure","True","Unit of Pressure"
"BiomedicalConceptProperty_88","aab19cf2-5293-4679-8e54-9d0689e100de","True","string","BiomedicalConceptProperty","Vital Signs Location","True","Vital Signs Location"
"BiomedicalConceptProperty_89","c007d54d-3533-45b9-b559-9e887036721a","True","string","BiomedicalConceptProperty","Vital Signs Laterality","True","Vital Signs Laterality"
"BiomedicalConceptProperty_90","b59e6314-5783-4e6c-b2c8-2e255e9102d0","True","string","BiomedicalConceptProperty","Test Method","True","Test Method"
"BiomedicalConceptProperty_91","85f49d50-12ad-428a-ba89-6c18c983fb85","True","string","BiomedicalConceptProperty","Vital Signs Position","True","Vital Signs Position"
"BiomedicalConceptProperty_92","a35ebe0f-4ac0-449f-b766-6d21ceee5872","True","integer","BiomedicalConceptProperty","Vital Signs Result","True","Vital Signs Result"
"BiomedicalConceptProperty_93","f24acbec-6cf7-41c1-9b63-9c8c6306c5c1","True","string","BiomedicalConceptProperty","Count per Minute","True","Count per Minute"
"BiomedicalConceptProperty_94","8a57bc62-5dbd-4514-a241-49afe3a186b2","True","string","BiomedicalConceptProperty","Vital Signs Location","True","Vital Signs Location"
"BiomedicalConceptProperty_95","7b060d02-c129-48af-85bc-04c8808172c5","True","string","BiomedicalConceptProperty","Vital Signs Laterality","True","Vital Signs Laterality"
"BiomedicalConceptProperty_96","c2987eae-0080-4ea6-b50e-1bbfa7b56005","True","string","BiomedicalConceptProperty","Test Method","True","Test Method"
"BiomedicalConceptProperty_97","55397e37-bf86-4d2b-8b8d-8f3e1b052a10","True","string","BiomedicalConceptProperty","Vital Signs Position","True","Vital Signs Position"
