"id","uuid:ID","instanceType","label","reference","synonyms","name"
"BiomedicalConcept_9","b899ee2b-64e4-489b-bff3-63f911e5f80f","BiomedicalConcept","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement"
"BiomedicalConcept_10","795f620d-cb4b-4d4c-9b28-6dec5e12f6da","BiomedicalConcept","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","Aspartate Aminotransferase Measurement"
"BiomedicalConcept_11","1d8929cf-0403-46c0-9612-903c1ef29250","BiomedicalConcept","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","Creatinine Measurement"
"BiomedicalConcept_12","9afff966-2726-4003-a6de-807a35bcece7","BiomedicalConcept","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","Potassium Measurement"
"BiomedicalConcept_13","59767998-4163-4f3d-862c-1d0f4ce946a1","BiomedicalConcept","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","Sodium Measurement"
"BiomedicalConcept_14","2778c45b-b229-4d91-bf6d-873b2d303e7a","BiomedicalConcept","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","Systolic Blood Pressure"
"BiomedicalConcept_15","2cd0e945-78d0-4f0c-b6a6-98041d038055","BiomedicalConcept","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","Diastolic Blood Pressure"
"BiomedicalConcept_16","6fed7fac-4919-46a5-bac0-db65b7b9ae03","BiomedicalConcept","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","","Heart Rate"
"BiomedicalConcept_17","23149cc7-898e-4863-8bc6-5d957fa70a69","BiomedicalConcept","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","Systolic Blood Pressure"
"BiomedicalConcept_18","f33303c0-6df5-4e2f-8d6e-6696c44a5dd5","BiomedicalConcept","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","Diastolic Blood Pressure"
"BiomedicalConcept_19","42ef6386-7a5a-4d63-87f7-875d32691c0f","BiomedicalConcept","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","","Heart Rate"
