"sectionTitle","id","sectionNumber","uuid:ID","text","instanceType","name"
"Start of Trial and End of Trial","NarrativeContent_20","4.4","cff501ff-a156-4642-85d9-3195e251b772","<div></div>","NarrativeContent","SECTION 4.4"
"TRIAL POPULATION","NarrativeContent_21","5","26db939e-723e-43da-b2a1-0cf6d49699b6","<div></div>","NarrativeContent","SECTION 5"
"Selection of Trial Population","NarrativeContent_22","5.1","ef16a10b-ceea-4386-b625-2a31d2bab239","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent","SECTION 5.1"
"Rationale for Trial Population","NarrativeContent_23","5.2","f41ec443-195c-4de8-ac9c-74489e2b6dcf","<div></div>","NarrativeContent","SECTION 5.2"
"Inclusion Criteria","NarrativeContent_24","5.3","01e05fad-fcfe-448c-a48e-b1fb266cd89a","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent","SECTION 5.3"
"Exclusion Criteria","NarrativeContent_25","5.4","d7a8539e-d842-49e2-984b-b752ae0c9283","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent","SECTION 5.4"
"Lifestyle Considerations","NarrativeContent_26","5.5","36f47a66-0865-4941-8c5c-f3df716e4a06","<div></div>","NarrativeContent","SECTION 5.5"
"Meals and Dietary Restrictions","NarrativeContent_27","5.5.1","940af5f3-a2a0-489a-8ea5-a7afe9285e6a","<div></div>","NarrativeContent","SECTION 5.5.1"
"Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent_28","5.5.2","56845f7a-e837-476d-8674-02c13f056047","<div><p>Not applicable</p></div>","NarrativeContent","SECTION 5.5.2"
"Physical Activity","NarrativeContent_29","5.5.3","ef53f3e5-f710-4401-9a42-454771c4c048","<div></div>","NarrativeContent","SECTION 5.5.3"
"Other Activity","NarrativeContent_30","5.5.4","6a4e52bc-2b29-4593-9026-9eb616707d4f","<div></div>","NarrativeContent","SECTION 5.5.4"
"Screen Failures","NarrativeContent_31","5.6","fa5a38a2-7d53-4877-bfc7-8492db4c4b81","<div></div>","NarrativeContent","SECTION 5.6"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent_32","6","ef696fd9-936e-45d4-98bd-e40e040a21f1","<div></div>","NarrativeContent","SECTION 6"
"Description of Trial Intervention","NarrativeContent_33","6.1","06b59daa-603c-42a0-bffe-11ffeb1a3e95","<div></div>","NarrativeContent","SECTION 6.1"
"Rationale for Trial Intervention","NarrativeContent_34","6.2","d5a159c0-7ad2-4cc4-b634-6111a3f55976","<div></div>","NarrativeContent","SECTION 6.2"
"Dosing and Administration","NarrativeContent_35","6.3","e149750e-9ccd-4e98-bab0-d9d17fa4648a","<div></div>","NarrativeContent","SECTION 6.3"
"Trial Intervention Dose Modification","NarrativeContent_36","6.3.1","881e9818-689c-4d72-a52e-89fa444beb38","<div></div>","NarrativeContent","SECTION 6.3.1"
"Treatment of Overdose","NarrativeContent_37","6.4","7830b2c6-00b0-484c-bd37-2b634706f884","<div></div>","NarrativeContent","SECTION 6.4"
"Preparation, Handling, Storage and Accountability","NarrativeContent_38","6.5","421d8563-d645-4746-b5ec-f56cf84878db","<div></div>","NarrativeContent","SECTION 6.5"
"Preparation of Trial Intervention","NarrativeContent_39","6.5.1","532e422c-fb8c-4be1-9eb4-bbd80823c674","<div></div>","NarrativeContent","SECTION 6.5.1"
"Handling and Storage of Trial Intervention","NarrativeContent_40","6.5.2","a15fdc14-6a1c-4d4d-9e76-a26ecc9794eb","<div></div>","NarrativeContent","SECTION 6.5.2"
"Accountability of Trial Intervention","NarrativeContent_41","6.5.3","738cb516-682d-4ee2-bb66-5d768829c003","<div></div>","NarrativeContent","SECTION 6.5.3"
"Participant Assignment, Randomisation and Blinding","NarrativeContent_42","6.6","515067c2-4a74-4f82-9f55-b1ea95d1cc13","<div></div>","NarrativeContent","SECTION 6.6"
"Participant Assignment","NarrativeContent_43","6.6.1","5bd210b3-c553-41be-9076-32edab2b2554","<div></div>","NarrativeContent","SECTION 6.6.1"
"Randomisation","NarrativeContent_44","6.6.2","34a2b2ed-4898-4541-84e2-671e600792c1","<div></div>","NarrativeContent","SECTION 6.6.2"
"Blinding and Unblinding","NarrativeContent_45","6.6.3","650c5950-7ef1-40d3-9364-cc957465ebb3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","NarrativeContent","SECTION 6.6.3"
"Trial Intervention Compliance","NarrativeContent_46","6.7","75b7939e-3ebf-43d3-9617-c2a734a5ee27","<div></div>","NarrativeContent","SECTION 6.7"
"Concomitant Therapy","NarrativeContent_47","6.8","ff5ccbe0-2cb6-4879-a811-59128333d66d","<div></div>","NarrativeContent","SECTION 6.8"
"Prohibited Concomitant Therapy","NarrativeContent_48","6.8.1","2425f2db-0024-4930-85e9-91cbf79177ea","<div></div>","NarrativeContent","SECTION 6.8.1"
"Permitted Concomitant Therapy","NarrativeContent_49","6.8.2","852f9af6-9e73-4cab-931a-1e781a12cc39","<div></div>","NarrativeContent","SECTION 6.8.2"
"Rescue Therapy","NarrativeContent_50","6.8.3","69a8cb0f-396f-4b08-8ca1-6593f390d8fb","<div></div>","NarrativeContent","SECTION 6.8.3"
"Other Therapy","NarrativeContent_51","6.8.4","999a6ae0-f02b-4f46-bddb-3cd0fa8ab97e","<div></div>","NarrativeContent","SECTION 6.8.4"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","NarrativeContent_52","7","e87463bd-ab4e-4519-9874-85276cdab24e","<div></div>","NarrativeContent","SECTION 7"
"Discontinuation of Trial Intervention","NarrativeContent_53","7.1","47a3ac8a-4780-4bea-bcd5-b3466c1ba3c8","<div></div>","NarrativeContent","SECTION 7.1"
"Criteria for Permanent Discontinuation of Trial Intervention","NarrativeContent_54","7.1.1","139e9350-324a-450d-bfe3-8f780dc3e812","<div></div>","NarrativeContent","SECTION 7.1.1"
"Temporary Discontinuation or Interruption of Trial Intervention","NarrativeContent_55","7.1.2","2e182dba-0439-4b38-9d9f-c6a33a62a5d2","<div></div>","NarrativeContent","SECTION 7.1.2"
"Rechallenge","NarrativeContent_56","7.1.3","110bfd5a-5e91-47b2-9640-1ee0ffca8c9c","<div></div>","NarrativeContent","SECTION 7.1.3"
"Participant Withdrawal from the Trial","NarrativeContent_57","7.2","8a28fc94-5e6a-4821-9ff6-e7bb43f07ea7","<div></div>","NarrativeContent","SECTION 7.2"
"Lost to Follow-Up","NarrativeContent_58","7.3","14cb2b4b-d5a9-4ea7-98dd-2854318899b7","<div></div>","NarrativeContent","SECTION 7.3"
"Trial Stopping Rules","NarrativeContent_59","7.4","bf7b56eb-2f89-4465-9fd8-259245b236ff","<div></div>","NarrativeContent","SECTION 7.4"
"TRIAL ASSESSMENTS AND PROCEDURES","NarrativeContent_60","8","237dda55-7f24-448c-9fc9-dd3237574ac6","<div></div>","NarrativeContent","SECTION 8"
"Screening/Baseline Assessments and Procedures","NarrativeContent_61","8.1","f0c7168a-d007-4251-9b7b-07bb41be2234","<div></div>","NarrativeContent","SECTION 8.1"
"Efficacy Assessments and Procedures","NarrativeContent_62","8.2","cffe6546-4571-47aa-9fee-b4f088200dd9","<div></div>","NarrativeContent","SECTION 8.2"
"Safety Assessments and Procedures","NarrativeContent_63","8.3","8c9ad4b3-f2ea-4b5c-812f-e056cd7c8c54","<div></div>","NarrativeContent","SECTION 8.3"
"Physical Examination","NarrativeContent_64","8.3.1","cb4b525e-ae0f-4da9-bca3-068a0080b020","<div></div>","NarrativeContent","SECTION 8.3.1"
"Vital Signs","NarrativeContent_65","8.3.2","b728c019-16fa-47b6-853d-1b0456e6ab6d","<div></div>","NarrativeContent","SECTION 8.3.2"
"Electrocardiograms","NarrativeContent_66","8.3.3","911b55ca-a7bb-4350-b70f-c14cedf16faf","<div></div>","NarrativeContent","SECTION 8.3.3"
"Clinical Laboratory Assessments","NarrativeContent_67","8.3.4","504e718b-28db-4592-bfec-34967f09d90f","<div></div>","NarrativeContent","SECTION 8.3.4"
"Suicidal Ideation and Behaviour Risk Monitoring","NarrativeContent_68","8.3.5","6d748d91-74d8-47a4-8277-d39e8d14f071","<div></div>","NarrativeContent","SECTION 8.3.5"
"Adverse Events and Serious Adverse Events","NarrativeContent_69","8.4","c6611434-d0b3-408d-9e73-e816bb20eaa8","<div></div>","NarrativeContent","SECTION 8.4"
"Definitions of AE and SAE","NarrativeContent_70","8.4.1","2dc2fbee-2266-4038-95ac-1c60f3757697","<div></div>","NarrativeContent","SECTION 8.4.1"
"Time Period and Frequency for Collecting AE and SAE Information","NarrativeContent_71","8.4.2","9287c18e-a8fe-4c69-afb4-7b51d76a8d78","<div></div>","NarrativeContent","SECTION 8.4.2"
"Identifying AEs and SAEs","NarrativeContent_72","8.4.3","4c2f6fad-1887-48bc-87f9-3f179537df22","<div></div>","NarrativeContent","SECTION 8.4.3"
"Recording of AEs and SAEs","NarrativeContent_73","8.4.4","efb004fe-d743-4021-9898-4b38676a3c10","<div></div>","NarrativeContent","SECTION 8.4.4"
"Follow-up of AEs and SAEs","NarrativeContent_74","8.4.5","892f3771-030b-426b-940a-a7d02d76f5d9","<div></div>","NarrativeContent","SECTION 8.4.5"
"Reporting of SAEs","NarrativeContent_75","8.4.6","2f978342-3af4-4fef-b1ed-64112e5e6a39","<div></div>","NarrativeContent","SECTION 8.4.6"
"Regulatory Reporting Requirements for SAEs","NarrativeContent_76","8.4.7","c3211a4e-3e68-461f-beab-62d6addbdf93","<div></div>","NarrativeContent","SECTION 8.4.7"
"Serious and Unexpected Adverse Reaction Reporting","NarrativeContent_77","8.4.8","74d4b078-9a74-4436-a477-a474a73b5cf8","<div></div>","NarrativeContent","SECTION 8.4.8"
"Adverse Events of Special Interest","NarrativeContent_78","8.4.9","a1a37c9d-8a73-4e4e-bee1-dd5cae048eea","<div></div>","NarrativeContent","SECTION 8.4.9"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","NarrativeContent_79","8.4.10","2336246e-f693-46d5-9a54-cfb9075e4f10","<div></div>","NarrativeContent","SECTION 8.4.10"
"Pregnancy and Postpartum Information","NarrativeContent_80","8.5","73fff51e-21a9-47cf-b303-d145599c58ac","<div></div>","NarrativeContent","SECTION 8.5"
"Participants Who Become Pregnant During the Trial","NarrativeContent_81","8.5.1","de1adc89-2afb-4bd7-850f-5ebae8d05931","<div></div>","NarrativeContent","SECTION 8.5.1"
"Participants Whose Partners Become Pregnant","NarrativeContent_82","8.5.2","d6c61579-f47e-4a53-a962-48f9ea8a233b","<div></div>","NarrativeContent","SECTION 8.5.2"
"Medical Device Product Complaints for Drug/Device Combination Products","NarrativeContent_83","8.6","5818de04-eb4f-47ac-96d6-19052cf0a1fa","<div></div>","NarrativeContent","SECTION 8.6"
"Definition of Medical Device Product Complaints","NarrativeContent_84","8.6.1","55b491de-a384-4a1e-b3ff-b42b67cb0299","<div></div>","NarrativeContent","SECTION 8.6.1"
"Recording of Medical Device Product Complaints","NarrativeContent_85","8.6.2","ba105688-0987-4514-98ee-8a7d9fe5a313","<div></div>","NarrativeContent","SECTION 8.6.2"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","NarrativeContent_86","8.6.3","9ff104ad-e5e2-4dc3-b554-976459b511d5","<div></div>","NarrativeContent","SECTION 8.6.3"
"Follow-Up of Medical Device Product Complaints","NarrativeContent_87","8.6.4","0e3255c4-6d06-4a35-b02e-4c6f6b4f1d50","<div></div>","NarrativeContent","SECTION 8.6.4"
"Regulatory Reporting Requirements for Medical Device Product Complaints","NarrativeContent_88","8.6.5","1f0464a2-f311-4469-98df-df6d69f7368b","<div></div>","NarrativeContent","SECTION 8.6.5"
"Pharmacokinetics","NarrativeContent_89","8.7","de115841-113e-4734-b838-4ad4fdb95cd5","<div></div>","NarrativeContent","SECTION 8.7"
"Genetics","NarrativeContent_90","8.8","16ac0a3c-beee-4142-a691-00e80fa730c9","<div></div>","NarrativeContent","SECTION 8.8"
"Biomarkers","NarrativeContent_91","8.9","60dbff0c-b037-4094-9710-34e3a608c254","<div></div>","NarrativeContent","SECTION 8.9"
"Immunogenicity Assessments","NarrativeContent_92","8.1","3afd1f7b-c323-4b5c-a323-259a162922fe","<div></div>","NarrativeContent","SECTION 8.1"
"Medical Resource Utilisation and Health Economics","NarrativeContent_93","8.1.1","ee196416-41bc-410b-a80e-644f8c17a05f","<div></div>","NarrativeContent","SECTION 8.1.1"
"STATISTICAL CONSIDERATIONS","NarrativeContent_94","9","d65d859e-fe66-40df-816f-63b9d97b0902","<div></div>","NarrativeContent","SECTION 9"
"Analysis Sets","NarrativeContent_95","9.1","9e6ea58b-a85e-4f46-a97a-9366c4dbd23a","<div></div>","NarrativeContent","SECTION 9.1"
"Analyses Supporting Primary Objective(s)","NarrativeContent_96","9.2","dcd53640-d934-40f5-83a6-ca9f01c2ddab","<div></div>","NarrativeContent","SECTION 9.2"
"Statistical Model, Hypothesis, and Method of Analysis","NarrativeContent_97","9.2.1","0c7f808a-6b5b-4232-a181-c5163cf8217b","<div></div>","NarrativeContent","SECTION 9.2.1"
"Handling of Intercurrent Events of Primary Estimand(s)","NarrativeContent_98","9.2.2","d2f06175-f744-47c3-8a9c-df1777db2ed0","<div></div>","NarrativeContent","SECTION 9.2.2"
"Handling of Missing Data","NarrativeContent_99","9.2.3","1381133e-f9bb-43b8-b38d-2ae50314c769","<div></div>","NarrativeContent","SECTION 9.2.3"
"Sensitivity Analysis","NarrativeContent_100","9.2.4","6eb3707e-0ea9-4272-b844-3917700a7c9f","<div></div>","NarrativeContent","SECTION 9.2.4"
"Supplementary Analysis","NarrativeContent_101","9.2.5","b1e491d9-31ba-4820-8e58-28d7b7ba0592","<div></div>","NarrativeContent","SECTION 9.2.5"
"Analysis Supporting Secondary Objective(s)","NarrativeContent_102","9.3","0614809f-66a9-4bc7-8038-19f18ebf1af1","<div></div>","NarrativeContent","SECTION 9.3"
"Analysis of Exploratory Objective(s)","NarrativeContent_103","9.4","547ad46b-84c6-4ce4-819c-2fe0896a50f9","<div></div>","NarrativeContent","SECTION 9.4"
"Safety Analyses","NarrativeContent_104","9.5","f2f5846f-23ce-4aff-814e-415aa3108f37","<div></div>","NarrativeContent","SECTION 9.5"
"Other Analyses","NarrativeContent_105","9.6","51ea1a91-e0bb-4bf4-a0fe-68f7de6f5fa4","<div></div>","NarrativeContent","SECTION 9.6"
"Interim Analyses","NarrativeContent_106","9.7","16e1ad1e-c217-4576-9849-1e414dea6518","<div></div>","NarrativeContent","SECTION 9.7"
"Sample Size Determination","NarrativeContent_107","9.8","25a8f343-eafc-47a9-872a-6d9bccf147be","<div></div>","NarrativeContent","SECTION 9.8"
"Protocol Deviations","NarrativeContent_108","9.9","c2925f43-e25a-45bc-a890-e70f36e29a58","<div></div>","NarrativeContent","SECTION 9.9"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","NarrativeContent_109","10","f60b6f9a-82ef-4d86-8558-ab1a2fe9f0e7","<div></div>","NarrativeContent","SECTION 10"
"Regulatory and Ethical Considerations","NarrativeContent_110","10.1","5d996637-c1f6-4ada-ad00-09ddfda6beff","<div></div>","NarrativeContent","SECTION 10.1"
"Committees","NarrativeContent_111","10.2","67193838-b1b1-44e2-a4d9-832efad2b0d1","<div></div>","NarrativeContent","SECTION 10.2"
"Informed Consent Process","NarrativeContent_112","10.3","b2a7ac36-1d08-45ee-ae62-007487088e76","<div></div>","NarrativeContent","SECTION 10.3"
"Data Protection","NarrativeContent_113","10.4","e0fef60f-d8bc-4a6e-972e-573f3966676f","<div></div>","NarrativeContent","SECTION 10.4"
"Early Site Closure or Trial Termination","NarrativeContent_114","10.5","47bebbee-a34f-47ff-849e-f570fafc8c59","<div></div>","NarrativeContent","SECTION 10.5"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","NarrativeContent_115","11","46b83586-bf96-49a1-98ac-d1fcfe8bb30d","<div></div>","NarrativeContent","SECTION 11"
"Quality Tolerance Limits","NarrativeContent_116","11.1","b37735c4-7310-46dd-8959-d1d88f953662","<div></div>","NarrativeContent","SECTION 11.1"
"Data Quality Assurance","NarrativeContent_117","11.2","8d58db6f-f43a-4403-9212-de5ec9f41d19","<div></div>","NarrativeContent","SECTION 11.2"
"Source Data","NarrativeContent_118","11.3","cef1a987-c18a-45b3-8b5e-3e73fad0e243","<div></div>","NarrativeContent","SECTION 11.3"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","NarrativeContent_119","12","97e25054-4352-4830-8761-7d9576c59522","<div></div>","NarrativeContent","SECTION 12"
"Further Details and Clarifications on the AE Definition","NarrativeContent_120","12.1","cf5fe78c-596a-4196-b0e3-1f55013c620d","<div></div>","NarrativeContent","SECTION 12.1"
"Further Details and Clarifications on the SAE Definition","NarrativeContent_121","12.2","200b33de-6b51-4fad-b61a-6e2eb61127db","<div></div>","NarrativeContent","SECTION 12.2"
"Severity","NarrativeContent_122","12.3","3b0baeaf-6369-49a7-af48-74de843539c0","<div></div>","NarrativeContent","SECTION 12.3"
"Causality","NarrativeContent_123","12.4","404065b1-8bf8-4ece-818e-e7b90e94e863","<div></div>","NarrativeContent","SECTION 12.4"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","NarrativeContent_124","13","f83bcb09-35cb-45a0-921b-766d8147eba4","<div></div>","NarrativeContent","SECTION 13"
"Contraception and Pregnancy Testing","NarrativeContent_125","13.1","c4ac3f08-7f28-4d44-9016-9d7b373dc3c9","<div></div>","NarrativeContent","SECTION 13.1"
"Definitions Related to Childbearing Potential","NarrativeContent_126","13.1.1","fa684525-cefc-4e20-ba51-1313a64a8c96","<div></div>","NarrativeContent","SECTION 13.1.1"
"Contraception","NarrativeContent_127","13.1.2","08c83426-2f0b-4cdf-a1fd-db58b2d30f0a","<div></div>","NarrativeContent","SECTION 13.1.2"
"Pregnancy Testing","NarrativeContent_128","13.1.3","abf8cbd5-94ad-4fd1-a055-026b3d521960","<div></div>","NarrativeContent","SECTION 13.1.3"
"Clinical Laboratory Tests","NarrativeContent_129","13.2","a736f433-2c44-470c-8378-a0aabd9baa8e","<div></div>","NarrativeContent","SECTION 13.2"
"Country/Region-Specific Differences","NarrativeContent_130","13.3","5b072bc9-ce9d-40a7-a805-3529c7bd58b7","<div></div>","NarrativeContent","SECTION 13.3"
"Prior Protocol Amendments","NarrativeContent_131","13.4","43d9da1b-ed6f-49fe-aed7-f712efbdd839","<div></div>","NarrativeContent","SECTION 13.4"
"APPENDIX: GLOSSARY OF TERMS","NarrativeContent_132","14","b7703e76-47d5-4307-ad3c-905991595e5b","<div></div>","NarrativeContent","SECTION 14"
"APPENDIX: REFERENCES","NarrativeContent_133","15","bfb977c0-8c96-4160-b170-a8b6d97bd801","<div></div>","NarrativeContent","SECTION 15"
