"id","name","uuid:ID","label","instanceType","synonyms","reference"
"BiomedicalConcept_1","Adverse Event Prespecified","db3b0231-eabd-48e8-9c89-aec19124a2ea","Adverse Event Prespecified","BiomedicalConcept","['Adverse Event', 'Solicited Adverse Event']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
"BiomedicalConcept_2","Systolic Blood Pressure","14c14d2e-d621-4e44-acd7-588d94422543","Systolic Blood Pressure","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"BiomedicalConcept_3","Diastolic Blood Pressure","36fc21ae-6ee6-4cb0-b25f-2d2506783a7c","Diastolic Blood Pressure","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"BiomedicalConcept_4","Temperature","dc88811e-cdbd-45b2-81d0-06b84fc34ddd","Temperature","BiomedicalConcept","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"BiomedicalConcept_5","Weight","759b3124-aee9-453a-b2f2-90a75d276a2a","Weight","BiomedicalConcept","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"BiomedicalConcept_6","Height","c2e28fe2-0305-4037-8e11-740ba11d2b5a","Height","BiomedicalConcept","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","a3db8f11-aea7-413d-b04e-51bcbb5619a7","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"BiomedicalConcept_8","Albumin Presence in Urine","b7d5033a-f718-4034-9389-72191a743b57","Albumin Presence in Urine","BiomedicalConcept","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","751f3faa-19ea-47ac-b121-f556708d8070","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","00f063c4-e655-4398-a095-22ae37805f79","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"BiomedicalConcept_11","Creatinine Concentration in Urine","f191a2de-603e-4aef-9318-f2756f88ccb1","Creatinine Concentration in Urine","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"BiomedicalConcept_12","Potassium Concentration in Urine","5cc3bab3-d376-415b-9597-b1f13f3d735b","Potassium Concentration in Urine","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"BiomedicalConcept_13","Sodium Concentration in Urine","c2374208-d4a2-4ce3-ad05-58f4d4558495","Sodium Concentration in Urine","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"BiomedicalConcept_14","Systolic Blood Pressure","7053e7f6-c3a2-4a9b-ba69-fea5b2590758","Systolic Blood Pressure","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"BiomedicalConcept_15","Diastolic Blood Pressure","cc55b448-eb0e-4803-9ef2-a64bce66de0f","Diastolic Blood Pressure","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"BiomedicalConcept_16","Heart Rate","909148b6-de30-4afe-9940-26ae5179a997","Heart Rate","BiomedicalConcept","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
"BiomedicalConcept_17","Systolic Blood Pressure","9047f0a7-1a7a-4b3b-8342-6d898ac8d62c","Systolic Blood Pressure","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"BiomedicalConcept_18","Diastolic Blood Pressure","d6109259-356a-4e99-bdc0-ee8f1f466fae","Diastolic Blood Pressure","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"BiomedicalConcept_19","Heart Rate","9bf854ce-2cc1-43d3-8239-acd15d89bdd3","Heart Rate","BiomedicalConcept","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
