"uuid:ID","label","name","text","instanceType","id","description"
"198c8c50-913e-43eb-a62a-83e348f3a33f","","COND17","Samples for serum chemistry will be obtained following a fast of at least 8 hours at the Screening Visit and at check-in. In case of rechecks, and postdose serum chemistry, participants may not have fasted for 6 or 8 hours before the serum chemistry sample is taken.","Condition","Condition_17",""
"762a2446-6ba2-45ca-8326-b8f175667f34","","COND18","Laboratory assessment including chemistry, hematology, and coagulation parameters should be performed on Days -8, -1, 8, 23, and 28 only.","Condition","Condition_18",""
"1f8055fb-e94a-4544-aaca-5eb4aa4284bb","","COND19","Menstruation check is for women only; women of childbearing potential should only be enrolled after a negative serum pregnancy test result at Screening. Additional urine pregnancy testing will be standard for the protocol unless serum testing is required by site policies, local regulation, or Institutional Review Boards (IRBs)/Independent Ethics Committees ( IECs) (Section 10.2). In addition to pregnancy tests detailed at the visits in the SoA, females of childbearing potential will be required to perform urine pregnancy tests at least every 4 weeks at their home or the study site throughout their time in the study.","Condition","Condition_19",""
"90aada29-9df2-45c1-b4c5-0a45243e479a","","COND20","A single 15 mL serum sample will be retained for evaluation in the event of an unexpected safety finding; retained samples may be destroyed after completion of the clinical study report.","Condition","Condition_20",""
"46f6f475-d629-488f-be36-4eb2dbede0a2","","COND21","Vital signs measurements and ECGs should be performed predose, unless otherwise specified. Vitals signs include body temperature, heart rate, respiratory rate, and systolic and diastolic blood pressure.","Condition","Condition_21",""
"2f89722d-5ce0-4feb-915e-4fabde8908ea","","COND22","Copper- and molybdenum-controlled diet will be initiated after registration/inclusion. Participants will remain on a copper/molybdenum controlled diet throughout both the inpatient Period 1 (Day -8 to Day 9) and inpatient Period 2 (Day 23 to Day 40); during this time participants will be strongly encouraged to complete all meals. While not in the CRU, participants will be encouraged to adhere to their usual copper-controlled diet.","Condition","Condition_22",""
"324cc006-21ff-45cc-9502-cf8d347a4b9b","","COND23","For each input/output balance period, 24-hour urine samples are to be collected for measurement of copper and molybdenum.","Condition","Condition_23",""
"8dfbf740-19ad-45d7-a46c-2b032b421878","","COND24","For fecal samples, each individual sample will be independently collected with record of date, time, and weight of the sample.","Condition","Condition_24",""
"461cea1d-df56-485d-b68d-755aba653316","","COND25","Time points are relative to dosing (0 hours).","Condition","Condition_25",""
"920e07a0-b9de-4ea6-a00c-f9bfb9c02409","","COND26","Hour 24 PK/PD sampling is to occur just prior to the next-day dose of ALXN1840.","Condition","Condition_26",""
