"codeSystem","uuid:ID","code","decode","instanceType","id","codeSystemVersion"
"http://www.cdisc.org","16cd4628-54bf-4fa5-a0e9-41d48fb0ff8d","C175574","In Person","Code","Code_195","2023-12-15"
"http://www.cdisc.org","4ca56f43-f46a-4d17-9aad-7588921b695f","C171537","Telephone Call","Code","Code_196","2023-12-15"
"http://www.cdisc.org","2e6be139-fe1a-41c1-8c54-3b447db250a6","C25716","Visit","Code","Code_197","2023-12-15"
"http://www.cdisc.org","b6649686-cef5-43c0-8896-9007ed095877","C51282","Clinic","Code","Code_198","2023-12-15"
"http://www.cdisc.org","afc56ccd-a401-485d-823e-946e8c41d399","C175574","In Person","Code","Code_199","2023-12-15"
"http://www.cdisc.org","9f5f01e5-2d9b-42e4-a630-4a22d3aa8c91","C171537","Telephone Call","Code","Code_200","2023-12-15"
"http://www.cdisc.org","dcc1274b-a406-48a9-b99c-38f02d18b00d","C25716","Visit","Code","Code_201","2023-12-15"
"http://www.cdisc.org","d8f7bc3b-52bb-4f2f-982a-b861347be848","C51282","Clinic","Code","Code_202","2023-12-15"
"http://www.cdisc.org","aeb646e2-3611-4a4e-b42e-079f942dfe29","C175574","In Person","Code","Code_203","2023-12-15"
"http://www.cdisc.org","898907a5-b221-4214-8484-0a7235d8ec78","C171537","Telephone Call","Code","Code_204","2023-12-15"
"http://www.cdisc.org","653a4f4d-6d6e-45ad-92ae-3c5e24f25de8","C25716","Visit","Code","Code_205","2023-12-15"
"http://www.cdisc.org","e0af6ac2-cd8d-4258-9659-9e1232273db3","C51282","Clinic","Code","Code_206","2023-12-15"
"http://www.cdisc.org","d341db44-85e2-4b75-911c-ae6bfc92444e","C175574","In Person","Code","Code_207","2023-12-15"
"http://www.cdisc.org","28d314db-2562-427c-b80e-32cc6203f243","C171537","Telephone Call","Code","Code_208","2023-12-15"
"http://www.cdisc.org","b95b5bde-eea1-455c-b3cb-ab0674b3d0dc","C25716","Visit","Code","Code_209","2023-12-15"
"http://www.cdisc.org","d26444e0-f7c6-4eb9-96ad-a7e0d95b04c3","C51282","Clinic","Code","Code_210","2023-12-15"
"http://www.cdisc.org","4ab8d45c-a5f0-4776-9e47-eee7c1db7c06","C175574","In Person","Code","Code_211","2023-12-15"
"http://www.cdisc.org","a0b761eb-0f4c-4046-8e15-9e1cc2ebdef5","C25716","Visit","Code","Code_212","2023-12-15"
"http://www.cdisc.org","a1455e8c-5ee8-485e-9ee1-d1d10f6353fa","C51282","Clinic","Code","Code_213","2023-12-15"
"http://www.cdisc.org","d5a55a9b-07b7-4a46-97a1-050fb1652cfe","C175574","In Person","Code","Code_214","2023-12-15"
"http://www.cdisc.org","852c2ec4-95f5-4565-8dac-4860f7982092","C25716","Visit","Code","Code_215","2023-12-15"
"http://www.cdisc.org","183b2011-cde5-45d3-a9e1-c6d20f408124","C51282","Clinic","Code","Code_216","2023-12-15"
"http://www.cdisc.org","926a722b-3597-4623-a71f-08177f46a71f","C175574","In Person","Code","Code_217","2023-12-15"
"http://www.cdisc.org","38e01f44-9330-43e5-9b2a-c42d5d547d4c","C25716","Visit","Code","Code_218","2023-12-15"
"http://www.cdisc.org","16d9a844-652e-4dff-8fa2-67502ee3dae8","C51282","Clinic","Code","Code_219","2023-12-15"
"http://www.cdisc.org","c7666067-f16e-4df0-8b07-24d626f9ab07","C175574","In Person","Code","Code_220","2023-12-15"
"http://www.cdisc.org","4cfebe05-9d18-4e58-857b-496ed2413325","C25716","Visit","Code","Code_221","2023-12-15"
"http://www.cdisc.org","f5ac84f9-db39-4b3a-8138-469b1611ff43","C51282","Clinic","Code","Code_222","2023-12-15"
"http://www.cdisc.org","586e3456-8576-4434-aa0a-4321e161dd3c","C175574","In Person","Code","Code_223","2023-12-15"
"http://www.cdisc.org","5bf83157-b925-4b03-b9fc-8c7cbb7be1ca","C25716","Visit","Code","Code_224","2023-12-15"
"http://www.cdisc.org","b8ff35c1-7e4b-49c6-a1f4-245fbc885847","C51282","Clinic","Code","Code_225","2023-12-15"
"http://www.cdisc.org","50dfa030-8871-497e-90a0-b4d270cae9ff","C175574","In Person","Code","Code_226","2023-12-15"
"http://www.cdisc.org","42beb0a0-034e-42bc-b8da-c84f53f21277","C25716","Visit","Code","Code_227","2023-12-15"
"http://www.cdisc.org","1c51c666-f225-43ea-8e73-b761949ec4f5","C51282","Clinic","Code","Code_228","2023-12-15"
"http://www.cdisc.org","5bac6b1a-faad-466c-99bc-f867e203ef2b","C175574","In Person","Code","Code_229","2023-12-15"
"http://www.cdisc.org","5987742d-c934-44a0-b8c2-a241b4d11a42","C25716","Visit","Code","Code_230","2023-12-15"
"http://www.cdisc.org","8618b3cb-939d-4c60-9eaa-55064cc83c53","C51282","Clinic","Code","Code_231","2023-12-15"
"http://www.cdisc.org","5bfbc127-b4ca-4d3f-8fd3-5ce3dd547ce1","C175574","In Person","Code","Code_232","2023-12-15"
"http://www.cdisc.org","0819888f-0d42-4a5e-92e7-abaf9437fd10","C25716","Visit","Code","Code_233","2023-12-15"
"http://www.cdisc.org","d5940435-7cf2-4c82-9d39-d176501f7a43","C51282","Clinic","Code","Code_234","2023-12-15"
"http://www.cdisc.org","d1f39efe-d72f-4cb0-9aec-54406e7b398c","C175574","In Person","Code","Code_235","2023-12-15"
"http://www.cdisc.org","155d8352-1397-4732-9660-a3fefc8b579a","C25716","Visit","Code","Code_236","2023-12-15"
"http://www.cdisc.org","b7cda204-adff-4274-9ab6-342529bc809d","C51282","Clinic","Code","Code_237","2023-12-15"
"http://www.cdisc.org","0ad6dfd6-49a8-4a8b-aceb-e2f8f770fda5","C175574","In Person","Code","Code_238","2023-12-15"
"http://www.cdisc.org","e1ab02ae-886a-4315-9976-2284d3520d84","C25716","Visit","Code","Code_239","2023-12-15"
"http://www.cdisc.org","8976fdbb-db80-40d8-84da-23ecf7c5f1e8","C51282","Clinic","Code","Code_240","2023-12-15"
"http://www.cdisc.org","ea0d06aa-3348-4b3c-bc62-0ac3d1fd875c","C175574","In Person","Code","Code_241","2023-12-15"
"http://www.cdisc.org","83181d2d-7083-4321-848f-0b99b2a84c65","C25716","Visit","Code","Code_242","2023-12-15"
"http://www.cdisc.org","f53939b7-196f-4dae-9312-9b2140a9d1a2","C51282","Clinic","Code","Code_243","2023-12-15"
"http://www.cdisc.org","76703f58-2ea6-46f9-9398-df4fad7863a3","C175574","In Person","Code","Code_244","2023-12-15"
"http://www.cdisc.org","a0d96289-b2a7-4d4e-b16b-3a4b100119d6","C25716","Visit","Code","Code_245","2023-12-15"
"http://www.cdisc.org","c2e2e2b8-499a-4e7e-b949-72aaf8b3fbc5","C51282","Clinic","Code","Code_246","2023-12-15"
"http://www.cdisc.org","0d1f2192-9876-4eec-ab5e-aa6d007ce22b","C175574","In Person","Code","Code_247","2023-12-15"
"http://www.cdisc.org","16d348c7-626b-4185-8946-0babdf9bd9a3","C25716","Visit","Code","Code_248","2023-12-15"
"http://www.cdisc.org","cf186157-7e68-4ed4-ad0e-06dba9ae5f6e","C51282","Clinic","Code","Code_249","2023-12-15"
"http://www.cdisc.org","e82b31d1-5120-4b3b-b170-c8e633a4c04d","C175574","In Person","Code","Code_250","2023-12-15"
"http://www.cdisc.org","5fc5661d-21d8-4d02-821f-8c07ca113a55","C25716","Visit","Code","Code_251","2023-12-15"
"http://www.cdisc.org","bb9d7f49-8124-4a8a-8427-3d7249f6b218","C51282","Clinic","Code","Code_252","2023-12-15"
"http://www.cdisc.org","4fc7f20c-f299-4919-9513-1be3e81dc655","C175574","In Person","Code","Code_253","2023-12-15"
"http://www.cdisc.org","0c64c7af-e4c6-4d85-9b85-8958c7943d00","C25716","Visit","Code","Code_254","2023-12-15"
"http://www.cdisc.org","0da4c0df-65ea-4c8c-a76c-ae8f9224ec9b","C51282","Clinic","Code","Code_255","2023-12-15"
"http://www.cdisc.org","7ed20d8e-6ee7-4969-bc31-308815f9fb3b","C175574","In Person","Code","Code_256","2023-12-15"
"http://www.cdisc.org","b7d81706-f5ff-4ae5-ac86-ed2dccb0bd8a","C25716","Visit","Code","Code_257","2023-12-15"
"http://www.cdisc.org","468c2b0b-ce8f-41b4-ad6a-7106fe072837","C51282","Clinic","Code","Code_258","2023-12-15"
"http://www.cdisc.org","48204e35-f5b3-4809-a7de-130459d8dc19","C175574","In Person","Code","Code_259","2023-12-15"
"http://www.cdisc.org","54dc6121-7df3-4cbd-85f1-f1bd7a599129","C25716","Visit","Code","Code_260","2023-12-15"
"http://www.cdisc.org","e54bcb80-07be-4fa0-8300-cfddca67ad44","C51282","Clinic","Code","Code_261","2023-12-15"
"http://www.cdisc.org","f924f3e9-6644-446a-9ee4-b44f2122f082","C175574","In Person","Code","Code_262","2023-12-15"
"http://www.cdisc.org","b4629209-65a4-4ed4-a2b9-e02252fd94fd","C25716","Visit","Code","Code_263","2023-12-15"
"http://www.cdisc.org","c6dc4051-f07f-42c3-8890-7704b2d43724","C51282","Clinic","Code","Code_264","2023-12-15"
"http://www.cdisc.org","9483ddb8-f318-428a-9fcf-00992f734b83","C175574","In Person","Code","Code_265","2023-12-15"
"http://www.cdisc.org","25742e40-dfec-4f1a-b9ed-51ae67ccc800","C25716","Visit","Code","Code_266","2023-12-15"
"http://www.cdisc.org","0ae3284f-4714-41a3-8a4e-9fb850b3139b","C51282","Clinic","Code","Code_267","2023-12-15"
"http://www.cdisc.org","195f54fb-cbc3-48ed-83f1-d40879a79bf7","C175574","In Person","Code","Code_268","2023-12-15"
"http://www.cdisc.org","0efae74d-c37f-4e98-8239-d73358fa85d7","C25716","Visit","Code","Code_269","2023-12-15"
"http://www.cdisc.org","fea140c2-c1b7-4142-aed1-b30e8f7cb99d","C51282","Clinic","Code","Code_270","2023-12-15"
"http://www.cdisc.org","31ee62ac-e15e-4bf5-9813-2c7dffff4698","C175574","In Person","Code","Code_271","2023-12-15"
"http://www.cdisc.org","fba588a9-c239-448f-9bd8-928e54a2935a","C25716","Visit","Code","Code_272","2023-12-15"
"http://www.cdisc.org","b37ffc0d-0474-476a-894c-ea7483bc87bb","C51282","Clinic","Code","Code_273","2023-12-15"
"http://www.cdisc.org","921f6131-6758-4b0a-bd3b-cf203f3b01a4","C175574","In Person","Code","Code_274","2023-12-15"
"http://www.cdisc.org","f60015fb-5e7c-43aa-8bed-bd494b3f4fbe","C25716","Visit","Code","Code_275","2023-12-15"
"http://www.cdisc.org","cb052c9d-7458-4a47-8271-0c8bc5aa73fb","C51282","Clinic","Code","Code_276","2023-12-15"
"http://www.cdisc.org","0fe3e972-5146-4574-95ef-759a5ec98a8e","C175574","In Person","Code","Code_277","2023-12-15"
"http://www.cdisc.org","61918254-4507-4925-abf3-b459d7604cb7","C25716","Visit","Code","Code_278","2023-12-15"
"http://www.cdisc.org","0430af06-9315-443b-92c5-293b69e03ae3","C51282","Clinic","Code","Code_279","2023-12-15"
"http://www.cdisc.org","e60a8126-4988-40d8-928c-d3120af6ff83","C175574","In Person","Code","Code_280","2023-12-15"
"http://www.cdisc.org","8497c2a5-5d34-418f-bcaf-0437a4f68ca1","C25716","Visit","Code","Code_281","2023-12-15"
"http://www.cdisc.org","7be002c5-c36f-4802-bc5a-94f31e95c9f9","C51282","Clinic","Code","Code_282","2023-12-15"
"http://www.cdisc.org","cf618efc-9079-4f56-9414-786ef9c7d7cd","C175574","In Person","Code","Code_283","2023-12-15"
"http://www.cdisc.org","5a4ac17e-8316-4787-9552-4d48d05dea18","C25716","Visit","Code","Code_284","2023-12-15"
"http://www.cdisc.org","759481be-7df5-4aa0-b2c5-a59adfc9a965","C51282","Clinic","Code","Code_285","2023-12-15"
"http://www.cdisc.org","68066d19-74bf-44d9-a8ec-7dd767ed79b5","C175574","In Person","Code","Code_286","2023-12-15"
"http://www.cdisc.org","6af98e1e-6d28-443a-9fd3-9fb4feb8437e","C25716","Visit","Code","Code_287","2023-12-15"
"http://www.cdisc.org","cee3c243-4dc8-434c-bc5c-79825220743c","C51282","Clinic","Code","Code_288","2023-12-15"
"http://www.cdisc.org","ce1fdd07-746b-49b7-886f-afc28841cbcf","C175574","In Person","Code","Code_289","2023-12-15"
"http://www.cdisc.org","8e932d11-1aae-4df8-9ec6-0a8260dde2a3","C25716","Visit","Code","Code_290","2023-12-15"
"http://www.cdisc.org","05ba7726-7025-4ae5-a08a-d007b8feca41","C51282","Clinic","Code","Code_291","2023-12-15"
"http://www.cdisc.org","1e015b5a-7548-46bc-921b-ed857be738f5","C175574","In Person","Code","Code_292","2023-12-15"
"http://www.cdisc.org","097156aa-f34a-4a37-a21a-0a93feac8bd5","C25716","Visit","Code","Code_293","2023-12-15"
"http://www.cdisc.org","c7ec4909-db72-464f-9ba4-0316f1a68f29","C51282","Clinic","Code","Code_294","2023-12-15"
"http://www.cdisc.org","2759cffb-aab1-41d9-ad61-4b26c92a9ef6","C175574","In Person","Code","Code_295","2023-12-15"
"http://www.cdisc.org","78ac158f-b31c-40f6-bc3b-c6738c7c5989","C25716","Visit","Code","Code_296","2023-12-15"
"http://www.cdisc.org","f6744f76-19b1-4a39-a191-31f89a68be0b","C51282","Clinic","Code","Code_297","2023-12-15"
"http://www.cdisc.org","150cecd0-4a11-4408-b37a-d0926539899e","C175574","In Person","Code","Code_298","2023-12-15"
"http://www.cdisc.org","4726df36-77c3-4fe7-8c2b-54e76fd796ed","C25716","Visit","Code","Code_299","2023-12-15"
"http://www.cdisc.org","4a87006e-8610-40f6-92b3-6d75df232988","C51282","Clinic","Code","Code_300","2023-12-15"
"http://www.cdisc.org","d5920fc5-55dd-47bf-85f6-3042b1f0ce3a","C175574","In Person","Code","Code_301","2023-12-15"
"http://www.cdisc.org","08a08535-056e-48f1-8644-e0f363e1d8e5","C25716","Visit","Code","Code_302","2023-12-15"
"http://www.cdisc.org","3ab5fab6-84a2-4834-844a-d7e9a45ee9ee","C51282","Clinic","Code","Code_303","2023-12-15"
"http://www.cdisc.org","2aa51dfd-3c3f-4d75-b6e5-59f03e904e88","C175574","In Person","Code","Code_304","2023-12-15"
"http://www.cdisc.org","4b456f77-cedf-4d3c-853c-6efed2255d4c","C25716","Visit","Code","Code_305","2023-12-15"
"http://www.cdisc.org","3d46f855-c758-4210-a8a6-03af39230da7","C51282","Clinic","Code","Code_306","2023-12-15"
"http://www.cdisc.org","f8e28469-5795-40ce-8a80-266e6818e18c","C175574","In Person","Code","Code_307","2023-12-15"
"http://www.cdisc.org","bd0ff206-e4ea-4898-aa0d-fd9159f709d3","C25716","Visit","Code","Code_308","2023-12-15"
"http://www.cdisc.org","9fdc7f83-f7ad-4873-a0f2-6f82427ba152","C51282","Clinic","Code","Code_309","2023-12-15"
"http://www.cdisc.org","1b95a482-bf91-4c04-80a3-8e10adb3fa94","C175574","In Person","Code","Code_310","2023-12-15"
"http://www.cdisc.org","c4cb8460-ab8d-44f8-9d72-65af3ed16c11","C25716","Visit","Code","Code_311","2023-12-15"
"http://www.cdisc.org","8f0b3e9b-9f38-4476-8aef-4f4536c5a43f","C51282","Clinic","Code","Code_312","2023-12-15"
"http://www.cdisc.org","d67084ce-3d33-4d14-979d-b0e7a0bdb01b","C175574","In Person","Code","Code_313","2023-12-15"
"http://www.cdisc.org","3f350499-c7f0-41af-b44a-ec49b5a955b5","C25716","Visit","Code","Code_314","2023-12-15"
"http://www.cdisc.org","17807090-5d18-43e2-abbe-c6fbc16481f2","C51282","Clinic","Code","Code_315","2023-12-15"
"http://www.cdisc.org","00819c93-bb9d-43bd-ad8b-4cb29ca416c1","C175574","In Person","Code","Code_316","2023-12-15"
"http://www.cdisc.org","16545842-043b-482a-82f8-1639edc86e41","C25716","Visit","Code","Code_317","2023-12-15"
"http://www.cdisc.org","014b433a-5809-4085-b094-50b63d338be2","C51282","Clinic","Code","Code_318","2023-12-15"
"http://www.cdisc.org","56712cc6-fa05-462e-afba-d6496b2b019b","C175574","In Person","Code","Code_319","2023-12-15"
"http://www.cdisc.org","87e21be5-2be8-4c87-b5fd-fbe4da56ab41","C25716","Visit","Code","Code_320","2023-12-15"
"http://www.cdisc.org","fe174037-c51c-4615-84cc-512c6f197d1d","C51282","Clinic","Code","Code_321","2023-12-15"
"http://www.cdisc.org","62a3b3d5-946d-45bf-8659-969645743b16","C175574","In Person","Code","Code_322","2023-12-15"
"http://www.cdisc.org","b3625dfc-1b47-435e-94ce-6c2ecc277852","C25716","Visit","Code","Code_323","2023-12-15"
"http://www.cdisc.org","1373aed1-047b-4a04-ad1b-99d70226d088","C51282","Clinic","Code","Code_324","2023-12-15"
"http://www.cdisc.org","36ae0e40-d97c-4e88-8124-f26628f8dc3b","C175574","In Person","Code","Code_325","2023-12-15"
"http://www.cdisc.org","80f0dfe8-e37c-45de-9bfd-1f6513b2c55f","C25716","Visit","Code","Code_326","2023-12-15"
"http://www.cdisc.org","c5b1c251-ec61-4f2d-b328-b37678353bae","C51282","Clinic","Code","Code_327","2023-12-15"
"http://www.cdisc.org","4cb70963-b21f-4a52-b95b-1162cf95dabb","C175574","In Person","Code","Code_328","2023-12-15"
"SPONSOR","7f296ad5-9029-4fff-8a6d-a23fcdd0d5bc","124","Vitals procedure","Code","Code_174","12"
"http://www.cdisc.org","900977d7-2a40-4f84-a73b-9ae8050b2918","C170981","Numeric Age for Data Tabulation","Code","Code_390","2023-12-15"
"http://www.cdisc.org","88daa948-611e-4664-ad83-fdda0b4df340","C50400","Age Unit","Code","Code_391","2023-12-15"
"http://www.cdisc.org","ba808ec0-1306-4d3e-8c2b-fa6bb6ac1bf9","C69260","Subject Age","Code","Code_392","2023-12-15"
"http://www.cdisc.org","62a05fd6-96a9-4872-8351-3046a8846700","C20197","Male","Code","Code_393","2023-12-15"
"http://www.cdisc.org","ce6b5f44-66af-4de7-aff6-51fb32cc4efd","C16576","Female","Code","Code_394","2023-12-15"
"http://www.cdisc.org","99ade358-fe66-4c5e-9ab9-8e2cbcee81df","C28421","Sex","Code","Code_395","2023-12-15"
"http://www.cdisc.org","f07426bb-bf9a-4f18-8c6c-dbc05c6d482c","C28421","Sex","Code","Code_396","2023-12-15"
"http://www.cdisc.org","8a3fda58-2395-4ecf-b5d5-e0dc0613fc51","C17049","Race","Code","Code_397","2023-12-15"
"http://www.cdisc.org","f0fdb91d-02b1-4843-b3bf-57bda837a8f9","C17049","Race","Code","Code_398","2023-12-15"
"http://www.cdisc.org","86de9d47-4cae-40c9-8be6-875be019f4fc","C25208","WEIGHT","Code","Code_399","2023-12-15"
"http://www.cdisc.org","90dfdec2-f626-4d40-8b2d-ebedc62296a7","C77140","Clinical Test Result","Code","Code_400","2023-12-15"
"http://www.cdisc.org","7f4bab3c-eacd-44ab-8ba1-1f51b9b2bff1","C48531","Pound","Code","Code_401","2023-12-15"
"http://www.cdisc.org","cbc735ee-7d16-4c10-8dbd-44c4fc340326","C48155","Gram","Code","Code_402","2023-12-15"
"http://www.cdisc.org","6756a51d-e463-45b8-be3f-add30abdd155","C28252","Kilogram","Code","Code_403","2023-12-15"
"http://www.cdisc.org","48aa525e-12e5-4639-9797-077c635d0335","C48208","Unit of Weight","Code","Code_404","2023-12-15"
"http://www.cdisc.org","e41717db-21a2-41d6-a655-93dcd1d08d7c","C25208","WEIGHT","Code","Code_405","2023-12-15"
"http://www.cdisc.org","91711a5b-23f5-474f-8ad0-3c636324f7e9","C25347","HEIGHT","Code","Code_406","2023-12-15"
"http://www.cdisc.org","0e2dc1e7-341d-4936-8d81-828ab30d3056","C77140","Clinical Test Result","Code","Code_407","2023-12-15"
"http://www.cdisc.org","1f4bfa3b-f996-455f-9a28-45b3fa4f5626","C49668","Centimeter","Code","Code_408","2023-12-15"
"http://www.cdisc.org","2b55de52-6d2c-4556-9ab1-b659450c1a6c","C48500","Inch","Code","Code_409","2023-12-15"
"http://www.cdisc.org","e36c8c5f-8177-412c-91bd-7a85937c06d9","C41139","Meter","Code","Code_410","2023-12-15"
"http://www.cdisc.org","b4169159-c9d8-4628-a2ac-31c0eca313e9","C168688","Unit of Height","Code","Code_411","2023-12-15"
"http://www.cdisc.org","edca8454-4c53-46da-bae0-21e75bc702c1","C25347","HEIGHT","Code","Code_412","2023-12-15"
"http://www.cdisc.org","86cc48b5-2e04-4747-9519-79b928ad281b","C16358","BMI","Code","Code_413","2023-12-15"
"http://www.cdisc.org","2c5c6718-66bf-46ba-ab91-41b4940758b6","C77140","Clinical Test Result","Code","Code_414","2023-12-15"
"http://www.cdisc.org","56fda556-1e91-416f-99e0-ebf1e481ce7c","C49671","Kilogram per Square Meter","Code","Code_415","2023-12-15"
"http://www.cdisc.org","18b91435-0a33-4f65-96b4-d8b4c4e5833a","C67334","Pound per Square Inch","Code","Code_416","2023-12-15"
"http://www.cdisc.org","1993cd2c-31c7-4ce1-8a49-1764c10ebe3d","C42575","Unit of Mass Density","Code","Code_417","2023-12-15"
"http://www.cdisc.org","27293488-2698-4143-9500-c2fd15de2168","C16358","BMI","Code","Code_418","2023-12-15"
"http://www.cdisc.org","ef500d6c-6bfe-43d4-b889-889d054b94ec","C174446","TEMP","Code","Code_419","2023-12-15"
"http://www.cdisc.org","913f2999-f326-41f1-b025-d707454351c1","C77140","Clinical Test Result","Code","Code_420","2023-12-15"
