"id","uuid:ID","instanceType","sectionTitle","sectionNumber","name","text"
"NarrativeContent_21","c081f23d-803e-415f-a856-d9ab3c5824e4","NarrativeContent","TRIAL POPULATION","5","SECTION 5","<div></div>"
"NarrativeContent_22","17b2fe4b-2584-4597-8721-402ce6d6d0b0","NarrativeContent","Selection of Trial Population","5.1","SECTION 5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>"
"NarrativeContent_23","958a02df-df68-4f44-9b5f-7fbef288b1e6","NarrativeContent","Rationale for Trial Population","5.2","SECTION 5.2","<div></div>"
"NarrativeContent_24","46b77bd1-2967-4eae-9285-18f46c7d82a7","NarrativeContent","Inclusion Criteria","5.3","SECTION 5.3","<div><usdm:section name=""M11-inclusion""></div>"
"NarrativeContent_25","815aa8ec-deee-456b-ab6e-23a97d5442d5","NarrativeContent","Exclusion Criteria","5.4","SECTION 5.4","<div><usdm:section name=""M11-exclusion""></div>"
"NarrativeContent_26","fced0bbd-cc67-46ea-b8f9-ed786d293eae","NarrativeContent","Lifestyle Considerations","5.5","SECTION 5.5","<div></div>"
"NarrativeContent_27","5c574106-1db3-41bd-8340-793793083b04","NarrativeContent","Meals and Dietary Restrictions","5.5.1","SECTION 5.5.1","<div></div>"
"NarrativeContent_28","fb880b83-2947-4479-ac70-6279207aef26","NarrativeContent","Caffeine, Alcohol, Tobacco, and Other Habits","5.5.2","SECTION 5.5.2","<div><p>Not applicable</p></div>"
"NarrativeContent_29","7eb8b681-daf7-4772-a4a4-8833541cf1af","NarrativeContent","Physical Activity","5.5.3","SECTION 5.5.3","<div></div>"
"NarrativeContent_30","409a5c68-9aa0-4158-9b50-7d804c331fa4","NarrativeContent","Other Activity","5.5.4","SECTION 5.5.4","<div></div>"
"NarrativeContent_31","a5bd731e-c6d6-4e7d-a046-64420005a176","NarrativeContent","Screen Failures","5.6","SECTION 5.6","<div></div>"
"NarrativeContent_32","3a179cb7-df08-489e-b9f3-63da2a2464b1","NarrativeContent","TRIAL INTERVENTION AND CONCOMITANT THERAPY","6","SECTION 6","<div></div>"
"NarrativeContent_33","da8eb909-f8c5-439d-9566-6414ba8c3b6e","NarrativeContent","Description of Trial Intervention","6.1","SECTION 6.1","<div></div>"
"NarrativeContent_34","248040b3-a8df-4748-852b-3a19088c7350","NarrativeContent","Rationale for Trial Intervention","6.2","SECTION 6.2","<div></div>"
"NarrativeContent_35","cfb6d903-eeda-4e8f-9857-da7ea38c426a","NarrativeContent","Dosing and Administration","6.3","SECTION 6.3","<div></div>"
"NarrativeContent_36","8d0a774e-f2c4-4883-bd04-dac614a1f87b","NarrativeContent","Trial Intervention Dose Modification","6.3.1","SECTION 6.3.1","<div></div>"
"NarrativeContent_37","e001b636-e069-414f-9f70-28fe2640739a","NarrativeContent","Treatment of Overdose","6.4","SECTION 6.4","<div></div>"
"NarrativeContent_38","820a5863-cfbf-40c8-81e6-894143b1915f","NarrativeContent","Preparation, Handling, Storage and Accountability","6.5","SECTION 6.5","<div></div>"
"NarrativeContent_39","626e98c6-bd25-497d-abce-691e45d46214","NarrativeContent","Preparation of Trial Intervention","6.5.1","SECTION 6.5.1","<div></div>"
"NarrativeContent_40","f347fd9d-6630-4d93-94a4-94c7c8fdf47d","NarrativeContent","Handling and Storage of Trial Intervention","6.5.2","SECTION 6.5.2","<div></div>"
"NarrativeContent_41","b1b473d2-0903-4ab5-b51c-e1326edb50c5","NarrativeContent","Accountability of Trial Intervention","6.5.3","SECTION 6.5.3","<div></div>"
"NarrativeContent_42","91640a56-a26f-415b-a006-8317b15bbc89","NarrativeContent","Participant Assignment, Randomisation and Blinding","6.6","SECTION 6.6","<div></div>"
"NarrativeContent_43","42fd029a-2b88-4584-8af4-ca7da3623f54","NarrativeContent","Participant Assignment","6.6.1","SECTION 6.6.1","<div></div>"
"NarrativeContent_44","31b0c566-4a45-4902-8fda-c2cabfabfead","NarrativeContent","Randomisation","6.6.2","SECTION 6.6.2","<div></div>"
"NarrativeContent_45","b8c3ac6e-1b78-415d-b04f-44812e3cbc22","NarrativeContent","Blinding and Unblinding","6.6.3","SECTION 6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>"
"NarrativeContent_46","39a6cb1d-aa57-4cde-9d58-cb97191c5ffb","NarrativeContent","Trial Intervention Compliance","6.7","SECTION 6.7","<div></div>"
"NarrativeContent_47","b9ba1ee1-d2e6-4e27-8498-ef9f14e25630","NarrativeContent","Concomitant Therapy","6.8","SECTION 6.8","<div></div>"
"NarrativeContent_48","073226b6-23ee-42a3-8287-87568333aacc","NarrativeContent","Prohibited Concomitant Therapy","6.8.1","SECTION 6.8.1","<div></div>"
"NarrativeContent_49","e74d98e4-de0f-46ba-bdcf-ca8a41f506fa","NarrativeContent","Permitted Concomitant Therapy","6.8.2","SECTION 6.8.2","<div></div>"
"NarrativeContent_50","8bf7fc4b-71ae-48b0-92a8-6540639e9c68","NarrativeContent","Rescue Therapy","6.8.3","SECTION 6.8.3","<div></div>"
"NarrativeContent_51","f9496edd-3283-40aa-80f9-d05af85592fa","NarrativeContent","Other Therapy","6.8.4","SECTION 6.8.4","<div></div>"
"NarrativeContent_52","e0312fb9-2b4d-48cd-873b-62402e8c6359","NarrativeContent","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","7","SECTION 7","<div></div>"
"NarrativeContent_53","3e0e1686-af52-405f-a942-ed88c36fbb82","NarrativeContent","Discontinuation of Trial Intervention","7.1","SECTION 7.1","<div></div>"
"NarrativeContent_54","7c43df12-2a00-40b1-9c8e-fa90351a6204","NarrativeContent","Criteria for Permanent Discontinuation of Trial Intervention","7.1.1","SECTION 7.1.1","<div></div>"
"NarrativeContent_55","155b08e1-1081-4770-a3ce-b0b6f2e9db43","NarrativeContent","Temporary Discontinuation or Interruption of Trial Intervention","7.1.2","SECTION 7.1.2","<div></div>"
"NarrativeContent_56","3176ffe2-6b81-4ebd-ade0-6a7c34f5a306","NarrativeContent","Rechallenge","7.1.3","SECTION 7.1.3","<div></div>"
"NarrativeContent_57","2f28dc44-b425-49db-9da5-137bc27fd5b3","NarrativeContent","Participant Withdrawal from the Trial","7.2","SECTION 7.2","<div></div>"
"NarrativeContent_58","48067646-a05e-4b5a-a8b8-14678d9b5016","NarrativeContent","Lost to Follow-Up","7.3","SECTION 7.3","<div></div>"
"NarrativeContent_59","c7d50dd4-8ae3-48dc-ab62-d70a6a541a2e","NarrativeContent","Trial Stopping Rules","7.4","SECTION 7.4","<div></div>"
"NarrativeContent_60","699aca7d-abbc-4409-a0cf-cc4d96416168","NarrativeContent","TRIAL ASSESSMENTS AND PROCEDURES","8","SECTION 8","<div></div>"
"NarrativeContent_61","83710adc-c99c-4bfd-a168-f96689a28642","NarrativeContent","Screening/Baseline Assessments and Procedures","8.1","SECTION 8.1","<div></div>"
"NarrativeContent_62","44f56b76-afcc-456c-896b-843b65ff7bed","NarrativeContent","Efficacy Assessments and Procedures","8.2","SECTION 8.2","<div></div>"
"NarrativeContent_63","e35ef977-5763-4612-b115-bff4f78d3292","NarrativeContent","Safety Assessments and Procedures","8.3","SECTION 8.3","<div></div>"
"NarrativeContent_64","6c9c3416-5953-4ad4-99d8-01e66a203c0c","NarrativeContent","Physical Examination","8.3.1","SECTION 8.3.1","<div></div>"
"NarrativeContent_65","60264da7-f2ce-484b-bb79-0bb98462be01","NarrativeContent","Vital Signs","8.3.2","SECTION 8.3.2","<div></div>"
"NarrativeContent_66","5e7436c6-bfe0-4f46-aaa1-89e82a1edaa1","NarrativeContent","Electrocardiograms","8.3.3","SECTION 8.3.3","<div></div>"
"NarrativeContent_67","473c363a-27bd-4160-b780-e8fba38dce9f","NarrativeContent","Clinical Laboratory Assessments","8.3.4","SECTION 8.3.4","<div></div>"
"NarrativeContent_68","0fc09ec3-fda1-4303-a147-c1dafd92e607","NarrativeContent","Suicidal Ideation and Behaviour Risk Monitoring","8.3.5","SECTION 8.3.5","<div></div>"
"NarrativeContent_69","76e33f2a-4270-4e74-a0e1-7cd0f2a8dbc5","NarrativeContent","Adverse Events and Serious Adverse Events","8.4","SECTION 8.4","<div></div>"
"NarrativeContent_70","c310ea1e-aec5-4875-b2cd-40800e51278a","NarrativeContent","Definitions of AE and SAE","8.4.1","SECTION 8.4.1","<div></div>"
"NarrativeContent_71","80027614-c3d5-46f6-a91e-64576465c003","NarrativeContent","Time Period and Frequency for Collecting AE and SAE Information","8.4.2","SECTION 8.4.2","<div></div>"
"NarrativeContent_72","fc3d91f2-b2dc-4530-b8ff-0a173346554f","NarrativeContent","Identifying AEs and SAEs","8.4.3","SECTION 8.4.3","<div></div>"
"NarrativeContent_73","d53773f6-0001-42f8-a5de-d834a885d49f","NarrativeContent","Recording of AEs and SAEs","8.4.4","SECTION 8.4.4","<div></div>"
"NarrativeContent_74","e345e8e3-b59d-477e-86e0-88df1e91d76f","NarrativeContent","Follow-up of AEs and SAEs","8.4.5","SECTION 8.4.5","<div></div>"
"NarrativeContent_75","907f868e-d84c-4e66-9adb-b2884d5b5ba3","NarrativeContent","Reporting of SAEs","8.4.6","SECTION 8.4.6","<div></div>"
"NarrativeContent_76","ac29fa4b-397b-4d26-8a26-3df8ea8f9e7a","NarrativeContent","Regulatory Reporting Requirements for SAEs","8.4.7","SECTION 8.4.7","<div></div>"
"NarrativeContent_77","f99e9b80-c6d5-40d2-ac8f-b13522c41861","NarrativeContent","Serious and Unexpected Adverse Reaction Reporting","8.4.8","SECTION 8.4.8","<div></div>"
"NarrativeContent_78","73db96c5-e5e7-4710-b033-f30eefcf1ee5","NarrativeContent","Adverse Events of Special Interest","8.4.9","SECTION 8.4.9","<div></div>"
"NarrativeContent_79","da8c9488-a8a7-4dda-b98d-3768ed136264","NarrativeContent","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","8.4.10","SECTION 8.4.10","<div></div>"
"NarrativeContent_80","65f5dbf0-82b2-44a3-9b1d-f3cf1dfc6eb9","NarrativeContent","Pregnancy and Postpartum Information","8.5","SECTION 8.5","<div></div>"
"NarrativeContent_81","d5be3bb3-82da-4986-97db-5e05f8b48a6c","NarrativeContent","Participants Who Become Pregnant During the Trial","8.5.1","SECTION 8.5.1","<div></div>"
"NarrativeContent_82","2f81c6a0-7a0b-4bb5-baef-783ff8a36a1b","NarrativeContent","Participants Whose Partners Become Pregnant","8.5.2","SECTION 8.5.2","<div></div>"
"NarrativeContent_83","487ecda5-6f10-4b73-b9ec-bfb4e86fa57b","NarrativeContent","Medical Device Product Complaints for Drug/Device Combination Products","8.6","SECTION 8.6","<div></div>"
"NarrativeContent_84","ff774dd9-5128-4c5d-bf3c-a1ae661e4983","NarrativeContent","Definition of Medical Device Product Complaints","8.6.1","SECTION 8.6.1","<div></div>"
"NarrativeContent_85","9aa05901-ccf0-443b-b8ae-2ca0a4094c72","NarrativeContent","Recording of Medical Device Product Complaints","8.6.2","SECTION 8.6.2","<div></div>"
"NarrativeContent_86","4289f299-d19d-4b87-8058-3be33f7d833e","NarrativeContent","Time Period and Frequency for Collecting Medical Device Product Complaints .","8.6.3","SECTION 8.6.3","<div></div>"
"NarrativeContent_87","90f40db8-6254-4e48-8dd5-b791ee4a8bb3","NarrativeContent","Follow-Up of Medical Device Product Complaints","8.6.4","SECTION 8.6.4","<div></div>"
"NarrativeContent_88","1061fade-262c-48ff-8758-20224ebc3fbd","NarrativeContent","Regulatory Reporting Requirements for Medical Device Product Complaints","8.6.5","SECTION 8.6.5","<div></div>"
"NarrativeContent_89","0e644eb0-65d2-4d55-a2ab-349cbf2015b6","NarrativeContent","Pharmacokinetics","8.7","SECTION 8.7","<div></div>"
"NarrativeContent_90","54c44e6e-3d26-46d6-942c-5edc95f504d5","NarrativeContent","Genetics","8.8","SECTION 8.8","<div></div>"
"NarrativeContent_91","569bb7c0-ef97-47db-8040-b5f8bc5684ce","NarrativeContent","Biomarkers","8.9","SECTION 8.9","<div></div>"
"NarrativeContent_92","931bf724-8822-479e-b738-007f2ea37c73","NarrativeContent","Immunogenicity Assessments","8.1","SECTION 8.1","<div></div>"
"NarrativeContent_93","1244d2ad-914d-451c-901f-e6fcafcfb1b4","NarrativeContent","Medical Resource Utilisation and Health Economics","8.1.1","SECTION 8.1.1","<div></div>"
"NarrativeContent_94","45126184-70b5-438c-8d7b-0a2887435ff2","NarrativeContent","STATISTICAL CONSIDERATIONS","9","SECTION 9","<div></div>"
"NarrativeContent_95","d6965dd6-78bf-4bf0-a0b4-4856c581e264","NarrativeContent","Analysis Sets","9.1","SECTION 9.1","<div></div>"
"NarrativeContent_96","9383f205-d573-4acd-acf5-61b18526e13d","NarrativeContent","Analyses Supporting Primary Objective(s)","9.2","SECTION 9.2","<div></div>"
"NarrativeContent_97","97e5bc08-ed7c-4074-9e84-be4871572481","NarrativeContent","Statistical Model, Hypothesis, and Method of Analysis","9.2.1","SECTION 9.2.1","<div></div>"
"NarrativeContent_98","c7e0592f-145f-4b65-9881-8487ea0848f5","NarrativeContent","Handling of Intercurrent Events of Primary Estimand(s)","9.2.2","SECTION 9.2.2","<div></div>"
"NarrativeContent_99","2487fa1d-17fc-4e77-bfd3-156556165afa","NarrativeContent","Handling of Missing Data","9.2.3","SECTION 9.2.3","<div></div>"
"NarrativeContent_100","6baab0fb-59fa-4e73-8424-147ca4beb33b","NarrativeContent","Sensitivity Analysis","9.2.4","SECTION 9.2.4","<div></div>"
"NarrativeContent_101","ffe0776c-8048-415f-9946-5da45152d1c5","NarrativeContent","Supplementary Analysis","9.2.5","SECTION 9.2.5","<div></div>"
"NarrativeContent_102","b85bdcce-4739-4c71-867f-49c644d50932","NarrativeContent","Analysis Supporting Secondary Objective(s)","9.3","SECTION 9.3","<div></div>"
"NarrativeContent_103","e4d6f262-b009-4029-a4c8-73517eaeb08a","NarrativeContent","Analysis of Exploratory Objective(s)","9.4","SECTION 9.4","<div></div>"
"NarrativeContent_104","fa68ca3e-164a-4f38-968b-9855009bc2c9","NarrativeContent","Safety Analyses","9.5","SECTION 9.5","<div></div>"
"NarrativeContent_105","50487e68-3d65-48ed-8644-7727e1d21cea","NarrativeContent","Other Analyses","9.6","SECTION 9.6","<div></div>"
"NarrativeContent_106","9683618c-6ea6-45b5-b7cb-607d851174db","NarrativeContent","Interim Analyses","9.7","SECTION 9.7","<div></div>"
"NarrativeContent_107","3e8aafa4-727e-4d09-a091-668f1fa148f1","NarrativeContent","Sample Size Determination","9.8","SECTION 9.8","<div></div>"
"NarrativeContent_108","b9e09b1e-4ca4-4565-ad47-3f2ec1b9abf7","NarrativeContent","Protocol Deviations","9.9","SECTION 9.9","<div></div>"
"NarrativeContent_109","48a629c4-a04a-4b8a-9635-fcec635dac98","NarrativeContent","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","10","SECTION 10","<div></div>"
"NarrativeContent_110","474c538b-f312-41c3-b591-b5427fa49e25","NarrativeContent","Regulatory and Ethical Considerations","10.1","SECTION 10.1","<div></div>"
"NarrativeContent_111","155d7d04-1da9-4370-b445-88d963e370b9","NarrativeContent","Committees","10.2","SECTION 10.2","<div></div>"
"NarrativeContent_112","1b7ed2c7-4556-4c54-9926-3b820a6a16e7","NarrativeContent","Informed Consent Process","10.3","SECTION 10.3","<div></div>"
"NarrativeContent_113","544a7cc4-7453-49a5-9ce0-47b94a7ce865","NarrativeContent","Data Protection","10.4","SECTION 10.4","<div></div>"
"NarrativeContent_114","d7bc68ee-976a-470a-9e06-7452c09a50a4","NarrativeContent","Early Site Closure or Trial Termination","10.5","SECTION 10.5","<div></div>"
"NarrativeContent_115","06c4d245-1f93-4d9b-bff2-1a1ef52079ac","NarrativeContent","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","11","SECTION 11","<div></div>"
"NarrativeContent_116","53d93976-8510-43f1-940a-ee676bee7e4e","NarrativeContent","Quality Tolerance Limits","11.1","SECTION 11.1","<div></div>"
"NarrativeContent_117","0291643a-f1eb-4773-9e8a-4da0bb155f08","NarrativeContent","Data Quality Assurance","11.2","SECTION 11.2","<div></div>"
"NarrativeContent_118","6675f3ea-c7e8-4cf1-8301-edc6ee9f0c04","NarrativeContent","Source Data","11.3","SECTION 11.3","<div></div>"
"NarrativeContent_119","842275c3-fa5c-4dd9-9948-e25f52741c9f","NarrativeContent","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","12","SECTION 12","<div></div>"
"NarrativeContent_120","b89c4a15-e9a5-4b55-b854-96b113e80e10","NarrativeContent","Further Details and Clarifications on the AE Definition","12.1","SECTION 12.1","<div></div>"
"NarrativeContent_121","5e098b2a-468a-41f6-956a-c00078d8c8e5","NarrativeContent","Further Details and Clarifications on the SAE Definition","12.2","SECTION 12.2","<div></div>"
"NarrativeContent_122","94808f17-a7a1-4a52-ba0a-e27a304a3d6b","NarrativeContent","Severity","12.3","SECTION 12.3","<div></div>"
"NarrativeContent_123","497f0fba-ba65-4f98-b2ca-5b488d5ac765","NarrativeContent","Causality","12.4","SECTION 12.4","<div></div>"
"NarrativeContent_124","2f774279-8037-4e0f-9627-5e4d8404a1b9","NarrativeContent","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","13","SECTION 13","<div></div>"
"NarrativeContent_125","9ef3aaab-df29-44eb-afe6-561adefef9e5","NarrativeContent","Contraception and Pregnancy Testing","13.1","SECTION 13.1","<div></div>"
"NarrativeContent_126","2a2494c3-a6ce-4c0e-85e1-2a9a13f640d5","NarrativeContent","Definitions Related to Childbearing Potential","13.1.1","SECTION 13.1.1","<div></div>"
"NarrativeContent_127","fe6fba90-5dc8-458b-8dea-e3acce217186","NarrativeContent","Contraception","13.1.2","SECTION 13.1.2","<div></div>"
"NarrativeContent_128","9d58a00b-3fe5-49b8-b5a7-4687818f51e5","NarrativeContent","Pregnancy Testing","13.1.3","SECTION 13.1.3","<div></div>"
"NarrativeContent_129","9fdf53a2-f751-4f6c-a33f-0872580170dc","NarrativeContent","Clinical Laboratory Tests","13.2","SECTION 13.2","<div></div>"
"NarrativeContent_130","5f8dc413-c78e-4ad9-baff-592b786018ec","NarrativeContent","Country/Region-Specific Differences","13.3","SECTION 13.3","<div></div>"
"NarrativeContent_131","f2daa4f5-6b5f-4030-ab96-f89bf6117cbb","NarrativeContent","Prior Protocol Amendments","13.4","SECTION 13.4","<div></div>"
"NarrativeContent_132","aeba51a4-b60b-4163-9d27-3026ae4405e9","NarrativeContent","APPENDIX: GLOSSARY OF TERMS","14","SECTION 14","<div></div>"
"NarrativeContent_133","fedf206c-4697-4e4c-bd10-114b5026516e","NarrativeContent","APPENDIX: REFERENCES","15","SECTION 15","<div></div>"
