"name","text","id","uuid:ID","sectionTitle","sectionNumber","instanceType"
"SECTION 6.3.1","<div></div>","NarrativeContent_36","75fe39b4-9391-489f-87f4-9c94b342b840","Trial Intervention Dose Modification","6.3.1","NarrativeContent"
"SECTION 6.4","<div></div>","NarrativeContent_37","9e5a2907-14e4-41f9-917a-1386028ae18d","Treatment of Overdose","6.4","NarrativeContent"
"SECTION 6.5","<div></div>","NarrativeContent_38","0d27f3c0-63d7-4b99-909a-0f990762c598","Preparation, Handling, Storage and Accountability","6.5","NarrativeContent"
"SECTION 6.5.1","<div></div>","NarrativeContent_39","b3892527-1a00-4811-8f23-616c51fc6ca1","Preparation of Trial Intervention","6.5.1","NarrativeContent"
"SECTION 6.5.2","<div></div>","NarrativeContent_40","bdab3ae9-988f-465b-8492-2c70420b691a","Handling and Storage of Trial Intervention","6.5.2","NarrativeContent"
"SECTION 6.5.3","<div></div>","NarrativeContent_41","eedfe0b4-83c8-46d9-a8a6-63afa6fadc98","Accountability of Trial Intervention","6.5.3","NarrativeContent"
"SECTION 6.6","<div></div>","NarrativeContent_42","1893de86-f9de-423d-8509-1e5e9c95e1e3","Participant Assignment, Randomisation and Blinding","6.6","NarrativeContent"
"SECTION 6.6.1","<div></div>","NarrativeContent_43","2823eb75-7c54-4908-9846-e6f7f222c07a","Participant Assignment","6.6.1","NarrativeContent"
"SECTION 6.6.2","<div></div>","NarrativeContent_44","385ff3be-2568-412c-bf3e-c5f419c16674","Randomisation","6.6.2","NarrativeContent"
"SECTION 6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","NarrativeContent_45","a18f0ab8-bb5a-4123-b39b-eda34f5f0efd","Blinding and Unblinding","6.6.3","NarrativeContent"
"SECTION 6.7","<div></div>","NarrativeContent_46","37703a40-b856-47dd-a71d-bd7ad7fd7256","Trial Intervention Compliance","6.7","NarrativeContent"
"SECTION 6.8","<div></div>","NarrativeContent_47","ffd22002-0ade-4148-8f56-2425d6138a1f","Concomitant Therapy","6.8","NarrativeContent"
"SECTION 6.8.1","<div></div>","NarrativeContent_48","7d9f176b-a15d-4f12-89fe-4111f1711b00","Prohibited Concomitant Therapy","6.8.1","NarrativeContent"
"SECTION 6.8.2","<div></div>","NarrativeContent_49","f4560bdc-9f01-4e7d-8a9d-2f7162b8019b","Permitted Concomitant Therapy","6.8.2","NarrativeContent"
"SECTION 6.8.3","<div></div>","NarrativeContent_50","310db9d5-0ed1-4003-834f-e2bd0bb77807","Rescue Therapy","6.8.3","NarrativeContent"
"SECTION 6.8.4","<div></div>","NarrativeContent_51","505c605b-736e-43bb-bc71-e0ee2d4e6c3b","Other Therapy","6.8.4","NarrativeContent"
"SECTION 7","<div></div>","NarrativeContent_52","c335cf19-3265-43ff-bc67-266438869e5c","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","7","NarrativeContent"
"SECTION 7.1","<div></div>","NarrativeContent_53","66aa0e52-8e8c-44ad-a546-299271d40508","Discontinuation of Trial Intervention","7.1","NarrativeContent"
"SECTION 7.1.1","<div></div>","NarrativeContent_54","2deb3650-8fc3-4e50-b968-e3a5862ffb45","Criteria for Permanent Discontinuation of Trial Intervention","7.1.1","NarrativeContent"
"SECTION 7.1.2","<div></div>","NarrativeContent_55","1500c64d-e73e-4db8-b0c5-b52830899c8b","Temporary Discontinuation or Interruption of Trial Intervention","7.1.2","NarrativeContent"
"SECTION 7.1.3","<div></div>","NarrativeContent_56","087fc0cd-d1b3-40d1-bbb5-11f62a28c59c","Rechallenge","7.1.3","NarrativeContent"
"SECTION 7.2","<div></div>","NarrativeContent_57","7731d0ba-186c-4e93-b1ab-151c1a7c0ccf","Participant Withdrawal from the Trial","7.2","NarrativeContent"
"SECTION 7.3","<div></div>","NarrativeContent_58","7033c97d-012b-4eb0-9ef6-4528e27b3dde","Lost to Follow-Up","7.3","NarrativeContent"
"SECTION 7.4","<div></div>","NarrativeContent_59","cadb7794-c3b7-42fd-b36f-df044a0c8c7e","Trial Stopping Rules","7.4","NarrativeContent"
"SECTION 8","<div></div>","NarrativeContent_60","4c0d96bc-224d-4c2d-a69c-3e96fbe0db00","TRIAL ASSESSMENTS AND PROCEDURES","8","NarrativeContent"
"SECTION 8.1","<div></div>","NarrativeContent_61","a064cec0-e875-4c18-a36f-5ffae189f5ef","Screening/Baseline Assessments and Procedures","8.1","NarrativeContent"
"SECTION 8.2","<div></div>","NarrativeContent_62","b2486604-66ac-4c3c-a0c4-a7ad1aa267cf","Efficacy Assessments and Procedures","8.2","NarrativeContent"
"SECTION 8.3","<div></div>","NarrativeContent_63","9c6313a3-b000-4b56-a40a-0a8b94e0adb4","Safety Assessments and Procedures","8.3","NarrativeContent"
"SECTION 8.3.1","<div></div>","NarrativeContent_64","6d53cd29-fb03-4fbc-9879-2cbe1263d325","Physical Examination","8.3.1","NarrativeContent"
"SECTION 8.3.2","<div></div>","NarrativeContent_65","4704f984-e511-44b0-85ef-108a2bb4d138","Vital Signs","8.3.2","NarrativeContent"
"SECTION 8.3.3","<div></div>","NarrativeContent_66","c2c1fa62-b4fa-4223-a9eb-f504d48571e5","Electrocardiograms","8.3.3","NarrativeContent"
"SECTION 8.3.4","<div></div>","NarrativeContent_67","ceaa10d5-55eb-45eb-beb3-a0575ea2b79f","Clinical Laboratory Assessments","8.3.4","NarrativeContent"
"SECTION 8.3.5","<div></div>","NarrativeContent_68","a95a085e-2912-4153-b73b-b0467d726ef2","Suicidal Ideation and Behaviour Risk Monitoring","8.3.5","NarrativeContent"
"SECTION 8.4","<div></div>","NarrativeContent_69","c5eca359-6330-46ac-80eb-dee7256ce763","Adverse Events and Serious Adverse Events","8.4","NarrativeContent"
"SECTION 8.4.1","<div></div>","NarrativeContent_70","4401b4cb-e23b-435c-a8b1-af137a8a1ac4","Definitions of AE and SAE","8.4.1","NarrativeContent"
"SECTION 8.4.2","<div></div>","NarrativeContent_71","f8b584c3-1ec7-4061-9b05-eeedcf453b9d","Time Period and Frequency for Collecting AE and SAE Information","8.4.2","NarrativeContent"
"SECTION 8.4.3","<div></div>","NarrativeContent_72","16ceceb7-b5c9-4c7d-b7bd-1027b495aadf","Identifying AEs and SAEs","8.4.3","NarrativeContent"
"SECTION 8.4.4","<div></div>","NarrativeContent_73","7b777aed-7df9-4319-ae87-74ba14bbca2e","Recording of AEs and SAEs","8.4.4","NarrativeContent"
"SECTION 8.4.5","<div></div>","NarrativeContent_74","a853e8bf-13a1-40d5-ad24-82fe6b6bc72a","Follow-up of AEs and SAEs","8.4.5","NarrativeContent"
"SECTION 8.4.6","<div></div>","NarrativeContent_75","b9378811-d8fd-4c70-9742-8cc6584698a0","Reporting of SAEs","8.4.6","NarrativeContent"
"SECTION 8.4.7","<div></div>","NarrativeContent_76","ea7c2281-07ea-44a1-9714-69b7830d93f1","Regulatory Reporting Requirements for SAEs","8.4.7","NarrativeContent"
"SECTION 8.4.8","<div></div>","NarrativeContent_77","b45b7bc3-f7cc-4b15-86ff-22d949c1c15c","Serious and Unexpected Adverse Reaction Reporting","8.4.8","NarrativeContent"
"SECTION 8.4.9","<div></div>","NarrativeContent_78","bb890bb3-6ed2-4e6b-ab74-358b3a0aa110","Adverse Events of Special Interest","8.4.9","NarrativeContent"
"SECTION 8.4.10","<div></div>","NarrativeContent_79","c81fa8ed-72a8-46d9-9dd5-7866e210cad1","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","8.4.10","NarrativeContent"
"SECTION 8.5","<div></div>","NarrativeContent_80","89b7a75b-78ca-447e-b220-4888c88d6adb","Pregnancy and Postpartum Information","8.5","NarrativeContent"
"SECTION 8.5.1","<div></div>","NarrativeContent_81","66f80931-9334-4b26-b694-07932658491a","Participants Who Become Pregnant During the Trial","8.5.1","NarrativeContent"
"SECTION 8.5.2","<div></div>","NarrativeContent_82","cd9c5ace-5895-46a3-9b39-fe36cc27b611","Participants Whose Partners Become Pregnant","8.5.2","NarrativeContent"
"SECTION 8.6","<div></div>","NarrativeContent_83","bc1024f1-f7d8-45db-ba0d-d1eced96e124","Medical Device Product Complaints for Drug/Device Combination Products","8.6","NarrativeContent"
"SECTION 8.6.1","<div></div>","NarrativeContent_84","aefa9039-464a-4523-9be3-a25f043f53be","Definition of Medical Device Product Complaints","8.6.1","NarrativeContent"
"SECTION 8.6.2","<div></div>","NarrativeContent_85","fd8775f1-1d5f-4a26-9d6f-32c63bc84b24","Recording of Medical Device Product Complaints","8.6.2","NarrativeContent"
"SECTION 8.6.3","<div></div>","NarrativeContent_86","df3169ec-9edf-40fb-b51c-d207e3404b60","Time Period and Frequency for Collecting Medical Device Product Complaints .","8.6.3","NarrativeContent"
"SECTION 8.6.4","<div></div>","NarrativeContent_87","aeebfe3d-fd80-4342-8253-3cbb37b7350e","Follow-Up of Medical Device Product Complaints","8.6.4","NarrativeContent"
"SECTION 8.6.5","<div></div>","NarrativeContent_88","b57ccabf-8067-4350-b287-21351c00b400","Regulatory Reporting Requirements for Medical Device Product Complaints","8.6.5","NarrativeContent"
"SECTION 8.7","<div></div>","NarrativeContent_89","57c0fc03-b3d3-4c89-be80-15a7de736a3c","Pharmacokinetics","8.7","NarrativeContent"
"SECTION 8.8","<div></div>","NarrativeContent_90","39c3204e-6561-4107-89ab-9af676d6edd4","Genetics","8.8","NarrativeContent"
"SECTION 8.9","<div></div>","NarrativeContent_91","29e14289-505b-47b6-a776-cfb7296352d6","Biomarkers","8.9","NarrativeContent"
"SECTION 8.1","<div></div>","NarrativeContent_92","447e672e-54bf-4a81-bc3a-8c6d59230ab5","Immunogenicity Assessments","8.1","NarrativeContent"
"SECTION 8.1.1","<div></div>","NarrativeContent_93","9340467a-4668-4ca4-a9a6-aa75fd7196fe","Medical Resource Utilisation and Health Economics","8.1.1","NarrativeContent"
"SECTION 9","<div></div>","NarrativeContent_94","3b5af55d-5cb6-4ff3-b5c2-8476973b00a2","STATISTICAL CONSIDERATIONS","9","NarrativeContent"
"SECTION 9.1","<div></div>","NarrativeContent_95","f0b40cd1-1717-4cd5-bb52-8f2e2a1d80d8","Analysis Sets","9.1","NarrativeContent"
"SECTION 9.2","<div></div>","NarrativeContent_96","b02e9726-2f57-4d40-97a3-8da53f33a4a1","Analyses Supporting Primary Objective(s)","9.2","NarrativeContent"
"SECTION 9.2.1","<div></div>","NarrativeContent_97","42bd1adf-dd4b-4b60-8898-b55e9a48cc7a","Statistical Model, Hypothesis, and Method of Analysis","9.2.1","NarrativeContent"
"SECTION 9.2.2","<div></div>","NarrativeContent_98","135d3669-c4ae-480b-aa70-f9b26d4a0db7","Handling of Intercurrent Events of Primary Estimand(s)","9.2.2","NarrativeContent"
"SECTION 9.2.3","<div></div>","NarrativeContent_99","6851ad1e-3adc-4e0d-acdf-c4a088b30156","Handling of Missing Data","9.2.3","NarrativeContent"
"SECTION 9.2.4","<div></div>","NarrativeContent_100","69496a0f-4f37-45d4-98ad-57a535f6b26f","Sensitivity Analysis","9.2.4","NarrativeContent"
"SECTION 9.2.5","<div></div>","NarrativeContent_101","ce2d6376-dffe-434c-8b5a-299e71ee42bf","Supplementary Analysis","9.2.5","NarrativeContent"
"SECTION 9.3","<div></div>","NarrativeContent_102","35885634-2186-4f5b-bc86-adfdf135caa1","Analysis Supporting Secondary Objective(s)","9.3","NarrativeContent"
"SECTION 9.4","<div></div>","NarrativeContent_103","99cc6d79-b217-4cfe-ac47-87775177f6a9","Analysis of Exploratory Objective(s)","9.4","NarrativeContent"
"SECTION 9.5","<div></div>","NarrativeContent_104","6091f594-383d-4155-8ece-77e920760cd8","Safety Analyses","9.5","NarrativeContent"
"SECTION 9.6","<div></div>","NarrativeContent_105","17e8237d-0429-4033-b827-5d7fba29c6a4","Other Analyses","9.6","NarrativeContent"
"SECTION 9.7","<div></div>","NarrativeContent_106","b4748a2a-ac88-4f11-ae4d-28ab75cef95e","Interim Analyses","9.7","NarrativeContent"
"SECTION 9.8","<div></div>","NarrativeContent_107","4dab26a8-b415-4622-a696-028202401872","Sample Size Determination","9.8","NarrativeContent"
"SECTION 9.9","<div></div>","NarrativeContent_108","d9c29c77-f47f-4483-8021-895e9172e4e4","Protocol Deviations","9.9","NarrativeContent"
"SECTION 10","<div></div>","NarrativeContent_109","2191e4b9-b79b-44f8-8e03-68a1d2f4f276","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","10","NarrativeContent"
"SECTION 10.1","<div></div>","NarrativeContent_110","51101d8e-bb25-479a-ae7a-56d0da91005b","Regulatory and Ethical Considerations","10.1","NarrativeContent"
"SECTION 10.2","<div></div>","NarrativeContent_111","92d97b67-ea36-4c26-b963-d4a19b2f3efb","Committees","10.2","NarrativeContent"
"SECTION 10.3","<div></div>","NarrativeContent_112","b2369e97-907e-430f-94e4-be5d34182c97","Informed Consent Process","10.3","NarrativeContent"
"SECTION 10.4","<div></div>","NarrativeContent_113","2422c1df-fcce-424e-9bb0-2184f40909da","Data Protection","10.4","NarrativeContent"
"SECTION 10.5","<div></div>","NarrativeContent_114","0d054eb1-d0fb-483d-8e77-070621fc14e7","Early Site Closure or Trial Termination","10.5","NarrativeContent"
"SECTION 11","<div></div>","NarrativeContent_115","34f31a27-330d-4abf-9643-63e396768176","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","11","NarrativeContent"
"SECTION 11.1","<div></div>","NarrativeContent_116","2be06bba-1df3-43aa-86f0-f15bb135cf29","Quality Tolerance Limits","11.1","NarrativeContent"
"SECTION 11.2","<div></div>","NarrativeContent_117","d59c8b43-1d04-410c-90f4-5e5f6d9596dd","Data Quality Assurance","11.2","NarrativeContent"
"SECTION 11.3","<div></div>","NarrativeContent_118","e4f0fdd1-3869-437b-a05e-6fd01eb4f1e4","Source Data","11.3","NarrativeContent"
"SECTION 12","<div></div>","NarrativeContent_119","0fc12ffa-3d94-47e4-9462-b9bf2d54d775","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","12","NarrativeContent"
"SECTION 12.1","<div></div>","NarrativeContent_120","e0fe4a95-95d7-40d9-a5c3-5e52c4775ebb","Further Details and Clarifications on the AE Definition","12.1","NarrativeContent"
"SECTION 12.2","<div></div>","NarrativeContent_121","28228810-3295-457d-8f91-42f18763cece","Further Details and Clarifications on the SAE Definition","12.2","NarrativeContent"
"SECTION 12.3","<div></div>","NarrativeContent_122","0407ae4a-3b02-489b-8e08-f1415b440931","Severity","12.3","NarrativeContent"
"SECTION 12.4","<div></div>","NarrativeContent_123","dea8ff13-b2d1-4f4f-ae69-2f212f7f6ddf","Causality","12.4","NarrativeContent"
"SECTION 13","<div></div>","NarrativeContent_124","0cb61052-a0ad-4aea-a91b-835c15dcb448","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","13","NarrativeContent"
"SECTION 13.1","<div></div>","NarrativeContent_125","bdc9ded0-0acc-4245-9819-aad647cfa342","Contraception and Pregnancy Testing","13.1","NarrativeContent"
"SECTION 13.1.1","<div></div>","NarrativeContent_126","33294eeb-f7fe-4c13-92b4-d855678013c8","Definitions Related to Childbearing Potential","13.1.1","NarrativeContent"
"SECTION 13.1.2","<div></div>","NarrativeContent_127","4ccd6e82-94a9-4633-b25c-a9bcbf8d922c","Contraception","13.1.2","NarrativeContent"
"SECTION 13.1.3","<div></div>","NarrativeContent_128","522a0380-1483-4d2f-b8c4-8f247dd94b88","Pregnancy Testing","13.1.3","NarrativeContent"
"SECTION 13.2","<div></div>","NarrativeContent_129","abc53b01-7836-40cf-9594-b757c055319c","Clinical Laboratory Tests","13.2","NarrativeContent"
"SECTION 13.3","<div></div>","NarrativeContent_130","4ab4058d-2eb1-4e72-b649-1e64069675f2","Country/Region-Specific Differences","13.3","NarrativeContent"
"SECTION 13.4","<div></div>","NarrativeContent_131","0f0e4157-ce0c-4b84-9945-a5843ed05f7a","Prior Protocol Amendments","13.4","NarrativeContent"
"SECTION 14","<div></div>","NarrativeContent_132","4decb80f-2dca-4115-a817-05ab6aaac1c1","APPENDIX: GLOSSARY OF TERMS","14","NarrativeContent"
"SECTION 15","<div></div>","NarrativeContent_133","f867591e-65ef-436e-bbba-ace359acf091","APPENDIX: REFERENCES","15","NarrativeContent"
