"reference","name","label","id","uuid:ID","instanceType","synonyms"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept_2","1086052b-c242-4168-ae02-84a2411b24ae","BiomedicalConcept","['SYSBP']"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept_3","564602a2-bea0-4ce2-89e6-b39ed36dd468","BiomedicalConcept","['DIABP']"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","Body Temperature","BiomedicalConcept_4","8c159f91-5cfc-44a1-8553-8c8e7bfc0e0d","BiomedicalConcept","['Temperature']"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","Body Weight","BiomedicalConcept_5","c3a31743-ce91-44e1-8c68-6be4c13f80fb","BiomedicalConcept","['Weight']"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","Body Height","BiomedicalConcept_6","8070cb0e-1fa5-4ee5-9b4f-9635e6bfcf42","BiomedicalConcept","['Height']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","BiomedicalConcept_7","15220f92-602f-4c56-a882-67930e3b23b1","BiomedicalConcept","['ALT', 'SGPT']"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","Albumin Measurement","BiomedicalConcept_8","115f8cb8-de21-4bcc-8f8a-bfadf3e17479","BiomedicalConcept","['Albumin']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","BiomedicalConcept_9","3629bc7d-056b-4316-80a1-56c617d19e3c","BiomedicalConcept","['Alkaline Phosphatase']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","165fd863-045e-4ef1-8e98-c55e570cadef","BiomedicalConcept","['AST', 'SGOT']"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","Creatinine Measurement","BiomedicalConcept_11","4235ea0f-f299-46f8-a080-c10ae2f95892","BiomedicalConcept","['Creatinine']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","Potassium Measurement","BiomedicalConcept_12","a0e64117-2176-44a5-97ed-e9333b3e0891","BiomedicalConcept","['Potassium', 'K']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","Sodium Measurement","BiomedicalConcept_13","8043c960-fb0c-4b21-8b46-9b4569662719","BiomedicalConcept","['Sodium', 'NA']"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept_14","01ddff04-f2c2-4cd7-bae3-21a705f6e394","BiomedicalConcept","['SYSBP']"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept_15","feed0329-d4e3-46cd-a2b1-1417604b92d0","BiomedicalConcept","['DIABP']"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","Heart Rate","Heart Rate","BiomedicalConcept_16","34c5ed53-041b-4362-b869-bbb5bd99f869","BiomedicalConcept",""
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept_17","c8417e98-e5a9-4ac7-9dd4-d2c81e0cc777","BiomedicalConcept","['SYSBP']"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept_18","76df7fa7-7a07-4cea-89c6-cad52585d9c0","BiomedicalConcept","['DIABP']"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","Heart Rate","Heart Rate","BiomedicalConcept_19","9796d846-0a68-4c2c-a6ce-9ef421b3e949","BiomedicalConcept",""
