"decode","uuid:ID","codeSystem","instanceType","code","codeSystemVersion","id"
"ALB","f6f63d2a-ea84-40b4-bacd-eee9a41cc2d1","http://www.cdisc.org","Code","C64431","2023-12-15","Code_478"
"Laboratory Test Result","8f427984-c463-4768-b27b-a9aa5ce6f226","http://www.cdisc.org","Code","C36292","2023-12-15","Code_479"
"Biospecimen Type","0beab35e-2740-4e4d-a253-1aa9fd2e819f","http://www.cdisc.org","Code","C70713","2023-12-15","Code_480"
"No","1497840e-c49f-49c4-b78c-030337dab223","http://www.cdisc.org","Code","C49487","2023-12-15","Code_481"
"Yes","f265b24c-e0e4-40c6-b127-36574fd4bdac","http://www.cdisc.org","Code","C49488","2023-12-15","Code_482"
"Laboratory Test Fasting Status","24beaa07-0260-41c2-b192-341f01dee0bf","http://www.cdisc.org","Code","C83309","2023-12-15","Code_483"
"ALB","b5ce4985-88d5-4bb6-9242-d976179a2bda","http://www.cdisc.org","Code","C64431","2023-12-15","Code_484"
"ALP","23d7293b-a751-41e7-845e-7a44b4d136b6","http://www.cdisc.org","Code","C64432","2023-12-15","Code_485"
"Laboratory Test Result","4c9369ec-a84f-48bb-895d-ad9ca788d818","http://www.cdisc.org","Code","C36292","2023-12-15","Code_486"
"Unit per Liter","932e67ec-4e15-45ff-9a3e-8f5f1a2469d8","http://www.cdisc.org","Code","C67456","2023-12-15","Code_487"
"Microkatal per Liter","3ae2d786-01ec-47bd-8920-53b5c785112d","http://www.cdisc.org","Code","C67397","2023-12-15","Code_488"
"International Unit per Liter","8d7d9245-230d-45cb-a49d-da022e2a3158","http://www.cdisc.org","Code","C67376","2023-12-15","Code_489"
"Unit of Catalytic Activity Concentration","5c97790c-678e-4a1f-acb4-24b44735510b","http://www.cdisc.org","Code","C67365","2023-12-15","Code_490"
"Biospecimen Type","ae854e1d-419f-470e-b5ad-98699f3f64ca","http://www.cdisc.org","Code","C70713","2023-12-15","Code_491"
"No","4efdaf0e-fe52-4790-9942-c063da2bd139","http://www.cdisc.org","Code","C49487","2023-12-15","Code_492"
"Yes","899b47de-5865-49d3-95cd-91378528ad29","http://www.cdisc.org","Code","C49488","2023-12-15","Code_493"
"Laboratory Test Fasting Status","06d17b02-cdb0-4e7b-b661-e824d6ccf0f0","http://www.cdisc.org","Code","C83309","2023-12-15","Code_494"
"ALP","32c332f7-3821-4719-be4b-31b2e3a7b750","http://www.cdisc.org","Code","C64432","2023-12-15","Code_495"
"AST","5bb5c89d-5f9b-4859-b47b-b0b16cb7d63d","http://www.cdisc.org","Code","C64467","2023-12-15","Code_496"
"Laboratory Test Result","89c025ab-e19b-417a-b149-859d9584e6fe","http://www.cdisc.org","Code","C36292","2023-12-15","Code_497"
"Unit per Liter","3e1be0a1-1fb4-43d2-80ef-2b42b3101593","http://www.cdisc.org","Code","C67456","2023-12-15","Code_498"
"Microkatal per Liter","1e6d4948-ee01-40b4-ad5d-302dfede34a0","http://www.cdisc.org","Code","C67397","2023-12-15","Code_499"
"International Unit per Liter","00f4cc53-73ab-4abc-bbfd-40a0fd1a159e","http://www.cdisc.org","Code","C67376","2023-12-15","Code_500"
"Unit of Catalytic Activity Concentration","12e30cd3-63a7-4f1c-900d-c494927398b4","http://www.cdisc.org","Code","C67365","2023-12-15","Code_501"
"Biospecimen Type","5039e016-a58e-4f37-bd38-90e9630ee224","http://www.cdisc.org","Code","C70713","2023-12-15","Code_502"
"No","f633e5e3-6b58-43c3-9872-fd7aa201676c","http://www.cdisc.org","Code","C49487","2023-12-15","Code_503"
"Yes","5e21801a-73db-491c-b980-a57225a38a81","http://www.cdisc.org","Code","C49488","2023-12-15","Code_504"
"Laboratory Test Fasting Status","eb9c9e0a-09f0-4e6c-8b19-9e4ee9bd04cf","http://www.cdisc.org","Code","C83309","2023-12-15","Code_505"
"AST","2557d2e5-41f0-4ee9-9585-766c1f8ec5c1","http://www.cdisc.org","Code","C64467","2023-12-15","Code_506"
"CREAT","b2acdb1c-6c0f-4d3a-9f27-4731e8267621","http://www.cdisc.org","Code","C64547","2023-12-15","Code_507"
"Laboratory Test Result","d0f8ba07-1f66-4b06-b90c-620922c40d69","http://www.cdisc.org","Code","C36292","2023-12-15","Code_508"
"Milligram per Deciliter","1790d988-6184-4dbe-982e-3e2282ec183c","http://www.cdisc.org","Code","C67015","2023-12-15","Code_509"
"Microgram per Milliliter","985a73d7-acb7-49ce-84b7-bd5a876e2aff","http://www.cdisc.org","Code","C64572","2023-12-15","Code_510"
"Millimole per Liter","45341354-deb0-4803-b758-894847e73a28","http://www.cdisc.org","Code","C64387","2023-12-15","Code_511"
"Micromole per Liter","0550d804-323e-465b-b6c0-9dba1df3d6b1","http://www.cdisc.org","Code","C48508","2023-12-15","Code_512"
"Unit of Concentration","f1dd5a9d-cc9c-4592-8b27-c6c4e727b938","http://www.cdisc.org","Code","C48207","2023-12-15","Code_513"
"Biospecimen Type","76173d15-cf1f-4e3e-8d15-d81b316be0ee","http://www.cdisc.org","Code","C70713","2023-12-15","Code_514"
"No","480b7a4b-0cc9-42b9-939e-312620c24f3e","http://www.cdisc.org","Code","C49487","2023-12-15","Code_515"
"Yes","9a14e840-3f73-4b46-b215-7e93e7e2cadd","http://www.cdisc.org","Code","C49488","2023-12-15","Code_516"
"Laboratory Test Fasting Status","7bfa80a7-b9f2-41da-8f29-df90a2eaec7d","http://www.cdisc.org","Code","C83309","2023-12-15","Code_517"
"CREAT","dd16efb3-5cf9-41cc-b991-a1f8d4447a1f","http://www.cdisc.org","Code","C64547","2023-12-15","Code_518"
"K","e3fa52f2-3963-4d26-a525-e31121f94423","http://www.cdisc.org","Code","C64853","2023-12-15","Code_519"
"Laboratory Test Result","198d8465-8589-4fa2-9ec4-40d33c79e4c9","http://www.cdisc.org","Code","C36292","2023-12-15","Code_520"
"Milliequivalent per Liter","35d8b6ff-12db-4b1a-8cdd-a44e0502f6c7","http://www.cdisc.org","Code","C67474","2023-12-15","Code_521"
"Milliequivalent per Deciliter","f5b1f980-1a72-4200-ac0f-13316c6e8945","http://www.cdisc.org","Code","C67473","2023-12-15","Code_522"
"Millimole per Liter","78dcd3a5-d918-47b2-960e-e13b1bcc6b8b","http://www.cdisc.org","Code","C64387","2023-12-15","Code_523"
"Molarity Unit","20b72492-b551-413e-b843-5b986fa8bc74","http://www.cdisc.org","Code","C64567","2023-12-15","Code_524"
"Biospecimen Type","9695b884-624e-4e4c-8f16-1cd42fcaa2ff","http://www.cdisc.org","Code","C70713","2023-12-15","Code_525"
"No","436ea256-03bb-4c3d-a9cc-1b32ff5a141f","http://www.cdisc.org","Code","C49487","2023-12-15","Code_526"
"Yes","ed6722ae-c58c-4e29-a3ca-6487894cd2db","http://www.cdisc.org","Code","C49488","2023-12-15","Code_527"
"Laboratory Test Fasting Status","b421c5af-e799-4a7e-9f1d-4bb56d9dcbdf","http://www.cdisc.org","Code","C83309","2023-12-15","Code_528"
"K","dfb2ac8d-db30-49c7-a1c0-a7af95e1259c","http://www.cdisc.org","Code","C64853","2023-12-15","Code_529"
"SODIUM","cc2ad934-8c2d-4512-b879-de84fa83304b","http://www.cdisc.org","Code","C64809","2023-12-15","Code_530"
"Laboratory Test Result","66538f8a-3b66-4470-9750-6e66d458a2ee","http://www.cdisc.org","Code","C36292","2023-12-15","Code_531"
"Milliequivalent per Liter","a40a4e55-a694-452a-bddf-0c19129832ad","http://www.cdisc.org","Code","C67474","2023-12-15","Code_532"
"Milliequivalent per Deciliter","ccd6a51e-8666-47d2-b708-7ecc3a18a2a4","http://www.cdisc.org","Code","C67473","2023-12-15","Code_533"
"Millimole per Liter","7b5a016e-6a6f-4606-9cc0-ca28b2b587d4","http://www.cdisc.org","Code","C64387","2023-12-15","Code_534"
"Molarity Unit","865735f7-1438-4fc7-aea5-5670866c442a","http://www.cdisc.org","Code","C64567","2023-12-15","Code_535"
"Biospecimen Type","9433c9d9-0263-4fe1-9af3-c9af5c41af9b","http://www.cdisc.org","Code","C70713","2023-12-15","Code_536"
"No","514c772c-e5cf-46dd-a275-1e4ca71fd2af","http://www.cdisc.org","Code","C49487","2023-12-15","Code_537"
"Yes","2ddcdbe0-16cd-4ad2-85a8-abea9c1ab12a","http://www.cdisc.org","Code","C49488","2023-12-15","Code_538"
"Laboratory Test Fasting Status","7ca0a9fd-5d9b-449b-9fcd-e7abb6c465be","http://www.cdisc.org","Code","C83309","2023-12-15","Code_539"
"SODIUM","2641fdb4-bff4-47a9-94eb-ce168ce2c7ea","http://www.cdisc.org","Code","C64809","2023-12-15","Code_540"
"HBA1C","6dd04a73-68ef-4222-9823-99945afb3421","http://www.cdisc.org","Code","C64849","2023-12-15","Code_541"
"Laboratory Test Result","89e65423-6c8f-4851-a0f7-3dffdbee4f9c","http://www.cdisc.org","Code","C36292","2023-12-15","Code_542"
"Gram per Deciliter","49525631-9c1d-46eb-9260-543d53445bb5","http://www.cdisc.org","Code","C64783","2023-12-15","Code_543"
"LBORRESU","e06a3292-4dbc-4954-9169-fb16e10aecfe","http://www.cdisc.org","Code","No Concept Code","2023-12-15","Code_544"
"Biospecimen Type","94cffc61-1102-4bfa-a5bb-ed190ae2e5cb","http://www.cdisc.org","Code","C70713","2023-12-15","Code_545"
"No","2a28b4fa-d201-436f-bf66-4bfc331bc056","http://www.cdisc.org","Code","C49487","2023-12-15","Code_546"
"Yes","e2c06acb-8f2a-4e91-98f7-bef1f66976c7","http://www.cdisc.org","Code","C49488","2023-12-15","Code_547"
"Laboratory Test Fasting Status","d03c3584-cba9-4751-a6dc-9c58d53ee85d","http://www.cdisc.org","Code","C83309","2023-12-15","Code_548"
"HBA1C","f6021564-77b5-403f-b9c8-6c29ea6a0d45","http://www.cdisc.org","Code","C64849","2023-12-15","Code_549"
"Adverse Event Verbatim Description","affb037d-a1bf-48df-ae7c-e7ae5ebb2c76","http://www.cdisc.org","Code","C78541","2023-12-15","Code_145"
"Adverse Event Dictionary Derived Term","26064d1d-03dd-47d7-b287-7d4056010e1a","http://www.cdisc.org","Code","C83344","2023-12-15","Code_146"
"No","96cbe255-e593-432e-b8dd-19fc882080a6","http://www.cdisc.org","Code","C49487","2023-12-15","Code_147"
"Yes","ae87e387-ba6e-4567-918a-728d99fe0bc0","http://www.cdisc.org","Code","C49488","2023-12-15","Code_148"
"Adverse Event Pre-specified","2c91f300-c469-4be7-8fae-42a68528b8a3","http://www.cdisc.org","Code","C87840","2023-12-15","Code_149"
"Adverse Event Location","a6f775ed-bc75-4dea-b0df-90e2616d212a","http://www.cdisc.org","Code","C83205","2023-12-15","Code_150"
"Severity of Adverse Event","ebc2a4ac-27fc-4c71-8b39-c3e89d6171dc","http://www.cdisc.org","Code","C53253","2023-12-15","Code_151"
"No","ecb2a4bc-8b2b-4488-afbd-592c00502efc","http://www.cdisc.org","Code","C49487","2023-12-15","Code_152"
"Yes","87e2132c-4fc6-4c62-b121-33feb8add735","http://www.cdisc.org","Code","C49488","2023-12-15","Code_153"
"Seriousness of Adverse Event","350012c5-94e6-4620-8bd9-fe2cba55a316","http://www.cdisc.org","Code","C53252","2023-12-15","Code_154"
"Adverse Event Action Taken with Study Treatment","299f3531-f831-4167-8e62-98a763837326","http://www.cdisc.org","Code","C83013","2023-12-15","Code_155"
"Other Actions taken in Response to Adverse Event","3c9f9d22-d8e4-49fb-aa24-6cef88a3f5d5","http://www.cdisc.org","Code","C83109","2023-12-15","Code_156"
"Adverse Event Attribution to Product or Procedure","d070a037-0d7f-45e2-8916-139d3fbc7e61","http://www.cdisc.org","Code","C41358","2023-12-15","Code_157"
"Adverse Event Relationship to Non Study Treatment","17132ab7-88bb-4111-a7f2-58b6149083ce","http://www.cdisc.org","Code","C83210","2023-12-15","Code_158"
"Adverse Event Pattern","291f70bd-68e9-41d9-934e-8a0585ae58a5","http://www.cdisc.org","Code","C83208","2023-12-15","Code_159"
"Adverse Event Outcome","3deba287-2650-4a30-a901-849c71fbb7c7","http://www.cdisc.org","Code","C49489","2023-12-15","Code_160"
"No","3b357b84-552e-4742-af9e-718bfc67855b","http://www.cdisc.org","Code","C49487","2023-12-15","Code_161"
"Yes","e7e51282-f74d-4578-a09e-b3242e2cdf07","http://www.cdisc.org","Code","C49488","2023-12-15","Code_162"
"Adverse Event Involves Cancer","01884d75-7076-4b74-a29d-fac45d910a6f","http://www.cdisc.org","Code","C83211","2023-12-15","Code_163"
"No","a679be67-ccf8-497d-b65e-e376e40941f7","http://www.cdisc.org","Code","C49487","2023-12-15","Code_164"
"Yes","f7c38a66-8646-4c25-94e2-5dff4a3d8e5e","http://www.cdisc.org","Code","C49488","2023-12-15","Code_165"
"Adverse Event Seriousness Due to Congenital Anomaly","c6e5d48e-c6c3-4263-8ce5-e0d8b19fd9d5","http://www.cdisc.org","Code","C83117","2023-12-15","Code_166"
"No","c8ed1dff-ee91-4234-9220-53438783350f","http://www.cdisc.org","Code","C49487","2023-12-15","Code_167"
