"reference","instanceType","synonyms","name","id","label","uuid:ID"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","['Weight', 'Body Weight']","Weight","BiomedicalConcept_5","Weight","fb3c4549-676a-45c8-aa54-4c8a237c52bd"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","['Height', 'Body Height']","Height","BiomedicalConcept_6","Height","699dad6d-4b1b-4ca7-8a81-f55b93b1bb21"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","70e0f664-331b-4562-aa45-f43a5527cab3"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","BiomedicalConcept_8","Albumin Presence in Urine","d3489d22-5c1e-44e9-a129-ab3dee18f816"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","36ac4dd3-de77-4182-b09b-6040bd0acd6c"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","13e2b4cb-a646-45db-a20a-d1ffd697166b"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","BiomedicalConcept_11","Creatinine Concentration in Urine","e361fdb3-f928-4c45-8bd5-062d3c04ec33"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","BiomedicalConcept_12","Potassium Concentration in Urine","db47e5a0-e0b4-4cb2-b882-79aabd46d034"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","BiomedicalConcept_13","Sodium Concentration in Urine","ca12664b-df13-4a24-8924-e62381ae145d"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept_14","Systolic Blood Pressure","63e88dc2-90a0-46df-94c6-ced85ae94042"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept_15","Diastolic Blood Pressure","c28d6faf-3c32-4346-b0a5-01d0822809ad"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","['Heart Rate']","Heart Rate","BiomedicalConcept_16","Heart Rate","54912676-84d0-4933-9d8d-9a96f8d6eb93"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept_17","Systolic Blood Pressure","5757c8cc-7241-4af3-bc78-144eeb0c0d36"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept_18","Diastolic Blood Pressure","9c557c30-7c01-454a-a71c-9c8cfa55656a"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","['Heart Rate']","Heart Rate","BiomedicalConcept_19","Heart Rate","f9c68980-6e4a-440a-96bf-09b601179372"
