"identifier","id","name","uuid:ID","label","instanceType","text","description"
"11","EligibilityCriterion_11","EX03","8821c4f7-1ee0-493a-a57b-b50ec7b08b2a","Serious illness criteria","EligibilityCriterion","<p>Serious illness which required hospitalization within 3 months of screening.</p>",""
"12","EligibilityCriterion_12","EX04","ade43798-0b0e-4098-9df4-008ab654f35f","Serious neurolocal conditions criteria","EligibilityCriterion","<p>Diagnosis of serious neurological conditions, including </p>
<ol style=""list-style-type: lower-alpha;"">
<li><p>Stroke or vascular dementia documented by clinical history and/or radiographic findings interpretable by the investigator as indicative of these disorders</p></li>
<li><p>Seizure disorder other than simple childhood febrile seizures</p></li>
<li><p>Severe head trauma resulting in protracted loss of consciousness within the last 5 years, or multiple episodes of head trauma</p></li>
<li><p>Parkinson's disease</p></li>
<li><p>Multiple sclerosis</p></li>
<li><p>Amyotrophic lateral sclerosis</p></li>
<li><p>Myasthenia gravis.</p></li>
</ol>",""
"13","EligibilityCriterion_13","EX05","f3fd3655-f11a-42e5-b57c-21c37967e18c","Depression criteria","EligibilityCriterion","<p>Episode of depression meeting DSM-IV criteria within 3 months of screening.</p>",""
"14","EligibilityCriterion_14","EX06","bad0acdb-59de-443b-a7bb-62a1d75ac442","Schizophrenia, Bipolar, Ethanol or psychoactive abuse criteria","EligibilityCriterion","<p>A history within the last 5 years of the following:</p>
<ol style=""list-style-type: lower-alpha;"">
<li><p>Schizophrenia</p></li>
<li><p>Bipolar Disease</p></li>
<li><p>Ethanol or psychoactive drug abuse or dependence. </p></li>
</ol>",""
"15","EligibilityCriterion_15","EX07","d51fff24-0e5b-4fb5-9e76-8198b9c36b69","Syncope criteria","EligibilityCriterion","<p>A history of syncope within the last 5 years.</p>",""
"16b","EligibilityCriterion_16","EX08","0ff9dd2d-12ae-43ff-ba24-93ff9031cb13","ECG Criteria","EligibilityCriterion","<p>Evidence from ECG recording at screening of any of the following conditions :</p>
<ol style=""list-style-type: lower-alpha;"">
<li><p>Left bundle branch block</p></li>
<li><p>Bradycardia ≤50 beats per minute</p></li>
<li><p>Sinus pauses &gt;2 seconds</p></li>
<li><p>Second or third degree heart block unless treated with a pacemaker</p></li>
<li><p>Wolff-Parkinson-White syndrome</p></li>
<li><p>Sustained supraventricular tachyarrhythmia including SVT≥10 sec, atrial fibrillation, atrial flutter.</p></li>
<li><p>Ventricular tachycardia at a rate of ≥120 beats per minute lasting≥10 seconds.</p></li>
</ol>",""
"17","EligibilityCriterion_17","EX09","16adbfc9-ebd0-437b-beea-fd0c025ea344","Cardiovascular criteria","EligibilityCriterion","<p>A history within the last 5 years of a serious cardiovascular disorder, including</p>
<ol style=""list-style-type: lower-alpha;"">
<li><p>Clinically significant arrhythmia</p></li>
<li><p>Symptomatic sick sinus syndrome not treated with a pacemaker</p></li>
<li><p>Congestive heart failure refractory to treatment</p></li>
<li><p>Angina except angina controlled with PRN nitroglycerin</p></li>
<li><p>Resting heart rate &lt;50 or &gt;100 beats per minute, on physical exam</p></li>
<li><p>Uncontrolled hypertension.</p></li>
</ol>",""
"18","EligibilityCriterion_18","EX10","ab235d66-09d8-4f06-b93d-c1c41a5e40b1","Gastrointensinal criteria","EligibilityCriterion","<p>A history within the last 5 years of a serious gastrointestinal disorder, including </p>
<ol style=""list-style-type: lower-alpha;"">
<li><p>Chronic peptic/duodenal/gastric/esophageal ulcer that are untreated or refractory to treatment</p></li>
<li><p>Symptomatic diverticular disease</p></li>
<li><p>Inflammatory bowel disease</p></li>
<li><p>Pancreatitis</p></li>
<li><p>Hepatitis</p></li>
<li><p>Cirrhosis of the liver.</p></li>
</ol>",""
"19","EligibilityCriterion_19","EX11","31e4d268-83da-4488-93e7-e0bac51cbe67","Endocrine criteria","EligibilityCriterion","<p>A history within the last 5 years of a serious endocrine disorder, including</p>
<ol style=""list-style-type: lower-alpha;"">
<li><p>Uncontrolled Insulin Dependent Diabetes Mellitus (IDDM)</p></li>
<li><p>Diabetic ketoacidosis</p></li>
<li><p>Untreated hyperthyroidism</p></li>
<li><p>Untreated hypothyroidism</p></li>
<li><p>Other untreated endocrinological disorder</p></li>
</ol>",""
"20","EligibilityCriterion_20","EX12","fd19dddf-6b05-4cd3-9e6c-72d46b5a9e1c","Resporatory criteria","EligibilityCriterion","<p> A history within the last 5 years of a serious respiratory disorder, including</p>
<ol style=""list-style-type: lower-alpha;"">
<li><p>Asthma with bronchospasm refractory to treatment</p></li>
<li><p>Decompensated chronic obstructive pulmonary disease.</p></li>
</ol>",""
"21","EligibilityCriterion_21","EX13","da01f3cd-9663-4cfc-a69b-00ac1c70ddf8","Genitourinary criteria","EligibilityCriterion","<p>A history within the last 5 years of a serious genitourinary disorder, including</p>
<ol style=""list-style-type: lower-alpha;"">
<li><p>Renal failure</p></li>
<li><p>Uncontrolled urinary retention.</p></li>
</ol>",""
"22","EligibilityCriterion_22","EX14","9d36e0a5-07d0-44af-b20e-c8c5fcff1e7a","Rheumatologic criteria","EligibilityCriterion","<p>A history within the last 5 years of a serious rheumatologic disorder, including</p>
<ol style=""list-style-type: lower-alpha;"">
<li><p>Lupus</p></li>
<li><p>Temporal arteritis</p></li>
<li><p>Severe rheumatoid arthritis.</p></li>
</ol>",""
"23","EligibilityCriterion_23","EX15","04907e99-4d61-4be5-a77d-94b1df287c93","HIV criteria","EligibilityCriterion","<p>A known history of human immunodeficiency virus (HIV) within the last 5 years.</p>",""
"24","EligibilityCriterion_24","EX16","3325ce33-ffab-41f0-a2fd-0c5985360aa4","Neurosyphilis, Meningitis,Encephalitis criteria","EligibilityCriterion","<p>A history within the last 5 years of a serious infectious disease including</p>
<ol style=""list-style-type: lower-alpha;"">
<li><p>a)  Neurosyphilis</p></li>
<li><p>b)  Meningitis</p></li>
<li><p>c)  Encephalitis.</p></li>
</ol>",""
"25","EligibilityCriterion_25","EX17","08bd67dd-73e3-4f1a-bcea-240f3b0a140e","Malignant disease criteria","EligibilityCriterion","<p>A history within the last 5 years of a primary or recurrent malignant disease with the exception of resected cutaneous squamous cell carcinoma in situ, basal cell carcinoma, cervical carcinoma in situ, or in situ prostate cancer with a normal PSA postresection.</p>",""
"26","EligibilityCriterion_26","EX18","62b94751-543b-46c4-88fe-96418e24e487","Ability to participate in study criteria","EligibilityCriterion","<p>Visual, hearing, or communication disabilities impairing the ability to participate in the study; (for example, inability to speak or understand English, illiteracy).</p>",""
"27b","EligibilityCriterion_27","EX19","525c7f7f-8bfd-4b06-895b-a9127951dd5b","Laboratory values criteria","EligibilityCriterion","<p>Laboratory test values exceeding the Lilly Reference Range III for the patient's age in any of the following analytes: ↑ creatinine, ↑ total bilirubin, ↑ SGOT, ↑ SGPT, ↑ alkaline phosphatase, ↑ GGT, ↑↓ hemoglobin, ↑↓ white blood cell count, ↑↓ platelet count, ↑↓ serum sodium, potassium, or calcium.</p>
<p>If values exceed these laboratory reference ranges, clinical significance will be judged by the monitoring physicians. If the monitoring physician determines that the deviation from the reference range is not clinically significant, the patient may be included in the study. This decision will be documented.</p>",""
"28b","EligibilityCriterion_28","EX20","e8c408b9-b5d1-4b1c-9fea-d139efcc1e09","Central laboratory values criteria","EligibilityCriterion","<p>Central laboratory test values below reference range for folate, and Vitamin B 12 , and outside reference range for thyroid function tests.</p>
<ol style=""list-style-type: lower-alpha;"">
  <li>
    <p>Folate reference range 2.0 to 25.0 ng/mL. Patients will be allowed to enroll if their folate levels are above the upper end of the range if patients are taking vitamin supplements.</p>
  </li>
  <li>
    <p>Vitamin B 12 reference range 130 to 900 pg/mL. Patients will be allowed to enroll if their B 12 levels are above the upper reference range if patients are taking oral vitamin supplements.</p>
  </li>
  <li>
    <p>Thyroid functions</p>
    <ol>
      <li>
        <p>Thyroid Uptake reference range 25 to 38%. Patients will be allowed to enroll with results of 23 to 51% provided the remainder of the thyroid profile is normal and there are no clinical signs or symptoms of thyroid abnormality.</p>
      </li>
      <li>
        <p>TSH reference range 0.32 to 5.0. Patients will be allowed to enroll with results of 0.03 to 6.2 if patients are taking stable doses of exogenous thyroid supplements, with normal free thyroid index, and show no clinical signs or symptoms of thyroid abnormality.</p>
      </li>
      <li>
        <p>Total T4 reference range 4.5 to 12.5. Patients will be allowed to enroll with results of 4.1 to 13.4 if patients are taking stable doses of exogenous thyroid hormone, with normal free thyroid index, and show no clinical signs or symptoms of thyroid abnormality.</p>
      </li>
      <li>
        <p>Free Thyroid Index reference range 1.1 to 4.6.</p>
      </li>
    </ol>
  </li>
</ol>",""
"29b","EligibilityCriterion_29","EX21","ed09986d-64fa-477a-8157-52da3b0ff9ce","Syphilia criteria","EligibilityCriterion","<p>Positive syphilis screening.</p>
<p>Positive syphilis screening. As determined by positive RPR followed up by confirmatory FTA-Abs. Confirmed patients are excluded unless there is a documented medical history of an alternative disease (for example, yaws) which caused the lab abnormality.</p>",""
"30b","EligibilityCriterion_30","EX22","50724374-98c1-4be7-a612-d4fabb6df821","Hemoglobin criteria","EligibilityCriterion","<p>Glycosylated hemoglobin (A1C). Required only on patients with known diabetes mellitus or random blood sugar &gt;200 on screening labs. Patients will be excluded if levels are &gt;9.5%</p>",""
