"instanceType","uuid:ID","name","sectionNumber","id","text","sectionTitle"
"NarrativeContent","7a1a58e3-8ecd-4be4-88bb-63c77a19c852","SECTION 6.5.2","6.5.2","NarrativeContent_40","<div></div>","Handling and Storage of Trial Intervention"
"NarrativeContent","1238cad4-e020-4493-86e6-09bd2c2fc51c","SECTION 6.5.3","6.5.3","NarrativeContent_41","<div></div>","Accountability of Trial Intervention"
"NarrativeContent","0c8c99c1-e5e7-4d78-87aa-c5350e96f1a4","SECTION 6.6","6.6","NarrativeContent_42","<div></div>","Participant Assignment, Randomisation and Blinding"
"NarrativeContent","d347b85d-08e5-468e-a06b-872331521d62","SECTION 6.6.1","6.6.1","NarrativeContent_43","<div></div>","Participant Assignment"
"NarrativeContent","15516e06-c962-4010-b3ba-12c2fcdcf770","SECTION 6.6.2","6.6.2","NarrativeContent_44","<div></div>","Randomisation"
"NarrativeContent","8d87e2a2-b4eb-45b7-a3a0-d260fc21a795","SECTION 6.6.3","6.6.3","NarrativeContent_45","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","Blinding and Unblinding"
"NarrativeContent","61286b5c-8c88-4563-b8c3-2cc66ac9e4d0","SECTION 6.7","6.7","NarrativeContent_46","<div></div>","Trial Intervention Compliance"
"NarrativeContent","d0f8a200-77d1-4d96-800b-9f4587588b7e","SECTION 6.8","6.8","NarrativeContent_47","<div></div>","Concomitant Therapy"
"NarrativeContent","f0e54dde-0b07-4281-96a4-99adceb6263d","SECTION 6.8.1","6.8.1","NarrativeContent_48","<div></div>","Prohibited Concomitant Therapy"
"NarrativeContent","6d5f5431-e2d3-45b1-b7c5-b8518c098b2b","SECTION 6.8.2","6.8.2","NarrativeContent_49","<div></div>","Permitted Concomitant Therapy"
"NarrativeContent","07498d24-941a-495b-ae5b-c9781a1b1913","SECTION 6.8.3","6.8.3","NarrativeContent_50","<div></div>","Rescue Therapy"
"NarrativeContent","12a63ad4-3333-4712-93b2-ddeac5f50411","SECTION 6.8.4","6.8.4","NarrativeContent_51","<div></div>","Other Therapy"
"NarrativeContent","a13b66d5-08d8-476b-9b6e-45b3a54f1b90","SECTION 7","7","NarrativeContent_52","<div></div>","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL"
"NarrativeContent","cbe2b1a4-529f-47f2-88b0-cd32b1fa9912","SECTION 7.1","7.1","NarrativeContent_53","<div></div>","Discontinuation of Trial Intervention"
"NarrativeContent","6b2d20f5-b894-4f05-8206-774b9c42e32c","SECTION 7.1.1","7.1.1","NarrativeContent_54","<div></div>","Criteria for Permanent Discontinuation of Trial Intervention"
"NarrativeContent","71daef65-db94-4a45-a6e6-fc2f7c1efd49","SECTION 7.1.2","7.1.2","NarrativeContent_55","<div></div>","Temporary Discontinuation or Interruption of Trial Intervention"
"NarrativeContent","c37c4ba2-2611-4ec8-a4eb-682e6962a54d","SECTION 7.1.3","7.1.3","NarrativeContent_56","<div></div>","Rechallenge"
"NarrativeContent","53d8d55b-8c5b-489c-977c-8c86c9c1241b","SECTION 7.2","7.2","NarrativeContent_57","<div></div>","Participant Withdrawal from the Trial"
"NarrativeContent","29900a77-db99-4637-a009-59d635f2830f","SECTION 7.3","7.3","NarrativeContent_58","<div></div>","Lost to Follow-Up"
"NarrativeContent","3812ca3d-2960-499f-b008-8dcbeef8dd72","SECTION 7.4","7.4","NarrativeContent_59","<div></div>","Trial Stopping Rules"
"NarrativeContent","7df2d720-20a8-47a6-abb9-e140d63d55f0","SECTION 8","8","NarrativeContent_60","<div></div>","TRIAL ASSESSMENTS AND PROCEDURES"
"NarrativeContent","c562bda7-91cf-4ee9-abd4-ab9151372616","SECTION 8.1","8.1","NarrativeContent_61","<div></div>","Screening/Baseline Assessments and Procedures"
"NarrativeContent","e30333f5-ace6-42f3-b05e-eead9e253f4a","SECTION 8.2","8.2","NarrativeContent_62","<div></div>","Efficacy Assessments and Procedures"
"NarrativeContent","4abd109e-ab31-4cd1-865c-f29802761a53","SECTION 8.3","8.3","NarrativeContent_63","<div></div>","Safety Assessments and Procedures"
"NarrativeContent","fc28358f-c490-41e1-b69e-259eca5434a5","SECTION 8.3.1","8.3.1","NarrativeContent_64","<div></div>","Physical Examination"
"NarrativeContent","e5b1c02b-ba8b-40af-bad1-7406fd3e86d2","SECTION 8.3.2","8.3.2","NarrativeContent_65","<div></div>","Vital Signs"
"NarrativeContent","4b535a4e-037d-4ddb-a258-89e33da6fda9","SECTION 8.3.3","8.3.3","NarrativeContent_66","<div></div>","Electrocardiograms"
"NarrativeContent","c9eb346e-29bd-4662-a297-222b6aa484d9","SECTION 8.3.4","8.3.4","NarrativeContent_67","<div></div>","Clinical Laboratory Assessments"
"NarrativeContent","55486432-a20e-43ba-b001-058e000d0689","SECTION 8.3.5","8.3.5","NarrativeContent_68","<div></div>","Suicidal Ideation and Behaviour Risk Monitoring"
"NarrativeContent","5e1099cf-cd0f-4e18-934a-fb752d022e3a","SECTION 8.4","8.4","NarrativeContent_69","<div></div>","Adverse Events and Serious Adverse Events"
"NarrativeContent","d27730d9-43e5-4c62-922d-322abfa9420e","SECTION 8.4.1","8.4.1","NarrativeContent_70","<div></div>","Definitions of AE and SAE"
"NarrativeContent","ce245682-b0d8-4458-b209-e9690124fd9f","SECTION 8.4.2","8.4.2","NarrativeContent_71","<div></div>","Time Period and Frequency for Collecting AE and SAE Information"
"NarrativeContent","f9c6fa0b-f453-405c-a655-e664b8963b24","SECTION 8.4.3","8.4.3","NarrativeContent_72","<div></div>","Identifying AEs and SAEs"
"NarrativeContent","b15949a4-f940-45b8-82d1-78183d51c73f","SECTION 8.4.4","8.4.4","NarrativeContent_73","<div></div>","Recording of AEs and SAEs"
"NarrativeContent","28789e50-81c7-4fe5-93a5-b30119621352","SECTION 8.4.5","8.4.5","NarrativeContent_74","<div></div>","Follow-up of AEs and SAEs"
"NarrativeContent","a641c617-73df-429f-8cb4-fe9e1580a82a","SECTION 8.4.6","8.4.6","NarrativeContent_75","<div></div>","Reporting of SAEs"
"NarrativeContent","1f0d6b85-be3e-4ea6-8257-a0a59cd61112","SECTION 8.4.7","8.4.7","NarrativeContent_76","<div></div>","Regulatory Reporting Requirements for SAEs"
"NarrativeContent","d9ac2033-c8fb-42be-9d94-e490157b2a8a","SECTION 8.4.8","8.4.8","NarrativeContent_77","<div></div>","Serious and Unexpected Adverse Reaction Reporting"
"NarrativeContent","f8a76b32-051b-4ec1-92cf-09a602a88abf","SECTION 8.4.9","8.4.9","NarrativeContent_78","<div></div>","Adverse Events of Special Interest"
"NarrativeContent","9d2449c2-45a4-4a47-9d86-c7314e8fd87d","SECTION 8.4.10","8.4.10","NarrativeContent_79","<div></div>","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs"
"NarrativeContent","15be7280-58d2-4dd2-94e1-1ce98db505d9","SECTION 8.5","8.5","NarrativeContent_80","<div></div>","Pregnancy and Postpartum Information"
"NarrativeContent","136b3e87-0b59-4203-b10e-ea9cd5df59ab","SECTION 8.5.1","8.5.1","NarrativeContent_81","<div></div>","Participants Who Become Pregnant During the Trial"
"NarrativeContent","9beebfee-97ac-4b10-9252-b5b5a6daa3dd","SECTION 8.5.2","8.5.2","NarrativeContent_82","<div></div>","Participants Whose Partners Become Pregnant"
"NarrativeContent","b2fd798e-371c-4f5b-87ed-6c7dc9c45bd2","SECTION 8.6","8.6","NarrativeContent_83","<div></div>","Medical Device Product Complaints for Drug/Device Combination Products"
"NarrativeContent","38849fe7-7afc-4c9d-9a10-a719cc5b7feb","SECTION 8.6.1","8.6.1","NarrativeContent_84","<div></div>","Definition of Medical Device Product Complaints"
"NarrativeContent","34faa29f-b853-4acf-ad78-681570651c75","SECTION 8.6.2","8.6.2","NarrativeContent_85","<div></div>","Recording of Medical Device Product Complaints"
"NarrativeContent","2ff4e4b0-f347-472b-b742-e87795d4b605","SECTION 8.6.3","8.6.3","NarrativeContent_86","<div></div>","Time Period and Frequency for Collecting Medical Device Product Complaints ."
"NarrativeContent","27dad9fe-0d6c-4864-a400-eb25d2717d35","SECTION 8.6.4","8.6.4","NarrativeContent_87","<div></div>","Follow-Up of Medical Device Product Complaints"
"NarrativeContent","3a5f003c-a5b4-48af-9ca7-4fa4cfc73c27","SECTION 8.6.5","8.6.5","NarrativeContent_88","<div></div>","Regulatory Reporting Requirements for Medical Device Product Complaints"
"NarrativeContent","64a7e65e-e45a-424b-af63-49ed03093c1b","SECTION 8.7","8.7","NarrativeContent_89","<div></div>","Pharmacokinetics"
"NarrativeContent","19f9a0ec-1e6e-4c1d-a4cc-0d0cb03323e3","SECTION 8.8","8.8","NarrativeContent_90","<div></div>","Genetics"
"NarrativeContent","d88961d8-5ba8-45fb-b74a-c6c336869a95","SECTION 8.9","8.9","NarrativeContent_91","<div></div>","Biomarkers"
"NarrativeContent","f70958b3-2495-4c08-8640-f20894a6ed81","SECTION 8.1","8.1","NarrativeContent_92","<div></div>","Immunogenicity Assessments"
"NarrativeContent","610889b7-65d5-4dd4-83e7-6fe26e954b1f","SECTION 8.1.1","8.1.1","NarrativeContent_93","<div></div>","Medical Resource Utilisation and Health Economics"
"NarrativeContent","b233fdba-7004-44e3-9c82-dfb7bb96e91b","SECTION 9","9","NarrativeContent_94","<div></div>","STATISTICAL CONSIDERATIONS"
"NarrativeContent","f701ebea-73f1-4967-a7d8-41e5109b80b0","SECTION 9.1","9.1","NarrativeContent_95","<div></div>","Analysis Sets"
"NarrativeContent","6ba07d6e-be8c-469a-a5b2-a0f1ca06687c","SECTION 9.2","9.2","NarrativeContent_96","<div></div>","Analyses Supporting Primary Objective(s)"
"NarrativeContent","5174b428-8444-4b31-af24-98a827cd97f5","SECTION 9.2.1","9.2.1","NarrativeContent_97","<div></div>","Statistical Model, Hypothesis, and Method of Analysis"
"NarrativeContent","5be4fc56-5dc8-4e7b-b078-7ee4300c7f49","SECTION 9.2.2","9.2.2","NarrativeContent_98","<div></div>","Handling of Intercurrent Events of Primary Estimand(s)"
"NarrativeContent","0513601d-a2a9-45a6-8495-c8777a5666b6","SECTION 9.2.3","9.2.3","NarrativeContent_99","<div></div>","Handling of Missing Data"
"NarrativeContent","97a30fa1-e041-45df-b8c8-1dbc949c34ae","SECTION 9.2.4","9.2.4","NarrativeContent_100","<div></div>","Sensitivity Analysis"
"NarrativeContent","0caf8914-b604-4c1f-8264-3b931fb891d6","SECTION 9.2.5","9.2.5","NarrativeContent_101","<div></div>","Supplementary Analysis"
"NarrativeContent","8e7ac4e4-7ba7-4ff9-8966-dedba1a5fd6c","SECTION 9.3","9.3","NarrativeContent_102","<div></div>","Analysis Supporting Secondary Objective(s)"
"NarrativeContent","2e503760-53dc-47ee-87b2-d807ea7caa6a","SECTION 9.4","9.4","NarrativeContent_103","<div></div>","Analysis of Exploratory Objective(s)"
"NarrativeContent","be77f532-377b-4dea-b822-a0ee61b6f418","SECTION 9.5","9.5","NarrativeContent_104","<div></div>","Safety Analyses"
"NarrativeContent","6ecd2190-8a43-4cb4-9d1f-7e161d4d627a","SECTION 9.6","9.6","NarrativeContent_105","<div></div>","Other Analyses"
"NarrativeContent","08d438ec-4eb6-4729-82c4-4c8672cc6c58","SECTION 9.7","9.7","NarrativeContent_106","<div></div>","Interim Analyses"
"NarrativeContent","fa3f2bc1-e2fc-418a-bba9-835f8dfc79bc","SECTION 9.8","9.8","NarrativeContent_107","<div></div>","Sample Size Determination"
"NarrativeContent","1316d321-780c-46c7-bba3-c83f9a6cb0f5","SECTION 9.9","9.9","NarrativeContent_108","<div></div>","Protocol Deviations"
"NarrativeContent","a79181b0-2d0f-4be3-a4c6-927c76643d91","SECTION 10","10","NarrativeContent_109","<div></div>","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT"
"NarrativeContent","732dfa97-7512-4cbb-90ee-d0645ecc5b8b","SECTION 10.1","10.1","NarrativeContent_110","<div></div>","Regulatory and Ethical Considerations"
"NarrativeContent","38590ea6-f3c2-4168-b248-3a2f72f95391","SECTION 10.2","10.2","NarrativeContent_111","<div></div>","Committees"
"NarrativeContent","8e55bb42-3a94-4b0f-a30a-0e537cae12d2","SECTION 10.3","10.3","NarrativeContent_112","<div></div>","Informed Consent Process"
"NarrativeContent","2a27f2c7-5353-44cd-af95-3b06059d84aa","SECTION 10.4","10.4","NarrativeContent_113","<div></div>","Data Protection"
"NarrativeContent","325660e0-accb-43cd-8c8f-e3af111347e3","SECTION 10.5","10.5","NarrativeContent_114","<div></div>","Early Site Closure or Trial Termination"
"NarrativeContent","0dde2b06-ae2b-4b5b-9460-3fc5f5bad9bb","SECTION 11","11","NarrativeContent_115","<div></div>","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE"
"NarrativeContent","3000dcad-a1cc-420f-8aeb-b10ea1a260b0","SECTION 11.1","11.1","NarrativeContent_116","<div></div>","Quality Tolerance Limits"
"NarrativeContent","38b5380f-e684-40b9-bc17-5e9eb0107eea","SECTION 11.2","11.2","NarrativeContent_117","<div></div>","Data Quality Assurance"
"NarrativeContent","6af43812-bf9b-4967-af99-fe6ac5d392f0","SECTION 11.3","11.3","NarrativeContent_118","<div></div>","Source Data"
"NarrativeContent","59f17350-9d9a-414c-996c-4f6be1def53d","SECTION 12","12","NarrativeContent_119","<div></div>","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY"
"NarrativeContent","d2fb91a4-097f-4650-a5ba-99ef65098618","SECTION 12.1","12.1","NarrativeContent_120","<div></div>","Further Details and Clarifications on the AE Definition"
"NarrativeContent","c01492f5-59dc-4acd-a52f-257aa1b7b7da","SECTION 12.2","12.2","NarrativeContent_121","<div></div>","Further Details and Clarifications on the SAE Definition"
"NarrativeContent","eee12a8e-3bd5-4fa2-86dd-ead6f7e3a76f","SECTION 12.3","12.3","NarrativeContent_122","<div></div>","Severity"
"NarrativeContent","02d33b49-b2b7-4681-b869-919abe72a576","SECTION 12.4","12.4","NarrativeContent_123","<div></div>","Causality"
"NarrativeContent","5597bfc6-f58d-4aef-a196-4ebb7436464f","SECTION 13","13","NarrativeContent_124","<div></div>","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS"
"NarrativeContent","3ba6d5de-ead2-47a7-afc8-ff0e3e0979af","SECTION 13.1","13.1","NarrativeContent_125","<div></div>","Contraception and Pregnancy Testing"
"NarrativeContent","0cc92c42-8c4e-4904-864b-64ccb47fedff","SECTION 13.1.1","13.1.1","NarrativeContent_126","<div></div>","Definitions Related to Childbearing Potential"
"NarrativeContent","0a447864-f924-4f35-a114-5439833c1783","SECTION 13.1.2","13.1.2","NarrativeContent_127","<div></div>","Contraception"
"NarrativeContent","9986598d-2819-4e76-8ff0-f1f1a5e199f4","SECTION 13.1.3","13.1.3","NarrativeContent_128","<div></div>","Pregnancy Testing"
"NarrativeContent","c89dfe7d-73cd-49b4-829c-1e3059783055","SECTION 13.2","13.2","NarrativeContent_129","<div></div>","Clinical Laboratory Tests"
"NarrativeContent","80567cb0-3ed1-4e24-bf97-7ab750bb8244","SECTION 13.3","13.3","NarrativeContent_130","<div></div>","Country/Region-Specific Differences"
"NarrativeContent","6554601d-12cb-4167-96ee-43cb6a9a28bd","SECTION 13.4","13.4","NarrativeContent_131","<div></div>","Prior Protocol Amendments"
"NarrativeContent","2cf44b09-078b-4164-88a5-ba1f3294b4c1","SECTION 14","14","NarrativeContent_132","<div></div>","APPENDIX: GLOSSARY OF TERMS"
"NarrativeContent","8add85c8-793b-40d4-a1cf-632c451fcf99","SECTION 15","15","NarrativeContent_133","<div></div>","APPENDIX: REFERENCES"
