"instanceType","uuid:ID","id","codeSystemVersion","decode","code","codeSystem"
"Code","1cd0895e-28dd-417d-bab9-8eca3bbc4ab7","Code_91","2023-09-29","Visit","C25716","http://www.cdisc.org"
"Code","fcf305af-3ce2-4331-847a-3f0c82fa6722","Code_92","2023-09-29","Clinic","C51282","http://www.cdisc.org"
"Code","1f804286-6e46-4728-a21f-ec1af41ff611","Code_93","2023-09-29","In Person","C175574","http://www.cdisc.org"
"Code","8b796c80-cb8f-4458-869c-69d13275c77b","Code_94","2023-09-29","Visit","C25716","http://www.cdisc.org"
"Code","42358e90-3a0f-486b-a60d-8367ea2f27a5","Code_95","2023-09-29","Clinic","C51282","http://www.cdisc.org"
"Code","e3167b34-ae44-4200-89c8-e7bd127ff1f9","Code_96","2023-09-29","In Person","C175574","http://www.cdisc.org"
"Code","8595116d-67dc-4328-a156-aea9cb94f8e0","Code_97","2023-09-29","Visit","C25716","http://www.cdisc.org"
"Code","08005da8-3416-4460-b5e2-00dbb7dd9183","Code_98","2023-09-29","Clinic","C51282","http://www.cdisc.org"
"Code","caebbb36-3d9e-4a1a-ab2c-43f154d9bea4","Code_99","2023-09-29","In Person","C175574","http://www.cdisc.org"
"Code","b9464c9d-8dbf-49bd-a844-9b23bb4cb728","Code_100","2023-09-29","Visit","C25716","http://www.cdisc.org"
"Code","2b53064e-c630-4892-8281-92298dfe374e","Code_101","2023-09-29","Clinic","C51282","http://www.cdisc.org"
"Code","e52e486a-5701-4697-bd90-3d9e1712175d","Code_102","2023-09-29","In Person","C175574","http://www.cdisc.org"
"Code","c2a8b64f-5e7f-4fb0-9e9b-92a01d49184d","Code_103","2023-09-29","Telephone Call","C171537","http://www.cdisc.org"
"Code","b54dde7d-16ab-4f50-aadd-ed5e73cdedec","Code_104","2023-09-29","Visit","C25716","http://www.cdisc.org"
"Code","003550e9-ea6a-4a2b-b6fc-5087906646fb","Code_105","2023-09-29","Clinic","C51282","http://www.cdisc.org"
"Code","68f141d6-d7e9-4a1c-98c8-953d111a932a","Code_106","2023-09-29","In Person","C175574","http://www.cdisc.org"
"Code","9c2469d5-8cb8-4721-adc8-ca7df77aec18","Code_107","2023-09-29","Telephone Call","C171537","http://www.cdisc.org"
"Code","82a0d9c1-8b56-46de-95f9-56f0276f8b46","Code_108","2023-09-29","Visit","C25716","http://www.cdisc.org"
"Code","5d742884-e9d1-432e-bc32-dc64154b8ecb","Code_109","2023-09-29","Clinic","C51282","http://www.cdisc.org"
"Code","8ec2cc0c-5a23-4024-9480-8d25ae436dca","Code_110","2023-09-29","In Person","C175574","http://www.cdisc.org"
"Code","96ce27af-3455-4c48-aaf1-37bcfe69b4cc","Code_111","2023-09-29","Telephone Call","C171537","http://www.cdisc.org"
"Code","646bdac4-4bdf-4de5-9919-b1c7a0b745c7","Code_112","2023-09-29","Visit","C25716","http://www.cdisc.org"
"Code","d63560d5-f67a-4e73-8523-ff504d208fa5","Code_113","2023-09-29","Clinic","C51282","http://www.cdisc.org"
"Code","49aadf4a-de1b-4281-883e-07b2d0b683d7","Code_114","2023-09-29","In Person","C175574","http://www.cdisc.org"
"Code","00628642-519b-41e4-b447-13780b9bfb29","Code_115","2023-09-29","Telephone Call","C171537","http://www.cdisc.org"
"Code","86e9cc73-0077-4b00-af0c-6cccad5f1684","Code_116","2023-09-29","Visit","C25716","http://www.cdisc.org"
"Code","260c6c11-960f-4769-b35d-e66ce9c984b2","Code_117","2023-09-29","Clinic","C51282","http://www.cdisc.org"
"Code","ab8dda9d-10b1-438d-b61c-ea8d79f0e39f","Code_118","2023-09-29","In Person","C175574","http://www.cdisc.org"
"Code","c642d384-840b-4e7c-9b28-930d6e5fad72","Code_119","2023-09-29","Visit","C25716","http://www.cdisc.org"
"Code","c58dd6bf-a6f5-4001-aac6-7a5b97386eee","Code_120","2023-09-29","Clinic","C51282","http://www.cdisc.org"
"Code","55245a9e-bf80-469c-8ea6-b41b23a62635","Code_121","2023-09-29","In Person","C175574","http://www.cdisc.org"
"Code","a1eb4139-a81f-4a5b-8274-702fa57e02d0","Code_79","January 31, 2018","CT of head without contrast","383371000119108","SNOMED"
"Code","ea9884be-5853-476e-bacc-ba20aeae6217","Code_80","12","Subject Supine","123","SPONSOR"
"Code","8fc6fc90-9c52-43cb-bf11-123a0c97bc73","Code_81","12","Subject Standing","124","SPONSOR"
"Code","f883417a-410f-4b27-b099-ffea9d8ac444","Code_278","","Vital Signs Result","C173522","NCI Thesaurus"
"Code","937876ea-1e54-4a4e-b6be-5e71733fffaf","Code_279","2023-09-29","Kelvin","C42537","http://www.cdisc.org"
"Code","42d4a2bd-3ba5-48d3-8066-ad4b041707ab","Code_280","","Unit of Temperature","C44276","NCI Thesaurus"
"Code","65421a71-6976-4bd3-9110-878c1b4fcb8c","Code_281","","Vital Signs Location","C83088","NCI Thesaurus"
"Code","0261dcd4-570e-4ffe-b6ab-36b6b99910a7","Code_277","","Body Temperature","C174446","NCI Thesaurus"
"Code","9457c5cc-b3db-4e11-b530-0c511c4c2032","Code_283","","Vital Signs Result","C173522","NCI Thesaurus"
"Code","83fabcd3-3376-4c1a-bcdb-838cd7359b85","Code_284","2023-09-29","Kilogram","C28252","http://www.cdisc.org"
"Code","269a8e84-5444-4898-aaa4-87527698fadf","Code_285","2023-09-29","Gram","C48155","http://www.cdisc.org"
"Code","17872f77-9a2e-4c00-8d80-b935701ae8e3","Code_286","2023-09-29","Pound","C48531","http://www.cdisc.org"
"Code","71deaa97-6fba-4358-a0f7-a20cc97723c2","Code_287","","Unit of Weight","C48208","NCI Thesaurus"
"Code","865e5081-a1f6-4e57-b522-0b9738c2caf3","Code_282","","Body Weight","C81328","NCI Thesaurus"
"Code","65c2eb27-5fe8-4073-95b3-f820c48299fa","Code_289","","Vital Signs Result","C173522","NCI Thesaurus"
"Code","43d7314d-5e25-4a41-a7a4-75e6e9c288df","Code_290","2023-09-29","Centimeter","C49668","http://www.cdisc.org"
"Code","2d75dc13-8bed-4d9c-bd4f-0e82eaef59fc","Code_291","2023-09-29","Inch","C48500","http://www.cdisc.org"
"Code","c0e8f3f8-6abf-4a84-8691-e79a6a1b19b8","Code_292","2023-09-29","Millimeter","C28251","http://www.cdisc.org"
"Code","32c0260d-81d0-4312-95fc-8adec73d87f5","Code_293","2023-09-29","Meter","C41139","http://www.cdisc.org"
"Code","66ad6339-9f86-49eb-81c5-43259f299c57","Code_294","","Unit of Height","C168688","NCI Thesaurus"
"Code","000d5992-3564-4f23-a152-efe1d22abb7e","Code_288","","Body Height","C164634","NCI Thesaurus"
"Code","406bd183-1a95-497b-98d0-8a5606baccfc","Code_296","","Laboratory Test Result","C36292","NCI Thesaurus"
"Code","220f1dd5-7b5e-4c49-92df-5548c4d81370","Code_297","","Laboratory Test Fasting Status","C83309","NCI Thesaurus"
"Code","7fdb4301-d3e7-4cdc-93b5-788d258f5361","Code_298","","Unit of Catalytic Activity Concentration","C67365","NCI Thesaurus"
"Code","2ca7ecdd-fe1a-4fd3-9bb5-5787b958ee5a","Code_299","","Biospecimen Type","C70713","NCI Thesaurus"
"Code","67b4d24d-9363-4cec-bb85-a46f8b15688b","Code_295","","Alanine Aminotransferase Measurement","C64433","NCI Thesaurus"
"Code","9057641f-f7c1-486a-944f-dd843f95a32e","Code_301","","Laboratory Test Result","C36292","NCI Thesaurus"
"Code","5257f8fe-3d54-44c5-a833-ce4965b2ff5b","Code_302","","Laboratory Test Fasting Status","C83309","NCI Thesaurus"
"Code","11b92cc9-efc6-4adb-b25d-a390569457f9","Code_303","","Unit of Concentration","C48207","NCI Thesaurus"
"Code","65d98de9-9bfb-4b81-be22-d2f9545b6f48","Code_304","","Biospecimen Type","C70713","NCI Thesaurus"
"Code","8715236c-6bff-4d08-8044-e30fb7326093","Code_300","","Albumin Measurement","C64431","NCI Thesaurus"
"Code","4f40cba4-18bd-4d7c-b8b9-85c7e654a1dd","Code_306","","Laboratory Test Result","C36292","NCI Thesaurus"
"Code","ecbc7e1c-d138-41ab-978a-dfbb4bef021b","Code_307","","Laboratory Test Fasting Status","C83309","NCI Thesaurus"
"Code","2345f864-0053-4fb7-aaa8-37f81b5c0402","Code_308","","Unit of Catalytic Activity Concentration","C67365","NCI Thesaurus"
"Code","35d2c1ba-fb3a-4902-959e-139bdf801b91","Code_309","","Biospecimen Type","C70713","NCI Thesaurus"
"Code","cd60de56-160c-44b5-84de-e0504154bcf8","Code_305","","Alkaline Phosphatase Measurement","C64432","NCI Thesaurus"
"Code","7f0a99d8-a6b0-4f69-b50b-bd2a862f67b3","Code_311","","Laboratory Test Result","C36292","NCI Thesaurus"
"Code","cecdabc1-0c0e-4b7e-a1da-23805cd49f7b","Code_312","","Laboratory Test Fasting Status","C83309","NCI Thesaurus"
"Code","b1fe5b26-9f33-4a1e-abcd-5438844594a2","Code_313","","Unit of Catalytic Activity Concentration","C67365","NCI Thesaurus"
"Code","99575f8b-a166-4123-ac69-6daea28448d8","Code_314","","Biospecimen Type","C70713","NCI Thesaurus"
"Code","952aa645-d23a-4b27-9f1f-5ebccf87634c","Code_310","","Aspartate Aminotransferase Measurement","C64467","NCI Thesaurus"
"Code","2ed70717-3467-429f-abd5-7531346901c8","Code_316","","Laboratory Test Result","C36292","NCI Thesaurus"
"Code","41770aed-b0e4-40d6-872b-4da95e93c03c","Code_317","","Laboratory Test Fasting Status","C83309","NCI Thesaurus"
"Code","bffd035e-8f60-4572-ab1b-809ec33ea66c","Code_318","","Unit of Concentration","C48207","NCI Thesaurus"
"Code","5774a962-9f31-4e76-860b-e55db2468500","Code_319","","Biospecimen Type","C70713","NCI Thesaurus"
"Code","e309ee0c-73d0-4b32-8520-0ea0fb71e6b7","Code_315","","Creatinine Measurement","C64547","NCI Thesaurus"
"Code","10082cf9-8553-4b2f-acde-7bec259256d5","Code_321","","Laboratory Test Result","C36292","NCI Thesaurus"
"Code","b7f7c44b-8648-462d-905f-d176b276ccc0","Code_322","","Laboratory Test Fasting Status","C83309","NCI Thesaurus"
"Code","363ce417-e989-473f-9b20-76863a03edbc","Code_323","","Molarity Unit","C64567","NCI Thesaurus"
"Code","f24663f6-92c8-4ee4-baad-6bb204ad6989","Code_324","","Biospecimen Type","C70713","NCI Thesaurus"
"Code","2dab114d-2dfd-40c0-acfc-62653fa42e37","Code_320","","Potassium Measurement","C64853","NCI Thesaurus"
"Code","808ee731-5b8d-47ec-9587-509ef548e270","Code_326","","Laboratory Test Result","C36292","NCI Thesaurus"
"Code","4629bb3b-7625-4b3e-bd2d-5ae18274b4bb","Code_327","","Laboratory Test Fasting Status","C83309","NCI Thesaurus"
"Code","cc706f3e-fb5e-4318-b3ba-8c875fe0f5eb","Code_328","","Molarity Unit","C64567","NCI Thesaurus"
"Code","a6bd09b8-7138-4aef-a734-6aac59090fc8","Code_329","","Biospecimen Type","C70713","NCI Thesaurus"
"Code","65aa3796-86da-459b-acbe-c166c0bf0dc5","Code_325","","Sodium Measurement","C64809","NCI Thesaurus"
"Code","3d5fc42c-e5a8-45cc-9e43-22362f01d1e9","Code_145","","Adverse Event Verbatim Description","C78541","NCI Thesaurus"
"Code","d7a1471d-eea5-461c-b0f6-a227fa5be64a","Code_146","","Adverse Event Dictionary Derived Term","C83344","NCI Thesaurus"
"Code","e173e14e-77a0-4895-821e-0bd02f14b19f","Code_147","","Adverse Event Category","C83198","NCI Thesaurus"
"Code","f916ddee-215b-4960-ad58-71d4265ff727","Code_148","","Adverse Event Subcategory","C83212","NCI Thesaurus"
"Code","66fd38b2-f475-4b63-9627-9e7a7b39d7fe","Code_149","","Adverse Event Pre-specified","C87840","NCI Thesaurus"
"Code","bd0082de-dee3-41a0-bf3e-1227d17c1947","Code_150","","Severity of Adverse Event","C53253","NCI Thesaurus"
"Code","3e403fc2-5aae-42dd-93b0-31da4ae26169","Code_151","","Adverse Event Toxicity Grade","C78605","NCI Thesaurus"
"Code","0216ba5b-c10b-46e6-af8c-ba5b6b5ee4e2","Code_152","","Seriousness of Adverse Event","C53252","NCI Thesaurus"
"Code","36c386b4-3ff8-4d0b-98ee-82e1c7b5b18d","Code_153","","Adverse Event Action Taken with Study Treatment","C83013","NCI Thesaurus"
"Code","4f82f8a9-e4aa-4f29-90f2-299a419e73df","Code_154","","Adverse Event Attribution to Product or Procedure","C41358","NCI Thesaurus"
"Code","0f60b0dd-b43e-47f5-83e6-ed238715e58a","Code_155","2023-09-29","Intermittent","C71325","http://www.cdisc.org"
"Code","811bfd11-e404-4022-b0ea-0433513eddc2","Code_156","","Adverse Event Pattern","C83208","NCI Thesaurus"
"Code","1d26f9e1-a0a8-4218-859d-8b80c224137a","Code_157","","Adverse Event Outcome","C49489","NCI Thesaurus"
"Code","f954a19a-fc1d-4a34-a6ec-4cb02c995cb6","Code_158","","Adverse Event Start Date Time","C83215","NCI Thesaurus"
"Code","b75ec24d-ea23-48b3-b152-3a8502bc3c19","Code_159","","Adverse Event End Date Time","C83201","NCI Thesaurus"
"Code","8cd277d7-2789-481b-88fc-e3691133d038","Code_144","","Adverse Event","C41331","NCI Thesaurus"
"Code","3ed21bc6-9b37-4f17-b33a-211daad3d4e4","Code_161","","Vital Signs Result","C173522","NCI Thesaurus"
"Code","942a4003-25f2-4249-9af8-12baf490a1f0","Code_162","2023-09-29","Pascal","C42547","http://www.cdisc.org"
"Code","21de872e-b96a-4c1c-bd06-49bd5c1e43b7","Code_163","","Unit of Pressure","C49669","NCI Thesaurus"
"Code","a0e90788-7097-4f10-8b9a-bf5eb5df00b6","Code_164","","Vital Signs Location","C83088","NCI Thesaurus"
"Code","03141429-92cc-4158-bc41-95e0b49fcb1c","Code_165","","Vital Signs Laterality","C123975","NCI Thesaurus"
"Code","52d41531-ad03-444b-a0c7-ec6606c5dde9","Code_166","","Test Method","C82535","NCI Thesaurus"
"Code","be5f7b93-3978-4bd2-bdfa-2bad2ed253e2","Code_167","","Vital Signs Position","C83114","NCI Thesaurus"
"Code","5e8f1fd3-f025-40bb-8bf9-5a2ccb016fda","Code_160","","Systolic Blood Pressure","C25298","NCI Thesaurus"
"Code","3e406a7b-255d-4798-ab0a-8d4aef6167db","Code_169","","Vital Signs Result","C173522","NCI Thesaurus"
"Code","d7a55b8d-e081-4ec3-aeae-aa617def822c","Code_170","2023-09-29","Pascal","C42547","http://www.cdisc.org"
"Code","1979e211-8e2c-499f-92b7-1bf3331eefbf","Code_171","","Unit of Pressure","C49669","NCI Thesaurus"
"Code","9ca509e1-533c-46e8-b9fd-69a219abe2a6","Code_172","","Vital Signs Location","C83088","NCI Thesaurus"
"Code","9215de12-34cf-4f77-83b8-697f04bf2795","Code_173","","Vital Signs Laterality","C123975","NCI Thesaurus"
"Code","93f73c07-2c98-44aa-a054-d6bd481fe1d9","Code_174","","Test Method","C82535","NCI Thesaurus"
"Code","afbc04e0-5a2b-4545-907a-32f9d5c48ecc","Code_175","","Vital Signs Position","C83114","NCI Thesaurus"
"Code","39d34e61-ed36-4d8e-acef-dc1c90556c37","Code_168","","Diastolic Blood Pressure","C25299","NCI Thesaurus"
"Code","b1c6aabf-b52d-463a-a13b-8fd1994c2291","Code_177","","Vital Signs Result","C173522","NCI Thesaurus"
"Code","de2188dc-2393-4ca7-b744-5e65a112de69","Code_178","2023-09-29","Kelvin","C42537","http://www.cdisc.org"
"Code","8c848e8b-6834-4c38-afa3-c02f42ee44d6","Code_179","","Unit of Temperature","C44276","NCI Thesaurus"
"Code","369487b3-795c-4c05-a1ef-7d6dce4b15e2","Code_180","","Vital Signs Location","C83088","NCI Thesaurus"
"Code","a34a4671-26d7-4a37-a7b5-78e39b83a194","Code_176","","Body Temperature","C174446","NCI Thesaurus"
"Code","55b9f339-820d-4135-a38f-c1cc6dcf6874","Code_182","","Vital Signs Result","C173522","NCI Thesaurus"
"Code","10bc30db-63b9-4a1c-a4fa-0bf00aad3714","Code_183","2023-09-29","Kilogram","C28252","http://www.cdisc.org"
"Code","c675b3d0-f799-401d-b582-eda7c731c3fe","Code_184","2023-09-29","Gram","C48155","http://www.cdisc.org"
"Code","0a07b279-3301-49d5-bf35-eea27265580e","Code_185","2023-09-29","Pound","C48531","http://www.cdisc.org"
"Code","fb762b9d-1346-46c9-a596-efc87d01f41f","Code_186","","Unit of Weight","C48208","NCI Thesaurus"
"Code","e274ef31-549f-4aeb-b0f1-ef7262ca9e2c","Code_181","","Body Weight","C81328","NCI Thesaurus"
"Code","3f28503c-2185-49a9-8322-cd1f6b8dd040","Code_188","","Vital Signs Result","C173522","NCI Thesaurus"
"Code","6e8dd3f5-7026-44fc-8a8e-4c4194ca1a9f","Code_189","2023-09-29","Centimeter","C49668","http://www.cdisc.org"
"Code","27e782d2-11f8-4af8-90b0-1fe558572a03","Code_190","2023-09-29","Inch","C48500","http://www.cdisc.org"
"Code","d6d0b2d4-e8a3-4e3b-ab7e-283a8a977898","Code_191","2023-09-29","Millimeter","C28251","http://www.cdisc.org"
"Code","9e4387c8-2890-4ae2-9163-6686469d9315","Code_192","2023-09-29","Meter","C41139","http://www.cdisc.org"
"Code","0452a9f7-ccf7-48cd-8747-77f119ade460","Code_193","","Unit of Height","C168688","NCI Thesaurus"
"Code","bc99daa3-4610-4bd3-99d3-0098230d598f","Code_187","","Body Height","C164634","NCI Thesaurus"
"Code","3134b39a-25e7-4e35-ab58-17105e0969f1","Code_195","","Laboratory Test Result","C36292","NCI Thesaurus"
"Code","507044aa-1080-4916-bb93-c9e66b9fb1c3","Code_196","","Laboratory Test Fasting Status","C83309","NCI Thesaurus"
"Code","0128105e-7e69-4df7-97ad-fcbc6b40ab01","Code_197","","Unit of Catalytic Activity Concentration","C67365","NCI Thesaurus"
"Code","14f25cfe-d958-4aa3-b7e3-17a0b1581db7","Code_198","","Biospecimen Type","C70713","NCI Thesaurus"
"Code","1901c3d7-ee77-4531-8d72-4e7e7dec7257","Code_194","","Alanine Aminotransferase Measurement","C64433","NCI Thesaurus"
"Code","d80b3e5b-ddb6-46cd-89cb-9550054aa402","Code_200","","Laboratory Test Result","C36292","NCI Thesaurus"
"Code","e114f2a2-9960-4528-b730-4bed4736b43e","Code_201","","Laboratory Test Fasting Status","C83309","NCI Thesaurus"
"Code","410cc7c4-1f7e-4af1-a623-daac7c3a3f6a","Code_202","","Unit of Concentration","C48207","NCI Thesaurus"
"Code","adb9364f-6c01-4f39-b903-d0ffb1f09c8e","Code_203","","Biospecimen Type","C70713","NCI Thesaurus"
"Code","c72a2f62-37e2-4435-b808-07b1ef1f0d22","Code_199","","Albumin Measurement","C64431","NCI Thesaurus"
"Code","86f43fbf-1ada-4278-b5b0-951503f27033","Code_205","","Laboratory Test Result","C36292","NCI Thesaurus"
"Code","abeec645-310d-4542-ad66-6ffc13e83b82","Code_206","","Laboratory Test Fasting Status","C83309","NCI Thesaurus"
"Code","cc023a1f-a3b1-46c7-9514-83a39dd82265","Code_207","","Unit of Catalytic Activity Concentration","C67365","NCI Thesaurus"
"Code","b3d99a75-4de4-4097-93ec-ffcd833ffab2","Code_208","","Biospecimen Type","C70713","NCI Thesaurus"
"Code","c0673137-d7d0-498f-b3d8-0f608444d4fe","Code_204","","Alkaline Phosphatase Measurement","C64432","NCI Thesaurus"
"Code","fa55b0dd-b570-420b-ace0-8e8ccf5e2ab0","Code_210","","Laboratory Test Result","C36292","NCI Thesaurus"
"Code","331398a2-c198-4b29-838e-8ae630593d5a","Code_211","","Laboratory Test Fasting Status","C83309","NCI Thesaurus"
"Code","77aed2ac-c2f7-4be0-8914-d33b6fa7a0f2","Code_212","","Unit of Catalytic Activity Concentration","C67365","NCI Thesaurus"
"Code","a7d9fd85-f35d-4e2a-b01e-b99a720fdc8d","Code_213","","Biospecimen Type","C70713","NCI Thesaurus"
"Code","08dc0181-da39-4b61-93b5-3f4d6c2d6889","Code_209","","Aspartate Aminotransferase Measurement","C64467","NCI Thesaurus"
"Code","dfd6a008-d6e5-409b-904b-1aadd651cf46","Code_215","","Laboratory Test Result","C36292","NCI Thesaurus"
"Code","ea0a1808-5236-46b7-b149-1ad3ae238620","Code_216","","Laboratory Test Fasting Status","C83309","NCI Thesaurus"
"Code","8cac8fbe-0d65-49a5-a6e1-66467d06293e","Code_217","","Unit of Concentration","C48207","NCI Thesaurus"
"Code","976aab7a-dd5c-4d9d-86e0-b2407e5a8827","Code_218","","Biospecimen Type","C70713","NCI Thesaurus"
"Code","22ea0cd8-8ec7-4b30-b408-6b63429f1d73","Code_214","","Creatinine Measurement","C64547","NCI Thesaurus"
"Code","fd7498f2-6ad7-43f0-b220-4a8ba95e3eb5","Code_220","","Laboratory Test Result","C36292","NCI Thesaurus"
"Code","823cbf25-51bb-49fc-886a-b04970fc17a8","Code_221","","Laboratory Test Fasting Status","C83309","NCI Thesaurus"
"Code","03c78ffb-421f-4cc4-92bf-54cdc588f5c8","Code_222","","Molarity Unit","C64567","NCI Thesaurus"
"Code","96005077-90d6-41b8-bd18-d0352a974b13","Code_223","","Biospecimen Type","C70713","NCI Thesaurus"
"Code","88b134dd-ce42-49cd-8d90-5486ca089a04","Code_219","","Potassium Measurement","C64853","NCI Thesaurus"
"Code","6b43754d-a8c0-497b-994a-07849b8a6b9b","Code_225","","Laboratory Test Result","C36292","NCI Thesaurus"
"Code","ec82ec75-1fbc-454c-8515-04de39588c69","Code_226","","Laboratory Test Fasting Status","C83309","NCI Thesaurus"
"Code","5f21c547-1e0e-4018-8a79-e9b0d834df94","Code_227","","Molarity Unit","C64567","NCI Thesaurus"
"Code","d4434935-aa29-4df1-9425-0c6c492a1a1c","Code_228","","Biospecimen Type","C70713","NCI Thesaurus"
"Code","c55ae432-335c-4351-af5a-886ba7cc050c","Code_224","","Sodium Measurement","C64809","NCI Thesaurus"
"Code","d63f118c-9746-4759-bcba-5b829b755030","Code_230","","Vital Signs Result","C173522","NCI Thesaurus"
"Code","ac074180-a166-4bf3-8eb2-efe00b2aabfc","Code_231","2023-09-29","Pascal","C42547","http://www.cdisc.org"
"Code","1c19fe8f-95b8-41ca-a041-79fd3e179d6f","Code_232","","Unit of Pressure","C49669","NCI Thesaurus"
"Code","9c0517d8-1b24-42c7-8219-810b884c07c2","Code_233","","Vital Signs Location","C83088","NCI Thesaurus"
"Code","a2dcd32b-47a5-4ef1-aa3e-b7fe11ba9f39","Code_234","","Vital Signs Laterality","C123975","NCI Thesaurus"
"Code","3b48cd5b-da1f-46b6-9243-000a7ccd408e","Code_235","","Test Method","C82535","NCI Thesaurus"
"Code","6ddda171-1c57-4899-b1a4-04ab2056453d","Code_236","","Vital Signs Position","C83114","NCI Thesaurus"
"Code","cb1b34e7-dff1-478d-a276-a46906b8e822","Code_229","","Systolic Blood Pressure","C25298","NCI Thesaurus"
"Code","c43a9e8a-fe21-4e7a-a538-fc1d1cc5895e","Code_238","","Vital Signs Result","C173522","NCI Thesaurus"
"Code","d61f0e87-4c1c-4add-b481-ddc2912f554d","Code_239","2023-09-29","Pascal","C42547","http://www.cdisc.org"
"Code","16ebe922-922f-422e-8d2e-a2a92b0e993a","Code_240","","Unit of Pressure","C49669","NCI Thesaurus"
"Code","b0991c9a-bd31-4a25-8c79-d79112929789","Code_241","","Vital Signs Location","C83088","NCI Thesaurus"
"Code","672f4bbb-7657-488d-92dc-2aee248a8e52","Code_242","","Vital Signs Laterality","C123975","NCI Thesaurus"
"Code","c8a851c7-93ee-4744-8aef-3344a98f99ba","Code_243","","Test Method","C82535","NCI Thesaurus"
"Code","b238b8df-b306-44e6-b2f5-6b7b2fb9cb59","Code_244","","Vital Signs Position","C83114","NCI Thesaurus"
"Code","cbb3225f-7e48-45ad-885b-26f54029e827","Code_237","","Diastolic Blood Pressure","C25299","NCI Thesaurus"
"Code","6d78d773-7b71-4ac3-980b-8a8fdc47e1d3","Code_246","","Vital Signs Result","C173522","NCI Thesaurus"
