"id","uuid:ID","name","instanceType","synonyms","label","reference"
"BiomedicalConcept_30","4696b1f4-27a5-4ea0-bc68-6b387e7b1305","Potassium Concentration in Urine","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"BiomedicalConcept_31","0f1dca5e-ceeb-4280-989a-dcfde8bfd7f8","Sodium Concentration in Urine","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"BiomedicalConcept_32","45a8e247-6d07-4fa7-9b56-2f8167eeee4b","Hemoglobin A1C Concentration in Blood","BiomedicalConcept","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
"BiomedicalConcept_1","777df149-a8c4-404c-830f-70fa72c74ddc","Adverse Event Prespecified","BiomedicalConcept","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
"BiomedicalConcept_2","783c178c-e65d-4fcc-a35d-94d63c498b7c","Systolic Blood Pressure","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"BiomedicalConcept_3","5b901e85-ee38-4486-a2c2-e4b27a5325a2","Diastolic Blood Pressure","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"BiomedicalConcept_4","de9ab863-532f-4004-a247-79674972cb09","Temperature","BiomedicalConcept","['Temperature', 'Body Temperature']","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"BiomedicalConcept_5","f8a837e8-1b28-4bd7-a2b2-0464eb7384de","Weight","BiomedicalConcept","['Weight', 'Body Weight']","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"BiomedicalConcept_6","896c7d56-c87d-4ce5-8b81-0241974fd68d","Height","BiomedicalConcept","['Height', 'Body Height']","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"BiomedicalConcept_7","457c12c9-4cd1-45c0-9a7f-216330b7437a","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"BiomedicalConcept_8","5295bb29-75bc-4e7a-8a98-cf941a07b8e8","Albumin Presence in Urine","BiomedicalConcept","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"BiomedicalConcept_9","02dd02d8-85a9-4ceb-ba60-6e0051308c9a","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"BiomedicalConcept_10","65a832d0-31e1-4c3c-a797-9c814f2fa863","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"BiomedicalConcept_11","c05224a8-40eb-41df-86fc-392c4fa68ff9","Creatinine Concentration in Urine","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"BiomedicalConcept_12","0e11751b-167c-4006-a13c-fbebed629a0e","Potassium Concentration in Urine","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"BiomedicalConcept_13","85921482-6ccf-439d-a7a0-1023d7090579","Sodium Concentration in Urine","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"BiomedicalConcept_14","c7d6df7b-2d56-4aa2-b13b-c94a7b5e2322","Systolic Blood Pressure","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"BiomedicalConcept_15","6f096080-6b66-4e1a-b894-a937c0f0b522","Diastolic Blood Pressure","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"BiomedicalConcept_16","67847643-160a-409e-bd20-40207aa0b05b","Heart Rate","BiomedicalConcept","['Heart Rate']","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
"BiomedicalConcept_17","47d46c74-89f1-4403-a283-e730d8df2fde","Systolic Blood Pressure","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"BiomedicalConcept_18","9cff1cbc-0d04-4bca-9ef6-79021a8a0618","Diastolic Blood Pressure","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"BiomedicalConcept_19","237c8eab-56f6-4678-ad66-d8efdc7c38b8","Heart Rate","BiomedicalConcept","['Heart Rate']","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
