"label","id","instanceType","synonyms","name","uuid:ID","reference"
"Hemoglobin A1C Concentration in Blood","BiomedicalConcept_32","BiomedicalConcept","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood","e4d6580a-ab0f-466c-8ed0-2ba54091518d","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
"Adverse Event Prespecified","BiomedicalConcept_1","BiomedicalConcept","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified","f61affc6-bf1b-4706-8ada-b3fb71c341fd","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
"Systolic Blood Pressure","BiomedicalConcept_2","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","737853f1-6562-4176-b74a-8ee13b17f1ee","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","BiomedicalConcept_3","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","1c409bb0-7a23-4095-88db-a1551dd3ac05","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Temperature","BiomedicalConcept_4","BiomedicalConcept","['Temperature', 'Body Temperature']","Temperature","cdfe1431-69ff-46df-81a0-2213d47e24b6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","BiomedicalConcept_5","BiomedicalConcept","['Weight', 'Body Weight']","Weight","6688f82f-e90c-44e9-8c11-03157c576f2f","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","BiomedicalConcept_6","BiomedicalConcept","['Height', 'Body Height']","Height","92eb28e8-bd57-4efb-b6f5-f1c5bbe2d39c","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","e1f532a2-f12b-4ddc-8a76-e40770281c9b","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","BiomedicalConcept_8","BiomedicalConcept","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","bb7b9b9c-858e-4f16-89e4-58a1a0ac8b7b","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","86d731ae-9e9d-4dc9-81c7-76af564b8ade","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","c7e4839c-b69e-4845-82dc-7433f8128cf7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"Creatinine Concentration in Urine","BiomedicalConcept_11","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","ce98684d-f5db-4235-9604-cd1067a2bfa6","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","BiomedicalConcept_12","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","29f0e65b-564e-4d56-88a0-a5a76429c4da","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","BiomedicalConcept_13","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","d6090d3e-6ef3-4800-aa26-11fc32cef0e1","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"Systolic Blood Pressure","BiomedicalConcept_14","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","55f65388-cece-4735-8dbe-fbfd1a729407","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","BiomedicalConcept_15","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","aa1e7d19-5f76-4e0a-8e41-875e686308ca","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Heart Rate","BiomedicalConcept_16","BiomedicalConcept","['Heart Rate']","Heart Rate","9bc38d23-a513-4d44-b44d-a1b97cfbb575","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
"Systolic Blood Pressure","BiomedicalConcept_17","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","8d61e720-aeda-4475-938b-e49e34e6cf74","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","BiomedicalConcept_18","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","6b7f7cf7-c5fd-43df-8b35-07512ca8351e","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Heart Rate","BiomedicalConcept_19","BiomedicalConcept","['Heart Rate']","Heart Rate","0b65062c-bc3f-4056-8b71-8c1fa4a59e2f","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
