"reference","label","name","id","instanceType","synonyms","uuid:ID"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","Creatinine Concentration in Urine","BiomedicalConcept_30","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","338127a1-c89c-4bec-b148-205291124d94"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","Potassium Concentration in Urine","BiomedicalConcept_31","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","41cf2a39-9621-4425-8b83-e0b0d4bc833e"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","Sodium Concentration in Urine","BiomedicalConcept_32","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","af9bd359-ce4e-4f20-9469-226acb1dd191"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","Hemoglobin A1C Concentration in Blood","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33","BiomedicalConcept","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","e7f014bf-075a-4706-965f-063ac1f50e77"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","Adverse Event Prespecified","Adverse Event Prespecified","BiomedicalConcept_1","BiomedicalConcept","['Adverse Event', 'Solicited Adverse Event']","e01dabd9-0e4e-4cf8-8894-03325222403b"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept_2","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","eb4e93ee-73fd-4a36-97b5-1eff64f27d25"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept_3","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","404a83eb-9ccc-4e81-afa2-12874f9a85bf"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","Temperature","BiomedicalConcept_4","BiomedicalConcept","['Temperature', 'Body Temperature']","ce6b95bd-eb1e-49fe-9b0b-9898989619f7"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","Weight","BiomedicalConcept_5","BiomedicalConcept","['Weight', 'Body Weight']","5e2d30ec-b4b8-480c-816d-c131a8afc14e"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","Height","BiomedicalConcept_6","BiomedicalConcept","['Height', 'Body Height']","796b75e4-5da9-4489-827c-5593bb61434c"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","5e746f34-5741-40e0-bb7e-0b4f313b570e"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","Albumin Presence in Urine","BiomedicalConcept_8","BiomedicalConcept","['Albumin', 'Albumin Measurement']","1b242529-ecfd-458c-a227-541ce7e4e090"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","a4cbc163-5d27-41c0-a9a6-3e964bf57b23"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","3e177c0a-04d0-4f7a-a5b1-6082da11e1a1"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","Creatinine Concentration in Urine","BiomedicalConcept_11","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","39cf2bfb-3ea6-4ac5-96d1-88f36cec3284"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","Potassium Concentration in Urine","BiomedicalConcept_12","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","b1c26429-6906-4311-a2e9-0c80569eefae"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","Sodium Concentration in Urine","BiomedicalConcept_13","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","75245656-12a9-4143-99d0-98a6526daeb0"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept_14","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","04bb1236-58a2-4221-afad-603cf48642e4"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept_15","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","5a8e061c-ae14-43f6-9dd0-2d55074d9e06"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate","Heart Rate","BiomedicalConcept_16","BiomedicalConcept","['Heart Rate']","2bc2b7f4-cc1f-437f-a95f-b2e6bb4a1a99"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept_17","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","9ae74a33-105e-4d96-b952-86f86a2c0803"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept_18","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","ac5960bc-c703-4826-a20e-af9de59d39bd"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate","Heart Rate","BiomedicalConcept_19","BiomedicalConcept","['Heart Rate']","f97fafcc-877a-4b8e-bf93-e61324f8ddb8"
