"codeSystem","id","codeSystemVersion","instanceType","decode","code","uuid:ID"
"http://www.cdisc.org","Code_522","2023-12-15","Code","Milliequivalent per Deciliter","C67473","7af9b63f-1756-4765-9b3e-e339858385a7"
"http://www.cdisc.org","Code_523","2023-12-15","Code","Millimole per Liter","C64387","d97b0244-482f-4ffa-9666-02429bdc1dbe"
"http://www.cdisc.org","Code_524","2023-12-15","Code","Molarity Unit","C64567","58b26d65-ccf6-40cc-8412-2e203f875d01"
"http://www.cdisc.org","Code_525","2023-12-15","Code","Biospecimen Type","C70713","308c4be4-5fb3-4ca3-b080-d9858fa8d470"
"http://www.cdisc.org","Code_526","2023-12-15","Code","No","C49487","33cdb9c0-4123-4137-99e2-62666e98ca0b"
"http://www.cdisc.org","Code_527","2023-12-15","Code","Yes","C49488","a709ba38-a0bb-42fa-9aae-390916473383"
"http://www.cdisc.org","Code_528","2023-12-15","Code","Laboratory Test Fasting Status","C83309","5caaa3e4-4fc2-475b-9112-ae24d5b5d8d5"
"http://www.cdisc.org","Code_529","2023-12-15","Code","K","C64853","66e53a2b-5f2d-4a6f-87c6-004943bba1d0"
"http://www.cdisc.org","Code_530","2023-12-15","Code","SODIUM","C64809","dcb9bced-3681-4f41-b7bf-177d3745dbe2"
"http://www.cdisc.org","Code_531","2023-12-15","Code","Laboratory Test Result","C36292","529c3c3d-9058-4592-9161-73a83297b22a"
"http://www.cdisc.org","Code_532","2023-12-15","Code","Milliequivalent per Liter","C67474","d20de2f1-8003-4a75-b52d-f974213f164f"
"http://www.cdisc.org","Code_533","2023-12-15","Code","Milliequivalent per Deciliter","C67473","9a9631b2-e65d-45bc-a936-ff718209bc7b"
"http://www.cdisc.org","Code_534","2023-12-15","Code","Millimole per Liter","C64387","1d34bb37-a704-4dd8-af9c-d5ef23809c6a"
"http://www.cdisc.org","Code_535","2023-12-15","Code","Molarity Unit","C64567","f5d0d6fe-f29c-445f-8cb0-ff5bf9e1aefd"
"http://www.cdisc.org","Code_536","2023-12-15","Code","Biospecimen Type","C70713","41d0b605-d9f4-4c4a-a67d-eb3378566af7"
"http://www.cdisc.org","Code_537","2023-12-15","Code","No","C49487","4a4bf03d-4e04-47b3-9d4a-fc81bcd119c5"
"http://www.cdisc.org","Code_538","2023-12-15","Code","Yes","C49488","a10914cb-db52-44a2-be7f-bda188390105"
"http://www.cdisc.org","Code_539","2023-12-15","Code","Laboratory Test Fasting Status","C83309","491f65ff-7251-401d-9569-686d35f147aa"
"http://www.cdisc.org","Code_540","2023-12-15","Code","SODIUM","C64809","514f740d-7d87-4b40-b61e-2bb84f6a6571"
"http://www.cdisc.org","Code_541","2023-12-15","Code","HBA1C","C64849","587322b8-b704-4371-9c1a-96fa67dd7332"
"http://www.cdisc.org","Code_542","2023-12-15","Code","Laboratory Test Result","C36292","1d01b926-19c9-4f0a-be09-2951ec9acc12"
"http://www.cdisc.org","Code_543","2023-12-15","Code","Gram per Deciliter","C64783","64a4cff4-1fbb-4915-8045-e631a0503662"
"http://www.cdisc.org","Code_544","2023-12-15","Code","LBORRESU","No Concept Code","b24ac05b-612a-4edf-b437-0b67f365943d"
"http://www.cdisc.org","Code_545","2023-12-15","Code","Biospecimen Type","C70713","f936dd9b-556a-4fd9-bad1-a12080f60fd2"
"http://www.cdisc.org","Code_546","2023-12-15","Code","No","C49487","524f6b12-7a10-4649-8d7b-0490a5f5fbb5"
"http://www.cdisc.org","Code_547","2023-12-15","Code","Yes","C49488","63b25c26-9bc6-4121-874d-50e17a7ca040"
"http://www.cdisc.org","Code_548","2023-12-15","Code","Laboratory Test Fasting Status","C83309","60efb6ef-0a03-4fa7-9d5d-92fb6875602e"
"http://www.cdisc.org","Code_549","2023-12-15","Code","HBA1C","C64849","c73c2241-07eb-4daa-9847-89ba089055c2"
"http://www.cdisc.org","Code_145","2023-12-15","Code","Adverse Event Verbatim Description","C78541","63bec27f-9631-4f92-9a0e-c1c4fcffff14"
"http://www.cdisc.org","Code_146","2023-12-15","Code","Adverse Event Dictionary Derived Term","C83344","848ce361-f120-4c35-a2af-cbd8c6b703a8"
"http://www.cdisc.org","Code_147","2023-12-15","Code","No","C49487","7f60417d-74f4-4a6a-8de9-a17ea289d6ef"
"http://www.cdisc.org","Code_148","2023-12-15","Code","Yes","C49488","561348a0-86c0-4403-a775-ef4bd002839d"
"http://www.cdisc.org","Code_149","2023-12-15","Code","Adverse Event Pre-specified","C87840","81aab1e9-4dbc-40e5-96c4-1a22944b0060"
"http://www.cdisc.org","Code_150","2023-12-15","Code","Adverse Event Location","C83205","986a63f4-e765-4b31-ba1c-e44c46359c0a"
"http://www.cdisc.org","Code_151","2023-12-15","Code","Severity of Adverse Event","C53253","6b738802-2d70-407f-8bcc-3bcd31f45ead"
"http://www.cdisc.org","Code_152","2023-12-15","Code","No","C49487","b1375486-aa5a-4909-92db-a342a680314a"
"http://www.cdisc.org","Code_153","2023-12-15","Code","Yes","C49488","de9b6c0e-6824-46ac-9db8-a04c14d0080c"
"http://www.cdisc.org","Code_154","2023-12-15","Code","Seriousness of Adverse Event","C53252","1c986526-ce9a-4f53-b6b8-817fd323ede5"
"http://www.cdisc.org","Code_155","2023-12-15","Code","Adverse Event Action Taken with Study Treatment","C83013","7d1fb2d5-3503-47f4-8c3a-22b400f956ab"
"http://www.cdisc.org","Code_156","2023-12-15","Code","Other Actions taken in Response to Adverse Event","C83109","0c2dd829-d8f2-4d3a-8930-1da3f67b9815"
"http://www.cdisc.org","Code_157","2023-12-15","Code","Adverse Event Attribution to Product or Procedure","C41358","c88797c0-a661-4ead-ba36-f023020556a5"
"http://www.cdisc.org","Code_158","2023-12-15","Code","Adverse Event Relationship to Non Study Treatment","C83210","c9838d89-04fa-4018-869a-756cb3d2ca20"
"http://www.cdisc.org","Code_159","2023-12-15","Code","Adverse Event Pattern","C83208","81031969-07fa-4ac5-8875-b54cbc8eeb14"
"http://www.cdisc.org","Code_160","2023-12-15","Code","Adverse Event Outcome","C49489","c2ffc96b-4578-4ac1-a3b2-480acff20eab"
"http://www.cdisc.org","Code_161","2023-12-15","Code","No","C49487","57142cc5-4e1e-4cbd-a4b5-4bbb5dba7f4d"
"http://www.cdisc.org","Code_162","2023-12-15","Code","Yes","C49488","1fceb3d3-6566-4ee3-9c26-fc9468d1463b"
"http://www.cdisc.org","Code_163","2023-12-15","Code","Adverse Event Involves Cancer","C83211","acfcfbd7-42fc-4986-8782-619a47bc1379"
"http://www.cdisc.org","Code_164","2023-12-15","Code","No","C49487","978d09eb-3f11-4d84-ac68-971cf5dd153b"
"http://www.cdisc.org","Code_165","2023-12-15","Code","Yes","C49488","83cf5458-5f5f-488f-91e2-e0aedda98ad7"
"http://www.cdisc.org","Code_166","2023-12-15","Code","Adverse Event Seriousness Due to Congenital Anomaly","C83117","a168f9f9-5100-41c3-8ba1-ca5f9f1584a2"
"http://www.cdisc.org","Code_167","2023-12-15","Code","No","C49487","b4f04408-240e-4740-8270-69b6e5eb3b52"
"http://www.cdisc.org","Code_168","2023-12-15","Code","Yes","C49488","bc371ea4-ce6a-40a7-92d7-e917526a5453"
