"id","uuid:ID","name","instanceType","synonyms","label","reference"
"BiomedicalConcept_30","1fa2262e-3990-43ef-99e4-0138f345d350","Creatinine Concentration in Urine","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"BiomedicalConcept_31","61fe561d-f60e-474b-b6a2-858eaaf8adbe","Potassium Concentration in Urine","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"BiomedicalConcept_32","82f86ab8-1789-4abb-8201-aa66669b88cb","Sodium Concentration in Urine","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"BiomedicalConcept_33","89cb67f2-2cac-4676-b4fe-06740210f514","Hemoglobin A1C Concentration in Blood","BiomedicalConcept","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
"BiomedicalConcept_1","514a978b-b712-4f45-b46b-d36b49582cd6","Adverse Event Prespecified","BiomedicalConcept","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
"BiomedicalConcept_2","d70f571c-ff3b-4b18-851c-45f464099111","Systolic Blood Pressure","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"BiomedicalConcept_3","eefb7dec-eb1b-4a22-b975-a1466923e1e1","Diastolic Blood Pressure","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"BiomedicalConcept_4","31ec1864-2c9e-4c8a-989c-270e857db3e6","Temperature","BiomedicalConcept","['Temperature', 'Body Temperature']","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"BiomedicalConcept_5","8be9b16f-b6d4-4143-ae77-2680f3ee90d1","Weight","BiomedicalConcept","['Weight', 'Body Weight']","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"BiomedicalConcept_6","d99a4b71-85c4-4813-96e5-91e5137c1d0e","Height","BiomedicalConcept","['Height', 'Body Height']","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"BiomedicalConcept_7","403987d3-684c-4754-a1ad-d2ad17df05b7","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"BiomedicalConcept_8","f00264a3-e737-4741-a6e6-30588abaf5c5","Albumin Presence in Urine","BiomedicalConcept","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"BiomedicalConcept_9","07eb6350-5b8b-4bb6-a0d4-3619c36bf6ed","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"BiomedicalConcept_10","cf23d66a-2e14-434f-b01a-961f588dd497","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"BiomedicalConcept_11","e555cd6d-775e-4c06-861f-e2b9a82bbcdb","Creatinine Concentration in Urine","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"BiomedicalConcept_12","edc86f2b-c131-4de8-8f0f-09eb2e7b09e9","Potassium Concentration in Urine","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"BiomedicalConcept_13","546d7dd9-7c3e-4035-8229-2d5222a0fae1","Sodium Concentration in Urine","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"BiomedicalConcept_14","4b759bdf-5804-4156-88ad-d7ccd0f7b773","Systolic Blood Pressure","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"BiomedicalConcept_15","a34ee066-d1ea-4916-bc84-a068c3b04475","Diastolic Blood Pressure","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"BiomedicalConcept_16","78f3dba7-1cf3-4cef-ae33-6b75e26623af","Heart Rate","BiomedicalConcept","['Heart Rate']","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
"BiomedicalConcept_17","de2eefa4-7c55-4161-827b-ad29d61ffa19","Systolic Blood Pressure","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"BiomedicalConcept_18","635624b0-8f96-4cd4-98b2-79b167d8fa76","Diastolic Blood Pressure","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"BiomedicalConcept_19","635d4fd5-a2dc-43f9-985e-ecd958058041","Heart Rate","BiomedicalConcept","['Heart Rate']","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
