"instanceType","uuid:ID","isRequired","label","datatype","id","name","isEnabled"
"BiomedicalConceptProperty","f58303da-bcf5-4fd3-837c-51dbc9abdf6e","True","Adverse Event Action Taken with Study Treatment","string","BiomedicalConceptProperty_9","Adverse Event Action Taken with Study Treatment","True"
"BiomedicalConceptProperty","7424ab06-ce7d-4e28-924d-6b4c8a3ae760","True","Adverse Event Attribution to Product or Procedure","string","BiomedicalConceptProperty_10","Adverse Event Attribution to Product or Procedure","True"
"BiomedicalConceptProperty","26ceef3c-35ba-48c9-8ba6-669364f8f047","True","Adverse Event Pattern","string","BiomedicalConceptProperty_11","Adverse Event Pattern","True"
"BiomedicalConceptProperty","ee313bef-3dee-4af4-91fc-dd1c9e73acb0","True","Adverse Event Outcome","string","BiomedicalConceptProperty_12","Adverse Event Outcome","True"
"BiomedicalConceptProperty","3e273024-1eaa-48e2-ae92-251fd1bdd713","True","Adverse Event Start Date Time","datetime","BiomedicalConceptProperty_13","Adverse Event Start Date Time","True"
"BiomedicalConceptProperty","acb4f22e-9def-4e92-9e0f-9001a348033e","True","Adverse Event End Date Time","datetime","BiomedicalConceptProperty_14","Adverse Event End Date Time","True"
"BiomedicalConceptProperty","70b8da47-bc0a-4f75-890d-44f001cc91c3","True","Vital Signs Result","decimal","BiomedicalConceptProperty_15","Vital Signs Result","True"
"BiomedicalConceptProperty","f707bbe1-2828-4157-9d5a-1c66d83fa522","True","Unit of Pressure","string","BiomedicalConceptProperty_16","Unit of Pressure","True"
"BiomedicalConceptProperty","ec41a8c0-454e-437d-854f-e2c156b7aff0","True","Vital Signs Location","string","BiomedicalConceptProperty_17","Vital Signs Location","True"
"BiomedicalConceptProperty","bd67be43-ddc1-4688-82fa-560f3906877d","True","Vital Signs Laterality","string","BiomedicalConceptProperty_18","Vital Signs Laterality","True"
"BiomedicalConceptProperty","a99cf226-65cc-45ed-b67b-08843f7571f0","True","Test Method","string","BiomedicalConceptProperty_19","Test Method","True"
"BiomedicalConceptProperty","609d39a5-4b14-4d55-ab8a-01d99f973598","True","Vital Signs Position","string","BiomedicalConceptProperty_20","Vital Signs Position","True"
"BiomedicalConceptProperty","59c1e4cd-39cd-4f3d-93ee-b6318ae60a09","True","Vital Signs Result","decimal","BiomedicalConceptProperty_21","Vital Signs Result","True"
"BiomedicalConceptProperty","5e50a45d-e0a8-48cb-8a70-a136b572afc0","True","Unit of Pressure","string","BiomedicalConceptProperty_22","Unit of Pressure","True"
"BiomedicalConceptProperty","ab79cede-43fc-4edd-804f-b096b3da1284","True","Vital Signs Location","string","BiomedicalConceptProperty_23","Vital Signs Location","True"
"BiomedicalConceptProperty","ef015e02-fe5f-4c06-a140-6f7b29a51294","True","Vital Signs Laterality","string","BiomedicalConceptProperty_24","Vital Signs Laterality","True"
"BiomedicalConceptProperty","0d4b614c-6e7c-4a61-89cd-b1cda8b9f3d5","True","Test Method","string","BiomedicalConceptProperty_25","Test Method","True"
"BiomedicalConceptProperty","ea2d2901-df71-4dc3-a255-fc74c48a0091","True","Vital Signs Position","string","BiomedicalConceptProperty_26","Vital Signs Position","True"
"BiomedicalConceptProperty","f51befa9-3e76-4e4d-b6c1-b102a0b09b32","True","Vital Signs Result","decimal","BiomedicalConceptProperty_27","Vital Signs Result","True"
"BiomedicalConceptProperty","68c477ff-196c-4619-86e1-b881257c44d3","True","Unit of Temperature","string","BiomedicalConceptProperty_28","Unit of Temperature","True"
"BiomedicalConceptProperty","2b2a10a6-b1f3-4ff8-8bc8-8c584fec6cc3","True","Vital Signs Location","string","BiomedicalConceptProperty_29","Vital Signs Location","True"
"BiomedicalConceptProperty","f8a3d311-79da-4938-9d13-b426a769d803","True","Vital Signs Result","decimal","BiomedicalConceptProperty_30","Vital Signs Result","True"
"BiomedicalConceptProperty","2bad91bd-85a5-45ce-8d5d-3f3a8ce0bf34","True","Unit of Weight","string","BiomedicalConceptProperty_31","Unit of Weight","True"
"BiomedicalConceptProperty","da93e8b4-feb2-4408-9184-e3635b1bfcdf","True","Vital Signs Result","decimal","BiomedicalConceptProperty_32","Vital Signs Result","True"
"BiomedicalConceptProperty","30392710-2d85-4201-aee9-85854963ef97","True","Unit of Height","string","BiomedicalConceptProperty_33","Unit of Height","True"
"BiomedicalConceptProperty","5328dd87-0826-4cef-a6d9-ea7aa08b28b7","True","Laboratory Test Result","decimal","BiomedicalConceptProperty_34","Laboratory Test Result","True"
"BiomedicalConceptProperty","3e0de04a-7ef4-4d9a-b866-3fb44c5fc724","True","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_35","Laboratory Test Fasting Status","True"
"BiomedicalConceptProperty","fe3eb05c-c018-4ab6-aa4d-2f2293aec520","True","Unit of Catalytic Activity Concentration","string","BiomedicalConceptProperty_36","Unit of Catalytic Activity Concentration","True"
"BiomedicalConceptProperty","2feace6f-c4b9-47ce-aac3-c2e92089e421","True","Biospecimen Type","string","BiomedicalConceptProperty_37","Biospecimen Type","True"
"BiomedicalConceptProperty","6f8dc780-fd8a-4658-8db6-3ada4d65daff","True","Laboratory Test Result","string","BiomedicalConceptProperty_38","Laboratory Test Result","True"
"BiomedicalConceptProperty","7180ae40-87c5-4bbd-8b52-c3955c85233e","True","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_39","Laboratory Test Fasting Status","True"
"BiomedicalConceptProperty","a34f1767-0b0e-4abc-be93-1ffcfed11da0","True","Unit of Concentration","string","BiomedicalConceptProperty_40","Unit of Concentration","True"
"BiomedicalConceptProperty","6ba7a681-31d0-460f-a0bf-092bbd57c369","True","Biospecimen Type","string","BiomedicalConceptProperty_41","Biospecimen Type","True"
"BiomedicalConceptProperty","ed44733b-6990-45ff-ab10-8bcef20ae97e","True","Laboratory Test Result","decimal","BiomedicalConceptProperty_42","Laboratory Test Result","True"
"BiomedicalConceptProperty","9fe36e66-0784-4ee0-96d1-60499b951413","True","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_43","Laboratory Test Fasting Status","True"
"BiomedicalConceptProperty","e59a9a79-4495-4c2b-aaed-e40ef973f45a","True","Unit of Catalytic Activity Concentration","string","BiomedicalConceptProperty_44","Unit of Catalytic Activity Concentration","True"
"BiomedicalConceptProperty","f94e28a2-6d13-44a3-bbe2-5dd53cbeb6b3","True","Biospecimen Type","string","BiomedicalConceptProperty_45","Biospecimen Type","True"
"BiomedicalConceptProperty","11651775-f4ec-4884-bb1d-4b7346df11d0","True","Laboratory Test Result","decimal","BiomedicalConceptProperty_46","Laboratory Test Result","True"
"BiomedicalConceptProperty","6dd70633-43be-4856-989a-d69abbf36122","True","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_47","Laboratory Test Fasting Status","True"
"BiomedicalConceptProperty","a6ff2ff4-082e-4958-ac05-437af223592d","True","Unit of Catalytic Activity Concentration","string","BiomedicalConceptProperty_48","Unit of Catalytic Activity Concentration","True"
"BiomedicalConceptProperty","d587781a-a338-4afd-b142-97623736aef5","True","Biospecimen Type","string","BiomedicalConceptProperty_49","Biospecimen Type","True"
"BiomedicalConceptProperty","7590e7bd-6284-4579-94b9-8b06767ac248","True","Laboratory Test Result","string","BiomedicalConceptProperty_50","Laboratory Test Result","True"
"BiomedicalConceptProperty","72d58208-5020-4ff8-ade0-edebead20f2e","True","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_51","Laboratory Test Fasting Status","True"
"BiomedicalConceptProperty","29afb8ec-8275-4ca1-a6b2-1db4e8567e80","True","Unit of Concentration","string","BiomedicalConceptProperty_52","Unit of Concentration","True"
"BiomedicalConceptProperty","d3b8a3a1-d567-4242-b379-20c18f8ce83e","True","Biospecimen Type","string","BiomedicalConceptProperty_53","Biospecimen Type","True"
"BiomedicalConceptProperty","cca1fcec-460b-42ac-87b5-f105991e3c5e","True","Laboratory Test Result","decimal","BiomedicalConceptProperty_54","Laboratory Test Result","True"
"BiomedicalConceptProperty","ba7fb16c-0581-4e8c-bcda-95d9770c415e","True","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_55","Laboratory Test Fasting Status","True"
"BiomedicalConceptProperty","a1c742f2-ce65-43cb-a60d-5c7ff2078915","True","Molarity Unit","string","BiomedicalConceptProperty_56","Molarity Unit","True"
"BiomedicalConceptProperty","7e179b4c-fb32-4a30-8d51-f73c726d8868","True","Biospecimen Type","string","BiomedicalConceptProperty_57","Biospecimen Type","True"
"BiomedicalConceptProperty","448a5426-165c-4483-a0fd-6ffdb30577da","True","Laboratory Test Result","decimal","BiomedicalConceptProperty_58","Laboratory Test Result","True"
"BiomedicalConceptProperty","aaf181ba-a131-45c8-a208-ad3eba45f267","True","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty_59","Laboratory Test Fasting Status","True"
"BiomedicalConceptProperty","5f91f0bc-40f0-4e13-be9b-d159e2fbbeb8","True","Molarity Unit","string","BiomedicalConceptProperty_60","Molarity Unit","True"
"BiomedicalConceptProperty","ae9c46b4-592b-4ef6-a060-795601c4a56d","True","Biospecimen Type","string","BiomedicalConceptProperty_61","Biospecimen Type","True"
"BiomedicalConceptProperty","bcb08f4f-5adc-4612-9869-ddc47d2c13f8","True","Vital Signs Result","decimal","BiomedicalConceptProperty_62","Vital Signs Result","True"
"BiomedicalConceptProperty","89aa37bd-8f93-4221-b2d8-07ec8d67892c","True","Unit of Pressure","string","BiomedicalConceptProperty_63","Unit of Pressure","True"
"BiomedicalConceptProperty","45ab22e8-c111-4016-9b58-0575a3f23be0","True","Vital Signs Location","string","BiomedicalConceptProperty_64","Vital Signs Location","True"
"BiomedicalConceptProperty","a15ec245-9bdb-496f-b760-35f36c60a388","True","Vital Signs Laterality","string","BiomedicalConceptProperty_65","Vital Signs Laterality","True"
"BiomedicalConceptProperty","bb587933-e211-489b-bb3f-6c24b5ee76dc","True","Test Method","string","BiomedicalConceptProperty_66","Test Method","True"
"BiomedicalConceptProperty","32bae413-191a-443d-beca-eca7f7d8e0d8","True","Vital Signs Position","string","BiomedicalConceptProperty_67","Vital Signs Position","True"
"BiomedicalConceptProperty","cb2b564f-bdbd-4550-9b78-d5feec510e21","True","Vital Signs Result","decimal","BiomedicalConceptProperty_68","Vital Signs Result","True"
"BiomedicalConceptProperty","601a7914-8487-4614-ac75-dc6468a50136","True","Unit of Pressure","string","BiomedicalConceptProperty_69","Unit of Pressure","True"
"BiomedicalConceptProperty","c1af6ca1-9bc9-4ce8-b1d5-f89f6273dae2","True","Vital Signs Location","string","BiomedicalConceptProperty_70","Vital Signs Location","True"
"BiomedicalConceptProperty","46713de6-d4a6-4844-a553-382e81485df7","True","Vital Signs Laterality","string","BiomedicalConceptProperty_71","Vital Signs Laterality","True"
"BiomedicalConceptProperty","52e79e53-feaa-4d63-908f-b4151a7833a0","True","Test Method","string","BiomedicalConceptProperty_72","Test Method","True"
"BiomedicalConceptProperty","6f4c2845-b041-42f1-a5aa-6891be8d228e","True","Vital Signs Position","string","BiomedicalConceptProperty_73","Vital Signs Position","True"
"BiomedicalConceptProperty","fb872a56-6bf2-4228-91a7-676333a3d1a5","True","Vital Signs Result","integer","BiomedicalConceptProperty_74","Vital Signs Result","True"
"BiomedicalConceptProperty","9fdfb6f3-4c5f-4c2e-9b54-c2b215cc3a9c","True","Count per Minute","string","BiomedicalConceptProperty_75","Count per Minute","True"
"BiomedicalConceptProperty","f248557b-5768-41df-972a-cfe4b2a34e99","True","Vital Signs Location","string","BiomedicalConceptProperty_76","Vital Signs Location","True"
"BiomedicalConceptProperty","b196b24b-d99f-435e-8243-3ab6ed5fe21d","True","Vital Signs Laterality","string","BiomedicalConceptProperty_77","Vital Signs Laterality","True"
"BiomedicalConceptProperty","1d07292f-6bb4-4e98-b7fd-85e2062ee839","True","Test Method","string","BiomedicalConceptProperty_78","Test Method","True"
"BiomedicalConceptProperty","d5447b9f-278c-43eb-9db8-26add396ec33","True","Vital Signs Position","string","BiomedicalConceptProperty_79","Vital Signs Position","True"
"BiomedicalConceptProperty","c887111d-c381-4824-8eb5-7661b509d3ae","True","Vital Signs Result","decimal","BiomedicalConceptProperty_80","Vital Signs Result","True"
"BiomedicalConceptProperty","0784bed1-06c0-4e50-991b-cce618ac2370","True","Unit of Pressure","string","BiomedicalConceptProperty_81","Unit of Pressure","True"
"BiomedicalConceptProperty","22e06d61-e26f-43c9-a38f-6cde4d1914bb","True","Vital Signs Location","string","BiomedicalConceptProperty_82","Vital Signs Location","True"
"BiomedicalConceptProperty","cc4e0c25-8770-46af-a763-0d04282c7b02","True","Vital Signs Laterality","string","BiomedicalConceptProperty_83","Vital Signs Laterality","True"
"BiomedicalConceptProperty","7c6aee60-1f42-4016-9593-4bc429d00ebf","True","Test Method","string","BiomedicalConceptProperty_84","Test Method","True"
"BiomedicalConceptProperty","ca77ad3e-219f-4e01-be73-60e15776f0be","True","Vital Signs Position","string","BiomedicalConceptProperty_85","Vital Signs Position","True"
"BiomedicalConceptProperty","edae5f2a-c443-4c55-8a90-26d25739110a","True","Vital Signs Result","decimal","BiomedicalConceptProperty_86","Vital Signs Result","True"
"BiomedicalConceptProperty","1a225494-46a0-4b62-85f5-63872ab1814e","True","Unit of Pressure","string","BiomedicalConceptProperty_87","Unit of Pressure","True"
"BiomedicalConceptProperty","e1260fc0-3044-465b-8a92-f80e9d0d282b","True","Vital Signs Location","string","BiomedicalConceptProperty_88","Vital Signs Location","True"
"BiomedicalConceptProperty","327f861a-e811-4afc-a681-5ad662c66c14","True","Vital Signs Laterality","string","BiomedicalConceptProperty_89","Vital Signs Laterality","True"
"BiomedicalConceptProperty","b351f047-6ef0-4f72-a855-f8a8a12c600d","True","Test Method","string","BiomedicalConceptProperty_90","Test Method","True"
"BiomedicalConceptProperty","0036f4a8-4ce8-4833-85fd-d1ad1734990a","True","Vital Signs Position","string","BiomedicalConceptProperty_91","Vital Signs Position","True"
"BiomedicalConceptProperty","6e8a62db-3131-463f-90a6-6d4b095f55ca","True","Vital Signs Result","integer","BiomedicalConceptProperty_92","Vital Signs Result","True"
"BiomedicalConceptProperty","9d869073-4cdf-462d-a2d0-2ae84b56d58e","True","Count per Minute","string","BiomedicalConceptProperty_93","Count per Minute","True"
"BiomedicalConceptProperty","c37cc2ee-26ad-4cf6-bfad-92b9bbf0a4b3","True","Vital Signs Location","string","BiomedicalConceptProperty_94","Vital Signs Location","True"
"BiomedicalConceptProperty","4533a556-13d0-41da-9521-c6dcbef156e7","True","Vital Signs Laterality","string","BiomedicalConceptProperty_95","Vital Signs Laterality","True"
"BiomedicalConceptProperty","de12e201-0c51-48a5-85d0-53705ac2ef01","True","Test Method","string","BiomedicalConceptProperty_96","Test Method","True"
"BiomedicalConceptProperty","a769ab71-4170-4d18-9fcf-c774e69a375d","True","Vital Signs Position","string","BiomedicalConceptProperty_97","Vital Signs Position","True"
