"instanceType","uuid:ID","text","id","sectionNumber","name","sectionTitle"
"NarrativeContent","5e6bd2f3-23d7-4365-b4dc-f0f737b75372","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","NarrativeContent_45","6.6.3","SECTION 6.6.3","Blinding and Unblinding"
"NarrativeContent","4e6d1e0a-d69a-40e9-acad-094ab860f20f","<div></div>","NarrativeContent_46","6.7","SECTION 6.7","Trial Intervention Compliance"
"NarrativeContent","323d42ee-d680-40d3-a65a-159aa502bb0b","<div></div>","NarrativeContent_47","6.8","SECTION 6.8","Concomitant Therapy"
"NarrativeContent","2dfb6df7-35fe-482e-920b-dec09028edb8","<div></div>","NarrativeContent_48","6.8.1","SECTION 6.8.1","Prohibited Concomitant Therapy"
"NarrativeContent","89b436b9-ebcb-4592-8a32-84f00e529b14","<div></div>","NarrativeContent_49","6.8.2","SECTION 6.8.2","Permitted Concomitant Therapy"
"NarrativeContent","6b898839-4336-4f4c-ab9f-697e91909ffc","<div></div>","NarrativeContent_50","6.8.3","SECTION 6.8.3","Rescue Therapy"
"NarrativeContent","69429589-76df-43e7-a816-7785e66597a7","<div></div>","NarrativeContent_51","6.8.4","SECTION 6.8.4","Other Therapy"
"NarrativeContent","afdbb356-7f66-45d1-9317-45343b1856de","<div></div>","NarrativeContent_52","7","SECTION 7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL"
"NarrativeContent","684194e4-0a75-497c-af4f-b32a6385b689","<div></div>","NarrativeContent_53","7.1","SECTION 7.1","Discontinuation of Trial Intervention"
"NarrativeContent","57351e23-988f-480c-b954-f8c91bc0683b","<div></div>","NarrativeContent_54","7.1.1","SECTION 7.1.1","Criteria for Permanent Discontinuation of Trial Intervention"
"NarrativeContent","6fdfe785-b362-4216-89b9-a9e18cfdd0ac","<div></div>","NarrativeContent_55","7.1.2","SECTION 7.1.2","Temporary Discontinuation or Interruption of Trial Intervention"
"NarrativeContent","0fe34393-6d87-41e4-8154-fdca0adbafa0","<div></div>","NarrativeContent_56","7.1.3","SECTION 7.1.3","Rechallenge"
"NarrativeContent","1ba37385-6151-4854-b63f-cc6ab87211c9","<div></div>","NarrativeContent_57","7.2","SECTION 7.2","Participant Withdrawal from the Trial"
"NarrativeContent","49d0ab85-303e-422c-923f-54c0cbcbd8b5","<div></div>","NarrativeContent_58","7.3","SECTION 7.3","Lost to Follow-Up"
"NarrativeContent","e51689ad-d34e-4db2-b653-c9e24a6c6510","<div></div>","NarrativeContent_59","7.4","SECTION 7.4","Trial Stopping Rules"
"NarrativeContent","b5b13c35-ada9-4e95-8e3a-b4d75b9411a2","<div></div>","NarrativeContent_60","8","SECTION 8","TRIAL ASSESSMENTS AND PROCEDURES"
"NarrativeContent","e1188fba-ec0e-4688-a13b-be10d8d8d536","<div></div>","NarrativeContent_61","8.1","SECTION 8.1","Screening/Baseline Assessments and Procedures"
"NarrativeContent","16cf1e4c-fa89-47d4-bb5e-6b9c45edd28a","<div></div>","NarrativeContent_62","8.2","SECTION 8.2","Efficacy Assessments and Procedures"
"NarrativeContent","dd8ee5de-31ff-4797-8380-70ba169274a7","<div></div>","NarrativeContent_63","8.3","SECTION 8.3","Safety Assessments and Procedures"
"NarrativeContent","d482abc4-decc-4fa7-9069-0290e6ceb0bc","<div></div>","NarrativeContent_64","8.3.1","SECTION 8.3.1","Physical Examination"
"NarrativeContent","225ba289-1cda-41ef-8009-0f0c37f60971","<div></div>","NarrativeContent_65","8.3.2","SECTION 8.3.2","Vital Signs"
"NarrativeContent","593b748c-7575-4e20-bb43-7e9de25f6bd9","<div></div>","NarrativeContent_66","8.3.3","SECTION 8.3.3","Electrocardiograms"
"NarrativeContent","7a7dd742-aabb-47f6-a78d-12228f1170c5","<div></div>","NarrativeContent_67","8.3.4","SECTION 8.3.4","Clinical Laboratory Assessments"
"NarrativeContent","379a7add-9b33-4f3e-a48c-20cb7b9d1701","<div></div>","NarrativeContent_68","8.3.5","SECTION 8.3.5","Suicidal Ideation and Behaviour Risk Monitoring"
"NarrativeContent","04370c2d-6158-411f-af66-80f101090046","<div></div>","NarrativeContent_69","8.4","SECTION 8.4","Adverse Events and Serious Adverse Events"
"NarrativeContent","d7006cee-1380-4437-96d4-35f3efe743b6","<div></div>","NarrativeContent_70","8.4.1","SECTION 8.4.1","Definitions of AE and SAE"
"NarrativeContent","f4d3dce0-ec53-4709-8e32-9fbad0b37df3","<div></div>","NarrativeContent_71","8.4.2","SECTION 8.4.2","Time Period and Frequency for Collecting AE and SAE Information"
"NarrativeContent","59a7f925-e27f-43cf-8e64-bf6e6c12a6a4","<div></div>","NarrativeContent_72","8.4.3","SECTION 8.4.3","Identifying AEs and SAEs"
"NarrativeContent","7faf451b-dbca-4514-9608-c699211b50ff","<div></div>","NarrativeContent_73","8.4.4","SECTION 8.4.4","Recording of AEs and SAEs"
"NarrativeContent","0ea592ee-de75-4cde-ad0d-29e90f4b0f6b","<div></div>","NarrativeContent_74","8.4.5","SECTION 8.4.5","Follow-up of AEs and SAEs"
"NarrativeContent","04196c32-73b9-4265-a714-e56b672f7e84","<div></div>","NarrativeContent_75","8.4.6","SECTION 8.4.6","Reporting of SAEs"
"NarrativeContent","bc0671b6-8361-43f5-bc58-4a1df05c30fb","<div></div>","NarrativeContent_76","8.4.7","SECTION 8.4.7","Regulatory Reporting Requirements for SAEs"
"NarrativeContent","1e95da35-d115-4a9a-b723-c91bad4d51e7","<div></div>","NarrativeContent_77","8.4.8","SECTION 8.4.8","Serious and Unexpected Adverse Reaction Reporting"
"NarrativeContent","e3979883-49be-42c8-8b01-56ca629debf9","<div></div>","NarrativeContent_78","8.4.9","SECTION 8.4.9","Adverse Events of Special Interest"
"NarrativeContent","45a03293-e8cb-4601-8013-eaca4cba741a","<div></div>","NarrativeContent_79","8.4.10","SECTION 8.4.10","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs"
"NarrativeContent","741926d8-e41e-4e41-8338-ee3ce95ee841","<div></div>","NarrativeContent_80","8.5","SECTION 8.5","Pregnancy and Postpartum Information"
"NarrativeContent","ed540a7a-88b1-4d20-a7c8-9886c63633e3","<div></div>","NarrativeContent_81","8.5.1","SECTION 8.5.1","Participants Who Become Pregnant During the Trial"
"NarrativeContent","2fcaf3a7-67c8-49cd-b896-2060301def6d","<div></div>","NarrativeContent_82","8.5.2","SECTION 8.5.2","Participants Whose Partners Become Pregnant"
"NarrativeContent","91dd93bc-e29c-43f3-9d0d-d8bd3ce961c2","<div></div>","NarrativeContent_83","8.6","SECTION 8.6","Medical Device Product Complaints for Drug/Device Combination Products"
"NarrativeContent","6fc5f448-25a6-4edd-b5b9-c606d4f9e257","<div></div>","NarrativeContent_84","8.6.1","SECTION 8.6.1","Definition of Medical Device Product Complaints"
"NarrativeContent","ce33f471-9bca-4bc4-a656-3fa499314c69","<div></div>","NarrativeContent_85","8.6.2","SECTION 8.6.2","Recording of Medical Device Product Complaints"
"NarrativeContent","8d58b958-2aac-42e7-aa42-6f8f67a4eaea","<div></div>","NarrativeContent_86","8.6.3","SECTION 8.6.3","Time Period and Frequency for Collecting Medical Device Product Complaints ."
"NarrativeContent","ca7f2dbc-45be-47c4-ad6b-8c2e60c6cdf3","<div></div>","NarrativeContent_87","8.6.4","SECTION 8.6.4","Follow-Up of Medical Device Product Complaints"
"NarrativeContent","89ffa471-6bef-4880-966c-d572a7fde46b","<div></div>","NarrativeContent_88","8.6.5","SECTION 8.6.5","Regulatory Reporting Requirements for Medical Device Product Complaints"
"NarrativeContent","28b14cfb-463f-4408-ba81-534edaef6b28","<div></div>","NarrativeContent_89","8.7","SECTION 8.7","Pharmacokinetics"
"NarrativeContent","8dd726f2-db90-4ac1-9941-b01f5d3b1f72","<div></div>","NarrativeContent_90","8.8","SECTION 8.8","Genetics"
"NarrativeContent","7d3be4be-8d75-4312-bfe5-fcab69126ac0","<div></div>","NarrativeContent_91","8.9","SECTION 8.9","Biomarkers"
"NarrativeContent","a28c1c2e-d30a-4e9f-a146-be47756fc900","<div></div>","NarrativeContent_92","8.1","SECTION 8.1","Immunogenicity Assessments"
"NarrativeContent","8e582a75-3bbb-4610-86b5-0bffafac59b2","<div></div>","NarrativeContent_93","8.1.1","SECTION 8.1.1","Medical Resource Utilisation and Health Economics"
"NarrativeContent","d462c197-bdf0-4954-9c9f-2f977e4623fa","<div></div>","NarrativeContent_94","9","SECTION 9","STATISTICAL CONSIDERATIONS"
"NarrativeContent","221c9a4e-a89e-4327-b442-bab3e0557bdc","<div></div>","NarrativeContent_95","9.1","SECTION 9.1","Analysis Sets"
"NarrativeContent","578bd9e5-8cd6-485b-8f7c-037d779486eb","<div></div>","NarrativeContent_96","9.2","SECTION 9.2","Analyses Supporting Primary Objective(s)"
"NarrativeContent","e1473e73-bab5-4aed-94fd-6a10a4ffecc1","<div></div>","NarrativeContent_97","9.2.1","SECTION 9.2.1","Statistical Model, Hypothesis, and Method of Analysis"
"NarrativeContent","a040c669-a668-4583-b8dc-813ffcb1c76c","<div></div>","NarrativeContent_98","9.2.2","SECTION 9.2.2","Handling of Intercurrent Events of Primary Estimand(s)"
"NarrativeContent","55fa92d3-e198-4b59-bdd5-aa131a29db1a","<div></div>","NarrativeContent_99","9.2.3","SECTION 9.2.3","Handling of Missing Data"
"NarrativeContent","5666ca52-b63c-43d5-8b40-112f43bfc9b8","<div></div>","NarrativeContent_100","9.2.4","SECTION 9.2.4","Sensitivity Analysis"
"NarrativeContent","0605de21-4292-4247-9244-1dfb18942206","<div></div>","NarrativeContent_101","9.2.5","SECTION 9.2.5","Supplementary Analysis"
"NarrativeContent","9a63cbad-0e9c-4f28-9399-ac8083b38cfb","<div></div>","NarrativeContent_102","9.3","SECTION 9.3","Analysis Supporting Secondary Objective(s)"
"NarrativeContent","61df0f91-b17d-4286-ab0e-a2c7d92085e8","<div></div>","NarrativeContent_103","9.4","SECTION 9.4","Analysis of Exploratory Objective(s)"
"NarrativeContent","b2c09c76-a8f8-41a7-972b-1bff748f598b","<div></div>","NarrativeContent_104","9.5","SECTION 9.5","Safety Analyses"
"NarrativeContent","749af6a0-0c22-49cc-a2d4-8095baf7a700","<div></div>","NarrativeContent_105","9.6","SECTION 9.6","Other Analyses"
"NarrativeContent","c4a3e399-ec73-417e-924c-f509475162eb","<div></div>","NarrativeContent_106","9.7","SECTION 9.7","Interim Analyses"
"NarrativeContent","50079f4e-f971-40e5-9778-8d7588610eb8","<div></div>","NarrativeContent_107","9.8","SECTION 9.8","Sample Size Determination"
"NarrativeContent","d2fe1fab-2601-41e4-8af6-9507e0f14db5","<div></div>","NarrativeContent_108","9.9","SECTION 9.9","Protocol Deviations"
"NarrativeContent","90a3848c-b9d1-4f76-91cd-1ea714488d3d","<div></div>","NarrativeContent_109","10","SECTION 10","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT"
"NarrativeContent","3f178558-b694-42fe-b8c0-5a73ad823424","<div></div>","NarrativeContent_110","10.1","SECTION 10.1","Regulatory and Ethical Considerations"
"NarrativeContent","3f62de74-613b-4529-9faa-87fe5d6ca133","<div></div>","NarrativeContent_111","10.2","SECTION 10.2","Committees"
"NarrativeContent","e975d0b7-f7f5-43da-8d16-7646b8955793","<div></div>","NarrativeContent_112","10.3","SECTION 10.3","Informed Consent Process"
"NarrativeContent","7fa274dd-520c-4fe3-904f-71f069f861e5","<div></div>","NarrativeContent_113","10.4","SECTION 10.4","Data Protection"
"NarrativeContent","ded5bcf0-edc3-419e-8122-a8b02375d0e5","<div></div>","NarrativeContent_114","10.5","SECTION 10.5","Early Site Closure or Trial Termination"
"NarrativeContent","dd741418-f441-4f92-816a-3c2067ff9e42","<div></div>","NarrativeContent_115","11","SECTION 11","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE"
"NarrativeContent","dfdf9be4-d890-4589-9329-76fa82b54b7a","<div></div>","NarrativeContent_116","11.1","SECTION 11.1","Quality Tolerance Limits"
"NarrativeContent","4d5bc3ca-26c8-4047-bb22-00ce0da75b35","<div></div>","NarrativeContent_117","11.2","SECTION 11.2","Data Quality Assurance"
"NarrativeContent","e50fc3a3-2493-4d82-8e17-16cbc7d9aad0","<div></div>","NarrativeContent_118","11.3","SECTION 11.3","Source Data"
"NarrativeContent","807d3bee-0171-4063-9b5d-0d9a97517e05","<div></div>","NarrativeContent_119","12","SECTION 12","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY"
"NarrativeContent","38891146-5e34-4630-8c3c-f7382f26e813","<div></div>","NarrativeContent_120","12.1","SECTION 12.1","Further Details and Clarifications on the AE Definition"
"NarrativeContent","0122b60c-a9c4-4dbf-9deb-bf1ac490de7b","<div></div>","NarrativeContent_121","12.2","SECTION 12.2","Further Details and Clarifications on the SAE Definition"
"NarrativeContent","5c4a6499-32aa-48c2-86ae-92c4812a40f0","<div></div>","NarrativeContent_122","12.3","SECTION 12.3","Severity"
"NarrativeContent","2b030b6d-3313-4a0e-8361-4976a81a4132","<div></div>","NarrativeContent_123","12.4","SECTION 12.4","Causality"
"NarrativeContent","149bdde0-19d2-44aa-8d25-9131e122bedd","<div></div>","NarrativeContent_124","13","SECTION 13","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS"
"NarrativeContent","85421b58-a5c9-47ac-a402-c9f8baec042c","<div></div>","NarrativeContent_125","13.1","SECTION 13.1","Contraception and Pregnancy Testing"
"NarrativeContent","2100b293-2016-4d23-93b0-54a842488f11","<div></div>","NarrativeContent_126","13.1.1","SECTION 13.1.1","Definitions Related to Childbearing Potential"
"NarrativeContent","30199e6e-6eb4-445a-939b-459dd6c8c0f8","<div></div>","NarrativeContent_127","13.1.2","SECTION 13.1.2","Contraception"
"NarrativeContent","89bf5921-f866-4cd1-9e20-b77e306c0434","<div></div>","NarrativeContent_128","13.1.3","SECTION 13.1.3","Pregnancy Testing"
"NarrativeContent","b880e39a-04fe-4e13-a9d3-d155cb6c8548","<div></div>","NarrativeContent_129","13.2","SECTION 13.2","Clinical Laboratory Tests"
"NarrativeContent","33d10a1d-8164-4dfa-be14-39c52789cbc5","<div></div>","NarrativeContent_130","13.3","SECTION 13.3","Country/Region-Specific Differences"
"NarrativeContent","ead67ea0-9704-4c0c-9538-e5c4c7803b97","<div></div>","NarrativeContent_131","13.4","SECTION 13.4","Prior Protocol Amendments"
"NarrativeContent","c1631d48-4af3-40ce-9eee-f186d53dcabb","<div></div>","NarrativeContent_132","14","SECTION 14","APPENDIX: GLOSSARY OF TERMS"
"NarrativeContent","88178b85-c390-440e-ae27-198b9a8313cd","<div></div>","NarrativeContent_133","15","SECTION 15","APPENDIX: REFERENCES"
