"instanceType","reference","label","id","name","synonyms","uuid:ID"
"BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","Adverse Event","BiomedicalConcept_1","Adverse Event","['Adverse Event Reported Term', 'AETERM']","4bd4afd9-cda8-480d-a32d-d96e624509da"
"BiomedicalConcept","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","BiomedicalConcept_2","Systolic Blood Pressure","['SYSBP']","d49827f8-0979-44b1-af72-d869f618e577"
"BiomedicalConcept","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","BiomedicalConcept_3","Diastolic Blood Pressure","['DIABP']","97db0d6a-2b7b-4aec-92f6-3f9f404d7700"
"BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","BiomedicalConcept_4","Body Temperature","['Temperature']","059dd3c9-4dd9-4668-8d9d-929920221bc5"
"BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","BiomedicalConcept_5","Body Weight","['Weight']","829a5794-62e9-47b3-9eda-1e4da42dac41"
"BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","BiomedicalConcept_6","Body Height","['Height']","8262ac47-3a04-4b32-923e-fb458fc0b53b"
"BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","BiomedicalConcept_7","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","22a022b0-9c1e-4d71-9ac9-03e1d4f17e77"
"BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","BiomedicalConcept_8","Albumin Measurement","['Albumin']","cb751029-e07a-4a78-9229-cd0909fcf540"
"BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","BiomedicalConcept_9","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","f16c3191-f828-403e-90cf-0118a1efd567"
"BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","fb207a61-9720-438c-9a2c-701829941695"
"BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","BiomedicalConcept_11","Creatinine Measurement","['Creatinine']","39a592ea-dbd0-4c50-bed4-bfbffabe998a"
"BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","BiomedicalConcept_12","Potassium Measurement","['Potassium', 'K']","f24713a5-2f46-4792-b46c-fc1c7e6c6088"
"BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","BiomedicalConcept_13","Sodium Measurement","['Sodium', 'NA']","7437a24f-7db8-43bd-a26a-96bd8cce632e"
"BiomedicalConcept","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","BiomedicalConcept_14","Systolic Blood Pressure","['SYSBP']","96a29c2b-aa14-49a4-81bd-13ec3975f5ec"
"BiomedicalConcept","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","BiomedicalConcept_15","Diastolic Blood Pressure","['DIABP']","7dab74d8-0398-4f29-9843-9d93034a9d55"
"BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","Heart Rate","BiomedicalConcept_16","Heart Rate","","1ce1d104-d70c-412c-99f8-4dc7f96a94a7"
"BiomedicalConcept","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","BiomedicalConcept_17","Systolic Blood Pressure","['SYSBP']","a641b0c5-fb5b-49c8-9488-7faa9b7a76da"
"BiomedicalConcept","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","BiomedicalConcept_18","Diastolic Blood Pressure","['DIABP']","ff023389-2e58-4b83-8003-ba473b06b5af"
"BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","Heart Rate","BiomedicalConcept_19","Heart Rate","","cc581a8e-70e1-4360-a27f-edc6f7d0c057"
