"instanceType","codeSystem","code","codeSystemVersion","id","uuid:ID","decode"
"Code","http://www.cdisc.org","C175574","2023-09-29","Code_84","3f0b794e-a529-4516-9486-744688564113","In Person"
"Code","http://www.cdisc.org","C25716","2023-09-29","Code_85","ef85224e-ec45-4dfb-a68f-12b2871b1f4b","Visit"
"Code","http://www.cdisc.org","C51282","2023-09-29","Code_86","008667e8-c10f-4a54-9675-b2c481d391c6","Clinic"
"Code","http://www.cdisc.org","C175574","2023-09-29","Code_87","399cb65e-ded5-4971-9580-1add015c89a8","In Person"
"Code","http://www.cdisc.org","C25716","2023-09-29","Code_88","5a7b575d-d7da-4062-b3df-7701c72ac6ee","Visit"
"Code","http://www.cdisc.org","C51282","2023-09-29","Code_89","d585710f-5a52-4505-a0f2-abbff40d636f","Clinic"
"Code","http://www.cdisc.org","C175574","2023-09-29","Code_90","9312d4f5-f894-41fc-9259-0f1c1b6a9ddf","In Person"
"Code","http://www.cdisc.org","C25716","2023-09-29","Code_91","11a2c40f-dd7d-4e17-8ec5-aa77931e6eb6","Visit"
"Code","http://www.cdisc.org","C51282","2023-09-29","Code_92","96e24202-8d60-4550-81fb-8397a37a05ea","Clinic"
"Code","http://www.cdisc.org","C175574","2023-09-29","Code_93","dfdcf604-b772-4a67-b8f7-d5cc9c1a6671","In Person"
"Code","http://www.cdisc.org","C25716","2023-09-29","Code_94","ff90d846-a0d8-4c62-a488-67e1ea3b5714","Visit"
"Code","http://www.cdisc.org","C51282","2023-09-29","Code_95","1fae88bc-5a8f-471b-98d7-0e896c3dc879","Clinic"
"Code","http://www.cdisc.org","C175574","2023-09-29","Code_96","8063c92e-4dde-4319-a29d-474c044935c9","In Person"
"Code","http://www.cdisc.org","C25716","2023-09-29","Code_97","c442459a-8f5a-4f32-8899-01ea960de913","Visit"
"Code","http://www.cdisc.org","C51282","2023-09-29","Code_98","8b61b900-2ee3-4e8e-8517-c6402d8b3107","Clinic"
"Code","http://www.cdisc.org","C175574","2023-09-29","Code_99","6f745892-13ea-4627-910a-680f10226c8b","In Person"
"Code","http://www.cdisc.org","C25716","2023-09-29","Code_100","9ae9d5b0-4644-4671-828a-8cb613d03e6d","Visit"
"Code","http://www.cdisc.org","C51282","2023-09-29","Code_101","197e1ff4-3a62-465a-968a-568da235320a","Clinic"
"Code","http://www.cdisc.org","C175574","2023-09-29","Code_102","4331ec9e-cf8e-4273-9a55-bf01f682f11f","In Person"
"Code","http://www.cdisc.org","C171537","2023-09-29","Code_103","b4a31b58-734e-4c2e-a67e-f20e60ad86e9","Telephone Call"
"Code","http://www.cdisc.org","C25716","2023-09-29","Code_104","23e4d83c-fefe-4c94-84f2-6409233db5b0","Visit"
"Code","http://www.cdisc.org","C51282","2023-09-29","Code_105","39743f61-af2e-43e4-a1e7-bc2d50aaea99","Clinic"
"Code","http://www.cdisc.org","C175574","2023-09-29","Code_106","749b9072-5a6f-4df0-ab89-283e3236c558","In Person"
"Code","http://www.cdisc.org","C171537","2023-09-29","Code_107","0a7e89d0-0e00-41c7-b4f1-226d67f1da8f","Telephone Call"
"Code","http://www.cdisc.org","C25716","2023-09-29","Code_108","4b26a3c0-d4c6-4167-8383-aa9f2c47b839","Visit"
"Code","http://www.cdisc.org","C51282","2023-09-29","Code_109","5bf91bda-1af1-4f3e-8856-0fe5e59b5e13","Clinic"
"Code","http://www.cdisc.org","C175574","2023-09-29","Code_110","e31fb99d-d47e-42a4-8087-38878f3100cf","In Person"
"Code","http://www.cdisc.org","C171537","2023-09-29","Code_111","1c569b29-873b-4e31-9080-c1d46ed6c463","Telephone Call"
"Code","http://www.cdisc.org","C25716","2023-09-29","Code_112","791c090b-1212-4e7d-abb4-7e995a028c23","Visit"
"Code","http://www.cdisc.org","C51282","2023-09-29","Code_113","a57faf3d-374f-43d7-abd5-90dc4190f763","Clinic"
"Code","http://www.cdisc.org","C175574","2023-09-29","Code_114","0bd124d8-0e33-4e0d-b72d-6ea299a97560","In Person"
"Code","http://www.cdisc.org","C171537","2023-09-29","Code_115","466ac5de-88b1-4883-8c9f-4e8e892e151e","Telephone Call"
"Code","http://www.cdisc.org","C25716","2023-09-29","Code_116","4999a27a-34d7-46ef-aeaa-1845ef02747f","Visit"
"Code","http://www.cdisc.org","C51282","2023-09-29","Code_117","c35ec901-a28f-4fc8-a8b6-141a41b82be4","Clinic"
"Code","http://www.cdisc.org","C175574","2023-09-29","Code_118","ee8100ea-efd4-4d4d-bfb3-7e83176f25f7","In Person"
"Code","http://www.cdisc.org","C25716","2023-09-29","Code_119","fe516888-e55c-42ce-8943-6b1f8b96ae19","Visit"
"Code","http://www.cdisc.org","C51282","2023-09-29","Code_120","deae3009-9132-4347-a1c0-387f67076466","Clinic"
"Code","http://www.cdisc.org","C175574","2023-09-29","Code_121","905527b5-3f98-44e5-9a09-f8d1c5e41fa6","In Person"
"Code","SNOMED","383371000119108","January 31, 2018","Code_79","6468f481-1e68-486c-b9ff-30d0836e4297","CT of head without contrast"
"Code","SPONSOR","123","12","Code_80","3ccab5ab-b4f2-495c-8238-636aa67355cc","Subject Supine"
"Code","SPONSOR","124","12","Code_81","969ccf3c-61ba-4c9f-835f-3b2d7eca4687","Subject Standing"
"Code","NCI Thesaurus","C173522","","Code_278","dd8bbd29-48a0-4357-9948-dbbce9948ad6","Vital Signs Result"
"Code","http://www.cdisc.org","C42537","2023-09-29","Code_279","e9f2eacc-727c-4b23-bf74-b7e34a18c369","Kelvin"
"Code","NCI Thesaurus","C44276","","Code_280","0a8b9b09-6c6b-48e0-b608-47d8f1b5441d","Unit of Temperature"
"Code","NCI Thesaurus","C83088","","Code_281","11c8e7ae-a12c-4ca4-bf67-449d9c16737c","Vital Signs Location"
"Code","NCI Thesaurus","C174446","","Code_277","48ba20c8-c9ce-4ee6-b04e-38ffb08efa9e","Body Temperature"
"Code","NCI Thesaurus","C173522","","Code_283","a06b9bd8-4bb9-4c28-88ca-af01dad0f317","Vital Signs Result"
"Code","http://www.cdisc.org","C28252","2023-09-29","Code_284","f086b2ff-095c-4956-897f-a7a96b473647","Kilogram"
"Code","http://www.cdisc.org","C48155","2023-09-29","Code_285","7fc0b7d8-814a-40ac-9434-f18a38bf302b","Gram"
"Code","http://www.cdisc.org","C48531","2023-09-29","Code_286","726dd14a-1a6c-460d-8925-3238ad9ebf8d","Pound"
"Code","NCI Thesaurus","C48208","","Code_287","f35d6011-43db-4581-9df8-8ae8b78503b4","Unit of Weight"
"Code","NCI Thesaurus","C81328","","Code_282","cc44a02e-f641-4263-89ca-7b23288164ba","Body Weight"
"Code","NCI Thesaurus","C173522","","Code_289","9af37a4a-1239-4e90-bd62-0d1bc9740fe5","Vital Signs Result"
"Code","http://www.cdisc.org","C49668","2023-09-29","Code_290","daad7f9b-dbe0-44b1-8b35-b552b070b5f4","Centimeter"
"Code","http://www.cdisc.org","C48500","2023-09-29","Code_291","1e2d39ac-6d10-44fc-a158-89675d130081","Inch"
"Code","http://www.cdisc.org","C28251","2023-09-29","Code_292","c2faa868-a87b-4722-a83e-0e440dded710","Millimeter"
"Code","http://www.cdisc.org","C41139","2023-09-29","Code_293","434ebed7-4f15-4084-a44a-78aabd3c494d","Meter"
"Code","NCI Thesaurus","C168688","","Code_294","5213d51f-00f1-48d2-9d26-f3c5ff0506e2","Unit of Height"
"Code","NCI Thesaurus","C164634","","Code_288","c6a35cee-dad4-4883-9e56-e43b9e5a9ee2","Body Height"
"Code","NCI Thesaurus","C36292","","Code_296","9cb906d8-5f5d-4d0a-8329-11d6ad38720a","Laboratory Test Result"
"Code","NCI Thesaurus","C83309","","Code_297","5e8a4ccc-08d7-4be4-b356-ec5602f00bb5","Laboratory Test Fasting Status"
"Code","NCI Thesaurus","C67365","","Code_298","97111471-10bf-4ea4-b299-f8c027950b92","Unit of Catalytic Activity Concentration"
"Code","NCI Thesaurus","C70713","","Code_299","303bd506-14c5-4862-9ce8-09aa5e5bed0c","Biospecimen Type"
"Code","NCI Thesaurus","C64433","","Code_295","c90904fa-19b6-42c9-a4e0-c628911d7e94","Alanine Aminotransferase Measurement"
"Code","NCI Thesaurus","C36292","","Code_301","b47d84ee-3448-424c-806b-355e1ccd9491","Laboratory Test Result"
"Code","NCI Thesaurus","C83309","","Code_302","239dd1d6-65aa-4185-bda3-69c17c214c06","Laboratory Test Fasting Status"
"Code","NCI Thesaurus","C48207","","Code_303","9bfc11d5-565b-421e-ba97-2706039a5f21","Unit of Concentration"
"Code","NCI Thesaurus","C70713","","Code_304","f7bf4ceb-9684-40e8-84a1-50707da5fffd","Biospecimen Type"
"Code","NCI Thesaurus","C64431","","Code_300","0a1b5a1f-1666-4192-8446-c3bac9373a6d","Albumin Measurement"
"Code","NCI Thesaurus","C36292","","Code_306","e52af371-94fa-4740-8295-987879e1210c","Laboratory Test Result"
"Code","NCI Thesaurus","C83309","","Code_307","1227d56e-8a9e-401a-998c-427c65fccd81","Laboratory Test Fasting Status"
"Code","NCI Thesaurus","C67365","","Code_308","95bccb36-8770-48df-b27f-17b111655570","Unit of Catalytic Activity Concentration"
"Code","NCI Thesaurus","C70713","","Code_309","afd446e3-3c2f-499a-abac-f1cdaad5b25c","Biospecimen Type"
"Code","NCI Thesaurus","C64432","","Code_305","8b31ce11-865e-41ee-8db0-143f03923b55","Alkaline Phosphatase Measurement"
"Code","NCI Thesaurus","C36292","","Code_311","0136ee95-08bf-4428-a587-09dd0fca0531","Laboratory Test Result"
"Code","NCI Thesaurus","C83309","","Code_312","db53ac72-6760-4a98-a356-aa487025efc1","Laboratory Test Fasting Status"
"Code","NCI Thesaurus","C67365","","Code_313","51467350-80f7-4ecb-9937-6c247231262f","Unit of Catalytic Activity Concentration"
"Code","NCI Thesaurus","C70713","","Code_314","f7a01474-fdd4-40b9-b914-1d1d8a18e4f0","Biospecimen Type"
"Code","NCI Thesaurus","C64467","","Code_310","d4bdc0f1-dbd5-4e80-b742-ec8ec2c3c5b0","Aspartate Aminotransferase Measurement"
"Code","NCI Thesaurus","C36292","","Code_316","75e65d53-edc8-4fc2-8927-aa3e6ba64a2b","Laboratory Test Result"
"Code","NCI Thesaurus","C83309","","Code_317","6764cd71-0e13-4fb8-8fdb-3d7e1e7cbc92","Laboratory Test Fasting Status"
"Code","NCI Thesaurus","C48207","","Code_318","4a681a4b-f43c-4e22-aee5-1e050ec5197c","Unit of Concentration"
"Code","NCI Thesaurus","C70713","","Code_319","3536c6e7-678a-4325-8cd9-4d6ba066f291","Biospecimen Type"
"Code","NCI Thesaurus","C64547","","Code_315","95dcf1fc-0a03-4332-bc0a-e9bab208d1f3","Creatinine Measurement"
"Code","NCI Thesaurus","C36292","","Code_321","a4b4e1f3-c45c-46cc-a435-0ad6b7b0492d","Laboratory Test Result"
"Code","NCI Thesaurus","C83309","","Code_322","b6fbefc8-4b85-4c79-bc8e-584118932fbf","Laboratory Test Fasting Status"
"Code","NCI Thesaurus","C64567","","Code_323","eff4862a-740f-4a02-8cb8-941a65e9deb6","Molarity Unit"
"Code","NCI Thesaurus","C70713","","Code_324","a9f30411-83ef-42b1-af93-d67cd285bb20","Biospecimen Type"
"Code","NCI Thesaurus","C64853","","Code_320","ff30d54a-856b-43e5-8536-32365ec476e2","Potassium Measurement"
"Code","NCI Thesaurus","C36292","","Code_326","870793e2-e638-4c5e-8269-9fb67f1ce9d7","Laboratory Test Result"
"Code","NCI Thesaurus","C83309","","Code_327","46f5dbb8-edbe-4c89-b5c8-a68dd0675a7a","Laboratory Test Fasting Status"
"Code","NCI Thesaurus","C64567","","Code_328","9cbb2b02-9afc-4a5b-b660-54c671b9ee7b","Molarity Unit"
"Code","NCI Thesaurus","C70713","","Code_329","3b133927-dac0-4376-ba74-40ec6d0329b3","Biospecimen Type"
"Code","NCI Thesaurus","C64809","","Code_325","d0af63f7-d0ef-4c26-850d-ec738d294090","Sodium Measurement"
"Code","NCI Thesaurus","C78541","","Code_145","5590f86a-b183-42d8-83d4-1ea7e554a3c4","Adverse Event Verbatim Description"
"Code","NCI Thesaurus","C83344","","Code_146","04e8a372-0b4c-4684-adb5-01afde13456f","Adverse Event Dictionary Derived Term"
"Code","NCI Thesaurus","C83198","","Code_147","e1e7be3b-1feb-4e8e-bb06-4be9fe1db9ce","Adverse Event Category"
"Code","NCI Thesaurus","C83212","","Code_148","81e4768c-fe06-4a30-8fcd-4caeaeae9be3","Adverse Event Subcategory"
"Code","NCI Thesaurus","C87840","","Code_149","599aed48-1ca3-48eb-9891-c2250629fe89","Adverse Event Pre-specified"
"Code","NCI Thesaurus","C53253","","Code_150","5135ee19-1b6a-4735-850c-55287a0d9157","Severity of Adverse Event"
"Code","NCI Thesaurus","C78605","","Code_151","757b9dc5-da99-4286-9de6-a55c775279d3","Adverse Event Toxicity Grade"
"Code","NCI Thesaurus","C53252","","Code_152","e6c80dd6-136f-407d-958b-1dfc4d7ba3f3","Seriousness of Adverse Event"
"Code","NCI Thesaurus","C83013","","Code_153","f90a44ae-7290-4b94-88b0-16fa73792837","Adverse Event Action Taken with Study Treatment"
"Code","NCI Thesaurus","C41358","","Code_154","7871d902-1a23-4356-a120-ea1c2731ad3a","Adverse Event Attribution to Product or Procedure"
"Code","http://www.cdisc.org","C71325","2023-09-29","Code_155","867d6910-a0da-4669-bd4b-eb211ebc1d1f","Intermittent"
"Code","NCI Thesaurus","C83208","","Code_156","2fd047c3-e605-4514-bf77-592dd27f3339","Adverse Event Pattern"
"Code","NCI Thesaurus","C49489","","Code_157","9e41b46f-2444-4965-9d88-b3603c4461e2","Adverse Event Outcome"
"Code","NCI Thesaurus","C83215","","Code_158","d22cc388-358f-441d-8ca2-48d50e50cbe2","Adverse Event Start Date Time"
"Code","NCI Thesaurus","C83201","","Code_159","6f611c82-ff65-421a-8a33-98e2310b2a7c","Adverse Event End Date Time"
"Code","NCI Thesaurus","C41331","","Code_144","e1d985f6-d7d9-41c3-b64e-7b9f3196782e","Adverse Event"
"Code","NCI Thesaurus","C173522","","Code_161","e4d1a9bf-ff29-4420-a694-bbd970e9dfe0","Vital Signs Result"
"Code","http://www.cdisc.org","C42547","2023-09-29","Code_162","8d9bc8ee-8dd8-48a7-ba1d-7f7dc0403557","Pascal"
"Code","NCI Thesaurus","C49669","","Code_163","16c7c8e9-d75b-407d-8ac0-9c2b850b36bf","Unit of Pressure"
"Code","NCI Thesaurus","C83088","","Code_164","29b823ed-22e8-4fcf-a4ce-62333036c9cb","Vital Signs Location"
"Code","NCI Thesaurus","C123975","","Code_165","b339e363-ec12-4f1f-8407-dc2287dcb9a6","Vital Signs Laterality"
"Code","NCI Thesaurus","C82535","","Code_166","8a1c40d1-297c-4b01-b85b-0bedfd5c012d","Test Method"
"Code","NCI Thesaurus","C83114","","Code_167","e33e51a8-31c5-4f5c-b239-cf08195729ed","Vital Signs Position"
"Code","NCI Thesaurus","C25298","","Code_160","bd7ab179-6b9b-449c-b7ee-76d7f67f2676","Systolic Blood Pressure"
"Code","NCI Thesaurus","C173522","","Code_169","136fa367-476f-4ffa-b1cd-c972e4abb4d9","Vital Signs Result"
"Code","http://www.cdisc.org","C42547","2023-09-29","Code_170","1af3a77c-d541-4612-8bd2-029a64ba13c2","Pascal"
"Code","NCI Thesaurus","C49669","","Code_171","16702b6c-a938-444a-8039-609d2d7bc1aa","Unit of Pressure"
"Code","NCI Thesaurus","C83088","","Code_172","ef7a7d16-55f5-4eae-a607-5c3e7a5c6292","Vital Signs Location"
"Code","NCI Thesaurus","C123975","","Code_173","1fbcfdb0-66db-44e1-a92c-7fe9861cafd1","Vital Signs Laterality"
"Code","NCI Thesaurus","C82535","","Code_174","c90bf9b8-3156-4358-854c-38d49d8ed6ab","Test Method"
"Code","NCI Thesaurus","C83114","","Code_175","98cbcd0a-f605-48fa-b26a-6731ab8dc04b","Vital Signs Position"
"Code","NCI Thesaurus","C25299","","Code_168","ea973a36-6108-4450-9400-c3dfe4108b5d","Diastolic Blood Pressure"
"Code","NCI Thesaurus","C173522","","Code_177","b31ba7f4-3013-48c8-8c58-58b70f0c75f2","Vital Signs Result"
"Code","http://www.cdisc.org","C42537","2023-09-29","Code_178","d58e51af-937c-47e3-965d-f50445986395","Kelvin"
"Code","NCI Thesaurus","C44276","","Code_179","e15ad877-5c2a-4bb1-93a7-fd9309fe6148","Unit of Temperature"
"Code","NCI Thesaurus","C83088","","Code_180","711d660f-6b95-426b-85d1-582fef8d288e","Vital Signs Location"
"Code","NCI Thesaurus","C174446","","Code_176","6261b571-0c2e-485e-befa-729b13b54bdd","Body Temperature"
"Code","NCI Thesaurus","C173522","","Code_182","14f87b87-0374-49d5-b876-93cbcc1dfa88","Vital Signs Result"
"Code","http://www.cdisc.org","C28252","2023-09-29","Code_183","29defc83-ce3d-4b03-9fc2-d6b6f4c2c6c6","Kilogram"
"Code","http://www.cdisc.org","C48155","2023-09-29","Code_184","a1eb32f5-2bdd-4846-a0d1-57db89f6bfdf","Gram"
"Code","http://www.cdisc.org","C48531","2023-09-29","Code_185","8b3f36ef-3c8d-40b9-8f04-15df90eeda33","Pound"
"Code","NCI Thesaurus","C48208","","Code_186","66880094-f2f7-48bf-aec9-5dd4db11f28d","Unit of Weight"
"Code","NCI Thesaurus","C81328","","Code_181","b38b6585-6333-4894-837a-f44ad3ff2d5b","Body Weight"
"Code","NCI Thesaurus","C173522","","Code_188","f2e5ab81-5e2a-490c-8552-738a83399c86","Vital Signs Result"
"Code","http://www.cdisc.org","C49668","2023-09-29","Code_189","47425485-041c-4de2-9428-9ffcad1cd9b0","Centimeter"
"Code","http://www.cdisc.org","C48500","2023-09-29","Code_190","cc04fa6a-26d0-4557-a017-3ba71ddc0c4e","Inch"
"Code","http://www.cdisc.org","C28251","2023-09-29","Code_191","7e8b16dd-f2bc-48c2-92b6-c172aa87a3dc","Millimeter"
"Code","http://www.cdisc.org","C41139","2023-09-29","Code_192","bf72bdee-abe0-448a-be27-2bc9b8d608d7","Meter"
"Code","NCI Thesaurus","C168688","","Code_193","df9ad5e7-287d-40fe-94ae-4e7756c4247d","Unit of Height"
"Code","NCI Thesaurus","C164634","","Code_187","853a717b-bf9e-4dcf-89a9-09b191d7e25f","Body Height"
"Code","NCI Thesaurus","C36292","","Code_195","65d4e013-52aa-40ab-9425-c33bb1003a29","Laboratory Test Result"
"Code","NCI Thesaurus","C83309","","Code_196","34762eda-09fc-4c3b-b0eb-f441d253dc49","Laboratory Test Fasting Status"
"Code","NCI Thesaurus","C67365","","Code_197","155a7847-e43a-4e39-b78b-0e6beb2ef3f7","Unit of Catalytic Activity Concentration"
"Code","NCI Thesaurus","C70713","","Code_198","1a3c6931-2010-469e-9561-1f7307b8a274","Biospecimen Type"
"Code","NCI Thesaurus","C64433","","Code_194","88b9bf7d-c80c-48d7-8981-a450ca03003b","Alanine Aminotransferase Measurement"
"Code","NCI Thesaurus","C36292","","Code_200","994ead78-610d-4fdc-aa1f-32d037a01284","Laboratory Test Result"
"Code","NCI Thesaurus","C83309","","Code_201","d6f80de2-9be8-4271-bb5f-f026df9b0a3b","Laboratory Test Fasting Status"
"Code","NCI Thesaurus","C48207","","Code_202","d20ad6a5-f221-4cca-919e-02f91755ae7c","Unit of Concentration"
"Code","NCI Thesaurus","C70713","","Code_203","9eb393b9-d78c-4f69-be8b-1c9d657d2990","Biospecimen Type"
"Code","NCI Thesaurus","C64431","","Code_199","fc3eeed3-1f7a-4b97-9b49-9aa4778b57c8","Albumin Measurement"
"Code","NCI Thesaurus","C36292","","Code_205","97b997fa-db17-428e-aeb5-80a6cf7d24b5","Laboratory Test Result"
"Code","NCI Thesaurus","C83309","","Code_206","3d7b9f02-d0ca-45a9-9e3e-323421f50074","Laboratory Test Fasting Status"
"Code","NCI Thesaurus","C67365","","Code_207","e5597512-f9b2-4464-ab3f-9dd4e8215f3f","Unit of Catalytic Activity Concentration"
"Code","NCI Thesaurus","C70713","","Code_208","3637f0a7-bb02-4081-824b-89d3d2440997","Biospecimen Type"
"Code","NCI Thesaurus","C64432","","Code_204","dc5dcdb3-8cc1-470e-bcb1-445fb3365257","Alkaline Phosphatase Measurement"
"Code","NCI Thesaurus","C36292","","Code_210","fcfbfeb5-6d01-4256-9585-112aea7f1d79","Laboratory Test Result"
"Code","NCI Thesaurus","C83309","","Code_211","c34f52a7-3da2-4983-b62a-3007f628d1ec","Laboratory Test Fasting Status"
"Code","NCI Thesaurus","C67365","","Code_212","1ce63c50-d118-451c-8b8b-829b185ca400","Unit of Catalytic Activity Concentration"
"Code","NCI Thesaurus","C70713","","Code_213","6afeeb08-ed02-4385-b8f3-74dfe86e1549","Biospecimen Type"
"Code","NCI Thesaurus","C64467","","Code_209","ccf106ac-d0cf-4aa5-805b-6452c0cd06c1","Aspartate Aminotransferase Measurement"
"Code","NCI Thesaurus","C36292","","Code_215","6a13abe7-57fc-46c2-8c9d-073401ac8270","Laboratory Test Result"
"Code","NCI Thesaurus","C83309","","Code_216","0dd428b2-9a2e-447a-98d9-ec24df1df308","Laboratory Test Fasting Status"
"Code","NCI Thesaurus","C48207","","Code_217","d1ef157b-e837-4e6a-9a65-3c66548b3b98","Unit of Concentration"
"Code","NCI Thesaurus","C70713","","Code_218","7fea1ff0-7e90-4e07-b580-520449c448e3","Biospecimen Type"
"Code","NCI Thesaurus","C64547","","Code_214","231afd2e-ff84-4d2a-9f0d-48fe6437974d","Creatinine Measurement"
"Code","NCI Thesaurus","C36292","","Code_220","b561831e-a82b-4662-b2e3-8ab54fac29a1","Laboratory Test Result"
"Code","NCI Thesaurus","C83309","","Code_221","f9f0ba15-ff56-4e7c-8aa9-4926c89289a5","Laboratory Test Fasting Status"
"Code","NCI Thesaurus","C64567","","Code_222","d4e4c789-a413-4702-8eda-2973ee778898","Molarity Unit"
"Code","NCI Thesaurus","C70713","","Code_223","41bb35e1-c835-4b99-91a8-670d7bd5b804","Biospecimen Type"
"Code","NCI Thesaurus","C64853","","Code_219","87b32cfd-75ab-42cf-bc82-8a60d643a0f2","Potassium Measurement"
"Code","NCI Thesaurus","C36292","","Code_225","6e830863-c8ca-437a-b8c9-883e063578ef","Laboratory Test Result"
"Code","NCI Thesaurus","C83309","","Code_226","5c70d03d-17bb-43cc-a130-dba44674dcdf","Laboratory Test Fasting Status"
"Code","NCI Thesaurus","C64567","","Code_227","d588badc-ef7b-40c8-8924-b0b9f4fdaed0","Molarity Unit"
"Code","NCI Thesaurus","C70713","","Code_228","a3b82bae-5d83-4a41-b352-b0dc1b4c481b","Biospecimen Type"
"Code","NCI Thesaurus","C64809","","Code_224","3be57f4b-5abe-472b-a093-c5accd8a69b3","Sodium Measurement"
"Code","NCI Thesaurus","C173522","","Code_230","92bb5da6-c5e8-488e-b5a5-c98094478a5a","Vital Signs Result"
"Code","http://www.cdisc.org","C42547","2023-09-29","Code_231","5badf515-75e8-4751-8d88-6a1b5f885c94","Pascal"
"Code","NCI Thesaurus","C49669","","Code_232","47c9fdbe-484e-4c2d-9360-d302d4004746","Unit of Pressure"
"Code","NCI Thesaurus","C83088","","Code_233","eadecf0d-5fde-4674-b0ab-079c0e632ca1","Vital Signs Location"
"Code","NCI Thesaurus","C123975","","Code_234","222970d5-3373-495c-a7a3-115c8d6879f3","Vital Signs Laterality"
"Code","NCI Thesaurus","C82535","","Code_235","d8b988ee-7fa4-49a0-ab3c-187016380448","Test Method"
"Code","NCI Thesaurus","C83114","","Code_236","f3a75c7e-25ec-4ad2-be22-91c1cc86d005","Vital Signs Position"
"Code","NCI Thesaurus","C25298","","Code_229","cf4fd5df-83d2-4d81-b466-bcf9b5133e8c","Systolic Blood Pressure"
"Code","NCI Thesaurus","C173522","","Code_238","3b1fe369-f3fb-4d7d-adac-36ca019e522f","Vital Signs Result"
"Code","http://www.cdisc.org","C42547","2023-09-29","Code_239","8a7858aa-9158-473a-a5d3-05880c424c79","Pascal"
"Code","NCI Thesaurus","C49669","","Code_240","139c9e55-635d-47d1-ac61-c6ac15572e18","Unit of Pressure"
"Code","NCI Thesaurus","C83088","","Code_241","0b2658cd-0bb9-489f-9e99-032eed52aea8","Vital Signs Location"
"Code","NCI Thesaurus","C123975","","Code_242","63b8e57f-7a2d-48f3-afff-a95d495a3591","Vital Signs Laterality"
"Code","NCI Thesaurus","C82535","","Code_243","88c7a61d-0998-4cad-bf3b-d7abd2f6af80","Test Method"
"Code","NCI Thesaurus","C83114","","Code_244","c9c05aa4-3119-40d5-a08d-7fbdc4974419","Vital Signs Position"
"Code","NCI Thesaurus","C25299","","Code_237","a8622fad-18d7-4037-814e-82950f3933b1","Diastolic Blood Pressure"
"Code","NCI Thesaurus","C173522","","Code_246","9bdc0908-f0f1-4d8b-b589-ec00e62cd6ff","Vital Signs Result"
