"label","name","synonyms","reference","uuid:ID","id","instanceType"
"Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","03770dbf-4446-4cdf-8e4a-1c6a10896bfb","BiomedicalConcept_2","BiomedicalConcept"
"Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","ee9d540d-d34e-473f-aa76-e7fecc57e57c","BiomedicalConcept_3","BiomedicalConcept"
"Temperature","Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","5f4de3dd-d6bd-48c1-930d-3fdadfed6935","BiomedicalConcept_4","BiomedicalConcept"
"Weight","Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","04f22352-ae27-427a-bc2b-cddb0dc15341","BiomedicalConcept_5","BiomedicalConcept"
"Height","Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","0256aa03-adda-40e9-95eb-cd2b8bde66a1","BiomedicalConcept_6","BiomedicalConcept"
"Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","14c7dd08-4baf-485d-82f0-2f692d0a2718","BiomedicalConcept_7","BiomedicalConcept"
"Albumin Presence in Urine","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","b535e36e-492f-4f71-a27f-9a25aea0c063","BiomedicalConcept_8","BiomedicalConcept"
"Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","a2a1f12b-6228-4cde-adfb-c18495582ff7","BiomedicalConcept_9","BiomedicalConcept"
"Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","6e79e773-c10d-4d78-9768-ef9e4e7ba34d","BiomedicalConcept_10","BiomedicalConcept"
"Creatinine Concentration in Urine","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","97005218-54ef-4e25-bb4d-e142a09f9702","BiomedicalConcept_11","BiomedicalConcept"
"Potassium Concentration in Urine","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","0f6478f9-5723-4217-b698-f2ac6c20b8dc","BiomedicalConcept_12","BiomedicalConcept"
"Sodium Concentration in Urine","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","6cea25fc-6396-49e4-85f4-aa801a16a064","BiomedicalConcept_13","BiomedicalConcept"
"Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","63cb3096-203f-4843-b7d7-01d40239b3fa","BiomedicalConcept_14","BiomedicalConcept"
"Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","b1a4dd28-ec70-43e4-adc4-4ee3630dde5d","BiomedicalConcept_15","BiomedicalConcept"
"Heart Rate","Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","d070e8d9-e775-45a5-b9de-36e5e4ffc564","BiomedicalConcept_16","BiomedicalConcept"
"Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","02d83d7d-95a9-4018-a862-528c20b80849","BiomedicalConcept_17","BiomedicalConcept"
"Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","e426962b-550c-47b1-ace8-24d7b8389095","BiomedicalConcept_18","BiomedicalConcept"
"Heart Rate","Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","a4e9a98a-1117-4888-bfa0-21b3fefe9e08","BiomedicalConcept_19","BiomedicalConcept"
