"instanceType","id","text","description","identifier","label","uuid:ID","name"
"EligibilityCriterion","EligibilityCriterion_11","<p>are investigative site personnel directly affiliated with this study and their immediate families. Immediate family is defined as a spouse, biological or legal guardian, child, or sibling</p>","Site personal criterion","11","","b47c884d-007d-4d66-9721-883cace87161","EXC11"
"EligibilityCriterion","EligibilityCriterion_12","<p>are Lilly employees</p>","Lilly employee criterion","12","","10bdaf87-ad2d-4913-ae47-9cc04296fd1d","EXC12"
"EligibilityCriterion","EligibilityCriterion_13","<p>are currently enrolled in a clinical trial involving an investigational product or any other type of medical research judged not to be scientifically or medically compatible with this study</p>","Other study critierion","13","","fc695d99-492a-40ac-baa0-b14bac352e09","EXC13"
"EligibilityCriterion","EligibilityCriterion_14","<p>have participated, within the last 4 months, in a clinical trial involving an investigational product. If the previous investigational product has a long half-life, 4 months or 5 half-lives (whichever is longer) should have passed from the last dose of investigational product</p>","Previous study criterion","14","","63383086-0601-42db-8161-b637f84417c2","EXC14"
"EligibilityCriterion","EligibilityCriterion_15","<p>have previously completed or withdrawn from this study or any other study investigating LY900018, and have previously received LY900018</p>","Same product critierion","15","","ec8d3183-ea1c-4444-9837-aa0e5d2612c6","EXC15"
"EligibilityCriterion","EligibilityCriterion_16","<p>have known allergies or sensitivity to LY900018, glucagon, related compounds, or any components of the formulation, or history of significant atopy</p>","Sensititivity criterion","16","","c26c407b-3d23-4426-bcdc-0f5d7b9521b2","EXC16"
"EligibilityCriterion","EligibilityCriterion_17","<p>have an abnormality in the 12-lead ECG that, in the opinion of the investigator, increases the risks associated with participating in the study</p>","ECG abnormaility criterion","17","","1c85018f-b5d2-40b6-afd8-0fe735fc0cf4","EXC17"
"EligibilityCriterion","EligibilityCriterion_18","<p>any significant changes in insulin regimen and/or unstable blood glucose control within the past 3 months prior to screening as assessed by the investigator</p>","","18","","0422263d-2802-4647-ab0f-54a1214d707f","EXC18"
"EligibilityCriterion","EligibilityCriterion_19","<p>have received a total daily dose of insulin &gt;1.2 U/kg at the time of screening</p>","","19","","ce57a450-783d-417c-a2f8-0be6c2f0fa3a","EXC19"
"EligibilityCriterion","EligibilityCriterion_20","<p>have poorly controlled hypertension (ie, supine systolic BP &gt;165 mm Hg or supine diastolic BP &gt;95 mm Hg) at screening, or a change in antihypertensive medications within 30 days prior to screening</p>","","20","","c2aa65b0-7e93-46a9-83fd-1cf83ed4613a","EXC20"
"EligibilityCriterion","EligibilityCriterion_21","<p>have a history of pheochromocytoma (ie, adrenal gland tumor) or insulinoma</p>","","21","","b801d099-20eb-4763-a072-344593d64748","EXC21"
"EligibilityCriterion","EligibilityCriterion_22","<p>have a history of an episode of severe hypoglycemia (as defined by an episode that required third party assistance for treatment) in the 1 month prior to screening or have a history of loss of consciousness within the last 2 years induced other than by hypoglycemia</p>","","22","","18492a8a-5e1f-4033-b0e3-e19ec6ee52ba","EXC22"
"EligibilityCriterion","EligibilityCriterion_23","<p>have a history of epilepsy or seizure disorder</p>","Epilepsy criterion","23","","34dfd904-d04b-4bad-a227-b5c285864453","EXC23"
"EligibilityCriterion","EligibilityCriterion_24","<p>have a history or presence of cardiovascular, respiratory, hepatic, renal, gastrointestinal, endocrine (apart from T1DM or T2DM), hematological, or neurological disorders capable of significantly altering the absorption, metabolism, or elimination of drugs; of constituting a risk when taking the investigational product; or of interfering with the interpretation of data</p>","Medical conditions criterion","24","","7de0d0ec-8e89-49b3-abfa-da453d52c5f8","EXC24"
"EligibilityCriterion","EligibilityCriterion_25","<p>have known or ongoing psychiatric disorders that, in the opinion of the investigator, may preclude the patient from following and completing the protocol</p>","Physciatric criterion","25","","95bcb533-a05c-444c-a77f-227dffecd7ef","EXC25"
"EligibilityCriterion","EligibilityCriterion_26","<p>regularly use known drugs of abuse and/or show positive findings on urinary drug screening</p>","Drug abuse criterion","26","","ec74bd93-ff50-4b98-b18f-d62feeb3ca54","EXC26"
"EligibilityCriterion","EligibilityCriterion_27","<p>show evidence of human immunodeficiency virus (HIV) infection and/or positive HIV antibodies and/or antigen</p>","HIV criterion","27","","052a74af-fe5f-40a9-b2ed-40dfdaffdece","EXC27"
"EligibilityCriterion","EligibilityCriterion_28","<p>show evidence of hepatitis C and/or positive hepatitis C antibody</p>","Hep C criterion","28","","e81046bc-5791-455c-a0a2-3e5f6297f1fb","EXC28"
"EligibilityCriterion","EligibilityCriterion_29","<p>show evidence of hepatitis B and/or positive hepatitis B surface antigen</p>","Hep B criterion","29","","aa7b34db-1929-40b3-ad72-4dde3f2aadc5","EXC29"
"EligibilityCriterion","EligibilityCriterion_30","<p>show evidence of syphilis and/or are positive for syphilis test</p>","Syphillia criterion","30","","481b5b36-63b9-4b83-a140-fc456cd0c0a9","EXC30"
"EligibilityCriterion","EligibilityCriterion_31","<p>are women who are lactating</p>","","31","","46154911-73be-4490-9d38-dcb9807bcf30","EXC31"
"EligibilityCriterion","EligibilityCriterion_32","<p>use of daily systemic beta-blocker, indomethacin, warfarin, anticholinergic drugs</p>","","32","","02d43d7e-b2b8-448d-a466-37a644b8919a","EXC32"
"EligibilityCriterion","EligibilityCriterion_33","<p>have donated 400 mL or more blood in the last 12 weeks (males) or in the last 16 weeks (females), or any blood donation (including apheresis) within the last 4 weeks, or total volume of blood donation within 12 months is 1200 mL (males)/800 mL (females) or more at screening</p>","Blood donation criterion","33","","6620f674-1c9b-44fa-9299-b31a436eb347","EXC33"
"EligibilityCriterion","EligibilityCriterion_34","<p>have an average weekly alcohol intake that exceeds 21 units per week (males up to age 65) and 14 units per week (males over 65 and females), or are unwilling to stop alcohol consumption from Day -2 to discharge from CRU in each period (1 unit = 12 oz or 360 mL of beer; 5 oz or 150 mL of wine; 1.5 oz or 45 mL of distilled spirits)</p>","Alcohol critierion","34","","a107c88c-04d4-4f93-a5db-0a4a0d1a0508","EXC34"
"EligibilityCriterion","EligibilityCriterion_35","<p>in the opinion of the investigator or sponsor, are unsuitable for inclusion in the study</p>","Unsuitable criterion","35","","d11201a0-b0be-4d36-8445-d6839d0da266","EXC35"
"EligibilityCriterion","EligibilityCriterion_36","<p>have pre-proliferative and proliferative retinopathy or maculopathy requiring treatment or not clinically stable in the last 6 months, or patients with active changes in subjective eye symptoms as determined by the investigator if an eye exam has not been performed in the last 6 months. Note: If an eye examination has been performed no more than 6 months before screening, it will not have to be repeated; however, the investigator will need to confirm via interview that there is no change in subjective symptoms.</p>","","36","","42fd6bd4-2821-4dcb-92e3-1a33ba6f7620","EXC36"
