"id","uuid:ID","instanceType","sectionTitle","sectionNumber","name","text"
"NarrativeContent_28","9e199f06-5768-40f1-b28d-1a88acb979a4","NarrativeContent","Caffeine, Alcohol, Tobacco, and Other Habits","5.5.2","SECTION 5.5.2","<div><p>Not applicable</p></div>"
"NarrativeContent_29","19334948-be8d-425a-a050-e72e94904bb4","NarrativeContent","Physical Activity","5.5.3","SECTION 5.5.3","<div></div>"
"NarrativeContent_30","84cdefe1-42f4-4351-a1d5-f6a7ab77df95","NarrativeContent","Other Activity","5.5.4","SECTION 5.5.4","<div></div>"
"NarrativeContent_31","9138b53e-cd78-41e9-9358-c0cfe9bd625e","NarrativeContent","Screen Failures","5.6","SECTION 5.6","<div></div>"
"NarrativeContent_32","522ac123-bcd9-49fd-a84d-92286416be0e","NarrativeContent","TRIAL INTERVENTION AND CONCOMITANT THERAPY","6","SECTION 6","<div></div>"
"NarrativeContent_33","dae53d5e-da22-4c71-af68-c372af27f4d3","NarrativeContent","Description of Trial Intervention","6.1","SECTION 6.1","<div></div>"
"NarrativeContent_34","5b6e6e2e-d854-4564-8193-bccda0a0724a","NarrativeContent","Rationale for Trial Intervention","6.2","SECTION 6.2","<div></div>"
"NarrativeContent_35","9a3fc58e-bdb5-4ac3-b5c8-82bbfdc3ad33","NarrativeContent","Dosing and Administration","6.3","SECTION 6.3","<div></div>"
"NarrativeContent_36","54057adf-de2c-42df-a3be-05b4e25a149e","NarrativeContent","Trial Intervention Dose Modification","6.3.1","SECTION 6.3.1","<div></div>"
"NarrativeContent_37","0af32fde-556e-4739-b6dc-d9b3bc07d787","NarrativeContent","Treatment of Overdose","6.4","SECTION 6.4","<div></div>"
"NarrativeContent_38","9ab0ea3a-8773-4fa1-828e-305abaf7eb5f","NarrativeContent","Preparation, Handling, Storage and Accountability","6.5","SECTION 6.5","<div></div>"
"NarrativeContent_39","07c4b1ba-7e58-4f28-ae66-d3f1d59456fe","NarrativeContent","Preparation of Trial Intervention","6.5.1","SECTION 6.5.1","<div></div>"
"NarrativeContent_40","bf39ae23-ab77-45d1-9888-2a05b9d7c840","NarrativeContent","Handling and Storage of Trial Intervention","6.5.2","SECTION 6.5.2","<div></div>"
"NarrativeContent_41","0b5d8194-a4a9-45a2-8803-7bad8ef458b1","NarrativeContent","Accountability of Trial Intervention","6.5.3","SECTION 6.5.3","<div></div>"
"NarrativeContent_42","a3088a78-06e2-4c8a-882f-b1e2109c46b9","NarrativeContent","Participant Assignment, Randomisation and Blinding","6.6","SECTION 6.6","<div></div>"
"NarrativeContent_43","c4e84108-aabc-495d-a104-654cfbfa07cc","NarrativeContent","Participant Assignment","6.6.1","SECTION 6.6.1","<div></div>"
"NarrativeContent_44","33cbfaeb-cf0a-46b9-bb81-4253b0510bcd","NarrativeContent","Randomisation","6.6.2","SECTION 6.6.2","<div></div>"
"NarrativeContent_45","3a26f5ba-3ffe-4229-9c49-cdbdeefde77b","NarrativeContent","Blinding and Unblinding","6.6.3","SECTION 6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>"
"NarrativeContent_46","7e1b52f8-8d09-4fb0-bd1f-2b6e810d153e","NarrativeContent","Trial Intervention Compliance","6.7","SECTION 6.7","<div></div>"
"NarrativeContent_47","16b53fe2-a4b6-4101-b317-147139a988a7","NarrativeContent","Concomitant Therapy","6.8","SECTION 6.8","<div></div>"
"NarrativeContent_48","4b48a94e-6bab-410d-ab8e-c843dbaaa726","NarrativeContent","Prohibited Concomitant Therapy","6.8.1","SECTION 6.8.1","<div></div>"
"NarrativeContent_49","eccc4dae-7c7c-4adc-b159-c1b6fd9f294c","NarrativeContent","Permitted Concomitant Therapy","6.8.2","SECTION 6.8.2","<div></div>"
"NarrativeContent_50","3048993d-dbe7-405e-b0bb-1267ba493253","NarrativeContent","Rescue Therapy","6.8.3","SECTION 6.8.3","<div></div>"
"NarrativeContent_51","f6216120-9d75-4f64-914c-17c89b92d2c8","NarrativeContent","Other Therapy","6.8.4","SECTION 6.8.4","<div></div>"
"NarrativeContent_52","617e7f2c-cb3f-46cd-b28e-7ab0a7fe75d0","NarrativeContent","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","7","SECTION 7","<div></div>"
"NarrativeContent_53","53d2e537-5ca9-41dd-b7f1-1c6136dd478e","NarrativeContent","Discontinuation of Trial Intervention","7.1","SECTION 7.1","<div></div>"
"NarrativeContent_54","80a7ff00-d147-4535-abd5-414897f977af","NarrativeContent","Criteria for Permanent Discontinuation of Trial Intervention","7.1.1","SECTION 7.1.1","<div></div>"
"NarrativeContent_55","72597ab3-4ec7-4430-9e22-5d632298651f","NarrativeContent","Temporary Discontinuation or Interruption of Trial Intervention","7.1.2","SECTION 7.1.2","<div></div>"
"NarrativeContent_56","e7447160-839d-4c5f-8add-ada1190dcdee","NarrativeContent","Rechallenge","7.1.3","SECTION 7.1.3","<div></div>"
"NarrativeContent_57","0672e76f-12f7-43bf-a1aa-3fbe9fbf0ec9","NarrativeContent","Participant Withdrawal from the Trial","7.2","SECTION 7.2","<div></div>"
"NarrativeContent_58","c97fc584-fc59-480c-a6f9-60a69cda0577","NarrativeContent","Lost to Follow-Up","7.3","SECTION 7.3","<div></div>"
"NarrativeContent_59","3b30e980-8586-456f-97d4-0ef2d191ba2c","NarrativeContent","Trial Stopping Rules","7.4","SECTION 7.4","<div></div>"
"NarrativeContent_60","772e947a-ea8c-411e-b68b-54f276bd3327","NarrativeContent","TRIAL ASSESSMENTS AND PROCEDURES","8","SECTION 8","<div></div>"
"NarrativeContent_61","9ba2f4b5-aec0-4839-8b8e-13f00561c561","NarrativeContent","Screening/Baseline Assessments and Procedures","8.1","SECTION 8.1","<div></div>"
"NarrativeContent_62","00585cab-fb9b-40ff-9d98-eddaf3f9d256","NarrativeContent","Efficacy Assessments and Procedures","8.2","SECTION 8.2","<div></div>"
"NarrativeContent_63","c02831e8-f255-47e2-85b5-f11d7dc9951b","NarrativeContent","Safety Assessments and Procedures","8.3","SECTION 8.3","<div></div>"
"NarrativeContent_64","aed0ff03-61de-47a1-abe9-422f7fea3003","NarrativeContent","Physical Examination","8.3.1","SECTION 8.3.1","<div></div>"
"NarrativeContent_65","92afd4c2-3592-4fe6-a215-fbb52837130f","NarrativeContent","Vital Signs","8.3.2","SECTION 8.3.2","<div></div>"
"NarrativeContent_66","ce6705f6-4d1e-4b3d-a039-4ca8ca8be5fb","NarrativeContent","Electrocardiograms","8.3.3","SECTION 8.3.3","<div></div>"
"NarrativeContent_67","9c37a0d7-140e-4bbc-ba1c-cc4134b8c0a7","NarrativeContent","Clinical Laboratory Assessments","8.3.4","SECTION 8.3.4","<div></div>"
"NarrativeContent_68","2d6f411c-445b-47ad-8630-c508bffeaff3","NarrativeContent","Suicidal Ideation and Behaviour Risk Monitoring","8.3.5","SECTION 8.3.5","<div></div>"
"NarrativeContent_69","f079dda4-a3cd-4c29-9564-db64c646308e","NarrativeContent","Adverse Events and Serious Adverse Events","8.4","SECTION 8.4","<div></div>"
"NarrativeContent_70","8f19ff08-c8e5-40c4-a80f-3b6c67b809e6","NarrativeContent","Definitions of AE and SAE","8.4.1","SECTION 8.4.1","<div></div>"
"NarrativeContent_71","2a3ab205-c13a-4c68-a534-66fb102d130e","NarrativeContent","Time Period and Frequency for Collecting AE and SAE Information","8.4.2","SECTION 8.4.2","<div></div>"
"NarrativeContent_72","5d2b9f10-1188-4b0a-926a-9e9c1a502fa7","NarrativeContent","Identifying AEs and SAEs","8.4.3","SECTION 8.4.3","<div></div>"
"NarrativeContent_73","ed30d530-dfab-41f0-bed3-fa93c29c42ab","NarrativeContent","Recording of AEs and SAEs","8.4.4","SECTION 8.4.4","<div></div>"
"NarrativeContent_74","1874f4a5-905d-463e-8d76-d0585f16cd8e","NarrativeContent","Follow-up of AEs and SAEs","8.4.5","SECTION 8.4.5","<div></div>"
"NarrativeContent_75","2a32428c-259f-493e-89c7-384fe60001bb","NarrativeContent","Reporting of SAEs","8.4.6","SECTION 8.4.6","<div></div>"
"NarrativeContent_76","76778db6-caf3-4b10-bc71-e8ec3605dcef","NarrativeContent","Regulatory Reporting Requirements for SAEs","8.4.7","SECTION 8.4.7","<div></div>"
"NarrativeContent_77","7112c8ee-ce51-4a59-ac94-8d7ed7166694","NarrativeContent","Serious and Unexpected Adverse Reaction Reporting","8.4.8","SECTION 8.4.8","<div></div>"
"NarrativeContent_78","a5449b8e-e888-43be-8423-36d5645dede5","NarrativeContent","Adverse Events of Special Interest","8.4.9","SECTION 8.4.9","<div></div>"
"NarrativeContent_79","c77593b9-680e-4930-89ae-dbbd37db788a","NarrativeContent","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","8.4.10","SECTION 8.4.10","<div></div>"
"NarrativeContent_80","2eaab7b9-3f8c-41d4-9b53-041890f5d6a0","NarrativeContent","Pregnancy and Postpartum Information","8.5","SECTION 8.5","<div></div>"
"NarrativeContent_81","2843830c-b725-4fd0-b112-8b0e8e0e81bc","NarrativeContent","Participants Who Become Pregnant During the Trial","8.5.1","SECTION 8.5.1","<div></div>"
"NarrativeContent_82","c5249e95-cb10-442f-a228-ed5d9c084d1a","NarrativeContent","Participants Whose Partners Become Pregnant","8.5.2","SECTION 8.5.2","<div></div>"
"NarrativeContent_83","d03ba093-88a2-41ec-9aa2-c363b474020b","NarrativeContent","Medical Device Product Complaints for Drug/Device Combination Products","8.6","SECTION 8.6","<div></div>"
"NarrativeContent_84","ea334a77-e658-4da5-861b-23add61ba85c","NarrativeContent","Definition of Medical Device Product Complaints","8.6.1","SECTION 8.6.1","<div></div>"
"NarrativeContent_85","e9b73323-6ee7-4add-ad7d-6eb72cb5016e","NarrativeContent","Recording of Medical Device Product Complaints","8.6.2","SECTION 8.6.2","<div></div>"
"NarrativeContent_86","00557b73-d99d-44ac-881e-f1c959d82dfa","NarrativeContent","Time Period and Frequency for Collecting Medical Device Product Complaints .","8.6.3","SECTION 8.6.3","<div></div>"
"NarrativeContent_87","1d7f6b49-c979-40ac-b5ef-ff5b3d75a374","NarrativeContent","Follow-Up of Medical Device Product Complaints","8.6.4","SECTION 8.6.4","<div></div>"
"NarrativeContent_88","ecadd60a-5f62-4f72-b6f3-567bae77a6ee","NarrativeContent","Regulatory Reporting Requirements for Medical Device Product Complaints","8.6.5","SECTION 8.6.5","<div></div>"
"NarrativeContent_89","95bbbc4a-6d9e-42f7-ad56-a84645649ccc","NarrativeContent","Pharmacokinetics","8.7","SECTION 8.7","<div></div>"
"NarrativeContent_90","992ab6be-79de-440f-b773-6c1ce76faf3d","NarrativeContent","Genetics","8.8","SECTION 8.8","<div></div>"
"NarrativeContent_91","0a296d23-e91b-471e-a2fa-a431c5172ab2","NarrativeContent","Biomarkers","8.9","SECTION 8.9","<div></div>"
"NarrativeContent_92","d59a7611-c1b7-4860-a9fe-b9929c923c79","NarrativeContent","Immunogenicity Assessments","8.1","SECTION 8.1","<div></div>"
"NarrativeContent_93","84c5270c-4bfe-4ad5-be03-3ad7b4cb64eb","NarrativeContent","Medical Resource Utilisation and Health Economics","8.1.1","SECTION 8.1.1","<div></div>"
"NarrativeContent_94","06fea91e-bafc-4b9d-95a2-5314e7f9e63f","NarrativeContent","STATISTICAL CONSIDERATIONS","9","SECTION 9","<div></div>"
"NarrativeContent_95","b2ace300-628d-4ed2-a2b3-59e21a392e57","NarrativeContent","Analysis Sets","9.1","SECTION 9.1","<div></div>"
"NarrativeContent_96","8114186d-5b19-4694-9441-18b09af8f9d7","NarrativeContent","Analyses Supporting Primary Objective(s)","9.2","SECTION 9.2","<div></div>"
"NarrativeContent_97","f3b34072-e8ea-4f3a-94d7-e06ce1df818f","NarrativeContent","Statistical Model, Hypothesis, and Method of Analysis","9.2.1","SECTION 9.2.1","<div></div>"
"NarrativeContent_98","43c245b4-f0bb-4bf2-acd8-c002a811f29c","NarrativeContent","Handling of Intercurrent Events of Primary Estimand(s)","9.2.2","SECTION 9.2.2","<div></div>"
"NarrativeContent_99","b3213812-a605-426f-bbda-a27e01f89a1e","NarrativeContent","Handling of Missing Data","9.2.3","SECTION 9.2.3","<div></div>"
"NarrativeContent_100","bdd7e951-afcc-4b57-a070-114301b07304","NarrativeContent","Sensitivity Analysis","9.2.4","SECTION 9.2.4","<div></div>"
"NarrativeContent_101","eea21d83-82f6-48dc-ab74-b636baf462a3","NarrativeContent","Supplementary Analysis","9.2.5","SECTION 9.2.5","<div></div>"
"NarrativeContent_102","07d20a39-cd57-40e5-9c74-1c82d8c27ebc","NarrativeContent","Analysis Supporting Secondary Objective(s)","9.3","SECTION 9.3","<div></div>"
"NarrativeContent_103","0544bb4c-e55f-4e63-8642-3dc9869feb6b","NarrativeContent","Analysis of Exploratory Objective(s)","9.4","SECTION 9.4","<div></div>"
"NarrativeContent_104","dc076f87-278d-4e47-8a2c-18b92681d5fc","NarrativeContent","Safety Analyses","9.5","SECTION 9.5","<div></div>"
"NarrativeContent_105","0eed29c1-73aa-46d9-90ab-f18b981460ff","NarrativeContent","Other Analyses","9.6","SECTION 9.6","<div></div>"
"NarrativeContent_106","0b5108fd-c5b3-48cf-959c-3a85d586def0","NarrativeContent","Interim Analyses","9.7","SECTION 9.7","<div></div>"
"NarrativeContent_107","0f521534-6208-4ad3-9ebf-35fedcbdcd05","NarrativeContent","Sample Size Determination","9.8","SECTION 9.8","<div></div>"
"NarrativeContent_108","e5da5150-c647-4ddf-9e61-ff204f803113","NarrativeContent","Protocol Deviations","9.9","SECTION 9.9","<div></div>"
"NarrativeContent_109","9b703bdf-7b9e-4218-84b7-c5a0c28946f0","NarrativeContent","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","10","SECTION 10","<div></div>"
"NarrativeContent_110","9c4e4f28-f8f1-464c-b251-189884253d47","NarrativeContent","Regulatory and Ethical Considerations","10.1","SECTION 10.1","<div></div>"
"NarrativeContent_111","cfe83a83-f775-47a5-a451-592daa01a1ba","NarrativeContent","Committees","10.2","SECTION 10.2","<div></div>"
"NarrativeContent_112","0a2d2487-1826-41a1-be34-c1194808dfeb","NarrativeContent","Informed Consent Process","10.3","SECTION 10.3","<div></div>"
"NarrativeContent_113","02215a6a-c4b3-4a52-b1b5-2aee33f98113","NarrativeContent","Data Protection","10.4","SECTION 10.4","<div></div>"
"NarrativeContent_114","07851908-fb0e-43bc-8376-9b9b4ac0c966","NarrativeContent","Early Site Closure or Trial Termination","10.5","SECTION 10.5","<div></div>"
"NarrativeContent_115","e6b727db-61cd-4d35-8379-aeada86ae4ba","NarrativeContent","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","11","SECTION 11","<div></div>"
"NarrativeContent_116","2d222dcc-99a9-4680-b158-4c841210d048","NarrativeContent","Quality Tolerance Limits","11.1","SECTION 11.1","<div></div>"
"NarrativeContent_117","261557ca-80f6-448e-98b8-2516aff5f122","NarrativeContent","Data Quality Assurance","11.2","SECTION 11.2","<div></div>"
"NarrativeContent_118","3768c356-9e10-4bba-a13b-a90c30234d25","NarrativeContent","Source Data","11.3","SECTION 11.3","<div></div>"
"NarrativeContent_119","0f3fbda1-8520-4c65-9940-52cc9db06899","NarrativeContent","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","12","SECTION 12","<div></div>"
"NarrativeContent_120","170d031c-c53e-4882-b857-988eee5f4943","NarrativeContent","Further Details and Clarifications on the AE Definition","12.1","SECTION 12.1","<div></div>"
"NarrativeContent_121","e388859e-0427-4b7c-911c-9c10eb96d3e8","NarrativeContent","Further Details and Clarifications on the SAE Definition","12.2","SECTION 12.2","<div></div>"
"NarrativeContent_122","75164787-c4fd-405e-adaf-faca3683995b","NarrativeContent","Severity","12.3","SECTION 12.3","<div></div>"
"NarrativeContent_123","9670ebf1-4543-4247-98dc-f332e1950b7a","NarrativeContent","Causality","12.4","SECTION 12.4","<div></div>"
"NarrativeContent_124","fbf700d7-67ae-43d7-afd5-3f3e2b806129","NarrativeContent","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","13","SECTION 13","<div></div>"
"NarrativeContent_125","913f706e-4753-419f-ac23-2c889efcd072","NarrativeContent","Contraception and Pregnancy Testing","13.1","SECTION 13.1","<div></div>"
"NarrativeContent_126","fb3204fc-aee2-4891-b5e7-5edfb24a316c","NarrativeContent","Definitions Related to Childbearing Potential","13.1.1","SECTION 13.1.1","<div></div>"
"NarrativeContent_127","2d588e0f-6e04-4548-bb55-ce253106727d","NarrativeContent","Contraception","13.1.2","SECTION 13.1.2","<div></div>"
"NarrativeContent_128","c0acad2f-2024-43ef-8741-931a205db525","NarrativeContent","Pregnancy Testing","13.1.3","SECTION 13.1.3","<div></div>"
"NarrativeContent_129","22a421b0-fd07-4050-b2db-199b974f838a","NarrativeContent","Clinical Laboratory Tests","13.2","SECTION 13.2","<div></div>"
"NarrativeContent_130","018c6e08-c2bd-4ef3-9e48-75180dcab878","NarrativeContent","Country/Region-Specific Differences","13.3","SECTION 13.3","<div></div>"
"NarrativeContent_131","35071a8d-3fa1-424a-af16-49874219e972","NarrativeContent","Prior Protocol Amendments","13.4","SECTION 13.4","<div></div>"
"NarrativeContent_132","40902e72-f53f-4490-b93c-22a7009a17c3","NarrativeContent","APPENDIX: GLOSSARY OF TERMS","14","SECTION 14","<div></div>"
"NarrativeContent_133","87f3377b-35dc-4e7b-affe-63b1f88a1136","NarrativeContent","APPENDIX: REFERENCES","15","SECTION 15","<div></div>"
