"name","reference","synonyms","uuid:ID","id","instanceType","label"
"Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","31925a26-98a9-43de-ba25-dfff66b52989","BiomedicalConcept_31","BiomedicalConcept","Potassium Concentration in Urine"
"Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","7e613d40-803f-43a3-8d7e-1b52f71d8256","BiomedicalConcept_32","BiomedicalConcept","Sodium Concentration in Urine"
"Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","ffc8c09f-de12-4509-90c0-7f1e7b890c52","BiomedicalConcept_33","BiomedicalConcept","Hemoglobin A1C Concentration in Blood"
"Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","['Adverse Event', 'Solicited Adverse Event']","4472aacb-9644-413e-b48c-5d07b67490c4","BiomedicalConcept_1","BiomedicalConcept","Adverse Event Prespecified"
"Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","5aa82397-1b93-463c-8201-d42c009d64c2","BiomedicalConcept_2","BiomedicalConcept","Systolic Blood Pressure"
"Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","49727cba-b8cb-4a16-bd2f-557b7d223533","BiomedicalConcept_3","BiomedicalConcept","Diastolic Blood Pressure"
"Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","7b0ce45c-d5d4-4bcf-a42d-4c3d8b67a4a9","BiomedicalConcept_4","BiomedicalConcept","Temperature"
"Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","9a758747-88c1-4c3f-ab5a-298ced70fb12","BiomedicalConcept_5","BiomedicalConcept","Weight"
"Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","f4c1bb49-4b57-413b-aa62-49bb3b48cbc1","BiomedicalConcept_6","BiomedicalConcept","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","172e2832-72a3-45f4-804f-c9e9d8698622","BiomedicalConcept_7","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","aad61ee4-6fd4-4f8f-bb99-c82713fedcf1","BiomedicalConcept_8","BiomedicalConcept","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","549e65db-568c-4e52-9684-ecb6c02b885d","BiomedicalConcept_9","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","26b3b0ec-9a33-4d22-a69f-bbab21c27443","BiomedicalConcept_10","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma"
"Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","6edd533d-ca72-46b6-8194-960111d9be06","BiomedicalConcept_11","BiomedicalConcept","Creatinine Concentration in Urine"
"Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","3425d2db-0734-400a-bbb7-d051e4a93004","BiomedicalConcept_12","BiomedicalConcept","Potassium Concentration in Urine"
"Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","e58033fe-66f9-482b-8577-cffd80362d43","BiomedicalConcept_13","BiomedicalConcept","Sodium Concentration in Urine"
"Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","a736d34b-180f-438a-88c7-d244cb7feacf","BiomedicalConcept_14","BiomedicalConcept","Systolic Blood Pressure"
"Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","6c8bead6-69b7-40d1-9cbb-4e9cb6a4c5c0","BiomedicalConcept_15","BiomedicalConcept","Diastolic Blood Pressure"
"Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","ae682515-ba64-43b5-bc91-855fcde738d5","BiomedicalConcept_16","BiomedicalConcept","Heart Rate"
"Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","0eb48fb3-d544-4e4f-814b-48bca124b7a2","BiomedicalConcept_17","BiomedicalConcept","Systolic Blood Pressure"
"Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","6e8d16a6-daee-4948-80e6-d4c3129f8ca3","BiomedicalConcept_18","BiomedicalConcept","Diastolic Blood Pressure"
"Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","5b4a1236-188b-4cb8-a0a0-30b2f3cd61a1","BiomedicalConcept_19","BiomedicalConcept","Heart Rate"
